College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638239483,1-44638239483,U-0261,"GOVT. POLYTECHNIC, NANAKPUR",Active,Haryana,Panchkula,Panchkula,"VILLAGE NANAKPUR, BLOCK KALKA, TEHSIL PINJORE",120482,29.056672,76.074962,Government,"Directorate of Technical Education, Haryana",Approved,Approved,B,No,,Tier 3,http://www.govtnanakpur.ac.in,info@govtnanakpur.ac.in,admissions@govtnanakpur.ac.in,placement@govtnanakpur.ac.in,+91-80-749-5995,Civil Engineering,Diploma,60,300,2004,Rural,No,No
1-44638239483,1-44638239483,U-0261,"GOVT. POLYTECHNIC, NANAKPUR",Active,Haryana,Panchkula,Panchkula,"VILLAGE NANAKPUR, BLOCK KALKA, TEHSIL PINJORE",120482,29.056672,76.074962,Government,"Directorate of Technical Education, Haryana",Approved,Approved,B,No,,Tier 3,http://www.govtnanakpur.ac.in,info@govtnanakpur.ac.in,admissions@govtnanakpur.ac.in,placement@govtnanakpur.ac.in,+91-80-749-5995,Electrical Engineering,Diploma,60,300,2004,Rural,No,No
1-44638239483,1-44638239483,U-0261,"GOVT. POLYTECHNIC, NANAKPUR",Active,Haryana,Panchkula,Panchkula,"VILLAGE NANAKPUR, BLOCK KALKA, TEHSIL PINJORE",120482,29.056672,76.074962,Government,"Directorate of Technical Education, Haryana",Approved,Approved,B,No,,Tier 3,http://www.govtnanakpur.ac.in,info@govtnanakpur.ac.in,admissions@govtnanakpur.ac.in,placement@govtnanakpur.ac.in,+91-80-749-5995,Mechanical Engineering,Diploma,60,300,2004,Rural,No,No
1-44638239483,1-44638239483,U-0261,"GOVT. POLYTECHNIC, NANAKPUR",Active,Haryana,Panchkula,Panchkula,"VILLAGE NANAKPUR, BLOCK KALKA, TEHSIL PINJORE",120482,29.056672,76.074962,Government,"Directorate of Technical Education, Haryana",Approved,Approved,B,No,,Tier 3,http://www.govtnanakpur.ac.in,info@govtnanakpur.ac.in,admissions@govtnanakpur.ac.in,placement@govtnanakpur.ac.in,+91-80-749-5995,Computer Science Engineering (CSE),Diploma,60,300,2004,Rural,No,No
1-44638239483,1-44638239483,U-0261,"GOVT. POLYTECHNIC, NANAKPUR",Active,Haryana,Panchkula,Panchkula,"VILLAGE NANAKPUR, BLOCK KALKA, TEHSIL PINJORE",120482,29.056672,76.074962,Government,"Directorate of Technical Education, Haryana",Approved,Approved,B,No,,Tier 3,http://www.govtnanakpur.ac.in,info@govtnanakpur.ac.in,admissions@govtnanakpur.ac.in,placement@govtnanakpur.ac.in,+91-80-749-5995,Electronics & Communication Engineering (ECE),Diploma,60,300,2004,Rural,No,No
1-44638727011,1-44638727011,U-0843,MAHAGYANI RISHI ASHTAVAKRA KENDRA GOVT. POLYTECHNIC SECTOR 26 PANCHKULA,Active,Haryana,Panchkula,Panchkula,SECTOR 26,120482,29.077815,76.080085,Government,"Department of Technical Education, Panchkula",Approved,Approved,A+,Yes,,Tier 2,http://www.mahagyanirishiashtavakra.ac.in,info@mahagyanirishiashtavakra.ac.in,admissions@mahagyanirishiashtavakra.ac.in,placement@mahagyanirishiashtavakra.ac.in,+91-80-636-3868,Computer Science Engineering (CSE),Diploma,30,90,2019,Rural,Yes,Yes
1-44638727011,1-44638727011,U-0843,MAHAGYANI RISHI ASHTAVAKRA KENDRA GOVT. POLYTECHNIC SECTOR 26 PANCHKULA,Active,Haryana,Panchkula,Panchkula,SECTOR 26,120482,29.077815,76.080085,Government,"Department of Technical Education, Panchkula",Approved,Approved,A+,Yes,,Tier 2,http://www.mahagyanirishiashtavakra.ac.in,info@mahagyanirishiashtavakra.ac.in,admissions@mahagyanirishiashtavakra.ac.in,placement@mahagyanirishiashtavakra.ac.in,+91-80-636-3868,Other Engineering Branches,Diploma,30,90,2019,Rural,Yes,Yes
1-44638727011,1-44638727011,U-0843,MAHAGYANI RISHI ASHTAVAKRA KENDRA GOVT. POLYTECHNIC SECTOR 26 PANCHKULA,Active,Haryana,Panchkula,Panchkula,SECTOR 26,120482,29.077815,76.080085,Government,"Department of Technical Education, Panchkula",Approved,Approved,A+,Yes,,Tier 2,http://www.mahagyanirishiashtavakra.ac.in,info@mahagyanirishiashtavakra.ac.in,admissions@mahagyanirishiashtavakra.ac.in,placement@mahagyanirishiashtavakra.ac.in,+91-80-636-3868,Electronics & Communication Engineering (ECE),Diploma,30,90,2019,Rural,Yes,Yes
1-44638704344,1-44638704344,U-0294,GOVERNMENT POLYTECHNIC PANCHKULA,Active,Haryana,Panchkula,Panchkula,SECTOR 26,120482,29.042606,76.105499,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.panchkula.ac.in,info@panchkula.ac.in,admissions@panchkula.ac.in,placement@panchkula.ac.in,+91-80-159-6671,Electrical Engineering,Diploma,60,360,1982,Rural,Yes,Yes
1-44638704344,1-44638704344,U-0294,GOVERNMENT POLYTECHNIC PANCHKULA,Active,Haryana,Panchkula,Panchkula,SECTOR 26,120482,29.042606,76.105499,Government,Directorate of Technical Education,Approved,Approved,B,No,,Tier 3,http://www.panchkula.ac.in,info@panchkula.ac.in,admissions@panchkula.ac.in,placement@panchkula.ac.in,+91-80-159-6671,Computer Science Engineering (CSE),Diploma,60,360,1982,Rural,Yes,Yes
