College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638591867,1-44638591867,U-0992,"DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING, RAJIV GANDHI UNIVERSITY, ITANAGAR",Active,Arunachal Pradesh,Papum Pare,Papum Pare," DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING, RAJIV GANDHI UNIVERSITY,  RONO HILLS, DOIMUKH,ITANAGAR",500217,28.215105,94.740305,Central University,NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.departmentcomputerscience.ac.in,info@departmentcomputerscience.ac.in,admissions@departmentcomputerscience.ac.in,placement@departmentcomputerscience.ac.in,+91-80-717-4608,Computer Science Engineering (CSE),M.Tech,18,18,2011,Urban,Yes,Yes
1-44640216018,1-44640216018,U-0142,RAJIV GANDHI GOVERNMENT POLYTECHNIC COLLEGE (RGGPC),Active,Arunachal Pradesh,Papum Pare,Papum Pare,BEHIND DNGC VIVEK VIHAR,500217,28.230122,94.729337,Government,"Directorate of Higher and Technical Education, Itanagar",Approved,Approved,A,No,,Tier 2,http://www.rajivgandhirggpc.ac.in,info@rajivgandhirggpc.ac.in,admissions@rajivgandhirggpc.ac.in,placement@rajivgandhirggpc.ac.in,+91-80-347-2905,Electrical & Electronics Engineering (EEE),Diploma,30,120,2001,Rural,Yes,Yes
1-44640216018,1-44640216018,U-0142,RAJIV GANDHI GOVERNMENT POLYTECHNIC COLLEGE (RGGPC),Active,Arunachal Pradesh,Papum Pare,Papum Pare,BEHIND DNGC VIVEK VIHAR,500217,28.230122,94.729337,Government,"Directorate of Higher and Technical Education, Itanagar",Approved,Approved,A,No,,Tier 2,http://www.rajivgandhirggpc.ac.in,info@rajivgandhirggpc.ac.in,admissions@rajivgandhirggpc.ac.in,placement@rajivgandhirggpc.ac.in,+91-80-347-2905,Computer Science Engineering (CSE),Diploma,40,120,2001,Rural,Yes,Yes
1-44640216018,1-44640216018,U-0142,RAJIV GANDHI GOVERNMENT POLYTECHNIC COLLEGE (RGGPC),Active,Arunachal Pradesh,Papum Pare,Papum Pare,BEHIND DNGC VIVEK VIHAR,500217,28.230122,94.729337,Government,"Directorate of Higher and Technical Education, Itanagar",Approved,Approved,A,No,,Tier 2,http://www.rajivgandhirggpc.ac.in,info@rajivgandhirggpc.ac.in,admissions@rajivgandhirggpc.ac.in,placement@rajivgandhirggpc.ac.in,+91-80-347-2905,Civil Engineering,Diploma,30,120,2001,Rural,Yes,Yes
1-44640216018,1-44640216018,U-0142,RAJIV GANDHI GOVERNMENT POLYTECHNIC COLLEGE (RGGPC),Active,Arunachal Pradesh,Papum Pare,Papum Pare,BEHIND DNGC VIVEK VIHAR,500217,28.230122,94.729337,Government,"Directorate of Higher and Technical Education, Itanagar",Approved,Approved,A,No,,Tier 2,http://www.rajivgandhirggpc.ac.in,info@rajivgandhirggpc.ac.in,admissions@rajivgandhirggpc.ac.in,placement@rajivgandhirggpc.ac.in,+91-80-347-2905,Other Engineering Branches,Diploma,20,120,2001,Rural,Yes,Yes
1-44641468197,1-44641468197,U-0992,NORTH EASTERN REGIONAL INSTITUTE OF SCIENCE & TECHNOLOGY,Active,Arunachal Pradesh,Papum Pare,Papum Pare,NERIST; P.O.NIRJULI ARUNACHAL PRADESH PIN:791109,791109,28.217205,94.734011,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.northeasternregional.ac.in,info@northeasternregional.ac.in,admissions@northeasternregional.ac.in,placement@northeasternregional.ac.in,+91-80-805-5207,Civil Engineering,B.Tech,60,540,2011,Urban,Yes,No
1-44641468197,1-44641468197,U-0992,NORTH EASTERN REGIONAL INSTITUTE OF SCIENCE & TECHNOLOGY,Active,Arunachal Pradesh,Papum Pare,Papum Pare,NERIST; P.O.NIRJULI ARUNACHAL PRADESH PIN:791109,791109,28.217205,94.734011,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.northeasternregional.ac.in,info@northeasternregional.ac.in,admissions@northeasternregional.ac.in,placement@northeasternregional.ac.in,+91-80-805-5207,Computer Science Engineering (CSE),B.Tech,60,540,2011,Urban,Yes,No
1-44641468197,1-44641468197,U-0992,NORTH EASTERN REGIONAL INSTITUTE OF SCIENCE & TECHNOLOGY,Active,Arunachal Pradesh,Papum Pare,Papum Pare,NERIST; P.O.NIRJULI ARUNACHAL PRADESH PIN:791109,791109,28.217205,94.734011,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.northeasternregional.ac.in,info@northeasternregional.ac.in,admissions@northeasternregional.ac.in,placement@northeasternregional.ac.in,+91-80-805-5207,Electrical Engineering,B.Tech,60,540,2011,Urban,Yes,No
1-44641468197,1-44641468197,U-0992,NORTH EASTERN REGIONAL INSTITUTE OF SCIENCE & TECHNOLOGY,Active,Arunachal Pradesh,Papum Pare,Papum Pare,NERIST; P.O.NIRJULI ARUNACHAL PRADESH PIN:791109,791109,28.217205,94.734011,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.northeasternregional.ac.in,info@northeasternregional.ac.in,admissions@northeasternregional.ac.in,placement@northeasternregional.ac.in,+91-80-805-5207,Electronics & Communication Engineering (ECE),B.Tech,60,540,2011,Urban,Yes,No
1-44641468197,1-44641468197,U-0992,NORTH EASTERN REGIONAL INSTITUTE OF SCIENCE & TECHNOLOGY,Active,Arunachal Pradesh,Papum Pare,Papum Pare,NERIST; P.O.NIRJULI ARUNACHAL PRADESH PIN:791109,791109,28.217205,94.734011,Deemed to be University(Govt),NOT APPLICABLE,Approved,Approved,Not Accredited,No,,Tier 3,http://www.northeasternregional.ac.in,info@northeasternregional.ac.in,admissions@northeasternregional.ac.in,placement@northeasternregional.ac.in,+91-80-805-5207,Mechanical Engineering,B.Tech,60,540,2011,Urban,Yes,No
