College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638296278,1-44638296278,U-0122,SHRI SHIVAJI INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,Active,Maharashtra,Parbhani,Parbhani,VASMAT ROAD,400084,19.757681,75.706256,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B+,No,,Tier 3,http://www.shrishivajimanagement.ac.in,info@shrishivajimanagement.ac.in,admissions@shrishivajimanagement.ac.in,placement@shrishivajimanagement.ac.in,+91-80-098-0943,Civil Engineering,B.Tech,60,210,1994,Rural,Yes,Yes
1-44638296278,1-44638296278,U-0122,SHRI SHIVAJI INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,Active,Maharashtra,Parbhani,Parbhani,VASMAT ROAD,400084,19.757681,75.706256,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B+,No,,Tier 3,http://www.shrishivajimanagement.ac.in,info@shrishivajimanagement.ac.in,admissions@shrishivajimanagement.ac.in,placement@shrishivajimanagement.ac.in,+91-80-098-0943,Computer Science Engineering (CSE),B.Tech,60,210,1994,Rural,Yes,Yes
1-44638296278,1-44638296278,U-0122,SHRI SHIVAJI INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,Active,Maharashtra,Parbhani,Parbhani,VASMAT ROAD,400084,19.757681,75.706256,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B+,No,,Tier 3,http://www.shrishivajimanagement.ac.in,info@shrishivajimanagement.ac.in,admissions@shrishivajimanagement.ac.in,placement@shrishivajimanagement.ac.in,+91-80-098-0943,Electrical & Electronics Engineering (EEE),B.Tech,30,210,1994,Rural,Yes,Yes
1-44638296278,1-44638296278,U-0122,SHRI SHIVAJI INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,Active,Maharashtra,Parbhani,Parbhani,VASMAT ROAD,400084,19.757681,75.706256,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B+,No,,Tier 3,http://www.shrishivajimanagement.ac.in,info@shrishivajimanagement.ac.in,admissions@shrishivajimanagement.ac.in,placement@shrishivajimanagement.ac.in,+91-80-098-0943,Mechanical Engineering,B.Tech,60,210,1994,Rural,Yes,Yes
1-44640170834,1-44640170834,U-0767,"GOVERNMENT POLYTECHNIC, JINTUR",Active,Maharashtra,Parbhani,Parbhani,"YELDARY ROAD, JINTUR",400084,19.736192,75.728901,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.jintur.ac.in,info@jintur.ac.in,admissions@jintur.ac.in,placement@jintur.ac.in,+91-80-196-8096,Civil Engineering,Diploma,60,180,1987,Rural,Yes,No
1-44640170834,1-44640170834,U-0767,"GOVERNMENT POLYTECHNIC, JINTUR",Active,Maharashtra,Parbhani,Parbhani,"YELDARY ROAD, JINTUR",400084,19.736192,75.728901,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.jintur.ac.in,info@jintur.ac.in,admissions@jintur.ac.in,placement@jintur.ac.in,+91-80-196-8096,Mechanical Engineering,Diploma,60,180,1987,Rural,Yes,No
1-44640170834,1-44640170834,U-0767,"GOVERNMENT POLYTECHNIC, JINTUR",Active,Maharashtra,Parbhani,Parbhani,"YELDARY ROAD, JINTUR",400084,19.736192,75.728901,Government,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A+,Yes,,Tier 2,http://www.jintur.ac.in,info@jintur.ac.in,admissions@jintur.ac.in,placement@jintur.ac.in,+91-80-196-8096,Computer Science Engineering (CSE),Diploma,60,180,1987,Rural,Yes,No
1-44639495845,1-44639495845,U-0767,SHRI SHIVAJI POLYTECHNIC INSTITUTE,Active,Maharashtra,Parbhani,Parbhani,WASMAT ROAD,400084,19.762793,75.702256,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.shrishivaji.ac.in,info@shrishivaji.ac.in,admissions@shrishivaji.ac.in,placement@shrishivaji.ac.in,+91-80-312-4917,Mechanical Engineering,Diploma,120,300,2002,Urban,Yes,Yes
1-44639495845,1-44639495845,U-0767,SHRI SHIVAJI POLYTECHNIC INSTITUTE,Active,Maharashtra,Parbhani,Parbhani,WASMAT ROAD,400084,19.762793,75.702256,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.shrishivaji.ac.in,info@shrishivaji.ac.in,admissions@shrishivaji.ac.in,placement@shrishivaji.ac.in,+91-80-312-4917,Civil Engineering,Diploma,60,300,2002,Urban,Yes,Yes
1-44639495845,1-44639495845,U-0767,SHRI SHIVAJI POLYTECHNIC INSTITUTE,Active,Maharashtra,Parbhani,Parbhani,WASMAT ROAD,400084,19.762793,75.702256,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.shrishivaji.ac.in,info@shrishivaji.ac.in,admissions@shrishivaji.ac.in,placement@shrishivaji.ac.in,+91-80-312-4917,Computer Science Engineering (CSE),Diploma,60,300,2002,Urban,Yes,Yes
