College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638206604,1-44638206604,U-0339,GHATAL GOVT. POLYTECHNIC,Active,West Bengal,Paschim Medinipur,Paschim Medinipur,"GHATAL GOVT. POLYTECHNIC, KONNAGAR, P.O. : GHATAL, P.S. : GHATAL, SUB DIVN. : GHATAL, DIST. : PASCHIM MEDINIPUR,WEST BENGAL, PIN : 721212",721212,22.405824,87.338944,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.ghatalgovt.ac.in,info@ghatalgovt.ac.in,admissions@ghatalgovt.ac.in,placement@ghatalgovt.ac.in,+91-80-005-2217,Electrical Engineering,Diploma,60,180,1992,Urban,No,Yes
1-44638206604,1-44638206604,U-0339,GHATAL GOVT. POLYTECHNIC,Active,West Bengal,Paschim Medinipur,Paschim Medinipur,"GHATAL GOVT. POLYTECHNIC, KONNAGAR, P.O. : GHATAL, P.S. : GHATAL, SUB DIVN. : GHATAL, DIST. : PASCHIM MEDINIPUR,WEST BENGAL, PIN : 721212",721212,22.405824,87.338944,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.ghatalgovt.ac.in,info@ghatalgovt.ac.in,admissions@ghatalgovt.ac.in,placement@ghatalgovt.ac.in,+91-80-005-2217,Mechanical Engineering,Diploma,60,180,1992,Urban,No,Yes
1-44638206604,1-44638206604,U-0339,GHATAL GOVT. POLYTECHNIC,Active,West Bengal,Paschim Medinipur,Paschim Medinipur,"GHATAL GOVT. POLYTECHNIC, KONNAGAR, P.O. : GHATAL, P.S. : GHATAL, SUB DIVN. : GHATAL, DIST. : PASCHIM MEDINIPUR,WEST BENGAL, PIN : 721212",721212,22.405824,87.338944,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A,No,,Tier 2,http://www.ghatalgovt.ac.in,info@ghatalgovt.ac.in,admissions@ghatalgovt.ac.in,placement@ghatalgovt.ac.in,+91-80-005-2217,Civil Engineering,Diploma,60,180,1992,Urban,No,Yes
1-44638089372,1-44638089372,U-0339,SALBANI INSTITUTE OF TECHNOLOGY,Active,West Bengal,Paschim Medinipur,Paschim Medinipur,"VILL-BANKIBANDH, P.O-SAIYEDPUR, P.S-SALBONI, DIST-PASCHIM MEDINIPUR, PIN-721147, WEST BENGAL",721147,22.434788,87.312499,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.salbani.ac.in,info@salbani.ac.in,admissions@salbani.ac.in,placement@salbani.ac.in,+91-80-220-0272,Civil Engineering,Diploma,60,180,1991,Urban,Yes,Yes
1-44638089372,1-44638089372,U-0339,SALBANI INSTITUTE OF TECHNOLOGY,Active,West Bengal,Paschim Medinipur,Paschim Medinipur,"VILL-BANKIBANDH, P.O-SAIYEDPUR, P.S-SALBONI, DIST-PASCHIM MEDINIPUR, PIN-721147, WEST BENGAL",721147,22.434788,87.312499,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.salbani.ac.in,info@salbani.ac.in,admissions@salbani.ac.in,placement@salbani.ac.in,+91-80-220-0272,Mechanical Engineering,Diploma,60,180,1991,Urban,Yes,Yes
1-44638089372,1-44638089372,U-0339,SALBANI INSTITUTE OF TECHNOLOGY,Active,West Bengal,Paschim Medinipur,Paschim Medinipur,"VILL-BANKIBANDH, P.O-SAIYEDPUR, P.S-SALBONI, DIST-PASCHIM MEDINIPUR, PIN-721147, WEST BENGAL",721147,22.434788,87.312499,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.salbani.ac.in,info@salbani.ac.in,admissions@salbani.ac.in,placement@salbani.ac.in,+91-80-220-0272,Electrical Engineering,Diploma,60,180,1991,Urban,Yes,Yes
1-44638743430,1-44638743430,U-0339,MEDINIPUR SADAR GOVT. POLYTECHNIC,Active,West Bengal,Paschim Medinipur,Paschim Medinipur,"VILL. :KHASJUNGLE, P.O. :ABAS, P.S. :MIDNAPORE KOTWALI, SUB DIVN. :MIDNAPORE SADAR, DIST. : PASCHIM MEDINIPUR,WEST BENGAL, PIN :721102",721102,22.421627,87.300571,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A+,Yes,,Tier 2,http://www.medinipursadargovt.ac.in,info@medinipursadargovt.ac.in,admissions@medinipursadargovt.ac.in,placement@medinipursadargovt.ac.in,+91-80-668-0324,Civil Engineering,Diploma,60,180,2019,Urban,Yes,Yes
1-44638743430,1-44638743430,U-0339,MEDINIPUR SADAR GOVT. POLYTECHNIC,Active,West Bengal,Paschim Medinipur,Paschim Medinipur,"VILL. :KHASJUNGLE, P.O. :ABAS, P.S. :MIDNAPORE KOTWALI, SUB DIVN. :MIDNAPORE SADAR, DIST. : PASCHIM MEDINIPUR,WEST BENGAL, PIN :721102",721102,22.421627,87.300571,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A+,Yes,,Tier 2,http://www.medinipursadargovt.ac.in,info@medinipursadargovt.ac.in,admissions@medinipursadargovt.ac.in,placement@medinipursadargovt.ac.in,+91-80-668-0324,Electrical Engineering,Diploma,60,180,2019,Urban,Yes,Yes
1-44638743430,1-44638743430,U-0339,MEDINIPUR SADAR GOVT. POLYTECHNIC,Active,West Bengal,Paschim Medinipur,Paschim Medinipur,"VILL. :KHASJUNGLE, P.O. :ABAS, P.S. :MIDNAPORE KOTWALI, SUB DIVN. :MIDNAPORE SADAR, DIST. : PASCHIM MEDINIPUR,WEST BENGAL, PIN :721102",721102,22.421627,87.300571,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A+,Yes,,Tier 2,http://www.medinipursadargovt.ac.in,info@medinipursadargovt.ac.in,admissions@medinipursadargovt.ac.in,placement@medinipursadargovt.ac.in,+91-80-668-0324,Mechanical Engineering,Diploma,60,180,2019,Urban,Yes,Yes
1-44639962269,1-44639962269,U-0339,ISWAR CHANDRA VIDYASAGAR POLYTECHNIC,Active,West Bengal,Paschim Medinipur,Paschim Medinipur,"P.O- SEVAYATAN P.S- JHARGRAM DIST- PACHIM MEDINIPUR, WEST BENGAL PIN-721514",721514,22.417442,87.308726,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A+,Yes,,Tier 2,http://www.iswarchandravidyasagar.ac.in,info@iswarchandravidyasagar.ac.in,admissions@iswarchandravidyasagar.ac.in,placement@iswarchandravidyasagar.ac.in,+91-80-492-4984,Civil Engineering,Diploma,80,330,2021,Urban,Yes,Yes
