College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639531687,1-44639531687,U-0183,SMT. R.S PATEL INSTITUTE OF DIPLOMA ENGINEERING,Active,Gujarat,Patan,Patan,"SHELAVI STATION,  P.O PALASAR TAL. CHANSMA DIST. PATAN (N.G)",380077,22.262124,71.201871,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.smtrspatel.ac.in,info@smtrspatel.ac.in,admissions@smtrspatel.ac.in,placement@smtrspatel.ac.in,+91-80-982-4956,Mechanical Engineering,Diploma,90,135,2013,Rural,Yes,Yes
1-44639531687,1-44639531687,U-0183,SMT. R.S PATEL INSTITUTE OF DIPLOMA ENGINEERING,Active,Gujarat,Patan,Patan,"SHELAVI STATION,  P.O PALASAR TAL. CHANSMA DIST. PATAN (N.G)",380077,22.262124,71.201871,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.smtrspatel.ac.in,info@smtrspatel.ac.in,admissions@smtrspatel.ac.in,placement@smtrspatel.ac.in,+91-80-982-4956,Electrical Engineering,Diploma,45,135,2013,Rural,Yes,Yes
1-44640046939,1-44640046939,U-0138,HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Patan,Patan,"SUJANPUR PATIYA, MAHESANA - PALANPUR STATE HIGHWAY NO 41,",380077,22.27316,71.208069,Private-Self Financing,"GOKUL GLOBAL UNIVERSITY, SIDHPUR",Approved,Approved,B++,Yes,,Tier 3,http://www.hansaba.ac.in,info@hansaba.ac.in,admissions@hansaba.ac.in,placement@hansaba.ac.in,+91-80-445-3732,Mechanical Engineering,M.Tech,24,804,1982,Urban,Yes,Yes
1-44640046939,1-44640046939,U-0138,HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Patan,Patan,"SUJANPUR PATIYA, MAHESANA - PALANPUR STATE HIGHWAY NO 41,",380077,22.27316,71.208069,Private-Self Financing,"GOKUL GLOBAL UNIVERSITY, SIDHPUR",Approved,Approved,B++,Yes,,Tier 3,http://www.hansaba.ac.in,info@hansaba.ac.in,admissions@hansaba.ac.in,placement@hansaba.ac.in,+91-80-445-3732,Computer Science Engineering (CSE),B.Tech,60,804,1982,Urban,Yes,Yes
1-44640046939,1-44640046939,U-0138,HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Patan,Patan,"SUJANPUR PATIYA, MAHESANA - PALANPUR STATE HIGHWAY NO 41,",380077,22.27316,71.208069,Private-Self Financing,"GOKUL GLOBAL UNIVERSITY, SIDHPUR",Approved,Approved,B++,Yes,,Tier 3,http://www.hansaba.ac.in,info@hansaba.ac.in,admissions@hansaba.ac.in,placement@hansaba.ac.in,+91-80-445-3732,Mechanical Engineering,B.Tech,120,804,1982,Urban,Yes,Yes
1-44640046939,1-44640046939,U-0138,HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Patan,Patan,"SUJANPUR PATIYA, MAHESANA - PALANPUR STATE HIGHWAY NO 41,",380077,22.27316,71.208069,Private-Self Financing,"GOKUL GLOBAL UNIVERSITY, SIDHPUR",Approved,Approved,B++,Yes,,Tier 3,http://www.hansaba.ac.in,info@hansaba.ac.in,admissions@hansaba.ac.in,placement@hansaba.ac.in,+91-80-445-3732,Civil Engineering,B.Tech,120,804,1982,Urban,Yes,Yes
1-44640046939,1-44640046939,U-0138,HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Patan,Patan,"SUJANPUR PATIYA, MAHESANA - PALANPUR STATE HIGHWAY NO 41,",380077,22.27316,71.208069,Private-Self Financing,"GOKUL GLOBAL UNIVERSITY, SIDHPUR",Approved,Approved,B++,Yes,,Tier 3,http://www.hansaba.ac.in,info@hansaba.ac.in,admissions@hansaba.ac.in,placement@hansaba.ac.in,+91-80-445-3732,Electrical Engineering,B.Tech,60,804,1982,Urban,Yes,Yes
1-44640046939,1-44640046939,U-0138,HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Patan,Patan,"SUJANPUR PATIYA, MAHESANA - PALANPUR STATE HIGHWAY NO 41,",380077,22.27316,71.208069,Private-Self Financing,"GOKUL GLOBAL UNIVERSITY, SIDHPUR",Approved,Approved,B++,Yes,,Tier 3,http://www.hansaba.ac.in,info@hansaba.ac.in,admissions@hansaba.ac.in,placement@hansaba.ac.in,+91-80-445-3732,Civil Engineering,Diploma,120,804,1982,Urban,Yes,Yes
1-44640046939,1-44640046939,U-0138,HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Patan,Patan,"SUJANPUR PATIYA, MAHESANA - PALANPUR STATE HIGHWAY NO 41,",380077,22.27316,71.208069,Private-Self Financing,"GOKUL GLOBAL UNIVERSITY, SIDHPUR",Approved,Approved,B++,Yes,,Tier 3,http://www.hansaba.ac.in,info@hansaba.ac.in,admissions@hansaba.ac.in,placement@hansaba.ac.in,+91-80-445-3732,Mechanical Engineering,Diploma,120,804,1982,Urban,Yes,Yes
1-44640046939,1-44640046939,U-0138,HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Gujarat,Patan,Patan,"SUJANPUR PATIYA, MAHESANA - PALANPUR STATE HIGHWAY NO 41,",380077,22.27316,71.208069,Private-Self Financing,"GOKUL GLOBAL UNIVERSITY, SIDHPUR",Approved,Approved,B++,Yes,,Tier 3,http://www.hansaba.ac.in,info@hansaba.ac.in,admissions@hansaba.ac.in,placement@hansaba.ac.in,+91-80-445-3732,Electrical Engineering,Diploma,60,804,1982,Urban,Yes,Yes
