College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639371595,1-44639371595,U-0317,"GOVERNMENT POLYTECHNIC COLLEGE,ADOOR",Active,Kerala,Pathanamthitta,Pathanamthitta,"MANAKALA.P.O, ADOOR, PATHANAMTHITTAKERALA(STATE) PIN:691551",691551,10.847239,76.277325,Government,"Board of Technical Examination, Kerala",Approved,Approved,B,No,,Tier 3,http://www.collegeadoor.ac.in,info@collegeadoor.ac.in,admissions@collegeadoor.ac.in,placement@collegeadoor.ac.in,+91-80-702-0967,Other Engineering Branches,Diploma,60,120,2017,Rural,Yes,Yes
1-44639371595,1-44639371595,U-0317,"GOVERNMENT POLYTECHNIC COLLEGE,ADOOR",Active,Kerala,Pathanamthitta,Pathanamthitta,"MANAKALA.P.O, ADOOR, PATHANAMTHITTAKERALA(STATE) PIN:691551",691551,10.847239,76.277325,Government,"Board of Technical Examination, Kerala",Approved,Approved,B,No,,Tier 3,http://www.collegeadoor.ac.in,info@collegeadoor.ac.in,admissions@collegeadoor.ac.in,placement@collegeadoor.ac.in,+91-80-702-0967,Mechanical Engineering,Diploma,60,120,2017,Rural,Yes,Yes
1-44639459888,1-44639459888,U-0294,NSS POLYTECHNIC COLLEGE,Active,Kerala,Pathanamthitta,Pathanamthitta,MANNAM NAGAR PANDALAM KERALA,682000,10.834503,76.280931,Govt aided,Directorate of Technical Education,Approved,Approved,A+,No,,Tier 3,http://www.nss.ac.in,info@nss.ac.in,admissions@nss.ac.in,placement@nss.ac.in,+91-80-167-9038,Civil Engineering,Diploma,60,300,2002,Rural,Yes,Yes
1-44639459888,1-44639459888,U-0294,NSS POLYTECHNIC COLLEGE,Active,Kerala,Pathanamthitta,Pathanamthitta,MANNAM NAGAR PANDALAM KERALA,682000,10.834503,76.280931,Govt aided,Directorate of Technical Education,Approved,Approved,A+,No,,Tier 3,http://www.nss.ac.in,info@nss.ac.in,admissions@nss.ac.in,placement@nss.ac.in,+91-80-167-9038,Mechanical Engineering,Diploma,60,300,2002,Rural,Yes,Yes
1-44639459888,1-44639459888,U-0294,NSS POLYTECHNIC COLLEGE,Active,Kerala,Pathanamthitta,Pathanamthitta,MANNAM NAGAR PANDALAM KERALA,682000,10.834503,76.280931,Govt aided,Directorate of Technical Education,Approved,Approved,A+,No,,Tier 3,http://www.nss.ac.in,info@nss.ac.in,admissions@nss.ac.in,placement@nss.ac.in,+91-80-167-9038,Computer Science Engineering (CSE),Diploma,60,300,2002,Rural,Yes,Yes
1-44639459888,1-44639459888,U-0294,NSS POLYTECHNIC COLLEGE,Active,Kerala,Pathanamthitta,Pathanamthitta,MANNAM NAGAR PANDALAM KERALA,682000,10.834503,76.280931,Govt aided,Directorate of Technical Education,Approved,Approved,A+,No,,Tier 3,http://www.nss.ac.in,info@nss.ac.in,admissions@nss.ac.in,placement@nss.ac.in,+91-80-167-9038,Electronics & Communication Engineering (ECE),Diploma,60,300,2002,Rural,Yes,Yes
1-44639459888,1-44639459888,U-0294,NSS POLYTECHNIC COLLEGE,Active,Kerala,Pathanamthitta,Pathanamthitta,MANNAM NAGAR PANDALAM KERALA,682000,10.834503,76.280931,Govt aided,Directorate of Technical Education,Approved,Approved,A+,No,,Tier 3,http://www.nss.ac.in,info@nss.ac.in,admissions@nss.ac.in,placement@nss.ac.in,+91-80-167-9038,Electrical & Electronics Engineering (EEE),Diploma,60,300,2002,Rural,Yes,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Other Engineering Branches,M.Tech,18,738,1998,Rural,No,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Mechanical Engineering,B.Tech,60,738,1998,Rural,No,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Automobile Engineering,B.Tech,30,738,1998,Rural,No,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Electronics & Communication Engineering (ECE),B.Tech,30,738,1998,Rural,No,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Electrical & Electronics Engineering (EEE),B.Tech,30,738,1998,Rural,No,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Civil Engineering,B.Tech,30,738,1998,Rural,No,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Artificial Intelligence & Machine Learning (AI & ML),Diploma,60,738,1998,Rural,No,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Civil Engineering,Diploma,60,738,1998,Rural,No,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Information Technology (IT),Diploma,60,738,1998,Rural,No,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Mechanical Engineering,Diploma,90,738,1998,Rural,No,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Robotics,Diploma,60,738,1998,Rural,No,Yes
1-44640145632,1-44640145632,U-0672,SREE NARAYANA INSTITUTE OF TECHNOLOGY,Active,Kerala,Pathanamthitta,Pathanamthitta,"THEPPUPARA, EZHAMKULAM",682000,10.830678,76.274219,Private-Self Financing,"APJ Abdul Kalam Technological University, Kerala",Approved,Approved,B+,No,,Tier 3,http://www.sreenarayana.ac.in,info@sreenarayana.ac.in,admissions@sreenarayana.ac.in,placement@sreenarayana.ac.in,+91-80-007-4643,Data Science,B.Tech,30,738,1998,Rural,No,Yes
