College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638292338,1-44638292338,U-0733,DEPARTMENT OF COMPUTER SCIENCE,Active,Punjab,Patiala,Patiala,PUNJABI UNIVERSITY PATIALA,140265,31.138452,75.34753,Government,"Punjabi University, Patiala",Approved,Approved,A+,Yes,,Tier 2,http://www.departmentcomputerscience.ac.in,info@departmentcomputerscience.ac.in,admissions@departmentcomputerscience.ac.in,placement@departmentcomputerscience.ac.in,+91-80-476-1512,Data Science,M.Tech,30,30,1981,Urban,No,No
1-44638144044,1-44638144044,U-0733,DEPARTMENT OF MECHANICAL ENGINEERING,Active,Punjab,Patiala,Patiala,"PUNJABI UNIVERSITY, PATIALA 147002 (PUNJAB)",147002,31.161753,75.334436,Government,"Punjabi University, Patiala",Approved,Approved,A+,Yes,,Tier 2,http://www.departmentmechanical.ac.in,info@departmentmechanical.ac.in,admissions@departmentmechanical.ac.in,placement@departmentmechanical.ac.in,+91-80-453-4228,Other Engineering Branches,B.Tech,90,120,2002,Rural,No,Yes
1-44638144044,1-44638144044,U-0733,DEPARTMENT OF MECHANICAL ENGINEERING,Active,Punjab,Patiala,Patiala,"PUNJABI UNIVERSITY, PATIALA 147002 (PUNJAB)",147002,31.161753,75.334436,Government,"Punjabi University, Patiala",Approved,Approved,A+,Yes,,Tier 2,http://www.departmentmechanical.ac.in,info@departmentmechanical.ac.in,admissions@departmentmechanical.ac.in,placement@departmentmechanical.ac.in,+91-80-453-4228,Other Engineering Branches,M.Tech,30,120,2002,Rural,No,Yes
1-44638616406,1-44638616406,U-0733,DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING,Active,Punjab,Patiala,Patiala,"DEPARTMENT OF COMPUTER ENGINEERING, PUNJABI UNIVERSITY, NH-64, PATIALA RAJPURA ROAD, PATIALA",140265,31.164494,75.35848,Government,"Punjabi University, Patiala",Approved,Approved,B++,Yes,,Tier 3,http://www.departmentcomputerscience.ac.in,info@departmentcomputerscience.ac.in,admissions@departmentcomputerscience.ac.in,placement@departmentcomputerscience.ac.in,+91-80-568-4078,Computer Science Engineering (CSE),B.Tech,180,210,1982,Urban,Yes,Yes
1-44638616406,1-44638616406,U-0733,DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING,Active,Punjab,Patiala,Patiala,"DEPARTMENT OF COMPUTER ENGINEERING, PUNJABI UNIVERSITY, NH-64, PATIALA RAJPURA ROAD, PATIALA",140265,31.164494,75.35848,Government,"Punjabi University, Patiala",Approved,Approved,B++,Yes,,Tier 3,http://www.departmentcomputerscience.ac.in,info@departmentcomputerscience.ac.in,admissions@departmentcomputerscience.ac.in,placement@departmentcomputerscience.ac.in,+91-80-568-4078,Computer Science Engineering (CSE),M.Tech,30,210,1982,Urban,Yes,Yes
1-44639339471,1-44639339471,U-0739,THAPAR POLYTECHNIC COLLEGE,Active,Punjab,Patiala,Patiala,"THAPAR POLYTECHNIC COLLEGE ,THAPAR UNIVERSITY CAMPUS, PATIALA",140265,31.141296,75.345596,State Private University,"PUNJAB STATE BOARD OF TECHNICAL EDUCATION & INDUSTRIAL TRAINING, CHANDIGARH",Approved,Approved,B,Yes,,Tier 3,http://www.thapar.ac.in,info@thapar.ac.in,admissions@thapar.ac.in,placement@thapar.ac.in,+91-80-595-4204,Civil Engineering,Diploma,60,300,2014,Urban,Yes,No
1-44639339471,1-44639339471,U-0739,THAPAR POLYTECHNIC COLLEGE,Active,Punjab,Patiala,Patiala,"THAPAR POLYTECHNIC COLLEGE ,THAPAR UNIVERSITY CAMPUS, PATIALA",140265,31.141296,75.345596,State Private University,"PUNJAB STATE BOARD OF TECHNICAL EDUCATION & INDUSTRIAL TRAINING, CHANDIGARH",Approved,Approved,B,Yes,,Tier 3,http://www.thapar.ac.in,info@thapar.ac.in,admissions@thapar.ac.in,placement@thapar.ac.in,+91-80-595-4204,Electrical Engineering,Diploma,60,300,2014,Urban,Yes,No
1-44639339471,1-44639339471,U-0739,THAPAR POLYTECHNIC COLLEGE,Active,Punjab,Patiala,Patiala,"THAPAR POLYTECHNIC COLLEGE ,THAPAR UNIVERSITY CAMPUS, PATIALA",140265,31.141296,75.345596,State Private University,"PUNJAB STATE BOARD OF TECHNICAL EDUCATION & INDUSTRIAL TRAINING, CHANDIGARH",Approved,Approved,B,Yes,,Tier 3,http://www.thapar.ac.in,info@thapar.ac.in,admissions@thapar.ac.in,placement@thapar.ac.in,+91-80-595-4204,Mechanical Engineering,Diploma,60,300,2014,Urban,Yes,No
1-44639339471,1-44639339471,U-0739,THAPAR POLYTECHNIC COLLEGE,Active,Punjab,Patiala,Patiala,"THAPAR POLYTECHNIC COLLEGE ,THAPAR UNIVERSITY CAMPUS, PATIALA",140265,31.141296,75.345596,State Private University,"PUNJAB STATE BOARD OF TECHNICAL EDUCATION & INDUSTRIAL TRAINING, CHANDIGARH",Approved,Approved,B,Yes,,Tier 3,http://www.thapar.ac.in,info@thapar.ac.in,admissions@thapar.ac.in,placement@thapar.ac.in,+91-80-595-4204,Computer Science Engineering (CSE),Diploma,120,300,2014,Urban,Yes,No
1-44638846206,1-44638846206,U-0733,DEPARTMENT OF ELECTRONICS AND COMMUNICATION ENGINEERING,Active,Punjab,Patiala,Patiala,"PUNJABI UNIVERSITY, PATIALA",140265,31.155219,75.334311,Government,"Punjabi University, Patiala",Approved,Approved,B,No,,Tier 3,http://www.departmentelectronicscommunication.ac.in,info@departmentelectronicscommunication.ac.in,admissions@departmentelectronicscommunication.ac.in,placement@departmentelectronicscommunication.ac.in,+91-80-179-3747,Electronics & Communication Engineering (ECE),B.Tech,60,150,2021,Urban,Yes,Yes
