College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638379083,1-44638379083,U-0831,BAKHTIYARPUR COLLEGE OF ENGINEERING,Active,Bihar,Patna,Patna,"BAKHTIYARPUR COLLEGE OF ENGINEERING, AT- CHAMPAPUR, DEDAUR, PO+PS- BAKHTIYARPUR, DISTRICT- PATNA, PIN - 803212",803212,25.580589,85.144289,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bakhtiyarpur.ac.in,info@bakhtiyarpur.ac.in,admissions@bakhtiyarpur.ac.in,placement@bakhtiyarpur.ac.in,+91-80-272-1706,Electrical & Electronics Engineering (EEE),B.Tech,60,360,1999,Rural,Yes,Yes
1-44638379083,1-44638379083,U-0831,BAKHTIYARPUR COLLEGE OF ENGINEERING,Active,Bihar,Patna,Patna,"BAKHTIYARPUR COLLEGE OF ENGINEERING, AT- CHAMPAPUR, DEDAUR, PO+PS- BAKHTIYARPUR, DISTRICT- PATNA, PIN - 803212",803212,25.580589,85.144289,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bakhtiyarpur.ac.in,info@bakhtiyarpur.ac.in,admissions@bakhtiyarpur.ac.in,placement@bakhtiyarpur.ac.in,+91-80-272-1706,Mechanical Engineering,B.Tech,60,360,1999,Rural,Yes,Yes
1-44638379083,1-44638379083,U-0831,BAKHTIYARPUR COLLEGE OF ENGINEERING,Active,Bihar,Patna,Patna,"BAKHTIYARPUR COLLEGE OF ENGINEERING, AT- CHAMPAPUR, DEDAUR, PO+PS- BAKHTIYARPUR, DISTRICT- PATNA, PIN - 803212",803212,25.580589,85.144289,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bakhtiyarpur.ac.in,info@bakhtiyarpur.ac.in,admissions@bakhtiyarpur.ac.in,placement@bakhtiyarpur.ac.in,+91-80-272-1706,Civil Engineering,B.Tech,90,360,1999,Rural,Yes,Yes
1-44638379083,1-44638379083,U-0831,BAKHTIYARPUR COLLEGE OF ENGINEERING,Active,Bihar,Patna,Patna,"BAKHTIYARPUR COLLEGE OF ENGINEERING, AT- CHAMPAPUR, DEDAUR, PO+PS- BAKHTIYARPUR, DISTRICT- PATNA, PIN - 803212",803212,25.580589,85.144289,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bakhtiyarpur.ac.in,info@bakhtiyarpur.ac.in,admissions@bakhtiyarpur.ac.in,placement@bakhtiyarpur.ac.in,+91-80-272-1706,Computer Science Engineering (CSE),B.Tech,60,360,1999,Rural,Yes,Yes
1-44638379083,1-44638379083,U-0831,BAKHTIYARPUR COLLEGE OF ENGINEERING,Active,Bihar,Patna,Patna,"BAKHTIYARPUR COLLEGE OF ENGINEERING, AT- CHAMPAPUR, DEDAUR, PO+PS- BAKHTIYARPUR, DISTRICT- PATNA, PIN - 803212",803212,25.580589,85.144289,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bakhtiyarpur.ac.in,info@bakhtiyarpur.ac.in,admissions@bakhtiyarpur.ac.in,placement@bakhtiyarpur.ac.in,+91-80-272-1706,Other Engineering Branches,B.Tech,30,360,1999,Rural,Yes,Yes
1-44638379083,1-44638379083,U-0831,BAKHTIYARPUR COLLEGE OF ENGINEERING,Active,Bihar,Patna,Patna,"BAKHTIYARPUR COLLEGE OF ENGINEERING, AT- CHAMPAPUR, DEDAUR, PO+PS- BAKHTIYARPUR, DISTRICT- PATNA, PIN - 803212",803212,25.580589,85.144289,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,B++,Yes,,Tier 3,http://www.bakhtiyarpur.ac.in,info@bakhtiyarpur.ac.in,admissions@bakhtiyarpur.ac.in,placement@bakhtiyarpur.ac.in,+91-80-272-1706,IoT,B.Tech,60,360,1999,Rural,Yes,Yes
1-44638459278,1-44638459278,U-0698,GOVERNMENT POLYTECHNIC BHOJPUR,Active,Bihar,Patna,Patna,"GOVERNMENT POLYTECHNIC BHOJPUR ,KAKILA, JAGDISHPUR, BHOJPUR, BIHAR, PIN-802158",802158,25.600132,85.12804,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.bhojpur.ac.in,info@bhojpur.ac.in,admissions@bhojpur.ac.in,placement@bhojpur.ac.in,+91-80-091-8466,Civil Engineering,Diploma,120,360,2022,Urban,Yes,Yes
1-44638459278,1-44638459278,U-0698,GOVERNMENT POLYTECHNIC BHOJPUR,Active,Bihar,Patna,Patna,"GOVERNMENT POLYTECHNIC BHOJPUR ,KAKILA, JAGDISHPUR, BHOJPUR, BIHAR, PIN-802158",802158,25.600132,85.12804,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.bhojpur.ac.in,info@bhojpur.ac.in,admissions@bhojpur.ac.in,placement@bhojpur.ac.in,+91-80-091-8466,Mechanical Engineering,Diploma,60,360,2022,Urban,Yes,Yes
1-44638459278,1-44638459278,U-0698,GOVERNMENT POLYTECHNIC BHOJPUR,Active,Bihar,Patna,Patna,"GOVERNMENT POLYTECHNIC BHOJPUR ,KAKILA, JAGDISHPUR, BHOJPUR, BIHAR, PIN-802158",802158,25.600132,85.12804,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.bhojpur.ac.in,info@bhojpur.ac.in,admissions@bhojpur.ac.in,placement@bhojpur.ac.in,+91-80-091-8466,Electrical Engineering,Diploma,60,360,2022,Urban,Yes,Yes
1-44638459278,1-44638459278,U-0698,GOVERNMENT POLYTECHNIC BHOJPUR,Active,Bihar,Patna,Patna,"GOVERNMENT POLYTECHNIC BHOJPUR ,KAKILA, JAGDISHPUR, BHOJPUR, BIHAR, PIN-802158",802158,25.600132,85.12804,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.bhojpur.ac.in,info@bhojpur.ac.in,admissions@bhojpur.ac.in,placement@bhojpur.ac.in,+91-80-091-8466,Computer Science Engineering (CSE),Diploma,60,360,2022,Urban,Yes,Yes
1-44638459278,1-44638459278,U-0698,GOVERNMENT POLYTECHNIC BHOJPUR,Active,Bihar,Patna,Patna,"GOVERNMENT POLYTECHNIC BHOJPUR ,KAKILA, JAGDISHPUR, BHOJPUR, BIHAR, PIN-802158",802158,25.600132,85.12804,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.bhojpur.ac.in,info@bhojpur.ac.in,admissions@bhojpur.ac.in,placement@bhojpur.ac.in,+91-80-091-8466,Other Engineering Branches,Diploma,60,360,2022,Urban,Yes,Yes
1-44638461953,1-44638461953,U-0698,GOVERNMENT POLYTECHNIC JEHANABAD,Active,Bihar,Patna,Patna,"GOVERNMENT POLYTECHNIC JEHANABAD, AT - SULTANPUR, P.O.- MAKHDUMPUR,  JEHANABAD - 804405",804405,25.585262,85.129834,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.jehanabad.ac.in,info@jehanabad.ac.in,admissions@jehanabad.ac.in,placement@jehanabad.ac.in,+91-80-468-1806,Civil Engineering,Diploma,60,360,2005,Rural,Yes,Yes
1-44638461953,1-44638461953,U-0698,GOVERNMENT POLYTECHNIC JEHANABAD,Active,Bihar,Patna,Patna,"GOVERNMENT POLYTECHNIC JEHANABAD, AT - SULTANPUR, P.O.- MAKHDUMPUR,  JEHANABAD - 804405",804405,25.585262,85.129834,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.jehanabad.ac.in,info@jehanabad.ac.in,admissions@jehanabad.ac.in,placement@jehanabad.ac.in,+91-80-468-1806,Mechanical Engineering,Diploma,60,360,2005,Rural,Yes,Yes
1-44638461953,1-44638461953,U-0698,GOVERNMENT POLYTECHNIC JEHANABAD,Active,Bihar,Patna,Patna,"GOVERNMENT POLYTECHNIC JEHANABAD, AT - SULTANPUR, P.O.- MAKHDUMPUR,  JEHANABAD - 804405",804405,25.585262,85.129834,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.jehanabad.ac.in,info@jehanabad.ac.in,admissions@jehanabad.ac.in,placement@jehanabad.ac.in,+91-80-468-1806,Electrical Engineering,Diploma,120,360,2005,Rural,Yes,Yes
