College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640276256,1-44640276256,U-0650,THANTHAI ROEVER INSTITUTE OF POLYTECHNIC COLLEGE,Active,Tamil Nadu,Perambalur,Perambalur,"ELAMBALUR VILLAGE, PERAMBALUR POST & TALUK, PERAMBALUR - DISTRICT",600197,11.132408,78.66947,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.thanthairoever.ac.in,info@thanthairoever.ac.in,admissions@thanthairoever.ac.in,placement@thanthairoever.ac.in,+91-80-061-4992,Civil Engineering,Diploma,60,450,1991,Rural,Yes,Yes
1-44640276256,1-44640276256,U-0650,THANTHAI ROEVER INSTITUTE OF POLYTECHNIC COLLEGE,Active,Tamil Nadu,Perambalur,Perambalur,"ELAMBALUR VILLAGE, PERAMBALUR POST & TALUK, PERAMBALUR - DISTRICT",600197,11.132408,78.66947,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.thanthairoever.ac.in,info@thanthairoever.ac.in,admissions@thanthairoever.ac.in,placement@thanthairoever.ac.in,+91-80-061-4992,Mechanical Engineering,Diploma,120,450,1991,Rural,Yes,Yes
1-44640276256,1-44640276256,U-0650,THANTHAI ROEVER INSTITUTE OF POLYTECHNIC COLLEGE,Active,Tamil Nadu,Perambalur,Perambalur,"ELAMBALUR VILLAGE, PERAMBALUR POST & TALUK, PERAMBALUR - DISTRICT",600197,11.132408,78.66947,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.thanthairoever.ac.in,info@thanthairoever.ac.in,admissions@thanthairoever.ac.in,placement@thanthairoever.ac.in,+91-80-061-4992,Electrical & Electronics Engineering (EEE),Diploma,60,450,1991,Rural,Yes,Yes
1-44640276256,1-44640276256,U-0650,THANTHAI ROEVER INSTITUTE OF POLYTECHNIC COLLEGE,Active,Tamil Nadu,Perambalur,Perambalur,"ELAMBALUR VILLAGE, PERAMBALUR POST & TALUK, PERAMBALUR - DISTRICT",600197,11.132408,78.66947,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.thanthairoever.ac.in,info@thanthairoever.ac.in,admissions@thanthairoever.ac.in,placement@thanthairoever.ac.in,+91-80-061-4992,Electronics & Communication Engineering (ECE),Diploma,60,450,1991,Rural,Yes,Yes
1-44640276256,1-44640276256,U-0650,THANTHAI ROEVER INSTITUTE OF POLYTECHNIC COLLEGE,Active,Tamil Nadu,Perambalur,Perambalur,"ELAMBALUR VILLAGE, PERAMBALUR POST & TALUK, PERAMBALUR - DISTRICT",600197,11.132408,78.66947,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.thanthairoever.ac.in,info@thanthairoever.ac.in,admissions@thanthairoever.ac.in,placement@thanthairoever.ac.in,+91-80-061-4992,Chemical Engineering,Diploma,60,450,1991,Rural,Yes,Yes
1-44640276256,1-44640276256,U-0650,THANTHAI ROEVER INSTITUTE OF POLYTECHNIC COLLEGE,Active,Tamil Nadu,Perambalur,Perambalur,"ELAMBALUR VILLAGE, PERAMBALUR POST & TALUK, PERAMBALUR - DISTRICT",600197,11.132408,78.66947,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.thanthairoever.ac.in,info@thanthairoever.ac.in,admissions@thanthairoever.ac.in,placement@thanthairoever.ac.in,+91-80-061-4992,Automobile Engineering,Diploma,60,450,1991,Rural,Yes,Yes
1-44640276256,1-44640276256,U-0650,THANTHAI ROEVER INSTITUTE OF POLYTECHNIC COLLEGE,Active,Tamil Nadu,Perambalur,Perambalur,"ELAMBALUR VILLAGE, PERAMBALUR POST & TALUK, PERAMBALUR - DISTRICT",600197,11.132408,78.66947,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,Yes,,Tier 2,http://www.thanthairoever.ac.in,info@thanthairoever.ac.in,admissions@thanthairoever.ac.in,placement@thanthairoever.ac.in,+91-80-061-4992,Computer Science Engineering (CSE),Diploma,30,450,1991,Rural,Yes,Yes
1-44640410570,1-44640410570,U-0650,SRI RAMAKRISHNA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Perambalur,Perambalur,"SRI SARADHA NAGAR, NH 43",600197,11.107435,78.66624,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.sriramakrishna.ac.in,info@sriramakrishna.ac.in,admissions@sriramakrishna.ac.in,placement@sriramakrishna.ac.in,+91-80-014-0731,Civil Engineering,Diploma,30,360,2014,Rural,Yes,Yes
1-44640410570,1-44640410570,U-0650,SRI RAMAKRISHNA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Perambalur,Perambalur,"SRI SARADHA NAGAR, NH 43",600197,11.107435,78.66624,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.sriramakrishna.ac.in,info@sriramakrishna.ac.in,admissions@sriramakrishna.ac.in,placement@sriramakrishna.ac.in,+91-80-014-0731,Mechanical Engineering,Diploma,90,360,2014,Rural,Yes,Yes
1-44640410570,1-44640410570,U-0650,SRI RAMAKRISHNA POLYTECHNIC COLLEGE,Active,Tamil Nadu,Perambalur,Perambalur,"SRI SARADHA NAGAR, NH 43",600197,11.107435,78.66624,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,B+,No,,Tier 3,http://www.sriramakrishna.ac.in,info@sriramakrishna.ac.in,admissions@sriramakrishna.ac.in,placement@sriramakrishna.ac.in,+91-80-014-0731,Electrical & Electronics Engineering (EEE),Diploma,60,360,2014,Rural,Yes,Yes
