College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638236540,1-44638236540,U-0678,GOVERNMENT POLYTECHNIC  MUNAKOT,Active,Uttarakhand,Pithoragarh,Pithoragarh,"KAMLESHWAR, POST. BADARI BLOCK. MUNAKOT DIST. PITHORAGARH UTTARAKHAND",248071,30.083384,79.022098,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.munakot.ac.in,info@munakot.ac.in,admissions@munakot.ac.in,placement@munakot.ac.in,+91-80-534-4273,Civil Engineering,Diploma,30,30,1985,Rural,Yes,Yes
1-44638116400,1-44638116400,U-0678,GOVERNMENT POLYTECHNIC BASH BAGARH,Active,Uttarakhand,Pithoragarh,Pithoragarh,TALLA JOHAR TEHSIL- MUNSYARI DISTT- PITHORAGARH UTTARAKHAND,248071,30.085281,79.000728,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.bashbagarh.ac.in,info@bashbagarh.ac.in,admissions@bashbagarh.ac.in,placement@bashbagarh.ac.in,+91-80-613-9785,Civil Engineering,Diploma,30,90,2007,Rural,No,Yes
1-44638116400,1-44638116400,U-0678,GOVERNMENT POLYTECHNIC BASH BAGARH,Active,Uttarakhand,Pithoragarh,Pithoragarh,TALLA JOHAR TEHSIL- MUNSYARI DISTT- PITHORAGARH UTTARAKHAND,248071,30.085281,79.000728,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.bashbagarh.ac.in,info@bashbagarh.ac.in,admissions@bashbagarh.ac.in,placement@bashbagarh.ac.in,+91-80-613-9785,Computer Science Engineering (CSE),Diploma,30,90,2007,Rural,No,Yes
1-44638116400,1-44638116400,U-0678,GOVERNMENT POLYTECHNIC BASH BAGARH,Active,Uttarakhand,Pithoragarh,Pithoragarh,TALLA JOHAR TEHSIL- MUNSYARI DISTT- PITHORAGARH UTTARAKHAND,248071,30.085281,79.000728,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.bashbagarh.ac.in,info@bashbagarh.ac.in,admissions@bashbagarh.ac.in,placement@bashbagarh.ac.in,+91-80-613-9785,Mechanical Engineering,Diploma,30,90,2007,Rural,No,Yes
1-44638582938,1-44638582938,U-0678,GOVERNMENT POLYTECHNIC BERINAG,Active,Uttarakhand,Pithoragarh,Pithoragarh,"DEVI NAGAR VILLAGE - GAROUN POST OFFICE - BERINAG DISTRICT - PITHORAGARH, UTTRAKHAND 262531",262531,30.083375,79.01252,Government,Uttrakhand Board of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.berinag.ac.in,info@berinag.ac.in,admissions@berinag.ac.in,placement@berinag.ac.in,+91-80-534-0628,Civil Engineering,Diploma,30,60,1984,Urban,Yes,Yes
1-44638582938,1-44638582938,U-0678,GOVERNMENT POLYTECHNIC BERINAG,Active,Uttarakhand,Pithoragarh,Pithoragarh,"DEVI NAGAR VILLAGE - GAROUN POST OFFICE - BERINAG DISTRICT - PITHORAGARH, UTTRAKHAND 262531",262531,30.083375,79.01252,Government,Uttrakhand Board of Technical Education,Approved,Approved,A+,Yes,,Tier 2,http://www.berinag.ac.in,info@berinag.ac.in,admissions@berinag.ac.in,placement@berinag.ac.in,+91-80-534-0628,Computer Science Engineering (CSE),Diploma,30,60,1984,Urban,Yes,Yes
1-44638591388,1-44638591388,U-0678,GOVERNMENT POLYTECHNIC BARAM,Active,Uttarakhand,Pithoragarh,Pithoragarh,GOVERNMENT POLYTECHNIC BARAM,248071,30.079456,79.035867,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.baram.ac.in,info@baram.ac.in,admissions@baram.ac.in,placement@baram.ac.in,+91-80-369-6746,Electrical Engineering,Diploma,30,30,2012,Urban,Yes,Yes
1-44638942037,1-44638942037,U-0678,GOVERNMENT POLYTECHNIC BANS,Active,Uttarakhand,Pithoragarh,Pithoragarh,AMWALA GHAT ROAD BLOCK BIN PITHORAGARH,248071,30.084907,79.029127,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.bans.ac.in,info@bans.ac.in,admissions@bans.ac.in,placement@bans.ac.in,+91-80-598-3038,Civil Engineering,Diploma,30,60,2012,Urban,Yes,Yes
1-44638942037,1-44638942037,U-0678,GOVERNMENT POLYTECHNIC BANS,Active,Uttarakhand,Pithoragarh,Pithoragarh,AMWALA GHAT ROAD BLOCK BIN PITHORAGARH,248071,30.084907,79.029127,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.bans.ac.in,info@bans.ac.in,admissions@bans.ac.in,placement@bans.ac.in,+91-80-598-3038,Computer Science Engineering (CSE),Diploma,30,60,2012,Urban,Yes,Yes
1-44639707737,1-44639707737,U-0343,GOVERNMENT POLYTECHNIC KANALICHHINA,Active,Uttarakhand,Pithoragarh,Pithoragarh,G.I.C CAMPUS KANALICHHINA,248071,30.072798,79.037575,Government,"Directorate Of Technical Education, Srinagar(Garhwal)",Approved,Approved,A+,Yes,,Tier 2,http://www.kanalichhina.ac.in,info@kanalichhina.ac.in,admissions@kanalichhina.ac.in,placement@kanalichhina.ac.in,+91-80-090-4308,Electrical Engineering,Diploma,30,60,2019,Rural,Yes,No
