College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44641388626,1-44641388626,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, PRATAPGARH",Active,Rajasthan,Pratapgarh,Pratapgarh,"GOVT. POLYTECHNIC COLLEGE, DHARIAWAD ROAD, NEAR POLICE LINE, PRATAPGARH-312605",312605,27.018538,74.204865,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.pratapgarh.ac.in,info@pratapgarh.ac.in,admissions@pratapgarh.ac.in,placement@pratapgarh.ac.in,+91-80-618-1420,Electrical Engineering,Diploma,60,240,1984,Urban,Yes,Yes
1-44641388626,1-44641388626,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, PRATAPGARH",Active,Rajasthan,Pratapgarh,Pratapgarh,"GOVT. POLYTECHNIC COLLEGE, DHARIAWAD ROAD, NEAR POLICE LINE, PRATAPGARH-312605",312605,27.018538,74.204865,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.pratapgarh.ac.in,info@pratapgarh.ac.in,admissions@pratapgarh.ac.in,placement@pratapgarh.ac.in,+91-80-618-1420,Mechanical Engineering,Diploma,60,240,1984,Urban,Yes,Yes
1-44641388626,1-44641388626,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, PRATAPGARH",Active,Rajasthan,Pratapgarh,Pratapgarh,"GOVT. POLYTECHNIC COLLEGE, DHARIAWAD ROAD, NEAR POLICE LINE, PRATAPGARH-312605",312605,27.018538,74.204865,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.pratapgarh.ac.in,info@pratapgarh.ac.in,admissions@pratapgarh.ac.in,placement@pratapgarh.ac.in,+91-80-618-1420,Other Engineering Branches,Diploma,30,240,1984,Urban,Yes,Yes
1-44641388626,1-44641388626,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, PRATAPGARH",Active,Rajasthan,Pratapgarh,Pratapgarh,"GOVT. POLYTECHNIC COLLEGE, DHARIAWAD ROAD, NEAR POLICE LINE, PRATAPGARH-312605",312605,27.018538,74.204865,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.pratapgarh.ac.in,info@pratapgarh.ac.in,admissions@pratapgarh.ac.in,placement@pratapgarh.ac.in,+91-80-618-1420,Computer Science Engineering (CSE),Diploma,30,240,1984,Urban,Yes,Yes
1-44641388626,1-44641388626,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, PRATAPGARH",Active,Rajasthan,Pratapgarh,Pratapgarh,"GOVT. POLYTECHNIC COLLEGE, DHARIAWAD ROAD, NEAR POLICE LINE, PRATAPGARH-312605",312605,27.018538,74.204865,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.pratapgarh.ac.in,info@pratapgarh.ac.in,admissions@pratapgarh.ac.in,placement@pratapgarh.ac.in,+91-80-618-1420,Civil Engineering,Diploma,60,240,1984,Urban,Yes,Yes
1-44640890413,1-44640890413,U-0197,"REGIONAL INSTITUTES OF POLYTECHNIC STUDIES, PRATAPGARH",Active,Rajasthan,Pratapgarh,Pratapgarh,"VILLAGE-DHAMOTAR, DIST. PRATAPGARH, RAJASTHAN ( TEMPARORY LOCATION)",302439,27.011721,74.213284,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.regionalinstitutesstudies.ac.in,info@regionalinstitutesstudies.ac.in,admissions@regionalinstitutesstudies.ac.in,placement@regionalinstitutesstudies.ac.in,+91-80-332-2210,Civil Engineering,Diploma,60,210,2017,Rural,Yes,Yes
1-44640890413,1-44640890413,U-0197,"REGIONAL INSTITUTES OF POLYTECHNIC STUDIES, PRATAPGARH",Active,Rajasthan,Pratapgarh,Pratapgarh,"VILLAGE-DHAMOTAR, DIST. PRATAPGARH, RAJASTHAN ( TEMPARORY LOCATION)",302439,27.011721,74.213284,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.regionalinstitutesstudies.ac.in,info@regionalinstitutesstudies.ac.in,admissions@regionalinstitutesstudies.ac.in,placement@regionalinstitutesstudies.ac.in,+91-80-332-2210,Mechanical Engineering,Diploma,60,210,2017,Rural,Yes,Yes
1-44640890413,1-44640890413,U-0197,"REGIONAL INSTITUTES OF POLYTECHNIC STUDIES, PRATAPGARH",Active,Rajasthan,Pratapgarh,Pratapgarh,"VILLAGE-DHAMOTAR, DIST. PRATAPGARH, RAJASTHAN ( TEMPARORY LOCATION)",302439,27.011721,74.213284,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.regionalinstitutesstudies.ac.in,info@regionalinstitutesstudies.ac.in,admissions@regionalinstitutesstudies.ac.in,placement@regionalinstitutesstudies.ac.in,+91-80-332-2210,Electrical Engineering,Diploma,60,210,2017,Rural,Yes,Yes
1-44640890413,1-44640890413,U-0197,"REGIONAL INSTITUTES OF POLYTECHNIC STUDIES, PRATAPGARH",Active,Rajasthan,Pratapgarh,Pratapgarh,"VILLAGE-DHAMOTAR, DIST. PRATAPGARH, RAJASTHAN ( TEMPARORY LOCATION)",302439,27.011721,74.213284,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.regionalinstitutesstudies.ac.in,info@regionalinstitutesstudies.ac.in,admissions@regionalinstitutesstudies.ac.in,placement@regionalinstitutesstudies.ac.in,+91-80-332-2210,Other Engineering Branches,Diploma,30,210,2017,Rural,Yes,Yes
1-44638445554,1-44638445554,U-0449,JYOTIRADITAYA INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH,Active,Uttar Pradesh,Pratapgarh,Pratapgarh,VILLEGE DHARAULI MADHUPUR KOHANDAUR TEHSIL PATTI DISTRICT PRATAPGARH UP PIN 230401,230401,26.847265,80.95779,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.jyotiraditayamanagementresearch.ac.in,info@jyotiraditayamanagementresearch.ac.in,admissions@jyotiraditayamanagementresearch.ac.in,placement@jyotiraditayamanagementresearch.ac.in,+91-80-862-5610,Electrical Engineering,Diploma,120,300,2021,Urban,No,Yes
1-44638445554,1-44638445554,U-0449,JYOTIRADITAYA INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH,Active,Uttar Pradesh,Pratapgarh,Pratapgarh,VILLEGE DHARAULI MADHUPUR KOHANDAUR TEHSIL PATTI DISTRICT PRATAPGARH UP PIN 230401,230401,26.847265,80.95779,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.jyotiraditayamanagementresearch.ac.in,info@jyotiraditayamanagementresearch.ac.in,admissions@jyotiraditayamanagementresearch.ac.in,placement@jyotiraditayamanagementresearch.ac.in,+91-80-862-5610,Civil Engineering,Diploma,120,300,2021,Urban,No,Yes
1-44638445554,1-44638445554,U-0449,JYOTIRADITAYA INSTITUTE OF TECHNOLOGY MANAGEMENT AND RESEARCH,Active,Uttar Pradesh,Pratapgarh,Pratapgarh,VILLEGE DHARAULI MADHUPUR KOHANDAUR TEHSIL PATTI DISTRICT PRATAPGARH UP PIN 230401,230401,26.847265,80.95779,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,No,,Tier 3,http://www.jyotiraditayamanagementresearch.ac.in,info@jyotiraditayamanagementresearch.ac.in,admissions@jyotiraditayamanagementresearch.ac.in,placement@jyotiraditayamanagementresearch.ac.in,+91-80-862-5610,Mechanical Engineering,Diploma,60,300,2021,Urban,No,Yes
1-44638759547,1-44638759547,U-0449,S.V.M. TECHNICAL INSTITUTE,Active,Uttar Pradesh,Pratapgarh,Pratapgarh,"LALGANJ, PRATAPGARH",201439,26.830691,80.953266,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.svmtechnical.ac.in,info@svmtechnical.ac.in,admissions@svmtechnical.ac.in,placement@svmtechnical.ac.in,+91-80-167-4157,Civil Engineering,Diploma,60,180,2001,Urban,Yes,No
1-44638759547,1-44638759547,U-0449,S.V.M. TECHNICAL INSTITUTE,Active,Uttar Pradesh,Pratapgarh,Pratapgarh,"LALGANJ, PRATAPGARH",201439,26.830691,80.953266,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.svmtechnical.ac.in,info@svmtechnical.ac.in,admissions@svmtechnical.ac.in,placement@svmtechnical.ac.in,+91-80-167-4157,Mechanical Engineering,Diploma,60,180,2001,Urban,Yes,No
1-44638759547,1-44638759547,U-0449,S.V.M. TECHNICAL INSTITUTE,Active,Uttar Pradesh,Pratapgarh,Pratapgarh,"LALGANJ, PRATAPGARH",201439,26.830691,80.953266,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.svmtechnical.ac.in,info@svmtechnical.ac.in,admissions@svmtechnical.ac.in,placement@svmtechnical.ac.in,+91-80-167-4157,Electrical Engineering,Diploma,60,180,2001,Urban,Yes,No
