College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638381422,1-44638381422,U-0765,ACHARIYA COLLEGE OF ENGINEERING TECHNOLOGY,Active,Puducherry,Puducherry,Puducherry,"URUVAIYARU, ACHARIYAPURAM VILLIANOOR PUDUCHERRY- PUDUCHERRY- 605 110",605075,11.95392,79.817234,Private-Self Financing,"Pondicherry University, Pondicherry",Approved,Approved,A,No,,Tier 3,http://www.achariya.ac.in,info@achariya.ac.in,admissions@achariya.ac.in,placement@achariya.ac.in,+91-80-355-5897,Electrical & Electronics Engineering (EEE),B.Tech,60,480,2021,Urban,Yes,No
1-44638381422,1-44638381422,U-0765,ACHARIYA COLLEGE OF ENGINEERING TECHNOLOGY,Active,Puducherry,Puducherry,Puducherry,"URUVAIYARU, ACHARIYAPURAM VILLIANOOR PUDUCHERRY- PUDUCHERRY- 605 110",605075,11.95392,79.817234,Private-Self Financing,"Pondicherry University, Pondicherry",Approved,Approved,A,No,,Tier 3,http://www.achariya.ac.in,info@achariya.ac.in,admissions@achariya.ac.in,placement@achariya.ac.in,+91-80-355-5897,Electronics & Communication Engineering (ECE),B.Tech,60,480,2021,Urban,Yes,No
1-44638381422,1-44638381422,U-0765,ACHARIYA COLLEGE OF ENGINEERING TECHNOLOGY,Active,Puducherry,Puducherry,Puducherry,"URUVAIYARU, ACHARIYAPURAM VILLIANOOR PUDUCHERRY- PUDUCHERRY- 605 110",605075,11.95392,79.817234,Private-Self Financing,"Pondicherry University, Pondicherry",Approved,Approved,A,No,,Tier 3,http://www.achariya.ac.in,info@achariya.ac.in,admissions@achariya.ac.in,placement@achariya.ac.in,+91-80-355-5897,Computer Science Engineering (CSE),B.Tech,120,480,2021,Urban,Yes,No
1-44638381422,1-44638381422,U-0765,ACHARIYA COLLEGE OF ENGINEERING TECHNOLOGY,Active,Puducherry,Puducherry,Puducherry,"URUVAIYARU, ACHARIYAPURAM VILLIANOOR PUDUCHERRY- PUDUCHERRY- 605 110",605075,11.95392,79.817234,Private-Self Financing,"Pondicherry University, Pondicherry",Approved,Approved,A,No,,Tier 3,http://www.achariya.ac.in,info@achariya.ac.in,admissions@achariya.ac.in,placement@achariya.ac.in,+91-80-355-5897,Mechanical Engineering,B.Tech,60,480,2021,Urban,Yes,No
1-44638381422,1-44638381422,U-0765,ACHARIYA COLLEGE OF ENGINEERING TECHNOLOGY,Active,Puducherry,Puducherry,Puducherry,"URUVAIYARU, ACHARIYAPURAM VILLIANOOR PUDUCHERRY- PUDUCHERRY- 605 110",605075,11.95392,79.817234,Private-Self Financing,"Pondicherry University, Pondicherry",Approved,Approved,A,No,,Tier 3,http://www.achariya.ac.in,info@achariya.ac.in,admissions@achariya.ac.in,placement@achariya.ac.in,+91-80-355-5897,Data Science,B.Tech,60,480,2021,Urban,Yes,No
1-44638381422,1-44638381422,U-0765,ACHARIYA COLLEGE OF ENGINEERING TECHNOLOGY,Active,Puducherry,Puducherry,Puducherry,"URUVAIYARU, ACHARIYAPURAM VILLIANOOR PUDUCHERRY- PUDUCHERRY- 605 110",605075,11.95392,79.817234,Private-Self Financing,"Pondicherry University, Pondicherry",Approved,Approved,A,No,,Tier 3,http://www.achariya.ac.in,info@achariya.ac.in,admissions@achariya.ac.in,placement@achariya.ac.in,+91-80-355-5897,Robotics,B.Tech,60,480,2021,Urban,Yes,No
1-44638381422,1-44638381422,U-0765,ACHARIYA COLLEGE OF ENGINEERING TECHNOLOGY,Active,Puducherry,Puducherry,Puducherry,"URUVAIYARU, ACHARIYAPURAM VILLIANOOR PUDUCHERRY- PUDUCHERRY- 605 110",605075,11.95392,79.817234,Private-Self Financing,"Pondicherry University, Pondicherry",Approved,Approved,A,No,,Tier 3,http://www.achariya.ac.in,info@achariya.ac.in,admissions@achariya.ac.in,placement@achariya.ac.in,+91-80-355-5897,Information Technology (IT),B.Tech,60,480,2021,Urban,Yes,No
1-44638096722,1-44638096722,U-0765,ALPHA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Puducherry,Puducherry,Puducherry,KANNIAKOIL TO BAHOUR MAIN ROAD BAHOUR - 607 402,605075,11.94058,79.81222,Private-Self Financing,"Pondicherry University, Pondicherry",Approved,Approved,B+,No,,Tier 3,http://www.alpha.ac.in,info@alpha.ac.in,admissions@alpha.ac.in,placement@alpha.ac.in,+91-80-796-0985,Information Technology (IT),B.Tech,30,210,1988,Rural,Yes,No
1-44638096722,1-44638096722,U-0765,ALPHA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Puducherry,Puducherry,Puducherry,KANNIAKOIL TO BAHOUR MAIN ROAD BAHOUR - 607 402,605075,11.94058,79.81222,Private-Self Financing,"Pondicherry University, Pondicherry",Approved,Approved,B+,No,,Tier 3,http://www.alpha.ac.in,info@alpha.ac.in,admissions@alpha.ac.in,placement@alpha.ac.in,+91-80-796-0985,Computer Science Engineering (CSE),B.Tech,30,210,1988,Rural,Yes,No
1-44638096722,1-44638096722,U-0765,ALPHA COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Puducherry,Puducherry,Puducherry,KANNIAKOIL TO BAHOUR MAIN ROAD BAHOUR - 607 402,605075,11.94058,79.81222,Private-Self Financing,"Pondicherry University, Pondicherry",Approved,Approved,B+,No,,Tier 3,http://www.alpha.ac.in,info@alpha.ac.in,admissions@alpha.ac.in,placement@alpha.ac.in,+91-80-796-0985,Mechanical Engineering,B.Tech,60,210,1988,Rural,Yes,No
