College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638537816,1-44638537816,U-0920,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,Active,Maharashtra,Pune,Pune,"S.NO. 12/1/2 AND 12/2/2, NARHE, TALUKA HAVELI, DIST: PUNE",400901,18.501443,73.847604,Private-Self Financing,"University of Pune, Pune",Approved,Approved,A,No,,Tier 3,http://www.tssmsbhivarabaisawant.ac.in,info@tssmsbhivarabaisawant.ac.in,admissions@tssmsbhivarabaisawant.ac.in,placement@tssmsbhivarabaisawant.ac.in,+91-80-043-7573,Other Engineering Branches,M.Tech,72,876,2000,Urban,Yes,Yes
1-44638537816,1-44638537816,U-0920,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,Active,Maharashtra,Pune,Pune,"S.NO. 12/1/2 AND 12/2/2, NARHE, TALUKA HAVELI, DIST: PUNE",400901,18.501443,73.847604,Private-Self Financing,"University of Pune, Pune",Approved,Approved,A,No,,Tier 3,http://www.tssmsbhivarabaisawant.ac.in,info@tssmsbhivarabaisawant.ac.in,admissions@tssmsbhivarabaisawant.ac.in,placement@tssmsbhivarabaisawant.ac.in,+91-80-043-7573,Civil Engineering,B.Tech,60,876,2000,Urban,Yes,Yes
1-44638537816,1-44638537816,U-0920,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,Active,Maharashtra,Pune,Pune,"S.NO. 12/1/2 AND 12/2/2, NARHE, TALUKA HAVELI, DIST: PUNE",400901,18.501443,73.847604,Private-Self Financing,"University of Pune, Pune",Approved,Approved,A,No,,Tier 3,http://www.tssmsbhivarabaisawant.ac.in,info@tssmsbhivarabaisawant.ac.in,admissions@tssmsbhivarabaisawant.ac.in,placement@tssmsbhivarabaisawant.ac.in,+91-80-043-7573,Computer Science Engineering (CSE),B.Tech,180,876,2000,Urban,Yes,Yes
1-44638537816,1-44638537816,U-0920,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,Active,Maharashtra,Pune,Pune,"S.NO. 12/1/2 AND 12/2/2, NARHE, TALUKA HAVELI, DIST: PUNE",400901,18.501443,73.847604,Private-Self Financing,"University of Pune, Pune",Approved,Approved,A,No,,Tier 3,http://www.tssmsbhivarabaisawant.ac.in,info@tssmsbhivarabaisawant.ac.in,admissions@tssmsbhivarabaisawant.ac.in,placement@tssmsbhivarabaisawant.ac.in,+91-80-043-7573,Electronics & Communication Engineering (ECE),B.Tech,60,876,2000,Urban,Yes,Yes
1-44638537816,1-44638537816,U-0920,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,Active,Maharashtra,Pune,Pune,"S.NO. 12/1/2 AND 12/2/2, NARHE, TALUKA HAVELI, DIST: PUNE",400901,18.501443,73.847604,Private-Self Financing,"University of Pune, Pune",Approved,Approved,A,No,,Tier 3,http://www.tssmsbhivarabaisawant.ac.in,info@tssmsbhivarabaisawant.ac.in,admissions@tssmsbhivarabaisawant.ac.in,placement@tssmsbhivarabaisawant.ac.in,+91-80-043-7573,Electrical Engineering,B.Tech,60,876,2000,Urban,Yes,Yes
1-44638537816,1-44638537816,U-0920,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,Active,Maharashtra,Pune,Pune,"S.NO. 12/1/2 AND 12/2/2, NARHE, TALUKA HAVELI, DIST: PUNE",400901,18.501443,73.847604,Private-Self Financing,"University of Pune, Pune",Approved,Approved,A,No,,Tier 3,http://www.tssmsbhivarabaisawant.ac.in,info@tssmsbhivarabaisawant.ac.in,admissions@tssmsbhivarabaisawant.ac.in,placement@tssmsbhivarabaisawant.ac.in,+91-80-043-7573,Mechanical Engineering,B.Tech,60,876,2000,Urban,Yes,Yes
1-44638537816,1-44638537816,U-0920,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,Active,Maharashtra,Pune,Pune,"S.NO. 12/1/2 AND 12/2/2, NARHE, TALUKA HAVELI, DIST: PUNE",400901,18.501443,73.847604,Private-Self Financing,"University of Pune, Pune",Approved,Approved,A,No,,Tier 3,http://www.tssmsbhivarabaisawant.ac.in,info@tssmsbhivarabaisawant.ac.in,admissions@tssmsbhivarabaisawant.ac.in,placement@tssmsbhivarabaisawant.ac.in,+91-80-043-7573,Computer Science Engineering (CSE),M.Tech,24,876,2000,Urban,Yes,Yes
1-44638537816,1-44638537816,U-0920,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,Active,Maharashtra,Pune,Pune,"S.NO. 12/1/2 AND 12/2/2, NARHE, TALUKA HAVELI, DIST: PUNE",400901,18.501443,73.847604,Private-Self Financing,"University of Pune, Pune",Approved,Approved,A,No,,Tier 3,http://www.tssmsbhivarabaisawant.ac.in,info@tssmsbhivarabaisawant.ac.in,admissions@tssmsbhivarabaisawant.ac.in,placement@tssmsbhivarabaisawant.ac.in,+91-80-043-7573,Computer Science Engineering (CSE),Diploma,120,876,2000,Urban,Yes,Yes
1-44638537816,1-44638537816,U-0920,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,Active,Maharashtra,Pune,Pune,"S.NO. 12/1/2 AND 12/2/2, NARHE, TALUKA HAVELI, DIST: PUNE",400901,18.501443,73.847604,Private-Self Financing,"University of Pune, Pune",Approved,Approved,A,No,,Tier 3,http://www.tssmsbhivarabaisawant.ac.in,info@tssmsbhivarabaisawant.ac.in,admissions@tssmsbhivarabaisawant.ac.in,placement@tssmsbhivarabaisawant.ac.in,+91-80-043-7573,Civil Engineering,Diploma,60,876,2000,Urban,Yes,Yes
1-44638537816,1-44638537816,U-0920,TSSM'S BHIVARABAI SAWANT COLLEGE OF ENGINEERING AND RESEARCH,Active,Maharashtra,Pune,Pune,"S.NO. 12/1/2 AND 12/2/2, NARHE, TALUKA HAVELI, DIST: PUNE",400901,18.501443,73.847604,Private-Self Financing,"University of Pune, Pune",Approved,Approved,A,No,,Tier 3,http://www.tssmsbhivarabaisawant.ac.in,info@tssmsbhivarabaisawant.ac.in,admissions@tssmsbhivarabaisawant.ac.in,placement@tssmsbhivarabaisawant.ac.in,+91-80-043-7573,Electrical Engineering,Diploma,60,876,2000,Urban,Yes,Yes
