College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639368447,1-44639368447,U-0339,KOLAGHAT GOVERNMENT POLYTECHNIC,Active,West Bengal,Purba Medinipur,Purba Medinipur,PO. & PS.: KOLAGHAT; VILLAGE: AMALHANDA; DISTRICT: PURBA MEDINIPUR,700006,21.999601,87.890188,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B++,Yes,,Tier 3,http://www.kolaghat.ac.in,info@kolaghat.ac.in,admissions@kolaghat.ac.in,placement@kolaghat.ac.in,+91-80-297-8338,Electrical Engineering,Diploma,180,180,2019,Rural,Yes,No
1-44639531183,1-44639531183,U-0992,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY (CIPET),Active,West Bengal,Purba Medinipur,Purba Medinipur,"CITY CENTRE, P.O- DEBHOG",700006,22.026877,87.902366,Government,NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.petrochemicalscipet.ac.in,info@petrochemicalscipet.ac.in,admissions@petrochemicalscipet.ac.in,placement@petrochemicalscipet.ac.in,+91-80-441-8544,Other Engineering Branches,Diploma,150,210,2017,Rural,Yes,Yes
1-44639531183,1-44639531183,U-0992,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING AND TECHNOLOGY (CIPET),Active,West Bengal,Purba Medinipur,Purba Medinipur,"CITY CENTRE, P.O- DEBHOG",700006,22.026877,87.902366,Government,NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.petrochemicalscipet.ac.in,info@petrochemicalscipet.ac.in,admissions@petrochemicalscipet.ac.in,placement@petrochemicalscipet.ac.in,+91-80-441-8544,Other Engineering Branches,M.Tech,60,210,2017,Rural,Yes,Yes
1-44640651722,1-44640651722,U-0339,"DR. MEGHNAD SAHA INSTITUTE OF TECHNOLOGY, HALDIA",Active,West Bengal,Purba Medinipur,Purba Medinipur,"HALDIA, CITY CENTRE, P.O.: DEBHOG, P.S.: BHABANIPUR, DIST.: PURBA MEDINIPUR",700006,22.02321,87.887373,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A+,Yes,,Tier 2,http://www.drmeghnadsaha.ac.in,info@drmeghnadsaha.ac.in,admissions@drmeghnadsaha.ac.in,placement@drmeghnadsaha.ac.in,+91-80-288-0400,Chemical Engineering,Diploma,75,315,1985,Urban,Yes,No
1-44640651722,1-44640651722,U-0339,"DR. MEGHNAD SAHA INSTITUTE OF TECHNOLOGY, HALDIA",Active,West Bengal,Purba Medinipur,Purba Medinipur,"HALDIA, CITY CENTRE, P.O.: DEBHOG, P.S.: BHABANIPUR, DIST.: PURBA MEDINIPUR",700006,22.02321,87.887373,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A+,Yes,,Tier 2,http://www.drmeghnadsaha.ac.in,info@drmeghnadsaha.ac.in,admissions@drmeghnadsaha.ac.in,placement@drmeghnadsaha.ac.in,+91-80-288-0400,Civil Engineering,Diploma,60,315,1985,Urban,Yes,No
1-44640651722,1-44640651722,U-0339,"DR. MEGHNAD SAHA INSTITUTE OF TECHNOLOGY, HALDIA",Active,West Bengal,Purba Medinipur,Purba Medinipur,"HALDIA, CITY CENTRE, P.O.: DEBHOG, P.S.: BHABANIPUR, DIST.: PURBA MEDINIPUR",700006,22.02321,87.887373,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A+,Yes,,Tier 2,http://www.drmeghnadsaha.ac.in,info@drmeghnadsaha.ac.in,admissions@drmeghnadsaha.ac.in,placement@drmeghnadsaha.ac.in,+91-80-288-0400,Computer Science Engineering (CSE),Diploma,30,315,1985,Urban,Yes,No
1-44640651722,1-44640651722,U-0339,"DR. MEGHNAD SAHA INSTITUTE OF TECHNOLOGY, HALDIA",Active,West Bengal,Purba Medinipur,Purba Medinipur,"HALDIA, CITY CENTRE, P.O.: DEBHOG, P.S.: BHABANIPUR, DIST.: PURBA MEDINIPUR",700006,22.02321,87.887373,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A+,Yes,,Tier 2,http://www.drmeghnadsaha.ac.in,info@drmeghnadsaha.ac.in,admissions@drmeghnadsaha.ac.in,placement@drmeghnadsaha.ac.in,+91-80-288-0400,Electrical Engineering,Diploma,60,315,1985,Urban,Yes,No
1-44640651722,1-44640651722,U-0339,"DR. MEGHNAD SAHA INSTITUTE OF TECHNOLOGY, HALDIA",Active,West Bengal,Purba Medinipur,Purba Medinipur,"HALDIA, CITY CENTRE, P.O.: DEBHOG, P.S.: BHABANIPUR, DIST.: PURBA MEDINIPUR",700006,22.02321,87.887373,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A+,Yes,,Tier 2,http://www.drmeghnadsaha.ac.in,info@drmeghnadsaha.ac.in,admissions@drmeghnadsaha.ac.in,placement@drmeghnadsaha.ac.in,+91-80-288-0400,Other Engineering Branches,Diploma,30,315,1985,Urban,Yes,No
1-44640651722,1-44640651722,U-0339,"DR. MEGHNAD SAHA INSTITUTE OF TECHNOLOGY, HALDIA",Active,West Bengal,Purba Medinipur,Purba Medinipur,"HALDIA, CITY CENTRE, P.O.: DEBHOG, P.S.: BHABANIPUR, DIST.: PURBA MEDINIPUR",700006,22.02321,87.887373,Government,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,A+,Yes,,Tier 2,http://www.drmeghnadsaha.ac.in,info@drmeghnadsaha.ac.in,admissions@drmeghnadsaha.ac.in,placement@drmeghnadsaha.ac.in,+91-80-288-0400,Mechanical Engineering,Diploma,60,315,1985,Urban,Yes,No
1-44641336495,1-44641336495,U-0339,GLOBAL INSTITUTE OF SCIENCE & TECHNOLOGY,Active,West Bengal,Purba Medinipur,Purba Medinipur,"ICARE COMPLEX, GIST CAMPUS, P.O- HATIBERIA",700006,22.004979,87.909548,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.globalscience.ac.in,info@globalscience.ac.in,admissions@globalscience.ac.in,placement@globalscience.ac.in,+91-80-523-4334,Civil Engineering,Diploma,120,660,2010,Urban,Yes,Yes
1-44641336495,1-44641336495,U-0339,GLOBAL INSTITUTE OF SCIENCE & TECHNOLOGY,Active,West Bengal,Purba Medinipur,Purba Medinipur,"ICARE COMPLEX, GIST CAMPUS, P.O- HATIBERIA",700006,22.004979,87.909548,Private-Self Financing,"West Bengal State Council of Technical Education, Kolkata",Approved,Approved,B,No,,Tier 3,http://www.globalscience.ac.in,info@globalscience.ac.in,admissions@globalscience.ac.in,placement@globalscience.ac.in,+91-80-523-4334,Computer Science Engineering (CSE),Diploma,120,660,2010,Urban,Yes,Yes
