College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44643076657,1-44643076657,U-0871,B.A.COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Jharkhand,Purbi Singhbhum,Purbi Singhbhum,"VILLAGE : GHUTIA,  TALUK : GHATSHILA, BARAKHURSI, VIA - MAHULIA DISTRICT : EAST SINGHBHUM",834969,23.611963,85.29867,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,Yes,,Tier 3,http://www.bacollege.ac.in,info@bacollege.ac.in,admissions@bacollege.ac.in,placement@bacollege.ac.in,+91-80-912-8184,Electronics & Communication Engineering (ECE),B.Tech,27,517,2015,Urban,Yes,No
1-44643076657,1-44643076657,U-0871,B.A.COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Jharkhand,Purbi Singhbhum,Purbi Singhbhum,"VILLAGE : GHUTIA,  TALUK : GHATSHILA, BARAKHURSI, VIA - MAHULIA DISTRICT : EAST SINGHBHUM",834969,23.611963,85.29867,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,Yes,,Tier 3,http://www.bacollege.ac.in,info@bacollege.ac.in,admissions@bacollege.ac.in,placement@bacollege.ac.in,+91-80-912-8184,Computer Science Engineering (CSE),B.Tech,27,517,2015,Urban,Yes,No
1-44643076657,1-44643076657,U-0871,B.A.COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Jharkhand,Purbi Singhbhum,Purbi Singhbhum,"VILLAGE : GHUTIA,  TALUK : GHATSHILA, BARAKHURSI, VIA - MAHULIA DISTRICT : EAST SINGHBHUM",834969,23.611963,85.29867,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,Yes,,Tier 3,http://www.bacollege.ac.in,info@bacollege.ac.in,admissions@bacollege.ac.in,placement@bacollege.ac.in,+91-80-912-8184,Civil Engineering,B.Tech,27,517,2015,Urban,Yes,No
1-44643076657,1-44643076657,U-0871,B.A.COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Jharkhand,Purbi Singhbhum,Purbi Singhbhum,"VILLAGE : GHUTIA,  TALUK : GHATSHILA, BARAKHURSI, VIA - MAHULIA DISTRICT : EAST SINGHBHUM",834969,23.611963,85.29867,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,Yes,,Tier 3,http://www.bacollege.ac.in,info@bacollege.ac.in,admissions@bacollege.ac.in,placement@bacollege.ac.in,+91-80-912-8184,Electrical & Electronics Engineering (EEE),B.Tech,27,517,2015,Urban,Yes,No
1-44643076657,1-44643076657,U-0871,B.A.COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Jharkhand,Purbi Singhbhum,Purbi Singhbhum,"VILLAGE : GHUTIA,  TALUK : GHATSHILA, BARAKHURSI, VIA - MAHULIA DISTRICT : EAST SINGHBHUM",834969,23.611963,85.29867,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,Yes,,Tier 3,http://www.bacollege.ac.in,info@bacollege.ac.in,admissions@bacollege.ac.in,placement@bacollege.ac.in,+91-80-912-8184,Mechanical Engineering,B.Tech,49,517,2015,Urban,Yes,No
1-44643076657,1-44643076657,U-0871,B.A.COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Jharkhand,Purbi Singhbhum,Purbi Singhbhum,"VILLAGE : GHUTIA,  TALUK : GHATSHILA, BARAKHURSI, VIA - MAHULIA DISTRICT : EAST SINGHBHUM",834969,23.611963,85.29867,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,Yes,,Tier 3,http://www.bacollege.ac.in,info@bacollege.ac.in,admissions@bacollege.ac.in,placement@bacollege.ac.in,+91-80-912-8184,Mechanical Engineering,Diploma,60,517,2015,Urban,Yes,No
1-44643076657,1-44643076657,U-0871,B.A.COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Jharkhand,Purbi Singhbhum,Purbi Singhbhum,"VILLAGE : GHUTIA,  TALUK : GHATSHILA, BARAKHURSI, VIA - MAHULIA DISTRICT : EAST SINGHBHUM",834969,23.611963,85.29867,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,Yes,,Tier 3,http://www.bacollege.ac.in,info@bacollege.ac.in,admissions@bacollege.ac.in,placement@bacollege.ac.in,+91-80-912-8184,Electrical Engineering,Diploma,60,517,2015,Urban,Yes,No
1-44643076657,1-44643076657,U-0871,B.A.COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Jharkhand,Purbi Singhbhum,Purbi Singhbhum,"VILLAGE : GHUTIA,  TALUK : GHATSHILA, BARAKHURSI, VIA - MAHULIA DISTRICT : EAST SINGHBHUM",834969,23.611963,85.29867,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,Yes,,Tier 3,http://www.bacollege.ac.in,info@bacollege.ac.in,admissions@bacollege.ac.in,placement@bacollege.ac.in,+91-80-912-8184,Civil Engineering,Diploma,60,517,2015,Urban,Yes,No
1-44643076657,1-44643076657,U-0871,B.A.COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Jharkhand,Purbi Singhbhum,Purbi Singhbhum,"VILLAGE : GHUTIA,  TALUK : GHATSHILA, BARAKHURSI, VIA - MAHULIA DISTRICT : EAST SINGHBHUM",834969,23.611963,85.29867,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,Yes,,Tier 3,http://www.bacollege.ac.in,info@bacollege.ac.in,admissions@bacollege.ac.in,placement@bacollege.ac.in,+91-80-912-8184,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,517,2015,Urban,Yes,No
1-44643076657,1-44643076657,U-0871,B.A.COLLEGE OF ENGINEERING & TECHNOLOGY,Active,Jharkhand,Purbi Singhbhum,Purbi Singhbhum,"VILLAGE : GHUTIA,  TALUK : GHATSHILA, BARAKHURSI, VIA - MAHULIA DISTRICT : EAST SINGHBHUM",834969,23.611963,85.29867,Private-Self Financing,"JHARKHAND UNIVERSITY OF TECHNOLOGY, RANCHI",Approved,Approved,B,Yes,,Tier 3,http://www.bacollege.ac.in,info@bacollege.ac.in,admissions@bacollege.ac.in,placement@bacollege.ac.in,+91-80-912-8184,Other Engineering Branches,B.Tech,60,517,2015,Urban,Yes,No
