College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638264818,1-44638264818,U-0449,GOVERNMENT POLYTECHNIC BACHHRAWAN,Active,Uttar Pradesh,Rae Bareli,Rae Bareli,GOVINDPUR  OSAH  BACHHRAWAN    MAHARAJGAN,201526,26.845561,80.940225,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.bachhrawan.ac.in,info@bachhrawan.ac.in,admissions@bachhrawan.ac.in,placement@bachhrawan.ac.in,+91-80-791-1001,Civil Engineering,Diploma,60,180,2019,Urban,No,Yes
1-44638264818,1-44638264818,U-0449,GOVERNMENT POLYTECHNIC BACHHRAWAN,Active,Uttar Pradesh,Rae Bareli,Rae Bareli,GOVINDPUR  OSAH  BACHHRAWAN    MAHARAJGAN,201526,26.845561,80.940225,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.bachhrawan.ac.in,info@bachhrawan.ac.in,admissions@bachhrawan.ac.in,placement@bachhrawan.ac.in,+91-80-791-1001,Mechanical Engineering,Diploma,60,180,2019,Urban,No,Yes
1-44638264818,1-44638264818,U-0449,GOVERNMENT POLYTECHNIC BACHHRAWAN,Active,Uttar Pradesh,Rae Bareli,Rae Bareli,GOVINDPUR  OSAH  BACHHRAWAN    MAHARAJGAN,201526,26.845561,80.940225,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.bachhrawan.ac.in,info@bachhrawan.ac.in,admissions@bachhrawan.ac.in,placement@bachhrawan.ac.in,+91-80-791-1001,Chemical Engineering,Diploma,60,180,2019,Urban,No,Yes
1-44640242162,1-44640242162,U-0449,KANCHAN POLYTECHNIC,Active,Uttar Pradesh,Rae Bareli,Rae Bareli,"VILLAGE- MANHERU, POST- BELA KHARA, RAE BARELI",201526,26.83703,80.937345,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kanchan.ac.in,info@kanchan.ac.in,admissions@kanchan.ac.in,placement@kanchan.ac.in,+91-80-433-2615,Civil Engineering,Diploma,90,450,2005,Urban,Yes,No
1-44640242162,1-44640242162,U-0449,KANCHAN POLYTECHNIC,Active,Uttar Pradesh,Rae Bareli,Rae Bareli,"VILLAGE- MANHERU, POST- BELA KHARA, RAE BARELI",201526,26.83703,80.937345,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kanchan.ac.in,info@kanchan.ac.in,admissions@kanchan.ac.in,placement@kanchan.ac.in,+91-80-433-2615,Electrical Engineering,Diploma,90,450,2005,Urban,Yes,No
1-44640242162,1-44640242162,U-0449,KANCHAN POLYTECHNIC,Active,Uttar Pradesh,Rae Bareli,Rae Bareli,"VILLAGE- MANHERU, POST- BELA KHARA, RAE BARELI",201526,26.83703,80.937345,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kanchan.ac.in,info@kanchan.ac.in,admissions@kanchan.ac.in,placement@kanchan.ac.in,+91-80-433-2615,Mechanical Engineering,Diploma,210,450,2005,Urban,Yes,No
1-44640242162,1-44640242162,U-0449,KANCHAN POLYTECHNIC,Active,Uttar Pradesh,Rae Bareli,Rae Bareli,"VILLAGE- MANHERU, POST- BELA KHARA, RAE BARELI",201526,26.83703,80.937345,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kanchan.ac.in,info@kanchan.ac.in,admissions@kanchan.ac.in,placement@kanchan.ac.in,+91-80-433-2615,Other Engineering Branches,Diploma,30,450,2005,Urban,Yes,No
1-44640242162,1-44640242162,U-0449,KANCHAN POLYTECHNIC,Active,Uttar Pradesh,Rae Bareli,Rae Bareli,"VILLAGE- MANHERU, POST- BELA KHARA, RAE BARELI",201526,26.83703,80.937345,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,Not Accredited,No,,Tier 3,http://www.kanchan.ac.in,info@kanchan.ac.in,admissions@kanchan.ac.in,placement@kanchan.ac.in,+91-80-433-2615,Computer Science Engineering (CSE),Diploma,30,450,2005,Urban,Yes,No
1-44641533409,1-44641533409,U-0449,FEROZE GANDHI POLYTECHNIC,Active,Uttar Pradesh,Rae Bareli,Rae Bareli,RATAPUR,201526,26.83376,80.954119,Govt aided,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.ferozegandhi.ac.in,info@ferozegandhi.ac.in,admissions@ferozegandhi.ac.in,placement@ferozegandhi.ac.in,+91-80-296-1330,Other Engineering Branches,Diploma,240,480,2014,Urban,Yes,No
1-44641533409,1-44641533409,U-0449,FEROZE GANDHI POLYTECHNIC,Active,Uttar Pradesh,Rae Bareli,Rae Bareli,RATAPUR,201526,26.83376,80.954119,Govt aided,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.ferozegandhi.ac.in,info@ferozegandhi.ac.in,admissions@ferozegandhi.ac.in,placement@ferozegandhi.ac.in,+91-80-296-1330,Mechanical Engineering,Diploma,120,480,2014,Urban,Yes,No
