College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638742045,1-44638742045,U-0957,GOVERNMENT POLYTECHNIC ARKERA,Active,Karnataka,Raichur,Raichur,GOVERNMENT POLYTECHNIC ARKERA DEVADURGA RAICHUR DISTRICT,560401,15.324601,75.711993,Government,"Department of Technical Education, Bangalore",Approved,Approved,B,No,,Tier 3,http://www.arkera.ac.in,info@arkera.ac.in,admissions@arkera.ac.in,placement@arkera.ac.in,+91-80-145-0995,Computer Science Engineering (CSE),Diploma,60,240,1980,Urban,No,Yes
1-44638742045,1-44638742045,U-0957,GOVERNMENT POLYTECHNIC ARKERA,Active,Karnataka,Raichur,Raichur,GOVERNMENT POLYTECHNIC ARKERA DEVADURGA RAICHUR DISTRICT,560401,15.324601,75.711993,Government,"Department of Technical Education, Bangalore",Approved,Approved,B,No,,Tier 3,http://www.arkera.ac.in,info@arkera.ac.in,admissions@arkera.ac.in,placement@arkera.ac.in,+91-80-145-0995,Mechanical Engineering,Diploma,60,240,1980,Urban,No,Yes
1-44638742045,1-44638742045,U-0957,GOVERNMENT POLYTECHNIC ARKERA,Active,Karnataka,Raichur,Raichur,GOVERNMENT POLYTECHNIC ARKERA DEVADURGA RAICHUR DISTRICT,560401,15.324601,75.711993,Government,"Department of Technical Education, Bangalore",Approved,Approved,B,No,,Tier 3,http://www.arkera.ac.in,info@arkera.ac.in,admissions@arkera.ac.in,placement@arkera.ac.in,+91-80-145-0995,Electrical & Electronics Engineering (EEE),Diploma,60,240,1980,Urban,No,Yes
1-44638742045,1-44638742045,U-0957,GOVERNMENT POLYTECHNIC ARKERA,Active,Karnataka,Raichur,Raichur,GOVERNMENT POLYTECHNIC ARKERA DEVADURGA RAICHUR DISTRICT,560401,15.324601,75.711993,Government,"Department of Technical Education, Bangalore",Approved,Approved,B,No,,Tier 3,http://www.arkera.ac.in,info@arkera.ac.in,admissions@arkera.ac.in,placement@arkera.ac.in,+91-80-145-0995,Other Engineering Branches,Diploma,60,240,1980,Urban,No,Yes
1-44640493395,1-44640493395,U-0294,GOVT POLYTECHNIC LINGASGUR,Active,Karnataka,Raichur,Raichur,"OPP: BUS DEPOT ,MUDGAL ROAD,",560401,15.311579,75.727202,Government,Directorate of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.govtlingasgur.ac.in,info@govtlingasgur.ac.in,admissions@govtlingasgur.ac.in,placement@govtlingasgur.ac.in,+91-80-598-9333,Civil Engineering,Diploma,60,240,1980,Rural,Yes,Yes
1-44640493395,1-44640493395,U-0294,GOVT POLYTECHNIC LINGASGUR,Active,Karnataka,Raichur,Raichur,"OPP: BUS DEPOT ,MUDGAL ROAD,",560401,15.311579,75.727202,Government,Directorate of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.govtlingasgur.ac.in,info@govtlingasgur.ac.in,admissions@govtlingasgur.ac.in,placement@govtlingasgur.ac.in,+91-80-598-9333,Computer Science Engineering (CSE),Diploma,60,240,1980,Rural,Yes,Yes
1-44640493395,1-44640493395,U-0294,GOVT POLYTECHNIC LINGASGUR,Active,Karnataka,Raichur,Raichur,"OPP: BUS DEPOT ,MUDGAL ROAD,",560401,15.311579,75.727202,Government,Directorate of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.govtlingasgur.ac.in,info@govtlingasgur.ac.in,admissions@govtlingasgur.ac.in,placement@govtlingasgur.ac.in,+91-80-598-9333,Electronics & Communication Engineering (ECE),Diploma,30,240,1980,Rural,Yes,Yes
1-44640493395,1-44640493395,U-0294,GOVT POLYTECHNIC LINGASGUR,Active,Karnataka,Raichur,Raichur,"OPP: BUS DEPOT ,MUDGAL ROAD,",560401,15.311579,75.727202,Government,Directorate of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.govtlingasgur.ac.in,info@govtlingasgur.ac.in,admissions@govtlingasgur.ac.in,placement@govtlingasgur.ac.in,+91-80-598-9333,Mechanical Engineering,Diploma,60,240,1980,Rural,Yes,Yes
1-44640493395,1-44640493395,U-0294,GOVT POLYTECHNIC LINGASGUR,Active,Karnataka,Raichur,Raichur,"OPP: BUS DEPOT ,MUDGAL ROAD,",560401,15.311579,75.727202,Government,Directorate of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.govtlingasgur.ac.in,info@govtlingasgur.ac.in,admissions@govtlingasgur.ac.in,placement@govtlingasgur.ac.in,+91-80-598-9333,Automobile Engineering,Diploma,30,240,1980,Rural,Yes,Yes
1-44640702816,1-44640702816,U-0957,GOVERNMENT POLYTECHNIC,Active,Karnataka,Raichur,Raichur,NEAR MANIK PRABU TEMPLE BIJANGERA ROAD RAICHUR,560401,15.332301,75.730404,Government,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Civil Engineering,Diploma,60,300,1995,Rural,Yes,Yes
