College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638124540,1-44638124540,U-0992,BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY DEPARTMENT OF ENGINEERING AND TECHNOLOGY OFFCAMPUS,Active,Maharashtra,Raigad,Raigad,"SECORT NO 7, PLOT NO. 3A CBD BELAPUR, NAVI MUMBAI ",400080,19.757244,75.696349,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.bharatividyapeethdeemed.ac.in,info@bharatividyapeethdeemed.ac.in,admissions@bharatividyapeethdeemed.ac.in,placement@bharatividyapeethdeemed.ac.in,+91-80-079-7839,Computer Science Engineering (CSE),B.Tech,240,450,1993,Rural,Yes,Yes
1-44638124540,1-44638124540,U-0992,BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY DEPARTMENT OF ENGINEERING AND TECHNOLOGY OFFCAMPUS,Active,Maharashtra,Raigad,Raigad,"SECORT NO 7, PLOT NO. 3A CBD BELAPUR, NAVI MUMBAI ",400080,19.757244,75.696349,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.bharatividyapeethdeemed.ac.in,info@bharatividyapeethdeemed.ac.in,admissions@bharatividyapeethdeemed.ac.in,placement@bharatividyapeethdeemed.ac.in,+91-80-079-7839,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,120,450,1993,Rural,Yes,Yes
1-44638124540,1-44638124540,U-0992,BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY DEPARTMENT OF ENGINEERING AND TECHNOLOGY OFFCAMPUS,Active,Maharashtra,Raigad,Raigad,"SECORT NO 7, PLOT NO. 3A CBD BELAPUR, NAVI MUMBAI ",400080,19.757244,75.696349,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.bharatividyapeethdeemed.ac.in,info@bharatividyapeethdeemed.ac.in,admissions@bharatividyapeethdeemed.ac.in,placement@bharatividyapeethdeemed.ac.in,+91-80-079-7839,Information Technology (IT),B.Tech,60,450,1993,Rural,Yes,Yes
1-44638124540,1-44638124540,U-0992,BHARATI VIDYAPEETH DEEMED TO BE UNIVERSITY DEPARTMENT OF ENGINEERING AND TECHNOLOGY OFFCAMPUS,Active,Maharashtra,Raigad,Raigad,"SECORT NO 7, PLOT NO. 3A CBD BELAPUR, NAVI MUMBAI ",400080,19.757244,75.696349,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.bharatividyapeethdeemed.ac.in,info@bharatividyapeethdeemed.ac.in,admissions@bharatividyapeethdeemed.ac.in,placement@bharatividyapeethdeemed.ac.in,+91-80-079-7839,Electronics & Communication Engineering (ECE),B.Tech,30,450,1993,Rural,Yes,Yes
1-44638149845,1-44638149845,U-0992,"SVKM'S NMIMS SCHOOL OF BUSINESS MANAGEMENT, NAVI MUMBAI",Active,Maharashtra,Raigad,Raigad,"PLOT NO. 2, SECTOR-33, BEHIND RAMSETH THAKUR JUNIOR COLLEGE, KHARGHAR,TALUKA: PANVEL, NAVI MUMBAI",400080,19.758317,75.731662,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.svkmsnmimsschool.ac.in,info@svkmsnmimsschool.ac.in,admissions@svkmsnmimsschool.ac.in,placement@svkmsnmimsschool.ac.in,+91-80-124-7857,Computer Science Engineering (CSE),B.Tech,180,240,2017,Urban,Yes,Yes
1-44638149845,1-44638149845,U-0992,"SVKM'S NMIMS SCHOOL OF BUSINESS MANAGEMENT, NAVI MUMBAI",Active,Maharashtra,Raigad,Raigad,"PLOT NO. 2, SECTOR-33, BEHIND RAMSETH THAKUR JUNIOR COLLEGE, KHARGHAR,TALUKA: PANVEL, NAVI MUMBAI",400080,19.758317,75.731662,State Private University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.svkmsnmimsschool.ac.in,info@svkmsnmimsschool.ac.in,admissions@svkmsnmimsschool.ac.in,placement@svkmsnmimsschool.ac.in,+91-80-124-7857,Data Science,B.Tech,60,240,2017,Urban,Yes,Yes
1-44638168305,1-44638168305,U-0992,JIO INSTITUTE,Active,Maharashtra,Raigad,Raigad,"SECTOR-4, ULWE, NAVI MUMBAI, MAHARASHTRA- 410206",410206,19.733278,75.7022,Private-Self Financing,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.jio.ac.in,info@jio.ac.in,admissions@jio.ac.in,placement@jio.ac.in,+91-80-074-5781,Data Science,M.Tech,60,60,1990,Rural,Yes,Yes
1-44637305449,1-44637305449,U-0767,DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,Active,Maharashtra,Raigad,Raigad,VILLAGE MAMDAPUR POST NERAL,400080,19.756134,75.726604,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.dilkapresearchmanagement.ac.in,info@dilkapresearchmanagement.ac.in,admissions@dilkapresearchmanagement.ac.in,placement@dilkapresearchmanagement.ac.in,+91-80-033-2369,Mechanical Engineering,Diploma,30,630,2008,Urban,Yes,Yes
1-44637305449,1-44637305449,U-0767,DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,Active,Maharashtra,Raigad,Raigad,VILLAGE MAMDAPUR POST NERAL,400080,19.756134,75.726604,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.dilkapresearchmanagement.ac.in,info@dilkapresearchmanagement.ac.in,admissions@dilkapresearchmanagement.ac.in,placement@dilkapresearchmanagement.ac.in,+91-80-033-2369,Civil Engineering,Diploma,60,630,2008,Urban,Yes,Yes
1-44637305449,1-44637305449,U-0767,DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,Active,Maharashtra,Raigad,Raigad,VILLAGE MAMDAPUR POST NERAL,400080,19.756134,75.726604,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.dilkapresearchmanagement.ac.in,info@dilkapresearchmanagement.ac.in,admissions@dilkapresearchmanagement.ac.in,placement@dilkapresearchmanagement.ac.in,+91-80-033-2369,Mechanical Engineering,B.Tech,30,630,2008,Urban,Yes,Yes
1-44637305449,1-44637305449,U-0767,DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,Active,Maharashtra,Raigad,Raigad,VILLAGE MAMDAPUR POST NERAL,400080,19.756134,75.726604,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.dilkapresearchmanagement.ac.in,info@dilkapresearchmanagement.ac.in,admissions@dilkapresearchmanagement.ac.in,placement@dilkapresearchmanagement.ac.in,+91-80-033-2369,Computer Science Engineering (CSE),B.Tech,120,630,2008,Urban,Yes,Yes
1-44637305449,1-44637305449,U-0767,DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,Active,Maharashtra,Raigad,Raigad,VILLAGE MAMDAPUR POST NERAL,400080,19.756134,75.726604,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.dilkapresearchmanagement.ac.in,info@dilkapresearchmanagement.ac.in,admissions@dilkapresearchmanagement.ac.in,placement@dilkapresearchmanagement.ac.in,+91-80-033-2369,Electrical Engineering,B.Tech,60,630,2008,Urban,Yes,Yes
1-44637305449,1-44637305449,U-0767,DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,Active,Maharashtra,Raigad,Raigad,VILLAGE MAMDAPUR POST NERAL,400080,19.756134,75.726604,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.dilkapresearchmanagement.ac.in,info@dilkapresearchmanagement.ac.in,admissions@dilkapresearchmanagement.ac.in,placement@dilkapresearchmanagement.ac.in,+91-80-033-2369,Civil Engineering,B.Tech,60,630,2008,Urban,Yes,Yes
1-44637305449,1-44637305449,U-0767,DILKAP RESEARCH INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,Active,Maharashtra,Raigad,Raigad,VILLAGE MAMDAPUR POST NERAL,400080,19.756134,75.726604,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.dilkapresearchmanagement.ac.in,info@dilkapresearchmanagement.ac.in,admissions@dilkapresearchmanagement.ac.in,placement@dilkapresearchmanagement.ac.in,+91-80-033-2369,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,630,2008,Urban,Yes,Yes
