College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638084776,1-44638084776,U-0992,SCHOOL OF ENGINEERING OP JINDAL UNIVERSITY,Active,Chhattisgarh,Raigarh,Raigarh,"OP JINDAL UNIVERSITY, OP JINDAL KNOWLEDGE PARK, PUNJIPATHRA, RAIGARH-496109 (C.G.)",496109,21.266867,81.850492,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.schoolopjindal.ac.in,info@schoolopjindal.ac.in,admissions@schoolopjindal.ac.in,placement@schoolopjindal.ac.in,+91-80-342-5308,Civil Engineering,B.Tech,30,522,1999,Urban,Yes,Yes
1-44638084776,1-44638084776,U-0992,SCHOOL OF ENGINEERING OP JINDAL UNIVERSITY,Active,Chhattisgarh,Raigarh,Raigarh,"OP JINDAL UNIVERSITY, OP JINDAL KNOWLEDGE PARK, PUNJIPATHRA, RAIGARH-496109 (C.G.)",496109,21.266867,81.850492,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.schoolopjindal.ac.in,info@schoolopjindal.ac.in,admissions@schoolopjindal.ac.in,placement@schoolopjindal.ac.in,+91-80-342-5308,Computer Science Engineering (CSE),B.Tech,120,522,1999,Urban,Yes,Yes
1-44638084776,1-44638084776,U-0992,SCHOOL OF ENGINEERING OP JINDAL UNIVERSITY,Active,Chhattisgarh,Raigarh,Raigarh,"OP JINDAL UNIVERSITY, OP JINDAL KNOWLEDGE PARK, PUNJIPATHRA, RAIGARH-496109 (C.G.)",496109,21.266867,81.850492,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.schoolopjindal.ac.in,info@schoolopjindal.ac.in,admissions@schoolopjindal.ac.in,placement@schoolopjindal.ac.in,+91-80-342-5308,Electrical Engineering,B.Tech,60,522,1999,Urban,Yes,Yes
1-44638084776,1-44638084776,U-0992,SCHOOL OF ENGINEERING OP JINDAL UNIVERSITY,Active,Chhattisgarh,Raigarh,Raigarh,"OP JINDAL UNIVERSITY, OP JINDAL KNOWLEDGE PARK, PUNJIPATHRA, RAIGARH-496109 (C.G.)",496109,21.266867,81.850492,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.schoolopjindal.ac.in,info@schoolopjindal.ac.in,admissions@schoolopjindal.ac.in,placement@schoolopjindal.ac.in,+91-80-342-5308,Mechanical Engineering,B.Tech,60,522,1999,Urban,Yes,Yes
1-44638084776,1-44638084776,U-0992,SCHOOL OF ENGINEERING OP JINDAL UNIVERSITY,Active,Chhattisgarh,Raigarh,Raigarh,"OP JINDAL UNIVERSITY, OP JINDAL KNOWLEDGE PARK, PUNJIPATHRA, RAIGARH-496109 (C.G.)",496109,21.266867,81.850492,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.schoolopjindal.ac.in,info@schoolopjindal.ac.in,admissions@schoolopjindal.ac.in,placement@schoolopjindal.ac.in,+91-80-342-5308,Other Engineering Branches,B.Tech,60,522,1999,Urban,Yes,Yes
1-44638084776,1-44638084776,U-0992,SCHOOL OF ENGINEERING OP JINDAL UNIVERSITY,Active,Chhattisgarh,Raigarh,Raigarh,"OP JINDAL UNIVERSITY, OP JINDAL KNOWLEDGE PARK, PUNJIPATHRA, RAIGARH-496109 (C.G.)",496109,21.266867,81.850492,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.schoolopjindal.ac.in,info@schoolopjindal.ac.in,admissions@schoolopjindal.ac.in,placement@schoolopjindal.ac.in,+91-80-342-5308,Other Engineering Branches,M.Tech,114,522,1999,Urban,Yes,Yes
1-44638084776,1-44638084776,U-0992,SCHOOL OF ENGINEERING OP JINDAL UNIVERSITY,Active,Chhattisgarh,Raigarh,Raigarh,"OP JINDAL UNIVERSITY, OP JINDAL KNOWLEDGE PARK, PUNJIPATHRA, RAIGARH-496109 (C.G.)",496109,21.266867,81.850492,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.schoolopjindal.ac.in,info@schoolopjindal.ac.in,admissions@schoolopjindal.ac.in,placement@schoolopjindal.ac.in,+91-80-342-5308,Computer Science Engineering (CSE),M.Tech,18,522,1999,Urban,Yes,Yes
1-44638084776,1-44638084776,U-0992,SCHOOL OF ENGINEERING OP JINDAL UNIVERSITY,Active,Chhattisgarh,Raigarh,Raigarh,"OP JINDAL UNIVERSITY, OP JINDAL KNOWLEDGE PARK, PUNJIPATHRA, RAIGARH-496109 (C.G.)",496109,21.266867,81.850492,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.schoolopjindal.ac.in,info@schoolopjindal.ac.in,admissions@schoolopjindal.ac.in,placement@schoolopjindal.ac.in,+91-80-342-5308,Robotics,M.Tech,30,522,1999,Urban,Yes,Yes
1-44638084776,1-44638084776,U-0992,SCHOOL OF ENGINEERING OP JINDAL UNIVERSITY,Active,Chhattisgarh,Raigarh,Raigarh,"OP JINDAL UNIVERSITY, OP JINDAL KNOWLEDGE PARK, PUNJIPATHRA, RAIGARH-496109 (C.G.)",496109,21.266867,81.850492,State Private University,NOT APPLICABLE,Approved,Approved,B++,Yes,,Tier 3,http://www.schoolopjindal.ac.in,info@schoolopjindal.ac.in,admissions@schoolopjindal.ac.in,placement@schoolopjindal.ac.in,+91-80-342-5308,Mining Engineering,B.Tech,30,522,1999,Urban,Yes,Yes
1-44640812685,1-44640812685,U-0329,CHHATTISGARH INSTITUTE OF TECHNOLOGY RAIGARH,Active,Chhattisgarh,Raigarh,Raigarh,CHAKRADHARNAGAR RAIGARH,492570,21.264933,81.865163,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,B++,Yes,,Tier 3,http://www.chhattisgarhraigarh.ac.in,info@chhattisgarhraigarh.ac.in,admissions@chhattisgarhraigarh.ac.in,placement@chhattisgarhraigarh.ac.in,+91-80-261-4394,Civil Engineering,Diploma,80,620,2016,Rural,Yes,Yes
