College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638149344,1-44638149344,U-0837,KALINGA INSTITUTE OF TECHNOLOGY,Active,Chhattisgarh,Raipur,Raipur,"VILL- KOTNI, NEAR MANTRALAYA, NAYA RAIPUR",492411,21.264341,81.638039,Private-Self Financing,"KALINGA UNIVERSITY, RAIPUR",Approved,Approved,A+,No,,Tier 3,http://www.kalinga.ac.in,info@kalinga.ac.in,admissions@kalinga.ac.in,placement@kalinga.ac.in,+91-80-381-6246,Civil Engineering,Diploma,54,270,1999,Rural,Yes,Yes
1-44638149344,1-44638149344,U-0837,KALINGA INSTITUTE OF TECHNOLOGY,Active,Chhattisgarh,Raipur,Raipur,"VILL- KOTNI, NEAR MANTRALAYA, NAYA RAIPUR",492411,21.264341,81.638039,Private-Self Financing,"KALINGA UNIVERSITY, RAIPUR",Approved,Approved,A+,No,,Tier 3,http://www.kalinga.ac.in,info@kalinga.ac.in,admissions@kalinga.ac.in,placement@kalinga.ac.in,+91-80-381-6246,Mechanical Engineering,Diploma,54,270,1999,Rural,Yes,Yes
1-44638149344,1-44638149344,U-0837,KALINGA INSTITUTE OF TECHNOLOGY,Active,Chhattisgarh,Raipur,Raipur,"VILL- KOTNI, NEAR MANTRALAYA, NAYA RAIPUR",492411,21.264341,81.638039,Private-Self Financing,"KALINGA UNIVERSITY, RAIPUR",Approved,Approved,A+,No,,Tier 3,http://www.kalinga.ac.in,info@kalinga.ac.in,admissions@kalinga.ac.in,placement@kalinga.ac.in,+91-80-381-6246,Computer Science Engineering (CSE),Diploma,54,270,1999,Rural,Yes,Yes
1-44638149344,1-44638149344,U-0837,KALINGA INSTITUTE OF TECHNOLOGY,Active,Chhattisgarh,Raipur,Raipur,"VILL- KOTNI, NEAR MANTRALAYA, NAYA RAIPUR",492411,21.264341,81.638039,Private-Self Financing,"KALINGA UNIVERSITY, RAIPUR",Approved,Approved,A+,No,,Tier 3,http://www.kalinga.ac.in,info@kalinga.ac.in,admissions@kalinga.ac.in,placement@kalinga.ac.in,+91-80-381-6246,Electrical Engineering,Diploma,54,270,1999,Rural,Yes,Yes
1-44638149344,1-44638149344,U-0837,KALINGA INSTITUTE OF TECHNOLOGY,Active,Chhattisgarh,Raipur,Raipur,"VILL- KOTNI, NEAR MANTRALAYA, NAYA RAIPUR",492411,21.264341,81.638039,Private-Self Financing,"KALINGA UNIVERSITY, RAIPUR",Approved,Approved,A+,No,,Tier 3,http://www.kalinga.ac.in,info@kalinga.ac.in,admissions@kalinga.ac.in,placement@kalinga.ac.in,+91-80-381-6246,Mining Engineering,Diploma,54,270,1999,Rural,Yes,Yes
1-44638749669,1-44638749669,U-0329,CENTRAL INSTITUTE OF PETROCHEMICALS ENGINEERING & TECHNOLOGY (CIPET),Active,Chhattisgarh,Raipur,Raipur,"INDUSTRIAL AREA BHANPURI,BHANPURI",492411,21.24448,81.611474,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,B,No,,Tier 3,http://www.petrochemicalscipet.ac.in,info@petrochemicalscipet.ac.in,admissions@petrochemicalscipet.ac.in,placement@petrochemicalscipet.ac.in,+91-80-548-6091,Other Engineering Branches,B.Tech,60,60,1986,Urban,Yes,No
1-44637287570,1-44637287570,U-0992,DR. SHYAMA PRASAD MUKHERJEE INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY,Active,Chhattisgarh,Raipur,Raipur,"PLOT NO. 7, SECTOR 24, NEAR PURKHOTI MUKTANGAN , ATAL NAGAR Ã¢â¬â 493661 CHHATTISGARH",493661,21.267773,81.64609,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.drshyamaprasad.ac.in,info@drshyamaprasad.ac.in,admissions@drshyamaprasad.ac.in,placement@drshyamaprasad.ac.in,+91-80-525-5785,Computer Science Engineering (CSE),B.Tech,90,310,2006,Urban,Yes,Yes
1-44637287570,1-44637287570,U-0992,DR. SHYAMA PRASAD MUKHERJEE INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY,Active,Chhattisgarh,Raipur,Raipur,"PLOT NO. 7, SECTOR 24, NEAR PURKHOTI MUKTANGAN , ATAL NAGAR Ã¢â¬â 493661 CHHATTISGARH",493661,21.267773,81.64609,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.drshyamaprasad.ac.in,info@drshyamaprasad.ac.in,admissions@drshyamaprasad.ac.in,placement@drshyamaprasad.ac.in,+91-80-525-5785,Electronics & Communication Engineering (ECE),B.Tech,90,310,2006,Urban,Yes,Yes
1-44637287570,1-44637287570,U-0992,DR. SHYAMA PRASAD MUKHERJEE INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY,Active,Chhattisgarh,Raipur,Raipur,"PLOT NO. 7, SECTOR 24, NEAR PURKHOTI MUKTANGAN , ATAL NAGAR Ã¢â¬â 493661 CHHATTISGARH",493661,21.267773,81.64609,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.drshyamaprasad.ac.in,info@drshyamaprasad.ac.in,admissions@drshyamaprasad.ac.in,placement@drshyamaprasad.ac.in,+91-80-525-5785,Data Science,B.Tech,90,310,2006,Urban,Yes,Yes
1-44637287570,1-44637287570,U-0992,DR. SHYAMA PRASAD MUKHERJEE INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY,Active,Chhattisgarh,Raipur,Raipur,"PLOT NO. 7, SECTOR 24, NEAR PURKHOTI MUKTANGAN , ATAL NAGAR Ã¢â¬â 493661 CHHATTISGARH",493661,21.267773,81.64609,State Government University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.drshyamaprasad.ac.in,info@drshyamaprasad.ac.in,admissions@drshyamaprasad.ac.in,placement@drshyamaprasad.ac.in,+91-80-525-5785,Computer Science Engineering (CSE),M.Tech,20,310,2006,Urban,Yes,Yes
