College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638835077,1-44638835077,U-0183,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Rajkot,Rajkot,"AT VILLAGE MAVDI, NEAR GOVERNMENT ENGINEERING COLLEGE, KALAWAD ROAD, RAJKOT",380586,22.30831,70.798931,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrilabhubhaitrivedi.ac.in,info@shrilabhubhaitrivedi.ac.in,admissions@shrilabhubhaitrivedi.ac.in,placement@shrilabhubhaitrivedi.ac.in,+91-80-023-8059,Civil Engineering,B.Tech,90,540,1985,Urban,No,Yes
1-44638835077,1-44638835077,U-0183,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Rajkot,Rajkot,"AT VILLAGE MAVDI, NEAR GOVERNMENT ENGINEERING COLLEGE, KALAWAD ROAD, RAJKOT",380586,22.30831,70.798931,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrilabhubhaitrivedi.ac.in,info@shrilabhubhaitrivedi.ac.in,admissions@shrilabhubhaitrivedi.ac.in,placement@shrilabhubhaitrivedi.ac.in,+91-80-023-8059,Computer Science Engineering (CSE),B.Tech,60,540,1985,Urban,No,Yes
1-44638835077,1-44638835077,U-0183,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Rajkot,Rajkot,"AT VILLAGE MAVDI, NEAR GOVERNMENT ENGINEERING COLLEGE, KALAWAD ROAD, RAJKOT",380586,22.30831,70.798931,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrilabhubhaitrivedi.ac.in,info@shrilabhubhaitrivedi.ac.in,admissions@shrilabhubhaitrivedi.ac.in,placement@shrilabhubhaitrivedi.ac.in,+91-80-023-8059,Mechanical Engineering,B.Tech,60,540,1985,Urban,No,Yes
1-44638835077,1-44638835077,U-0183,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Rajkot,Rajkot,"AT VILLAGE MAVDI, NEAR GOVERNMENT ENGINEERING COLLEGE, KALAWAD ROAD, RAJKOT",380586,22.30831,70.798931,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrilabhubhaitrivedi.ac.in,info@shrilabhubhaitrivedi.ac.in,admissions@shrilabhubhaitrivedi.ac.in,placement@shrilabhubhaitrivedi.ac.in,+91-80-023-8059,Electrical Engineering,B.Tech,60,540,1985,Urban,No,Yes
1-44638835077,1-44638835077,U-0183,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Rajkot,Rajkot,"AT VILLAGE MAVDI, NEAR GOVERNMENT ENGINEERING COLLEGE, KALAWAD ROAD, RAJKOT",380586,22.30831,70.798931,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrilabhubhaitrivedi.ac.in,info@shrilabhubhaitrivedi.ac.in,admissions@shrilabhubhaitrivedi.ac.in,placement@shrilabhubhaitrivedi.ac.in,+91-80-023-8059,Mechanical Engineering,Diploma,60,540,1985,Urban,No,Yes
1-44638835077,1-44638835077,U-0183,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Rajkot,Rajkot,"AT VILLAGE MAVDI, NEAR GOVERNMENT ENGINEERING COLLEGE, KALAWAD ROAD, RAJKOT",380586,22.30831,70.798931,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrilabhubhaitrivedi.ac.in,info@shrilabhubhaitrivedi.ac.in,admissions@shrilabhubhaitrivedi.ac.in,placement@shrilabhubhaitrivedi.ac.in,+91-80-023-8059,Civil Engineering,Diploma,60,540,1985,Urban,No,Yes
1-44638835077,1-44638835077,U-0183,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Rajkot,Rajkot,"AT VILLAGE MAVDI, NEAR GOVERNMENT ENGINEERING COLLEGE, KALAWAD ROAD, RAJKOT",380586,22.30831,70.798931,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrilabhubhaitrivedi.ac.in,info@shrilabhubhaitrivedi.ac.in,admissions@shrilabhubhaitrivedi.ac.in,placement@shrilabhubhaitrivedi.ac.in,+91-80-023-8059,Electrical Engineering,Diploma,30,540,1985,Urban,No,Yes
1-44638835077,1-44638835077,U-0183,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Rajkot,Rajkot,"AT VILLAGE MAVDI, NEAR GOVERNMENT ENGINEERING COLLEGE, KALAWAD ROAD, RAJKOT",380586,22.30831,70.798931,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrilabhubhaitrivedi.ac.in,info@shrilabhubhaitrivedi.ac.in,admissions@shrilabhubhaitrivedi.ac.in,placement@shrilabhubhaitrivedi.ac.in,+91-80-023-8059,Data Science,B.Tech,30,540,1985,Urban,No,Yes
1-44638835077,1-44638835077,U-0183,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Rajkot,Rajkot,"AT VILLAGE MAVDI, NEAR GOVERNMENT ENGINEERING COLLEGE, KALAWAD ROAD, RAJKOT",380586,22.30831,70.798931,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrilabhubhaitrivedi.ac.in,info@shrilabhubhaitrivedi.ac.in,admissions@shrilabhubhaitrivedi.ac.in,placement@shrilabhubhaitrivedi.ac.in,+91-80-023-8059,Other Engineering Branches,B.Tech,30,540,1985,Urban,No,Yes
1-44638835077,1-44638835077,U-0183,SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,Active,Gujarat,Rajkot,Rajkot,"AT VILLAGE MAVDI, NEAR GOVERNMENT ENGINEERING COLLEGE, KALAWAD ROAD, RAJKOT",380586,22.30831,70.798931,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A,No,,Tier 3,http://www.shrilabhubhaitrivedi.ac.in,info@shrilabhubhaitrivedi.ac.in,admissions@shrilabhubhaitrivedi.ac.in,placement@shrilabhubhaitrivedi.ac.in,+91-80-023-8059,Computer Science Engineering (CSE),Diploma,60,540,1985,Urban,No,Yes
