College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638432276,1-44638432276,U-0449,"MMIT, KANPUR DEHAT",Active,Uttar Pradesh,Ramabai Nagar (Kanpur Dehat),Ramabai Nagar (Kanpur Dehat),"MATI, AKBARPUR",201401,26.832056,80.944381,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.mmitkanpurdehat.ac.in,info@mmitkanpurdehat.ac.in,admissions@mmitkanpurdehat.ac.in,placement@mmitkanpurdehat.ac.in,+91-80-224-6516,Civil Engineering,Diploma,60,120,2012,Rural,Yes,Yes
1-44638432276,1-44638432276,U-0449,"MMIT, KANPUR DEHAT",Active,Uttar Pradesh,Ramabai Nagar (Kanpur Dehat),Ramabai Nagar (Kanpur Dehat),"MATI, AKBARPUR",201401,26.832056,80.944381,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.mmitkanpurdehat.ac.in,info@mmitkanpurdehat.ac.in,admissions@mmitkanpurdehat.ac.in,placement@mmitkanpurdehat.ac.in,+91-80-224-6516,Mechanical Engineering,Diploma,60,120,2012,Rural,Yes,Yes
1-44638845753,1-44638845753,U-0449,ASIAN INSTITUTE OF RURAL TECHNOLOGY,Active,Uttar Pradesh,Ramabai Nagar (Kanpur Dehat),Ramabai Nagar (Kanpur Dehat),"VILLAGE-SEKHUPUR,POST-BAGHPUR,KANPUR DEHAT",201401,26.845879,80.934563,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.asianrural.ac.in,info@asianrural.ac.in,admissions@asianrural.ac.in,placement@asianrural.ac.in,+91-80-804-4085,Mechanical Engineering,Diploma,60,180,2008,Urban,Yes,Yes
1-44638845753,1-44638845753,U-0449,ASIAN INSTITUTE OF RURAL TECHNOLOGY,Active,Uttar Pradesh,Ramabai Nagar (Kanpur Dehat),Ramabai Nagar (Kanpur Dehat),"VILLAGE-SEKHUPUR,POST-BAGHPUR,KANPUR DEHAT",201401,26.845879,80.934563,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.asianrural.ac.in,info@asianrural.ac.in,admissions@asianrural.ac.in,placement@asianrural.ac.in,+91-80-804-4085,Civil Engineering,Diploma,60,180,2008,Urban,Yes,Yes
1-44638845753,1-44638845753,U-0449,ASIAN INSTITUTE OF RURAL TECHNOLOGY,Active,Uttar Pradesh,Ramabai Nagar (Kanpur Dehat),Ramabai Nagar (Kanpur Dehat),"VILLAGE-SEKHUPUR,POST-BAGHPUR,KANPUR DEHAT",201401,26.845879,80.934563,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.asianrural.ac.in,info@asianrural.ac.in,admissions@asianrural.ac.in,placement@asianrural.ac.in,+91-80-804-4085,Electrical Engineering,Diploma,60,180,2008,Urban,Yes,Yes
1-44639381970,1-44639381970,U-0449,"GOVT. POLYTECHNIC SIKANDRA,KANPUR DEHAT",Active,Uttar Pradesh,Ramabai Nagar (Kanpur Dehat),Ramabai Nagar (Kanpur Dehat),"VILLAGE- SIKANDRA, KANPUR DEHAT",201401,26.82801,80.960587,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.govtsikandrakanpurdehat.ac.in,info@govtsikandrakanpurdehat.ac.in,admissions@govtsikandrakanpurdehat.ac.in,placement@govtsikandrakanpurdehat.ac.in,+91-80-054-9596,Mechanical Engineering,Diploma,60,180,1985,Rural,Yes,Yes
1-44639381970,1-44639381970,U-0449,"GOVT. POLYTECHNIC SIKANDRA,KANPUR DEHAT",Active,Uttar Pradesh,Ramabai Nagar (Kanpur Dehat),Ramabai Nagar (Kanpur Dehat),"VILLAGE- SIKANDRA, KANPUR DEHAT",201401,26.82801,80.960587,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.govtsikandrakanpurdehat.ac.in,info@govtsikandrakanpurdehat.ac.in,admissions@govtsikandrakanpurdehat.ac.in,placement@govtsikandrakanpurdehat.ac.in,+91-80-054-9596,Civil Engineering,Diploma,60,180,1985,Rural,Yes,Yes
1-44639381970,1-44639381970,U-0449,"GOVT. POLYTECHNIC SIKANDRA,KANPUR DEHAT",Active,Uttar Pradesh,Ramabai Nagar (Kanpur Dehat),Ramabai Nagar (Kanpur Dehat),"VILLAGE- SIKANDRA, KANPUR DEHAT",201401,26.82801,80.960587,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.govtsikandrakanpurdehat.ac.in,info@govtsikandrakanpurdehat.ac.in,admissions@govtsikandrakanpurdehat.ac.in,placement@govtsikandrakanpurdehat.ac.in,+91-80-054-9596,Computer Science Engineering (CSE),Diploma,60,180,1985,Rural,Yes,Yes
1-44640339335,1-44640339335,U-0449,SHAHEED VIRENDRA SINGH SIROHI INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ramabai Nagar (Kanpur Dehat),Ramabai Nagar (Kanpur Dehat),"VILLAGE-SUJGAWAN, POST-RURGAON,",201401,26.856726,80.960898,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.shaheedvirendrasingh.ac.in,info@shaheedvirendrasingh.ac.in,admissions@shaheedvirendrasingh.ac.in,placement@shaheedvirendrasingh.ac.in,+91-80-259-3886,Civil Engineering,Diploma,90,315,2001,Urban,Yes,Yes
1-44640339335,1-44640339335,U-0449,SHAHEED VIRENDRA SINGH SIROHI INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Ramabai Nagar (Kanpur Dehat),Ramabai Nagar (Kanpur Dehat),"VILLAGE-SUJGAWAN, POST-RURGAON,",201401,26.856726,80.960898,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.shaheedvirendrasingh.ac.in,info@shaheedvirendrasingh.ac.in,admissions@shaheedvirendrasingh.ac.in,placement@shaheedvirendrasingh.ac.in,+91-80-259-3886,Electrical Engineering,Diploma,45,315,2001,Urban,Yes,Yes
