College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638136266,1-44638136266,U-0375,SAMPOORNA GROUP OF INSTITUTIONS,Active,Karnataka,Ramanagara,Ramanagara,"BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT",560308,15.336622,75.717102,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,Yes,,Tier 3,http://www.sampoorna.ac.in,info@sampoorna.ac.in,admissions@sampoorna.ac.in,placement@sampoorna.ac.in,+91-80-649-2948,Electronics & Communication Engineering (ECE),B.Tech,60,285,2007,Urban,Yes,Yes
1-44638136266,1-44638136266,U-0375,SAMPOORNA GROUP OF INSTITUTIONS,Active,Karnataka,Ramanagara,Ramanagara,"BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT",560308,15.336622,75.717102,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,Yes,,Tier 3,http://www.sampoorna.ac.in,info@sampoorna.ac.in,admissions@sampoorna.ac.in,placement@sampoorna.ac.in,+91-80-649-2948,Electrical & Electronics Engineering (EEE),B.Tech,15,285,2007,Urban,Yes,Yes
1-44638136266,1-44638136266,U-0375,SAMPOORNA GROUP OF INSTITUTIONS,Active,Karnataka,Ramanagara,Ramanagara,"BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT",560308,15.336622,75.717102,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,Yes,,Tier 3,http://www.sampoorna.ac.in,info@sampoorna.ac.in,admissions@sampoorna.ac.in,placement@sampoorna.ac.in,+91-80-649-2948,Civil Engineering,B.Tech,30,285,2007,Urban,Yes,Yes
1-44638136266,1-44638136266,U-0375,SAMPOORNA GROUP OF INSTITUTIONS,Active,Karnataka,Ramanagara,Ramanagara,"BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT",560308,15.336622,75.717102,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,Yes,,Tier 3,http://www.sampoorna.ac.in,info@sampoorna.ac.in,admissions@sampoorna.ac.in,placement@sampoorna.ac.in,+91-80-649-2948,Computer Science Engineering (CSE),B.Tech,90,285,2007,Urban,Yes,Yes
1-44638136266,1-44638136266,U-0375,SAMPOORNA GROUP OF INSTITUTIONS,Active,Karnataka,Ramanagara,Ramanagara,"BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT",560308,15.336622,75.717102,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,Yes,,Tier 3,http://www.sampoorna.ac.in,info@sampoorna.ac.in,admissions@sampoorna.ac.in,placement@sampoorna.ac.in,+91-80-649-2948,Mechanical Engineering,B.Tech,30,285,2007,Urban,Yes,Yes
1-44638136266,1-44638136266,U-0375,SAMPOORNA GROUP OF INSTITUTIONS,Active,Karnataka,Ramanagara,Ramanagara,"BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT",560308,15.336622,75.717102,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,Yes,,Tier 3,http://www.sampoorna.ac.in,info@sampoorna.ac.in,admissions@sampoorna.ac.in,placement@sampoorna.ac.in,+91-80-649-2948,Data Science,B.Tech,30,285,2007,Urban,Yes,Yes
1-44638136266,1-44638136266,U-0375,SAMPOORNA GROUP OF INSTITUTIONS,Active,Karnataka,Ramanagara,Ramanagara,"BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT BELEKERE, MALLUR HOBLI,  CHANNAPATNA TALUK, RAMANAGAR                       DISTRICT",560308,15.336622,75.717102,Private-Self Financing,"VisvesvarayaÂ Technological University, Belgaum",Approved,Approved,B,Yes,,Tier 3,http://www.sampoorna.ac.in,info@sampoorna.ac.in,admissions@sampoorna.ac.in,placement@sampoorna.ac.in,+91-80-649-2948,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,30,285,2007,Urban,Yes,Yes
1-44638168853,1-44638168853,U-0957,GOVERNMENT POLYTECHNIC,Active,Karnataka,Ramanagara,Ramanagara,"AVAREMALA,MARALAWADI,",560308,15.332301,75.730404,Government,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Electronics & Communication Engineering (ECE),Diploma,60,180,1995,Rural,Yes,Yes
1-44638168853,1-44638168853,U-0957,GOVERNMENT POLYTECHNIC,Active,Karnataka,Ramanagara,Ramanagara,"AVAREMALA,MARALAWADI,",560308,15.332301,75.730404,Government,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Computer Science Engineering (CSE),Diploma,60,180,1995,Rural,Yes,Yes
1-44638168853,1-44638168853,U-0957,GOVERNMENT POLYTECHNIC,Active,Karnataka,Ramanagara,Ramanagara,"AVAREMALA,MARALAWADI,",560308,15.332301,75.730404,Government,"Department of Technical Education, Bangalore",Approved,Approved,A,No,,Tier 2,http://www.inst7345.ac.in,info@inst7345.ac.in,admissions@inst7345.ac.in,placement@inst7345.ac.in,+91-80-468-0553,Mechanical Engineering,Diploma,30,180,1995,Rural,Yes,Yes
