College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638768225,1-44638768225,U-0682,UNIVERSITY COLLEGE OF ENGINEERING RAMANATHAPURAM,Active,Tamil Nadu,Ramanathapuram,Ramanathapuram,"EAST COAST ROAD,PULLANGUDI,RAMANATHAPUARAM 623513",623513,11.113812,78.659039,State Government University,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.ramanathapuram.ac.in,info@ramanathapuram.ac.in,admissions@ramanathapuram.ac.in,placement@ramanathapuram.ac.in,+91-80-281-5373,Civil Engineering,B.Tech,60,270,2022,Urban,Yes,No
1-44638768225,1-44638768225,U-0682,UNIVERSITY COLLEGE OF ENGINEERING RAMANATHAPURAM,Active,Tamil Nadu,Ramanathapuram,Ramanathapuram,"EAST COAST ROAD,PULLANGUDI,RAMANATHAPUARAM 623513",623513,11.113812,78.659039,State Government University,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.ramanathapuram.ac.in,info@ramanathapuram.ac.in,admissions@ramanathapuram.ac.in,placement@ramanathapuram.ac.in,+91-80-281-5373,Mechanical Engineering,B.Tech,60,270,2022,Urban,Yes,No
1-44638768225,1-44638768225,U-0682,UNIVERSITY COLLEGE OF ENGINEERING RAMANATHAPURAM,Active,Tamil Nadu,Ramanathapuram,Ramanathapuram,"EAST COAST ROAD,PULLANGUDI,RAMANATHAPUARAM 623513",623513,11.113812,78.659039,State Government University,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.ramanathapuram.ac.in,info@ramanathapuram.ac.in,admissions@ramanathapuram.ac.in,placement@ramanathapuram.ac.in,+91-80-281-5373,Electronics & Communication Engineering (ECE),B.Tech,60,270,2022,Urban,Yes,No
1-44638768225,1-44638768225,U-0682,UNIVERSITY COLLEGE OF ENGINEERING RAMANATHAPURAM,Active,Tamil Nadu,Ramanathapuram,Ramanathapuram,"EAST COAST ROAD,PULLANGUDI,RAMANATHAPUARAM 623513",623513,11.113812,78.659039,State Government University,"Anna University, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.ramanathapuram.ac.in,info@ramanathapuram.ac.in,admissions@ramanathapuram.ac.in,placement@ramanathapuram.ac.in,+91-80-281-5373,Computer Science Engineering (CSE),B.Tech,90,270,2022,Urban,Yes,No
1-44639899584,1-44639899584,U-0650,SRI MUTHALAMMAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Ramanathapuram,Ramanathapuram,"SOMANATHAPURAM, T.NALLUR POST",600019,11.138769,78.65599,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.srimuthalamman.ac.in,info@srimuthalamman.ac.in,admissions@srimuthalamman.ac.in,placement@srimuthalamman.ac.in,+91-80-328-2682,Civil Engineering,Diploma,60,240,1997,Rural,No,Yes
1-44639899584,1-44639899584,U-0650,SRI MUTHALAMMAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Ramanathapuram,Ramanathapuram,"SOMANATHAPURAM, T.NALLUR POST",600019,11.138769,78.65599,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.srimuthalamman.ac.in,info@srimuthalamman.ac.in,admissions@srimuthalamman.ac.in,placement@srimuthalamman.ac.in,+91-80-328-2682,Mechanical Engineering,Diploma,120,240,1997,Rural,No,Yes
1-44639899584,1-44639899584,U-0650,SRI MUTHALAMMAN POLYTECHNIC COLLEGE,Active,Tamil Nadu,Ramanathapuram,Ramanathapuram,"SOMANATHAPURAM, T.NALLUR POST",600019,11.138769,78.65599,Private-Self Financing,"Directorate of Technical Education, Chennai",Approved,Approved,A+,No,,Tier 3,http://www.srimuthalamman.ac.in,info@srimuthalamman.ac.in,admissions@srimuthalamman.ac.in,placement@srimuthalamman.ac.in,+91-80-328-2682,Electrical & Electronics Engineering (EEE),Diploma,60,240,1997,Rural,No,Yes
1-44639684035,1-44639684035,U-0650,MOHAMED SATHAK POLYTECHIC COLLEGE,Active,Tamil Nadu,Ramanathapuram,Ramanathapuram,CHAIRMAN SATHAK SALAI POST EAST COAST ROAD KILAKARAI,600019,11.140157,78.669697,Govt aided,"Directorate of Technical Education, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.mohamedsathakpolytechic.ac.in,info@mohamedsathakpolytechic.ac.in,admissions@mohamedsathakpolytechic.ac.in,placement@mohamedsathakpolytechic.ac.in,+91-80-386-5169,Electronics & Communication Engineering (ECE),Diploma,150,750,2011,Urban,Yes,Yes
1-44639684035,1-44639684035,U-0650,MOHAMED SATHAK POLYTECHIC COLLEGE,Active,Tamil Nadu,Ramanathapuram,Ramanathapuram,CHAIRMAN SATHAK SALAI POST EAST COAST ROAD KILAKARAI,600019,11.140157,78.669697,Govt aided,"Directorate of Technical Education, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.mohamedsathakpolytechic.ac.in,info@mohamedsathakpolytechic.ac.in,admissions@mohamedsathakpolytechic.ac.in,placement@mohamedsathakpolytechic.ac.in,+91-80-386-5169,Information Technology (IT),Diploma,30,750,2011,Urban,Yes,Yes
1-44639684035,1-44639684035,U-0650,MOHAMED SATHAK POLYTECHIC COLLEGE,Active,Tamil Nadu,Ramanathapuram,Ramanathapuram,CHAIRMAN SATHAK SALAI POST EAST COAST ROAD KILAKARAI,600019,11.140157,78.669697,Govt aided,"Directorate of Technical Education, Chennai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.mohamedsathakpolytechic.ac.in,info@mohamedsathakpolytechic.ac.in,admissions@mohamedsathakpolytechic.ac.in,placement@mohamedsathakpolytechic.ac.in,+91-80-386-5169,Computer Science Engineering (CSE),Diploma,60,750,2011,Urban,Yes,Yes
