College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639422225,1-44639422225,U-0449,GOVERNMENT POLYTECHNIC RAMPUR,Active,Uttar Pradesh,Rampur,Rampur,NEAR GOVT. PRESS  DISTT. RAMPUR  (U.P.) 244901,244901,26.847362,80.965706,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.rampur.ac.in,info@rampur.ac.in,admissions@rampur.ac.in,placement@rampur.ac.in,+91-80-866-6364,Other Engineering Branches,Diploma,96,240,1988,Rural,Yes,Yes
1-44639422225,1-44639422225,U-0449,GOVERNMENT POLYTECHNIC RAMPUR,Active,Uttar Pradesh,Rampur,Rampur,NEAR GOVT. PRESS  DISTT. RAMPUR  (U.P.) 244901,244901,26.847362,80.965706,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.rampur.ac.in,info@rampur.ac.in,admissions@rampur.ac.in,placement@rampur.ac.in,+91-80-866-6364,Electrical Engineering,Diploma,96,240,1988,Rural,Yes,Yes
1-44639422225,1-44639422225,U-0449,GOVERNMENT POLYTECHNIC RAMPUR,Active,Uttar Pradesh,Rampur,Rampur,NEAR GOVT. PRESS  DISTT. RAMPUR  (U.P.) 244901,244901,26.847362,80.965706,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.rampur.ac.in,info@rampur.ac.in,admissions@rampur.ac.in,placement@rampur.ac.in,+91-80-866-6364,Computer Science Engineering (CSE),Diploma,48,240,1988,Rural,Yes,Yes
1-44638845304,1-44638845304,U-0449,GOVERNMENT POLYTECHNIC CHAMRAUA RAMPUR,Active,Uttar Pradesh,Rampur,Rampur,"GOVERNMENT POLYTECHNIC, VILL-NAUGAWAN, BLOCK-CHAMRAUA, DISTT-RAMPUR (U. P.)",201154,26.847903,80.955331,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.chamrauarampur.ac.in,info@chamrauarampur.ac.in,admissions@chamrauarampur.ac.in,placement@chamrauarampur.ac.in,+91-80-889-3370,Computer Science Engineering (CSE),Diploma,30,90,2001,Rural,Yes,Yes
1-44638845304,1-44638845304,U-0449,GOVERNMENT POLYTECHNIC CHAMRAUA RAMPUR,Active,Uttar Pradesh,Rampur,Rampur,"GOVERNMENT POLYTECHNIC, VILL-NAUGAWAN, BLOCK-CHAMRAUA, DISTT-RAMPUR (U. P.)",201154,26.847903,80.955331,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.chamrauarampur.ac.in,info@chamrauarampur.ac.in,admissions@chamrauarampur.ac.in,placement@chamrauarampur.ac.in,+91-80-889-3370,Civil Engineering,Diploma,30,90,2001,Rural,Yes,Yes
1-44638845304,1-44638845304,U-0449,GOVERNMENT POLYTECHNIC CHAMRAUA RAMPUR,Active,Uttar Pradesh,Rampur,Rampur,"GOVERNMENT POLYTECHNIC, VILL-NAUGAWAN, BLOCK-CHAMRAUA, DISTT-RAMPUR (U. P.)",201154,26.847903,80.955331,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.chamrauarampur.ac.in,info@chamrauarampur.ac.in,admissions@chamrauarampur.ac.in,placement@chamrauarampur.ac.in,+91-80-889-3370,Mechanical Engineering,Diploma,30,90,2001,Rural,Yes,Yes
1-44640322688,1-44640322688,U-0449,"GOVERNMENT POLYTECHNIC SHAHBAD, RAMPUR",Active,Uttar Pradesh,Rampur,Rampur,"NEAR DEPTY COLLECTOR BUNGLOW, SHAHBAD, RAMPUR, DISTRICT-RAMPUR, U.P.",201154,26.848519,80.931741,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.shahbadrampur.ac.in,info@shahbadrampur.ac.in,admissions@shahbadrampur.ac.in,placement@shahbadrampur.ac.in,+91-80-915-1267,Civil Engineering,Diploma,60,180,2021,Urban,Yes,Yes
1-44640322688,1-44640322688,U-0449,"GOVERNMENT POLYTECHNIC SHAHBAD, RAMPUR",Active,Uttar Pradesh,Rampur,Rampur,"NEAR DEPTY COLLECTOR BUNGLOW, SHAHBAD, RAMPUR, DISTRICT-RAMPUR, U.P.",201154,26.848519,80.931741,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.shahbadrampur.ac.in,info@shahbadrampur.ac.in,admissions@shahbadrampur.ac.in,placement@shahbadrampur.ac.in,+91-80-915-1267,Electrical Engineering,Diploma,60,180,2021,Urban,Yes,Yes
1-44640322688,1-44640322688,U-0449,"GOVERNMENT POLYTECHNIC SHAHBAD, RAMPUR",Active,Uttar Pradesh,Rampur,Rampur,"NEAR DEPTY COLLECTOR BUNGLOW, SHAHBAD, RAMPUR, DISTRICT-RAMPUR, U.P.",201154,26.848519,80.931741,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.shahbadrampur.ac.in,info@shahbadrampur.ac.in,admissions@shahbadrampur.ac.in,placement@shahbadrampur.ac.in,+91-80-915-1267,Mechanical Engineering,Diploma,60,180,2021,Urban,Yes,Yes
1-44643173961,1-44643173961,U-0164,APEX INSTITUTE OF TECHNOLOGY,Active,Uttar Pradesh,Rampur,Rampur,"VILL. & PO KAUSHALGANJ, DISTT.- RAMPUR (U.P.),6 KM AWAY FROM RUDRAPUR, PIN CODE -244923",244923,26.845783,80.959466,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.apex.ac.in,info@apex.ac.in,admissions@apex.ac.in,placement@apex.ac.in,+91-80-800-4052,Computer Science Engineering (CSE),B.Tech,45,285,1999,Rural,Yes,Yes
