College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638378317,1-44638378317,U-0992,THE ICFAI FOUNDATION FOR HIGHER EDUCATION,Active,Telangana,Rangareddi,Rangareddi,"DONTHANAPALLY, SHANKARAPALLI ROAD, HYDERABAD, TELANGANA, PIN 501 203",500971,18.102269,79.016178,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.theicfaifoundation.ac.in,info@theicfaifoundation.ac.in,admissions@theicfaifoundation.ac.in,placement@theicfaifoundation.ac.in,+91-80-413-9372,Computer Science Engineering (CSE),B.Tech,480,885,2001,Rural,Yes,Yes
1-44638378317,1-44638378317,U-0992,THE ICFAI FOUNDATION FOR HIGHER EDUCATION,Active,Telangana,Rangareddi,Rangareddi,"DONTHANAPALLY, SHANKARAPALLI ROAD, HYDERABAD, TELANGANA, PIN 501 203",500971,18.102269,79.016178,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.theicfaifoundation.ac.in,info@theicfaifoundation.ac.in,admissions@theicfaifoundation.ac.in,placement@theicfaifoundation.ac.in,+91-80-413-9372,Electronics & Communication Engineering (ECE),B.Tech,30,885,2001,Rural,Yes,Yes
1-44638378317,1-44638378317,U-0992,THE ICFAI FOUNDATION FOR HIGHER EDUCATION,Active,Telangana,Rangareddi,Rangareddi,"DONTHANAPALLY, SHANKARAPALLI ROAD, HYDERABAD, TELANGANA, PIN 501 203",500971,18.102269,79.016178,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.theicfaifoundation.ac.in,info@theicfaifoundation.ac.in,admissions@theicfaifoundation.ac.in,placement@theicfaifoundation.ac.in,+91-80-413-9372,Mechanical Engineering,B.Tech,30,885,2001,Rural,Yes,Yes
1-44638378317,1-44638378317,U-0992,THE ICFAI FOUNDATION FOR HIGHER EDUCATION,Active,Telangana,Rangareddi,Rangareddi,"DONTHANAPALLY, SHANKARAPALLI ROAD, HYDERABAD, TELANGANA, PIN 501 203",500971,18.102269,79.016178,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.theicfaifoundation.ac.in,info@theicfaifoundation.ac.in,admissions@theicfaifoundation.ac.in,placement@theicfaifoundation.ac.in,+91-80-413-9372,Artificial Intelligence & Machine Learning (AI & ML),M.Tech,15,885,2001,Rural,Yes,Yes
1-44638378317,1-44638378317,U-0992,THE ICFAI FOUNDATION FOR HIGHER EDUCATION,Active,Telangana,Rangareddi,Rangareddi,"DONTHANAPALLY, SHANKARAPALLI ROAD, HYDERABAD, TELANGANA, PIN 501 203",500971,18.102269,79.016178,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.theicfaifoundation.ac.in,info@theicfaifoundation.ac.in,admissions@theicfaifoundation.ac.in,placement@theicfaifoundation.ac.in,+91-80-413-9372,Robotics,M.Tech,15,885,2001,Rural,Yes,Yes
1-44638378317,1-44638378317,U-0992,THE ICFAI FOUNDATION FOR HIGHER EDUCATION,Active,Telangana,Rangareddi,Rangareddi,"DONTHANAPALLY, SHANKARAPALLI ROAD, HYDERABAD, TELANGANA, PIN 501 203",500971,18.102269,79.016178,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.theicfaifoundation.ac.in,info@theicfaifoundation.ac.in,admissions@theicfaifoundation.ac.in,placement@theicfaifoundation.ac.in,+91-80-413-9372,Other Engineering Branches,M.Tech,15,885,2001,Rural,Yes,Yes
1-44638378317,1-44638378317,U-0992,THE ICFAI FOUNDATION FOR HIGHER EDUCATION,Active,Telangana,Rangareddi,Rangareddi,"DONTHANAPALLY, SHANKARAPALLI ROAD, HYDERABAD, TELANGANA, PIN 501 203",500971,18.102269,79.016178,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.theicfaifoundation.ac.in,info@theicfaifoundation.ac.in,admissions@theicfaifoundation.ac.in,placement@theicfaifoundation.ac.in,+91-80-413-9372,Data Science,B.Tech,180,885,2001,Rural,Yes,Yes
1-44638378317,1-44638378317,U-0992,THE ICFAI FOUNDATION FOR HIGHER EDUCATION,Active,Telangana,Rangareddi,Rangareddi,"DONTHANAPALLY, SHANKARAPALLI ROAD, HYDERABAD, TELANGANA, PIN 501 203",500971,18.102269,79.016178,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,Yes,,Tier 2,http://www.theicfaifoundation.ac.in,info@theicfaifoundation.ac.in,admissions@theicfaifoundation.ac.in,placement@theicfaifoundation.ac.in,+91-80-413-9372,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,120,885,2001,Rural,Yes,Yes
1-44638725183,1-44638725183,U-0961,ST. MARY'S GROUP OF INSTITUTIONS HYDERABAD,Active,Telangana,Rangareddi,Rangareddi,"NEAR RAMOJI FILM CITY, BEHIND MOUNT OPERA, DESHMUKHI (V), POCHAMPALLY (M), NALGONDA (DT) & BATASINGARAM (V), HAYATHNAGAR (M), RANGA REDDY DISTRICT, GREATER HYDERABAD, UNDER HMDA",500971,18.116139,79.012885,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,A+,No,,Tier 3,http://www.stmaryshyderabad.ac.in,info@stmaryshyderabad.ac.in,admissions@stmaryshyderabad.ac.in,placement@stmaryshyderabad.ac.in,+91-80-995-6694,Computer Science Engineering (CSE),B.Tech,240,1290,2002,Rural,Yes,Yes
1-44638725183,1-44638725183,U-0961,ST. MARY'S GROUP OF INSTITUTIONS HYDERABAD,Active,Telangana,Rangareddi,Rangareddi,"NEAR RAMOJI FILM CITY, BEHIND MOUNT OPERA, DESHMUKHI (V), POCHAMPALLY (M), NALGONDA (DT) & BATASINGARAM (V), HAYATHNAGAR (M), RANGA REDDY DISTRICT, GREATER HYDERABAD, UNDER HMDA",500971,18.116139,79.012885,Private-Self Financing,"Jawaharlal Nehru Technological University, Hyderabad",Approved,Approved,A+,No,,Tier 3,http://www.stmaryshyderabad.ac.in,info@stmaryshyderabad.ac.in,admissions@stmaryshyderabad.ac.in,placement@stmaryshyderabad.ac.in,+91-80-995-6694,Data Science,B.Tech,180,1290,2002,Rural,Yes,Yes
