College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638646698,1-44638646698,U-0122,"LOKNETE SHAMRAO PEJE GOVERNMENT COLLEGE OF ENGINEERING, RATNAGIRI",Active,Maharashtra,Ratnagiri,Ratnagiri,"NEAR THIBAW PALACE, MAL NAKA, RATNAGIRI",400549,19.748707,75.708519,Government,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,A,No,,Tier 2,http://www.lokneteshamraopeje.ac.in,info@lokneteshamraopeje.ac.in,admissions@lokneteshamraopeje.ac.in,placement@lokneteshamraopeje.ac.in,+91-80-721-7245,Mechanical Engineering,B.Tech,60,300,2022,Rural,Yes,Yes
1-44638646698,1-44638646698,U-0122,"LOKNETE SHAMRAO PEJE GOVERNMENT COLLEGE OF ENGINEERING, RATNAGIRI",Active,Maharashtra,Ratnagiri,Ratnagiri,"NEAR THIBAW PALACE, MAL NAKA, RATNAGIRI",400549,19.748707,75.708519,Government,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,A,No,,Tier 2,http://www.lokneteshamraopeje.ac.in,info@lokneteshamraopeje.ac.in,admissions@lokneteshamraopeje.ac.in,placement@lokneteshamraopeje.ac.in,+91-80-721-7245,Civil Engineering,B.Tech,60,300,2022,Rural,Yes,Yes
1-44638646698,1-44638646698,U-0122,"LOKNETE SHAMRAO PEJE GOVERNMENT COLLEGE OF ENGINEERING, RATNAGIRI",Active,Maharashtra,Ratnagiri,Ratnagiri,"NEAR THIBAW PALACE, MAL NAKA, RATNAGIRI",400549,19.748707,75.708519,Government,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,A,No,,Tier 2,http://www.lokneteshamraopeje.ac.in,info@lokneteshamraopeje.ac.in,admissions@lokneteshamraopeje.ac.in,placement@lokneteshamraopeje.ac.in,+91-80-721-7245,Data Science,B.Tech,60,300,2022,Rural,Yes,Yes
1-44638646698,1-44638646698,U-0122,"LOKNETE SHAMRAO PEJE GOVERNMENT COLLEGE OF ENGINEERING, RATNAGIRI",Active,Maharashtra,Ratnagiri,Ratnagiri,"NEAR THIBAW PALACE, MAL NAKA, RATNAGIRI",400549,19.748707,75.708519,Government,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,A,No,,Tier 2,http://www.lokneteshamraopeje.ac.in,info@lokneteshamraopeje.ac.in,admissions@lokneteshamraopeje.ac.in,placement@lokneteshamraopeje.ac.in,+91-80-721-7245,Electrical Engineering,B.Tech,60,300,2022,Rural,Yes,Yes
1-44638646698,1-44638646698,U-0122,"LOKNETE SHAMRAO PEJE GOVERNMENT COLLEGE OF ENGINEERING, RATNAGIRI",Active,Maharashtra,Ratnagiri,Ratnagiri,"NEAR THIBAW PALACE, MAL NAKA, RATNAGIRI",400549,19.748707,75.708519,Government,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,A,No,,Tier 2,http://www.lokneteshamraopeje.ac.in,info@lokneteshamraopeje.ac.in,admissions@lokneteshamraopeje.ac.in,placement@lokneteshamraopeje.ac.in,+91-80-721-7245,Other Engineering Branches,B.Tech,60,300,2022,Rural,Yes,Yes
1-44639353955,1-44639353955,U-0767,RAJENDRA MANE POLYTECHNIC,Active,Maharashtra,Ratnagiri,Ratnagiri,AT AND POST AMBAV DEVRUKH TAL. SANGAMESHWAR DIST RATNAGIRI,400549,19.766791,75.72314,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.rajendramane.ac.in,info@rajendramane.ac.in,admissions@rajendramane.ac.in,placement@rajendramane.ac.in,+91-80-480-2107,Computer Science Engineering (CSE),Diploma,30,120,1981,Urban,Yes,Yes
1-44639353955,1-44639353955,U-0767,RAJENDRA MANE POLYTECHNIC,Active,Maharashtra,Ratnagiri,Ratnagiri,AT AND POST AMBAV DEVRUKH TAL. SANGAMESHWAR DIST RATNAGIRI,400549,19.766791,75.72314,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.rajendramane.ac.in,info@rajendramane.ac.in,admissions@rajendramane.ac.in,placement@rajendramane.ac.in,+91-80-480-2107,Mechanical Engineering,Diploma,30,120,1981,Urban,Yes,Yes
1-44639353955,1-44639353955,U-0767,RAJENDRA MANE POLYTECHNIC,Active,Maharashtra,Ratnagiri,Ratnagiri,AT AND POST AMBAV DEVRUKH TAL. SANGAMESHWAR DIST RATNAGIRI,400549,19.766791,75.72314,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.rajendramane.ac.in,info@rajendramane.ac.in,admissions@rajendramane.ac.in,placement@rajendramane.ac.in,+91-80-480-2107,Civil Engineering,Diploma,30,120,1981,Urban,Yes,Yes
1-44639353955,1-44639353955,U-0767,RAJENDRA MANE POLYTECHNIC,Active,Maharashtra,Ratnagiri,Ratnagiri,AT AND POST AMBAV DEVRUKH TAL. SANGAMESHWAR DIST RATNAGIRI,400549,19.766791,75.72314,Private-Self Financing,"Maharashtra State Board of Technical Education, Mumbai",Approved,Approved,A,No,,Tier 3,http://www.rajendramane.ac.in,info@rajendramane.ac.in,admissions@rajendramane.ac.in,placement@rajendramane.ac.in,+91-80-480-2107,Automobile Engineering,Diploma,30,120,1981,Urban,Yes,Yes
1-44639907930,1-44639907930,U-0847,VPM'S MAHARSHI PARSHURAM COLLEGE OF ENGINEERING,Active,Maharashtra,Ratnagiri,Ratnagiri,"AT.POST. VELNESHWAR, HEDVAI - PALSHET ROAD",400549,19.765224,75.698852,Private-Self Financing,"Mumbai University, Mumbai",Approved,Approved,Not Accredited,No,,Tier 3,http://www.vpmsmaharshiparshuram.ac.in,info@vpmsmaharshiparshuram.ac.in,admissions@vpmsmaharshiparshuram.ac.in,placement@vpmsmaharshiparshuram.ac.in,+91-80-414-4543,Mechanical Engineering,B.Tech,30,180,1993,Urban,No,Yes
