College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639520738,1-44639520738,U-0441,GOVT.POLYTECHNIC COLLEGE REWA,Active,Madhya Pradesh,Rewa,Rewa,CAMPUS-REWAENGG.COLLEGE REWA                         SIRMOUR ROAD REWA M.P.,452412,22.955563,78.667046,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicrewa.ac.in,info@govtpolytechnicrewa.ac.in,admissions@govtpolytechnicrewa.ac.in,placement@govtpolytechnicrewa.ac.in,+91-80-090-7200,Electronics & Communication Engineering (ECE),Diploma,60,240,1986,Urban,Yes,Yes
1-44639520738,1-44639520738,U-0441,GOVT.POLYTECHNIC COLLEGE REWA,Active,Madhya Pradesh,Rewa,Rewa,CAMPUS-REWAENGG.COLLEGE REWA                         SIRMOUR ROAD REWA M.P.,452412,22.955563,78.667046,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicrewa.ac.in,info@govtpolytechnicrewa.ac.in,admissions@govtpolytechnicrewa.ac.in,placement@govtpolytechnicrewa.ac.in,+91-80-090-7200,Other Engineering Branches,Diploma,60,240,1986,Urban,Yes,Yes
1-44639520738,1-44639520738,U-0441,GOVT.POLYTECHNIC COLLEGE REWA,Active,Madhya Pradesh,Rewa,Rewa,CAMPUS-REWAENGG.COLLEGE REWA                         SIRMOUR ROAD REWA M.P.,452412,22.955563,78.667046,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicrewa.ac.in,info@govtpolytechnicrewa.ac.in,admissions@govtpolytechnicrewa.ac.in,placement@govtpolytechnicrewa.ac.in,+91-80-090-7200,Civil Engineering,Diploma,60,240,1986,Urban,Yes,Yes
1-44639520738,1-44639520738,U-0441,GOVT.POLYTECHNIC COLLEGE REWA,Active,Madhya Pradesh,Rewa,Rewa,CAMPUS-REWAENGG.COLLEGE REWA                         SIRMOUR ROAD REWA M.P.,452412,22.955563,78.667046,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicrewa.ac.in,info@govtpolytechnicrewa.ac.in,admissions@govtpolytechnicrewa.ac.in,placement@govtpolytechnicrewa.ac.in,+91-80-090-7200,Mechanical Engineering,Diploma,60,240,1986,Urban,Yes,Yes
1-44643236394,1-44643236394,U-0441,"REWA INSTITUTE OF TECHNOLOGY, REWA (M.P.)",Active,Madhya Pradesh,Rewa,Rewa,"NH - 07, ALLAHABAD ROAD, RATAHARA, REWA, (M. P.) INDIA",452412,22.987862,78.667597,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.rewarewamp.ac.in,info@rewarewamp.ac.in,admissions@rewarewamp.ac.in,placement@rewarewamp.ac.in,+91-80-445-4468,Electronics & Communication Engineering (ECE),B.Tech,120,660,1982,Rural,No,No
1-44643236394,1-44643236394,U-0441,"REWA INSTITUTE OF TECHNOLOGY, REWA (M.P.)",Active,Madhya Pradesh,Rewa,Rewa,"NH - 07, ALLAHABAD ROAD, RATAHARA, REWA, (M. P.) INDIA",452412,22.987862,78.667597,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.rewarewamp.ac.in,info@rewarewamp.ac.in,admissions@rewarewamp.ac.in,placement@rewarewamp.ac.in,+91-80-445-4468,Computer Science Engineering (CSE),B.Tech,120,660,1982,Rural,No,No
1-44643236394,1-44643236394,U-0441,"REWA INSTITUTE OF TECHNOLOGY, REWA (M.P.)",Active,Madhya Pradesh,Rewa,Rewa,"NH - 07, ALLAHABAD ROAD, RATAHARA, REWA, (M. P.) INDIA",452412,22.987862,78.667597,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.rewarewamp.ac.in,info@rewarewamp.ac.in,admissions@rewarewamp.ac.in,placement@rewarewamp.ac.in,+91-80-445-4468,Information Technology (IT),B.Tech,120,660,1982,Rural,No,No
1-44643236394,1-44643236394,U-0441,"REWA INSTITUTE OF TECHNOLOGY, REWA (M.P.)",Active,Madhya Pradesh,Rewa,Rewa,"NH - 07, ALLAHABAD ROAD, RATAHARA, REWA, (M. P.) INDIA",452412,22.987862,78.667597,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.rewarewamp.ac.in,info@rewarewamp.ac.in,admissions@rewarewamp.ac.in,placement@rewarewamp.ac.in,+91-80-445-4468,Mechanical Engineering,B.Tech,120,660,1982,Rural,No,No
1-44643236394,1-44643236394,U-0441,"REWA INSTITUTE OF TECHNOLOGY, REWA (M.P.)",Active,Madhya Pradesh,Rewa,Rewa,"NH - 07, ALLAHABAD ROAD, RATAHARA, REWA, (M. P.) INDIA",452412,22.987862,78.667597,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.rewarewamp.ac.in,info@rewarewamp.ac.in,admissions@rewarewamp.ac.in,placement@rewarewamp.ac.in,+91-80-445-4468,Civil Engineering,B.Tech,60,660,1982,Rural,No,No
1-44643236394,1-44643236394,U-0441,"REWA INSTITUTE OF TECHNOLOGY, REWA (M.P.)",Active,Madhya Pradesh,Rewa,Rewa,"NH - 07, ALLAHABAD ROAD, RATAHARA, REWA, (M. P.) INDIA",452412,22.987862,78.667597,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.rewarewamp.ac.in,info@rewarewamp.ac.in,admissions@rewarewamp.ac.in,placement@rewarewamp.ac.in,+91-80-445-4468,Computer Science Engineering (CSE),M.Tech,24,660,1982,Rural,No,No
1-44643236394,1-44643236394,U-0441,"REWA INSTITUTE OF TECHNOLOGY, REWA (M.P.)",Active,Madhya Pradesh,Rewa,Rewa,"NH - 07, ALLAHABAD ROAD, RATAHARA, REWA, (M. P.) INDIA",452412,22.987862,78.667597,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.rewarewamp.ac.in,info@rewarewamp.ac.in,admissions@rewarewamp.ac.in,placement@rewarewamp.ac.in,+91-80-445-4468,Information Technology (IT),M.Tech,18,660,1982,Rural,No,No
1-44643236394,1-44643236394,U-0441,"REWA INSTITUTE OF TECHNOLOGY, REWA (M.P.)",Active,Madhya Pradesh,Rewa,Rewa,"NH - 07, ALLAHABAD ROAD, RATAHARA, REWA, (M. P.) INDIA",452412,22.987862,78.667597,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.rewarewamp.ac.in,info@rewarewamp.ac.in,admissions@rewarewamp.ac.in,placement@rewarewamp.ac.in,+91-80-445-4468,Electrical Engineering,B.Tech,60,660,1982,Rural,No,No
1-44643236394,1-44643236394,U-0441,"REWA INSTITUTE OF TECHNOLOGY, REWA (M.P.)",Active,Madhya Pradesh,Rewa,Rewa,"NH - 07, ALLAHABAD ROAD, RATAHARA, REWA, (M. P.) INDIA",452412,22.987862,78.667597,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.rewarewamp.ac.in,info@rewarewamp.ac.in,admissions@rewarewamp.ac.in,placement@rewarewamp.ac.in,+91-80-445-4468,Other Engineering Branches,M.Tech,18,660,1982,Rural,No,No
1-44643455706,1-44643455706,U-0441,JAWAHARLAL NEHRU COLLEGE OF TECHNOLOGY,Active,Madhya Pradesh,Rewa,Rewa,"N.H.-7, NEAR BYPASS CROSSING RATAHRA, REWA (M.P.)",452412,22.954973,78.661167,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.jawaharlalnehru.ac.in,info@jawaharlalnehru.ac.in,admissions@jawaharlalnehru.ac.in,placement@jawaharlalnehru.ac.in,+91-80-065-9867,Other Engineering Branches,M.Tech,54,795,2012,Rural,Yes,Yes
