College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638214179,1-44638214179,U-0261,MSME TECHNOLOGY CENTRE  ROHTAK,Active,Haryana,Rohtak,Rohtak,"PLOT NOS.- 10 & 11, SECTOR 30B, INSTITUTIONAL BUILDING AT HSIIDC, I.M.T., ROHTAK",120363,29.065465,76.069751,Government,"Directorate of Technical Education, Haryana",Approved,Approved,B++,Yes,,Tier 3,http://www.msmecentrerohtak.ac.in,info@msmecentrerohtak.ac.in,admissions@msmecentrerohtak.ac.in,placement@msmecentrerohtak.ac.in,+91-80-118-4154,Other Engineering Branches,Diploma,60,120,2001,Urban,Yes,Yes
1-44638214179,1-44638214179,U-0261,MSME TECHNOLOGY CENTRE  ROHTAK,Active,Haryana,Rohtak,Rohtak,"PLOT NOS.- 10 & 11, SECTOR 30B, INSTITUTIONAL BUILDING AT HSIIDC, I.M.T., ROHTAK",120363,29.065465,76.069751,Government,"Directorate of Technical Education, Haryana",Approved,Approved,B++,Yes,,Tier 3,http://www.msmecentrerohtak.ac.in,info@msmecentrerohtak.ac.in,admissions@msmecentrerohtak.ac.in,placement@msmecentrerohtak.ac.in,+91-80-118-4154,Mechanical Engineering,Diploma,60,120,2001,Urban,Yes,Yes
1-44638278237,1-44638278237,U-0169,DEPARTMENT OF COMPUTER SCIENCE AND APPLICATIONS,Active,Haryana,Rohtak,Rohtak,DEPARTMENT OF COMPUTER SCIENCE & APPLICATIONS  DDE BUILDING MAHARSHI DAYANAND UNIVERSITY ROHTAK-124001 MAHARSHI DAYANAND UNIVERSITY ROHTAK-124001  HARYANA,124001,29.044211,76.083416,Government,"Maharshi Dayanand University, Rohtak",Approved,Approved,B++,Yes,,Tier 3,http://www.departmentcomputerscience.ac.in,info@departmentcomputerscience.ac.in,admissions@departmentcomputerscience.ac.in,placement@departmentcomputerscience.ac.in,+91-80-226-9810,Computer Science Engineering (CSE),M.Tech,30,30,2018,Urban,Yes,Yes
1-44638630274,1-44638630274,U-0169,SAT PRIYA GROUP OF INSTITUTIONS,Active,Haryana,Rohtak,Rohtak,0.5 KM MILESTONE,120363,29.071312,76.099219,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.satpriya.ac.in,info@satpriya.ac.in,admissions@satpriya.ac.in,placement@satpriya.ac.in,+91-80-363-6567,Civil Engineering,M.Tech,24,267,1998,Urban,Yes,Yes
1-44638630274,1-44638630274,U-0169,SAT PRIYA GROUP OF INSTITUTIONS,Active,Haryana,Rohtak,Rohtak,0.5 KM MILESTONE,120363,29.071312,76.099219,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.satpriya.ac.in,info@satpriya.ac.in,admissions@satpriya.ac.in,placement@satpriya.ac.in,+91-80-363-6567,Civil Engineering,B.Tech,30,267,1998,Urban,Yes,Yes
1-44638630274,1-44638630274,U-0169,SAT PRIYA GROUP OF INSTITUTIONS,Active,Haryana,Rohtak,Rohtak,0.5 KM MILESTONE,120363,29.071312,76.099219,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.satpriya.ac.in,info@satpriya.ac.in,admissions@satpriya.ac.in,placement@satpriya.ac.in,+91-80-363-6567,Mechanical Engineering,B.Tech,30,267,1998,Urban,Yes,Yes
1-44638630274,1-44638630274,U-0169,SAT PRIYA GROUP OF INSTITUTIONS,Active,Haryana,Rohtak,Rohtak,0.5 KM MILESTONE,120363,29.071312,76.099219,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.satpriya.ac.in,info@satpriya.ac.in,admissions@satpriya.ac.in,placement@satpriya.ac.in,+91-80-363-6567,Computer Science Engineering (CSE),M.Tech,9,267,1998,Urban,Yes,Yes
1-44638630274,1-44638630274,U-0169,SAT PRIYA GROUP OF INSTITUTIONS,Active,Haryana,Rohtak,Rohtak,0.5 KM MILESTONE,120363,29.071312,76.099219,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.satpriya.ac.in,info@satpriya.ac.in,admissions@satpriya.ac.in,placement@satpriya.ac.in,+91-80-363-6567,Electronics & Communication Engineering (ECE),B.Tech,30,267,1998,Urban,Yes,Yes
1-44638630274,1-44638630274,U-0169,SAT PRIYA GROUP OF INSTITUTIONS,Active,Haryana,Rohtak,Rohtak,0.5 KM MILESTONE,120363,29.071312,76.099219,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.satpriya.ac.in,info@satpriya.ac.in,admissions@satpriya.ac.in,placement@satpriya.ac.in,+91-80-363-6567,Computer Science Engineering (CSE),B.Tech,120,267,1998,Urban,Yes,Yes
1-44638630274,1-44638630274,U-0169,SAT PRIYA GROUP OF INSTITUTIONS,Active,Haryana,Rohtak,Rohtak,0.5 KM MILESTONE,120363,29.071312,76.099219,Private-Self Financing,"Maharshi Dayanand University, Rohtak",Approved,Approved,Not Accredited,No,,Tier 3,http://www.satpriya.ac.in,info@satpriya.ac.in,admissions@satpriya.ac.in,placement@satpriya.ac.in,+91-80-363-6567,Electronics & Communication Engineering (ECE),M.Tech,12,267,1998,Urban,Yes,Yes
