College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Mechanical Engineering,B.Tech,60,360,1985,Urban,Yes,Yes
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Civil Engineering,B.Tech,60,360,1985,Urban,Yes,Yes
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Computer Science Engineering (CSE),B.Tech,90,360,1985,Urban,Yes,Yes
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Electrical & Electronics Engineering (EEE),B.Tech,60,360,1985,Urban,Yes,Yes
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Mining Engineering,B.Tech,60,360,1985,Urban,Yes,Yes
1-44638462874,1-44638462874,U-0846,"SERSHAH ENGINEERING COLLEGE, SASARAM",Active,Bihar,Rohtas,Rohtas,"SERSHAH ENGINEERING COLLEGE,SASARAM , VILL+POST - BARKI KHARARI, POLICE STATION - KARGAHAR, NEAR BY BARKI KHARARI NEW PANCHAYAT BHAWAN,SASARAM, DIST- ROHTAS(BIHAR), PIN - 821113",821113,25.105126,85.314498,Government,"Bihar Engineering University, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.sershahsasaram.ac.in,info@sershahsasaram.ac.in,admissions@sershahsasaram.ac.in,placement@sershahsasaram.ac.in,+91-80-217-4216,Other Engineering Branches,B.Tech,30,360,1985,Urban,Yes,Yes
1-44639666970,1-44639666970,U-0698,"GOVT. POLYTECHNIC, DEHRIONSONE",Active,Bihar,Rohtas,Rohtas,DEHRIONSONE DIST- ROHTASH,800087,25.091709,85.326957,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govtdehrionsone.ac.in,info@govtdehrionsone.ac.in,admissions@govtdehrionsone.ac.in,placement@govtdehrionsone.ac.in,+91-80-654-6904,Civil Engineering,Diploma,120,360,1987,Urban,Yes,Yes
1-44639666970,1-44639666970,U-0698,"GOVT. POLYTECHNIC, DEHRIONSONE",Active,Bihar,Rohtas,Rohtas,DEHRIONSONE DIST- ROHTASH,800087,25.091709,85.326957,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govtdehrionsone.ac.in,info@govtdehrionsone.ac.in,admissions@govtdehrionsone.ac.in,placement@govtdehrionsone.ac.in,+91-80-654-6904,Electrical Engineering,Diploma,60,360,1987,Urban,Yes,Yes
1-44639666970,1-44639666970,U-0698,"GOVT. POLYTECHNIC, DEHRIONSONE",Active,Bihar,Rohtas,Rohtas,DEHRIONSONE DIST- ROHTASH,800087,25.091709,85.326957,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govtdehrionsone.ac.in,info@govtdehrionsone.ac.in,admissions@govtdehrionsone.ac.in,placement@govtdehrionsone.ac.in,+91-80-654-6904,Mechanical Engineering,Diploma,60,360,1987,Urban,Yes,Yes
1-44639666970,1-44639666970,U-0698,"GOVT. POLYTECHNIC, DEHRIONSONE",Active,Bihar,Rohtas,Rohtas,DEHRIONSONE DIST- ROHTASH,800087,25.091709,85.326957,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govtdehrionsone.ac.in,info@govtdehrionsone.ac.in,admissions@govtdehrionsone.ac.in,placement@govtdehrionsone.ac.in,+91-80-654-6904,Other Engineering Branches,Diploma,60,360,1987,Urban,Yes,Yes
1-44639666970,1-44639666970,U-0698,"GOVT. POLYTECHNIC, DEHRIONSONE",Active,Bihar,Rohtas,Rohtas,DEHRIONSONE DIST- ROHTASH,800087,25.091709,85.326957,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.govtdehrionsone.ac.in,info@govtdehrionsone.ac.in,admissions@govtdehrionsone.ac.in,placement@govtdehrionsone.ac.in,+91-80-654-6904,Computer Science Engineering (CSE),Diploma,60,360,1987,Urban,Yes,Yes
1-44643837407,1-44643837407,U-0698,MAA KAMAKHYA POLYTECHNIC,Active,Bihar,Rohtas,Rohtas,TILOUTHU,800087,25.100322,85.323394,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,Not Accredited,No,,Tier 3,http://www.maakamakhya.ac.in,info@maakamakhya.ac.in,admissions@maakamakhya.ac.in,placement@maakamakhya.ac.in,+91-80-015-9297,Civil Engineering,Diploma,60,360,2009,Urban,Yes,Yes
1-44643837407,1-44643837407,U-0698,MAA KAMAKHYA POLYTECHNIC,Active,Bihar,Rohtas,Rohtas,TILOUTHU,800087,25.100322,85.323394,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,Not Accredited,No,,Tier 3,http://www.maakamakhya.ac.in,info@maakamakhya.ac.in,admissions@maakamakhya.ac.in,placement@maakamakhya.ac.in,+91-80-015-9297,Mechanical Engineering,Diploma,60,360,2009,Urban,Yes,Yes
1-44643837407,1-44643837407,U-0698,MAA KAMAKHYA POLYTECHNIC,Active,Bihar,Rohtas,Rohtas,TILOUTHU,800087,25.100322,85.323394,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,Not Accredited,No,,Tier 3,http://www.maakamakhya.ac.in,info@maakamakhya.ac.in,admissions@maakamakhya.ac.in,placement@maakamakhya.ac.in,+91-80-015-9297,Electrical Engineering,Diploma,60,360,2009,Urban,Yes,Yes
1-44643837407,1-44643837407,U-0698,MAA KAMAKHYA POLYTECHNIC,Active,Bihar,Rohtas,Rohtas,TILOUTHU,800087,25.100322,85.323394,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,Not Accredited,No,,Tier 3,http://www.maakamakhya.ac.in,info@maakamakhya.ac.in,admissions@maakamakhya.ac.in,placement@maakamakhya.ac.in,+91-80-015-9297,Computer Science Engineering (CSE),Diploma,60,360,2009,Urban,Yes,Yes
1-44643837407,1-44643837407,U-0698,MAA KAMAKHYA POLYTECHNIC,Active,Bihar,Rohtas,Rohtas,TILOUTHU,800087,25.100322,85.323394,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,Not Accredited,No,,Tier 3,http://www.maakamakhya.ac.in,info@maakamakhya.ac.in,admissions@maakamakhya.ac.in,placement@maakamakhya.ac.in,+91-80-015-9297,Other Engineering Branches,Diploma,60,360,2009,Urban,Yes,Yes
1-44643837407,1-44643837407,U-0698,MAA KAMAKHYA POLYTECHNIC,Active,Bihar,Rohtas,Rohtas,TILOUTHU,800087,25.100322,85.323394,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,Not Accredited,No,,Tier 3,http://www.maakamakhya.ac.in,info@maakamakhya.ac.in,admissions@maakamakhya.ac.in,placement@maakamakhya.ac.in,+91-80-015-9297,Electrical & Electronics Engineering (EEE),Diploma,30,360,2009,Urban,Yes,Yes
1-44643837407,1-44643837407,U-0698,MAA KAMAKHYA POLYTECHNIC,Active,Bihar,Rohtas,Rohtas,TILOUTHU,800087,25.100322,85.323394,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,Not Accredited,No,,Tier 3,http://www.maakamakhya.ac.in,info@maakamakhya.ac.in,admissions@maakamakhya.ac.in,placement@maakamakhya.ac.in,+91-80-015-9297,Information Technology (IT),Diploma,30,360,2009,Urban,Yes,Yes
1-44753821483,1-44753821483,U-0057,FACULTY OF INFORMATION TECHNOLOGY AND ENGINEERING,Active,Bihar,Rohtas,Rohtas,"VILLAGE+PO-JAMUHAR, PS-DEHRI",800087,25.091569,85.297833,State Private University,GOPAL NARAYAN SINGH UNIVERSITY,Approved,Approved,A+,No,,Tier 3,http://www.facultyinformation.ac.in,info@facultyinformation.ac.in,admissions@facultyinformation.ac.in,placement@facultyinformation.ac.in,+91-80-648-8094,Computer Science Engineering (CSE),B.Tech,120,300,2016,Rural,No,Yes
1-44753821483,1-44753821483,U-0057,FACULTY OF INFORMATION TECHNOLOGY AND ENGINEERING,Active,Bihar,Rohtas,Rohtas,"VILLAGE+PO-JAMUHAR, PS-DEHRI",800087,25.091569,85.297833,State Private University,GOPAL NARAYAN SINGH UNIVERSITY,Approved,Approved,A+,No,,Tier 3,http://www.facultyinformation.ac.in,info@facultyinformation.ac.in,admissions@facultyinformation.ac.in,placement@facultyinformation.ac.in,+91-80-648-8094,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,300,2016,Rural,No,Yes
1-44753821483,1-44753821483,U-0057,FACULTY OF INFORMATION TECHNOLOGY AND ENGINEERING,Active,Bihar,Rohtas,Rohtas,"VILLAGE+PO-JAMUHAR, PS-DEHRI",800087,25.091569,85.297833,State Private University,GOPAL NARAYAN SINGH UNIVERSITY,Approved,Approved,A+,No,,Tier 3,http://www.facultyinformation.ac.in,info@facultyinformation.ac.in,admissions@facultyinformation.ac.in,placement@facultyinformation.ac.in,+91-80-648-8094,Electronics & Communication Engineering (ECE),B.Tech,60,300,2016,Rural,No,Yes
1-44753821483,1-44753821483,U-0057,FACULTY OF INFORMATION TECHNOLOGY AND ENGINEERING,Active,Bihar,Rohtas,Rohtas,"VILLAGE+PO-JAMUHAR, PS-DEHRI",800087,25.091569,85.297833,State Private University,GOPAL NARAYAN SINGH UNIVERSITY,Approved,Approved,A+,No,,Tier 3,http://www.facultyinformation.ac.in,info@facultyinformation.ac.in,admissions@facultyinformation.ac.in,placement@facultyinformation.ac.in,+91-80-648-8094,Agricultural Engineering,B.Tech,60,300,2016,Rural,No,Yes
