College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638744438,1-44638744438,U-0992,L M THAPAR SCHOOL OF MANAGEMENT,Active,Punjab,S.A.S Nagar,S.A.S Nagar,"VILLAGE BEHRA, TEHSIL DERABASSI",140961,31.159057,75.345245,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.lmthapar.ac.in,info@lmthapar.ac.in,admissions@lmthapar.ac.in,placement@lmthapar.ac.in,+91-80-340-3801,Computer Science Engineering (CSE),B.Tech,120,120,1984,Rural,Yes,Yes
1-44639615499,1-44639615499,U-0150,LONGOWAL POLYTECHNIC & PHARMACY COLLEGE,Active,Punjab,S.A.S Nagar,S.A.S Nagar,GOVT.COLLEGE ROAD SHAKTI NAGAR,140961,31.155828,75.359663,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B++,No,,Tier 3,http://www.longowalpharmacy.ac.in,info@longowalpharmacy.ac.in,admissions@longowalpharmacy.ac.in,placement@longowalpharmacy.ac.in,+91-80-204-9398,Civil Engineering,Diploma,60,480,1997,Urban,Yes,Yes
1-44639615499,1-44639615499,U-0150,LONGOWAL POLYTECHNIC & PHARMACY COLLEGE,Active,Punjab,S.A.S Nagar,S.A.S Nagar,GOVT.COLLEGE ROAD SHAKTI NAGAR,140961,31.155828,75.359663,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B++,No,,Tier 3,http://www.longowalpharmacy.ac.in,info@longowalpharmacy.ac.in,admissions@longowalpharmacy.ac.in,placement@longowalpharmacy.ac.in,+91-80-204-9398,Electrical Engineering,Diploma,120,480,1997,Urban,Yes,Yes
1-44639615499,1-44639615499,U-0150,LONGOWAL POLYTECHNIC & PHARMACY COLLEGE,Active,Punjab,S.A.S Nagar,S.A.S Nagar,GOVT.COLLEGE ROAD SHAKTI NAGAR,140961,31.155828,75.359663,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B++,No,,Tier 3,http://www.longowalpharmacy.ac.in,info@longowalpharmacy.ac.in,admissions@longowalpharmacy.ac.in,placement@longowalpharmacy.ac.in,+91-80-204-9398,Computer Science Engineering (CSE),Diploma,120,480,1997,Urban,Yes,Yes
1-44639615499,1-44639615499,U-0150,LONGOWAL POLYTECHNIC & PHARMACY COLLEGE,Active,Punjab,S.A.S Nagar,S.A.S Nagar,GOVT.COLLEGE ROAD SHAKTI NAGAR,140961,31.155828,75.359663,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B++,No,,Tier 3,http://www.longowalpharmacy.ac.in,info@longowalpharmacy.ac.in,admissions@longowalpharmacy.ac.in,placement@longowalpharmacy.ac.in,+91-80-204-9398,Mechanical Engineering,Diploma,120,480,1997,Urban,Yes,Yes
1-44639615499,1-44639615499,U-0150,LONGOWAL POLYTECHNIC & PHARMACY COLLEGE,Active,Punjab,S.A.S Nagar,S.A.S Nagar,GOVT.COLLEGE ROAD SHAKTI NAGAR,140961,31.155828,75.359663,Private-Self Financing,Punjab State Board of Technical Education,Approved,Approved,B++,No,,Tier 3,http://www.longowalpharmacy.ac.in,info@longowalpharmacy.ac.in,admissions@longowalpharmacy.ac.in,placement@longowalpharmacy.ac.in,+91-80-204-9398,Other Engineering Branches,Diploma,60,480,1997,Urban,Yes,Yes
1-44640355915,1-44640355915,U-0724,DOABA INSTITUTE OF ENGG. & TECH.,Active,Punjab,S.A.S Nagar,S.A.S Nagar,"VILLAGE-GHATAUR, PO-ALLAPUR, TEHSIL-KHARAR, DISTT - S.A.S. NAGAR (MOHALI) - PUNJAB",140961,31.131211,75.348535,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,No,,Tier 3,http://www.doabaenggtech.ac.in,info@doabaenggtech.ac.in,admissions@doabaenggtech.ac.in,placement@doabaenggtech.ac.in,+91-80-172-4590,Electronics & Communication Engineering (ECE),B.Tech,30,579,2014,Rural,Yes,Yes
1-44640355915,1-44640355915,U-0724,DOABA INSTITUTE OF ENGG. & TECH.,Active,Punjab,S.A.S Nagar,S.A.S Nagar,"VILLAGE-GHATAUR, PO-ALLAPUR, TEHSIL-KHARAR, DISTT - S.A.S. NAGAR (MOHALI) - PUNJAB",140961,31.131211,75.348535,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,No,,Tier 3,http://www.doabaenggtech.ac.in,info@doabaenggtech.ac.in,admissions@doabaenggtech.ac.in,placement@doabaenggtech.ac.in,+91-80-172-4590,Mechanical Engineering,B.Tech,60,579,2014,Rural,Yes,Yes
1-44640355915,1-44640355915,U-0724,DOABA INSTITUTE OF ENGG. & TECH.,Active,Punjab,S.A.S Nagar,S.A.S Nagar,"VILLAGE-GHATAUR, PO-ALLAPUR, TEHSIL-KHARAR, DISTT - S.A.S. NAGAR (MOHALI) - PUNJAB",140961,31.131211,75.348535,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,No,,Tier 3,http://www.doabaenggtech.ac.in,info@doabaenggtech.ac.in,admissions@doabaenggtech.ac.in,placement@doabaenggtech.ac.in,+91-80-172-4590,Electronics & Communication Engineering (ECE),M.Tech,9,579,2014,Rural,Yes,Yes
1-44640355915,1-44640355915,U-0724,DOABA INSTITUTE OF ENGG. & TECH.,Active,Punjab,S.A.S Nagar,S.A.S Nagar,"VILLAGE-GHATAUR, PO-ALLAPUR, TEHSIL-KHARAR, DISTT - S.A.S. NAGAR (MOHALI) - PUNJAB",140961,31.131211,75.348535,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,No,,Tier 3,http://www.doabaenggtech.ac.in,info@doabaenggtech.ac.in,admissions@doabaenggtech.ac.in,placement@doabaenggtech.ac.in,+91-80-172-4590,Computer Science Engineering (CSE),B.Tech,120,579,2014,Rural,Yes,Yes
1-44640355915,1-44640355915,U-0724,DOABA INSTITUTE OF ENGG. & TECH.,Active,Punjab,S.A.S Nagar,S.A.S Nagar,"VILLAGE-GHATAUR, PO-ALLAPUR, TEHSIL-KHARAR, DISTT - S.A.S. NAGAR (MOHALI) - PUNJAB",140961,31.131211,75.348535,Private-Self Financing,"Punjab Technical University, Jalandhar",Approved,Approved,A+,No,,Tier 3,http://www.doabaenggtech.ac.in,info@doabaenggtech.ac.in,admissions@doabaenggtech.ac.in,placement@doabaenggtech.ac.in,+91-80-172-4590,Civil Engineering,B.Tech,60,579,2014,Rural,Yes,Yes
