College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638556191,1-44638556191,U-0183,GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS,Active,Gujarat,Sabarkantha,Sabarkantha,AHMEDABAD -UDAIPUR HIGHWAY HIMATNAGAR DIST- SABARKANTHA,380348,22.26418,71.199419,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.growmorefoundations.ac.in,info@growmorefoundations.ac.in,admissions@growmorefoundations.ac.in,placement@growmorefoundations.ac.in,+91-80-068-7148,Computer Science Engineering (CSE),M.Tech,24,738,2009,Rural,Yes,Yes
1-44638556191,1-44638556191,U-0183,GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS,Active,Gujarat,Sabarkantha,Sabarkantha,AHMEDABAD -UDAIPUR HIGHWAY HIMATNAGAR DIST- SABARKANTHA,380348,22.26418,71.199419,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.growmorefoundations.ac.in,info@growmorefoundations.ac.in,admissions@growmorefoundations.ac.in,placement@growmorefoundations.ac.in,+91-80-068-7148,Electrical Engineering,M.Tech,24,738,2009,Rural,Yes,Yes
1-44638556191,1-44638556191,U-0183,GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS,Active,Gujarat,Sabarkantha,Sabarkantha,AHMEDABAD -UDAIPUR HIGHWAY HIMATNAGAR DIST- SABARKANTHA,380348,22.26418,71.199419,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.growmorefoundations.ac.in,info@growmorefoundations.ac.in,admissions@growmorefoundations.ac.in,placement@growmorefoundations.ac.in,+91-80-068-7148,Civil Engineering,B.Tech,60,738,2009,Rural,Yes,Yes
1-44638556191,1-44638556191,U-0183,GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS,Active,Gujarat,Sabarkantha,Sabarkantha,AHMEDABAD -UDAIPUR HIGHWAY HIMATNAGAR DIST- SABARKANTHA,380348,22.26418,71.199419,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.growmorefoundations.ac.in,info@growmorefoundations.ac.in,admissions@growmorefoundations.ac.in,placement@growmorefoundations.ac.in,+91-80-068-7148,Computer Science Engineering (CSE),B.Tech,60,738,2009,Rural,Yes,Yes
1-44638556191,1-44638556191,U-0183,GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS,Active,Gujarat,Sabarkantha,Sabarkantha,AHMEDABAD -UDAIPUR HIGHWAY HIMATNAGAR DIST- SABARKANTHA,380348,22.26418,71.199419,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.growmorefoundations.ac.in,info@growmorefoundations.ac.in,admissions@growmorefoundations.ac.in,placement@growmorefoundations.ac.in,+91-80-068-7148,Information Technology (IT),B.Tech,30,738,2009,Rural,Yes,Yes
1-44638556191,1-44638556191,U-0183,GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS,Active,Gujarat,Sabarkantha,Sabarkantha,AHMEDABAD -UDAIPUR HIGHWAY HIMATNAGAR DIST- SABARKANTHA,380348,22.26418,71.199419,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.growmorefoundations.ac.in,info@growmorefoundations.ac.in,admissions@growmorefoundations.ac.in,placement@growmorefoundations.ac.in,+91-80-068-7148,Civil Engineering,Diploma,120,738,2009,Rural,Yes,Yes
1-44638556191,1-44638556191,U-0183,GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS,Active,Gujarat,Sabarkantha,Sabarkantha,AHMEDABAD -UDAIPUR HIGHWAY HIMATNAGAR DIST- SABARKANTHA,380348,22.26418,71.199419,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.growmorefoundations.ac.in,info@growmorefoundations.ac.in,admissions@growmorefoundations.ac.in,placement@growmorefoundations.ac.in,+91-80-068-7148,Computer Science Engineering (CSE),Diploma,60,738,2009,Rural,Yes,Yes
1-44638556191,1-44638556191,U-0183,GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS,Active,Gujarat,Sabarkantha,Sabarkantha,AHMEDABAD -UDAIPUR HIGHWAY HIMATNAGAR DIST- SABARKANTHA,380348,22.26418,71.199419,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.growmorefoundations.ac.in,info@growmorefoundations.ac.in,admissions@growmorefoundations.ac.in,placement@growmorefoundations.ac.in,+91-80-068-7148,Information Technology (IT),Diploma,60,738,2009,Rural,Yes,Yes
1-44638556191,1-44638556191,U-0183,GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS,Active,Gujarat,Sabarkantha,Sabarkantha,AHMEDABAD -UDAIPUR HIGHWAY HIMATNAGAR DIST- SABARKANTHA,380348,22.26418,71.199419,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.growmorefoundations.ac.in,info@growmorefoundations.ac.in,admissions@growmorefoundations.ac.in,placement@growmorefoundations.ac.in,+91-80-068-7148,Mechanical Engineering,Diploma,120,738,2009,Rural,Yes,Yes
1-44638556191,1-44638556191,U-0183,GROW MORE FOUNDATION'S GROUP OF INSTITUTIONS,Active,Gujarat,Sabarkantha,Sabarkantha,AHMEDABAD -UDAIPUR HIGHWAY HIMATNAGAR DIST- SABARKANTHA,380348,22.26418,71.199419,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.growmorefoundations.ac.in,info@growmorefoundations.ac.in,admissions@growmorefoundations.ac.in,placement@growmorefoundations.ac.in,+91-80-068-7148,Electrical Engineering,Diploma,60,738,2009,Rural,Yes,Yes
