College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638368312,1-44638368312,U-0992,DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR,Active,Madhya Pradesh,Sagar,Sagar,"DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR CENTRAL UNIVERSITY, SAGAR MP 470003",470003,23.840971,78.753767,Central University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.drharisinghgour.ac.in,info@drharisinghgour.ac.in,admissions@drharisinghgour.ac.in,placement@drharisinghgour.ac.in,+91-80-929-9430,Computer Science Engineering (CSE),B.Tech,60,360,2014,Urban,No,Yes
1-44638368312,1-44638368312,U-0992,DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR,Active,Madhya Pradesh,Sagar,Sagar,"DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR CENTRAL UNIVERSITY, SAGAR MP 470003",470003,23.840971,78.753767,Central University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.drharisinghgour.ac.in,info@drharisinghgour.ac.in,admissions@drharisinghgour.ac.in,placement@drharisinghgour.ac.in,+91-80-929-9430,Electronics & Communication Engineering (ECE),B.Tech,60,360,2014,Urban,No,Yes
1-44638368312,1-44638368312,U-0992,DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR,Active,Madhya Pradesh,Sagar,Sagar,"DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR CENTRAL UNIVERSITY, SAGAR MP 470003",470003,23.840971,78.753767,Central University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.drharisinghgour.ac.in,info@drharisinghgour.ac.in,admissions@drharisinghgour.ac.in,placement@drharisinghgour.ac.in,+91-80-929-9430,Aeronautical Engineering,B.Tech,60,360,2014,Urban,No,Yes
1-44638368312,1-44638368312,U-0992,DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR,Active,Madhya Pradesh,Sagar,Sagar,"DR. HARISINGH GOUR VISHWAVIDYALAYA SAGAR CENTRAL UNIVERSITY, SAGAR MP 470003",470003,23.840971,78.753767,Central University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.drharisinghgour.ac.in,info@drharisinghgour.ac.in,admissions@drharisinghgour.ac.in,placement@drharisinghgour.ac.in,+91-80-929-9430,Other Engineering Branches,B.Tech,180,360,2014,Urban,No,Yes
1-44639616683,1-44639616683,U-0441,"S.R.GOVT. POLYTECHNIC COLLEGE, SAGAR (MP)",Active,Madhya Pradesh,Sagar,Sagar,"TILLI ROAD, SAGAR (MP)",452081,23.834646,78.737816,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.srgovtsagarmp.ac.in,info@srgovtsagarmp.ac.in,admissions@srgovtsagarmp.ac.in,placement@srgovtsagarmp.ac.in,+91-80-664-6400,Other Engineering Branches,Diploma,120,240,2011,Rural,Yes,No
1-44639616683,1-44639616683,U-0441,"S.R.GOVT. POLYTECHNIC COLLEGE, SAGAR (MP)",Active,Madhya Pradesh,Sagar,Sagar,"TILLI ROAD, SAGAR (MP)",452081,23.834646,78.737816,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.srgovtsagarmp.ac.in,info@srgovtsagarmp.ac.in,admissions@srgovtsagarmp.ac.in,placement@srgovtsagarmp.ac.in,+91-80-664-6400,Computer Science Engineering (CSE),Diploma,60,240,2011,Rural,Yes,No
1-44639616683,1-44639616683,U-0441,"S.R.GOVT. POLYTECHNIC COLLEGE, SAGAR (MP)",Active,Madhya Pradesh,Sagar,Sagar,"TILLI ROAD, SAGAR (MP)",452081,23.834646,78.737816,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A+,Yes,,Tier 2,http://www.srgovtsagarmp.ac.in,info@srgovtsagarmp.ac.in,admissions@srgovtsagarmp.ac.in,placement@srgovtsagarmp.ac.in,+91-80-664-6400,Electronics & Communication Engineering (ECE),Diploma,60,240,2011,Rural,Yes,No
1-44640700660,1-44640700660,U-0441,INFINITY MANAGEMENT & ENGINEERING COLLEGE,Active,Madhya Pradesh,Sagar,Sagar,"UNIVERSITY ROAD,PATHARIA JAT",452081,23.850377,78.754936,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.infinitymanagement.ac.in,info@infinitymanagement.ac.in,admissions@infinitymanagement.ac.in,placement@infinitymanagement.ac.in,+91-80-324-4397,Civil Engineering,B.Tech,60,564,1988,Urban,Yes,Yes
1-44640700660,1-44640700660,U-0441,INFINITY MANAGEMENT & ENGINEERING COLLEGE,Active,Madhya Pradesh,Sagar,Sagar,"UNIVERSITY ROAD,PATHARIA JAT",452081,23.850377,78.754936,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.infinitymanagement.ac.in,info@infinitymanagement.ac.in,admissions@infinitymanagement.ac.in,placement@infinitymanagement.ac.in,+91-80-324-4397,Computer Science Engineering (CSE),B.Tech,60,564,1988,Urban,Yes,Yes
1-44640700660,1-44640700660,U-0441,INFINITY MANAGEMENT & ENGINEERING COLLEGE,Active,Madhya Pradesh,Sagar,Sagar,"UNIVERSITY ROAD,PATHARIA JAT",452081,23.850377,78.754936,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.infinitymanagement.ac.in,info@infinitymanagement.ac.in,admissions@infinitymanagement.ac.in,placement@infinitymanagement.ac.in,+91-80-324-4397,Electronics & Communication Engineering (ECE),B.Tech,30,564,1988,Urban,Yes,Yes
1-44640700660,1-44640700660,U-0441,INFINITY MANAGEMENT & ENGINEERING COLLEGE,Active,Madhya Pradesh,Sagar,Sagar,"UNIVERSITY ROAD,PATHARIA JAT",452081,23.850377,78.754936,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.infinitymanagement.ac.in,info@infinitymanagement.ac.in,admissions@infinitymanagement.ac.in,placement@infinitymanagement.ac.in,+91-80-324-4397,Mechanical Engineering,B.Tech,60,564,1988,Urban,Yes,Yes
1-44640700660,1-44640700660,U-0441,INFINITY MANAGEMENT & ENGINEERING COLLEGE,Active,Madhya Pradesh,Sagar,Sagar,"UNIVERSITY ROAD,PATHARIA JAT",452081,23.850377,78.754936,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.infinitymanagement.ac.in,info@infinitymanagement.ac.in,admissions@infinitymanagement.ac.in,placement@infinitymanagement.ac.in,+91-80-324-4397,Computer Science Engineering (CSE),M.Tech,18,564,1988,Urban,Yes,Yes
1-44640700660,1-44640700660,U-0441,INFINITY MANAGEMENT & ENGINEERING COLLEGE,Active,Madhya Pradesh,Sagar,Sagar,"UNIVERSITY ROAD,PATHARIA JAT",452081,23.850377,78.754936,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.infinitymanagement.ac.in,info@infinitymanagement.ac.in,admissions@infinitymanagement.ac.in,placement@infinitymanagement.ac.in,+91-80-324-4397,Other Engineering Branches,M.Tech,66,564,1988,Urban,Yes,Yes
1-44640700660,1-44640700660,U-0441,INFINITY MANAGEMENT & ENGINEERING COLLEGE,Active,Madhya Pradesh,Sagar,Sagar,"UNIVERSITY ROAD,PATHARIA JAT",452081,23.850377,78.754936,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.infinitymanagement.ac.in,info@infinitymanagement.ac.in,admissions@infinitymanagement.ac.in,placement@infinitymanagement.ac.in,+91-80-324-4397,Civil Engineering,Diploma,60,564,1988,Urban,Yes,Yes
1-44640700660,1-44640700660,U-0441,INFINITY MANAGEMENT & ENGINEERING COLLEGE,Active,Madhya Pradesh,Sagar,Sagar,"UNIVERSITY ROAD,PATHARIA JAT",452081,23.850377,78.754936,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.infinitymanagement.ac.in,info@infinitymanagement.ac.in,admissions@infinitymanagement.ac.in,placement@infinitymanagement.ac.in,+91-80-324-4397,Mechanical Engineering,Diploma,60,564,1988,Urban,Yes,Yes
1-44640700660,1-44640700660,U-0441,INFINITY MANAGEMENT & ENGINEERING COLLEGE,Active,Madhya Pradesh,Sagar,Sagar,"UNIVERSITY ROAD,PATHARIA JAT",452081,23.850377,78.754936,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.infinitymanagement.ac.in,info@infinitymanagement.ac.in,admissions@infinitymanagement.ac.in,placement@infinitymanagement.ac.in,+91-80-324-4397,Electrical Engineering,B.Tech,30,564,1988,Urban,Yes,Yes
1-44640700660,1-44640700660,U-0441,INFINITY MANAGEMENT & ENGINEERING COLLEGE,Active,Madhya Pradesh,Sagar,Sagar,"UNIVERSITY ROAD,PATHARIA JAT",452081,23.850377,78.754936,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.infinitymanagement.ac.in,info@infinitymanagement.ac.in,admissions@infinitymanagement.ac.in,placement@infinitymanagement.ac.in,+91-80-324-4397,Electrical Engineering,Diploma,60,564,1988,Urban,Yes,Yes
1-44640700660,1-44640700660,U-0441,INFINITY MANAGEMENT & ENGINEERING COLLEGE,Active,Madhya Pradesh,Sagar,Sagar,"UNIVERSITY ROAD,PATHARIA JAT",452081,23.850377,78.754936,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 3,http://www.infinitymanagement.ac.in,info@infinitymanagement.ac.in,admissions@infinitymanagement.ac.in,placement@infinitymanagement.ac.in,+91-80-324-4397,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,564,1988,Urban,Yes,Yes
1-44640736792,1-44640736792,U-0441,"GOVT. POLYTECHNIC COLLEGE, KHURAI",Active,Madhya Pradesh,Sagar,Sagar,"PATHARI ROAD, KHURAI 470 117",452081,23.823771,78.741392,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.govtkhurai.ac.in,info@govtkhurai.ac.in,admissions@govtkhurai.ac.in,placement@govtkhurai.ac.in,+91-80-208-5014,Civil Engineering,Diploma,54,162,2016,Rural,No,Yes
1-44640736792,1-44640736792,U-0441,"GOVT. POLYTECHNIC COLLEGE, KHURAI",Active,Madhya Pradesh,Sagar,Sagar,"PATHARI ROAD, KHURAI 470 117",452081,23.823771,78.741392,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.govtkhurai.ac.in,info@govtkhurai.ac.in,admissions@govtkhurai.ac.in,placement@govtkhurai.ac.in,+91-80-208-5014,Mechanical Engineering,Diploma,54,162,2016,Rural,No,Yes
1-44640736792,1-44640736792,U-0441,"GOVT. POLYTECHNIC COLLEGE, KHURAI",Active,Madhya Pradesh,Sagar,Sagar,"PATHARI ROAD, KHURAI 470 117",452081,23.823771,78.741392,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.govtkhurai.ac.in,info@govtkhurai.ac.in,admissions@govtkhurai.ac.in,placement@govtkhurai.ac.in,+91-80-208-5014,Electrical Engineering,Diploma,54,162,2016,Rural,No,Yes
1-44641959049,1-44641959049,U-0337,"SWAMI VIVEKANAND INSTITUTE OF TECHNOLOGY, SAGAR",Active,Madhya Pradesh,Sagar,Sagar,"BEHIND DR.H.S.GOUR UNIVERSITY, N.H.-26, NARSHINGPUR ROAD, SIRONJA, SAGAR (M.P.) 470228",470228,23.854781,78.718504,Private-Self Financing,"SWAMI VIVEKANAND UNIVERSITY, SIRONJA, SAGAR (M.P.)",Approved,Approved,B++,Yes,,Tier 3,http://www.swamivivekanandsagar.ac.in,info@swamivivekanandsagar.ac.in,admissions@swamivivekanandsagar.ac.in,placement@swamivivekanandsagar.ac.in,+91-80-509-1460,Other Engineering Branches,M.Tech,18,726,2009,Urban,Yes,Yes
1-44641959049,1-44641959049,U-0337,"SWAMI VIVEKANAND INSTITUTE OF TECHNOLOGY, SAGAR",Active,Madhya Pradesh,Sagar,Sagar,"BEHIND DR.H.S.GOUR UNIVERSITY, N.H.-26, NARSHINGPUR ROAD, SIRONJA, SAGAR (M.P.) 470228",470228,23.854781,78.718504,Private-Self Financing,"SWAMI VIVEKANAND UNIVERSITY, SIRONJA, SAGAR (M.P.)",Approved,Approved,B++,Yes,,Tier 3,http://www.swamivivekanandsagar.ac.in,info@swamivivekanandsagar.ac.in,admissions@swamivivekanandsagar.ac.in,placement@swamivivekanandsagar.ac.in,+91-80-509-1460,Computer Science Engineering (CSE),M.Tech,18,726,2009,Urban,Yes,Yes
1-44641959049,1-44641959049,U-0337,"SWAMI VIVEKANAND INSTITUTE OF TECHNOLOGY, SAGAR",Active,Madhya Pradesh,Sagar,Sagar,"BEHIND DR.H.S.GOUR UNIVERSITY, N.H.-26, NARSHINGPUR ROAD, SIRONJA, SAGAR (M.P.) 470228",470228,23.854781,78.718504,Private-Self Financing,"SWAMI VIVEKANAND UNIVERSITY, SIRONJA, SAGAR (M.P.)",Approved,Approved,B++,Yes,,Tier 3,http://www.swamivivekanandsagar.ac.in,info@swamivivekanandsagar.ac.in,admissions@swamivivekanandsagar.ac.in,placement@swamivivekanandsagar.ac.in,+91-80-509-1460,Mechanical Engineering,B.Tech,120,726,2009,Urban,Yes,Yes
1-44641959049,1-44641959049,U-0337,"SWAMI VIVEKANAND INSTITUTE OF TECHNOLOGY, SAGAR",Active,Madhya Pradesh,Sagar,Sagar,"BEHIND DR.H.S.GOUR UNIVERSITY, N.H.-26, NARSHINGPUR ROAD, SIRONJA, SAGAR (M.P.) 470228",470228,23.854781,78.718504,Private-Self Financing,"SWAMI VIVEKANAND UNIVERSITY, SIRONJA, SAGAR (M.P.)",Approved,Approved,B++,Yes,,Tier 3,http://www.swamivivekanandsagar.ac.in,info@swamivivekanandsagar.ac.in,admissions@swamivivekanandsagar.ac.in,placement@swamivivekanandsagar.ac.in,+91-80-509-1460,Computer Science Engineering (CSE),B.Tech,90,726,2009,Urban,Yes,Yes
1-44641959049,1-44641959049,U-0337,"SWAMI VIVEKANAND INSTITUTE OF TECHNOLOGY, SAGAR",Active,Madhya Pradesh,Sagar,Sagar,"BEHIND DR.H.S.GOUR UNIVERSITY, N.H.-26, NARSHINGPUR ROAD, SIRONJA, SAGAR (M.P.) 470228",470228,23.854781,78.718504,Private-Self Financing,"SWAMI VIVEKANAND UNIVERSITY, SIRONJA, SAGAR (M.P.)",Approved,Approved,B++,Yes,,Tier 3,http://www.swamivivekanandsagar.ac.in,info@swamivivekanandsagar.ac.in,admissions@swamivivekanandsagar.ac.in,placement@swamivivekanandsagar.ac.in,+91-80-509-1460,Electrical & Electronics Engineering (EEE),B.Tech,30,726,2009,Urban,Yes,Yes
1-44641959049,1-44641959049,U-0337,"SWAMI VIVEKANAND INSTITUTE OF TECHNOLOGY, SAGAR",Active,Madhya Pradesh,Sagar,Sagar,"BEHIND DR.H.S.GOUR UNIVERSITY, N.H.-26, NARSHINGPUR ROAD, SIRONJA, SAGAR (M.P.) 470228",470228,23.854781,78.718504,Private-Self Financing,"SWAMI VIVEKANAND UNIVERSITY, SIRONJA, SAGAR (M.P.)",Approved,Approved,B++,Yes,,Tier 3,http://www.swamivivekanandsagar.ac.in,info@swamivivekanandsagar.ac.in,admissions@swamivivekanandsagar.ac.in,placement@swamivivekanandsagar.ac.in,+91-80-509-1460,Electronics & Communication Engineering (ECE),B.Tech,120,726,2009,Urban,Yes,Yes
1-44641959049,1-44641959049,U-0337,"SWAMI VIVEKANAND INSTITUTE OF TECHNOLOGY, SAGAR",Active,Madhya Pradesh,Sagar,Sagar,"BEHIND DR.H.S.GOUR UNIVERSITY, N.H.-26, NARSHINGPUR ROAD, SIRONJA, SAGAR (M.P.) 470228",470228,23.854781,78.718504,Private-Self Financing,"SWAMI VIVEKANAND UNIVERSITY, SIRONJA, SAGAR (M.P.)",Approved,Approved,B++,Yes,,Tier 3,http://www.swamivivekanandsagar.ac.in,info@swamivivekanandsagar.ac.in,admissions@swamivivekanandsagar.ac.in,placement@swamivivekanandsagar.ac.in,+91-80-509-1460,Information Technology (IT),B.Tech,30,726,2009,Urban,Yes,Yes
