College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639486344,1-44639486344,U-0164,DEV BHOOMI GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL.JAMAPUR BERI DABKI ROAD, NEAR BALIA KHERI RAILWAY STATION SAHARANPUR",201081,26.84294,80.950577,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-681-1548,Mechanical Engineering,B.Tech,30,180,2008,Rural,Yes,Yes
1-44639486344,1-44639486344,U-0164,DEV BHOOMI GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL.JAMAPUR BERI DABKI ROAD, NEAR BALIA KHERI RAILWAY STATION SAHARANPUR",201081,26.84294,80.950577,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-681-1548,Electronics & Communication Engineering (ECE),B.Tech,30,180,2008,Rural,Yes,Yes
1-44639486344,1-44639486344,U-0164,DEV BHOOMI GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL.JAMAPUR BERI DABKI ROAD, NEAR BALIA KHERI RAILWAY STATION SAHARANPUR",201081,26.84294,80.950577,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-681-1548,Computer Science Engineering (CSE),B.Tech,60,180,2008,Rural,Yes,Yes
1-44639486344,1-44639486344,U-0164,DEV BHOOMI GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL.JAMAPUR BERI DABKI ROAD, NEAR BALIA KHERI RAILWAY STATION SAHARANPUR",201081,26.84294,80.950577,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-681-1548,Civil Engineering,B.Tech,30,180,2008,Rural,Yes,Yes
1-44639486344,1-44639486344,U-0164,DEV BHOOMI GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL.JAMAPUR BERI DABKI ROAD, NEAR BALIA KHERI RAILWAY STATION SAHARANPUR",201081,26.84294,80.950577,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-681-1548,Electrical & Electronics Engineering (EEE),B.Tech,30,180,2008,Rural,Yes,Yes
1-44640155455,1-44640155455,U-0449,GOVERNMENT POLYTECHNIC SAHARANPUR,Active,Uttar Pradesh,Saharanpur,Saharanpur,CHUNETI GADA DELHI ROAD SAHARANPUR,201081,26.841743,80.93781,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.saharanpur.ac.in,info@saharanpur.ac.in,admissions@saharanpur.ac.in,placement@saharanpur.ac.in,+91-80-630-9450,Other Engineering Branches,Diploma,54,108,2015,Urban,No,No
1-44640155455,1-44640155455,U-0449,GOVERNMENT POLYTECHNIC SAHARANPUR,Active,Uttar Pradesh,Saharanpur,Saharanpur,CHUNETI GADA DELHI ROAD SAHARANPUR,201081,26.841743,80.93781,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B++,Yes,,Tier 3,http://www.saharanpur.ac.in,info@saharanpur.ac.in,admissions@saharanpur.ac.in,placement@saharanpur.ac.in,+91-80-630-9450,Computer Science Engineering (CSE),Diploma,54,108,2015,Urban,No,No
1-44639763460,1-44639763460,U-0449,SAVITRI BAI PHULE GOVERMENT GIRLS POLYTECHNIC,Active,Uttar Pradesh,Saharanpur,Saharanpur,DEHRADUN ROAD KHUMARHERA SAHARANPUR,201081,26.836829,80.938575,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.savitribaiphule.ac.in,info@savitribaiphule.ac.in,admissions@savitribaiphule.ac.in,placement@savitribaiphule.ac.in,+91-80-424-8399,Other Engineering Branches,Diploma,30,150,1985,Urban,Yes,No
1-44639763460,1-44639763460,U-0449,SAVITRI BAI PHULE GOVERMENT GIRLS POLYTECHNIC,Active,Uttar Pradesh,Saharanpur,Saharanpur,DEHRADUN ROAD KHUMARHERA SAHARANPUR,201081,26.836829,80.938575,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.savitribaiphule.ac.in,info@savitribaiphule.ac.in,admissions@savitribaiphule.ac.in,placement@savitribaiphule.ac.in,+91-80-424-8399,Computer Science Engineering (CSE),Diploma,60,150,1985,Urban,Yes,No
1-44639763460,1-44639763460,U-0449,SAVITRI BAI PHULE GOVERMENT GIRLS POLYTECHNIC,Active,Uttar Pradesh,Saharanpur,Saharanpur,DEHRADUN ROAD KHUMARHERA SAHARANPUR,201081,26.836829,80.938575,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.savitribaiphule.ac.in,info@savitribaiphule.ac.in,admissions@savitribaiphule.ac.in,placement@savitribaiphule.ac.in,+91-80-424-8399,Civil Engineering,Diploma,60,150,1985,Urban,Yes,No
1-44640334391,1-44640334391,U-0449,DEV BHOOMI INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL. JAMAPUR BERI,NEAR BALIA KHERI RAILWAY STATION,DABKI ROAD,",201081,26.831388,80.946554,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-196-6210,Civil Engineering,Diploma,60,300,1987,Urban,No,Yes
1-44640334391,1-44640334391,U-0449,DEV BHOOMI INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL. JAMAPUR BERI,NEAR BALIA KHERI RAILWAY STATION,DABKI ROAD,",201081,26.831388,80.946554,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-196-6210,Automobile Engineering,Diploma,30,300,1987,Urban,No,Yes
1-44640334391,1-44640334391,U-0449,DEV BHOOMI INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL. JAMAPUR BERI,NEAR BALIA KHERI RAILWAY STATION,DABKI ROAD,",201081,26.831388,80.946554,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-196-6210,Electrical Engineering,Diploma,60,300,1987,Urban,No,Yes
1-44640334391,1-44640334391,U-0449,DEV BHOOMI INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL. JAMAPUR BERI,NEAR BALIA KHERI RAILWAY STATION,DABKI ROAD,",201081,26.831388,80.946554,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-196-6210,Other Engineering Branches,Diploma,90,300,1987,Urban,No,Yes
1-44640334391,1-44640334391,U-0449,DEV BHOOMI INSTITUTE OF POLYTECHNIC,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL. JAMAPUR BERI,NEAR BALIA KHERI RAILWAY STATION,DABKI ROAD,",201081,26.831388,80.946554,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.devbhoomi.ac.in,info@devbhoomi.ac.in,admissions@devbhoomi.ac.in,placement@devbhoomi.ac.in,+91-80-196-6210,Computer Science Engineering (CSE),Diploma,60,300,1987,Urban,No,Yes
1-44641231165,1-44641231165,U-0449,DREAMS COLLEGE OF POLYTECHNIQUE,Active,Uttar Pradesh,Saharanpur,Saharanpur,5TH KM MILESTONE JANTA ROAD SAHARANPUR,201081,26.835912,80.95991,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.dreamspolytechnique.ac.in,info@dreamspolytechnique.ac.in,admissions@dreamspolytechnique.ac.in,placement@dreamspolytechnique.ac.in,+91-80-386-3767,Civil Engineering,Diploma,60,240,2020,Rural,Yes,No
1-44641231165,1-44641231165,U-0449,DREAMS COLLEGE OF POLYTECHNIQUE,Active,Uttar Pradesh,Saharanpur,Saharanpur,5TH KM MILESTONE JANTA ROAD SAHARANPUR,201081,26.835912,80.95991,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.dreamspolytechnique.ac.in,info@dreamspolytechnique.ac.in,admissions@dreamspolytechnique.ac.in,placement@dreamspolytechnique.ac.in,+91-80-386-3767,Mechanical Engineering,Diploma,60,240,2020,Rural,Yes,No
1-44641231165,1-44641231165,U-0449,DREAMS COLLEGE OF POLYTECHNIQUE,Active,Uttar Pradesh,Saharanpur,Saharanpur,5TH KM MILESTONE JANTA ROAD SAHARANPUR,201081,26.835912,80.95991,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.dreamspolytechnique.ac.in,info@dreamspolytechnique.ac.in,admissions@dreamspolytechnique.ac.in,placement@dreamspolytechnique.ac.in,+91-80-386-3767,Electrical Engineering,Diploma,60,240,2020,Rural,Yes,No
1-44641231165,1-44641231165,U-0449,DREAMS COLLEGE OF POLYTECHNIQUE,Active,Uttar Pradesh,Saharanpur,Saharanpur,5TH KM MILESTONE JANTA ROAD SAHARANPUR,201081,26.835912,80.95991,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.dreamspolytechnique.ac.in,info@dreamspolytechnique.ac.in,admissions@dreamspolytechnique.ac.in,placement@dreamspolytechnique.ac.in,+91-80-386-3767,Other Engineering Branches,Diploma,30,240,2020,Rural,Yes,No
1-44641231165,1-44641231165,U-0449,DREAMS COLLEGE OF POLYTECHNIQUE,Active,Uttar Pradesh,Saharanpur,Saharanpur,5TH KM MILESTONE JANTA ROAD SAHARANPUR,201081,26.835912,80.95991,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B+,No,,Tier 3,http://www.dreamspolytechnique.ac.in,info@dreamspolytechnique.ac.in,admissions@dreamspolytechnique.ac.in,placement@dreamspolytechnique.ac.in,+91-80-386-3767,Computer Science Engineering (CSE),Diploma,30,240,2020,Rural,Yes,No
1-44643136277,1-44643136277,U-0449,INDRAPRASTHA INSTITUTE OF MANAGEMENT & TECHNOLOGY,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL: UMAHI (KOTA),SAHARANPUR MUZZAFAR NAGAR STATE HIGHWAY,SAHARANPUR",201081,26.835263,80.932265,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.indraprasthamanagement.ac.in,info@indraprasthamanagement.ac.in,admissions@indraprasthamanagement.ac.in,placement@indraprasthamanagement.ac.in,+91-80-359-1718,Mechanical Engineering,Diploma,150,720,1996,Urban,Yes,Yes
1-44643136277,1-44643136277,U-0449,INDRAPRASTHA INSTITUTE OF MANAGEMENT & TECHNOLOGY,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL: UMAHI (KOTA),SAHARANPUR MUZZAFAR NAGAR STATE HIGHWAY,SAHARANPUR",201081,26.835263,80.932265,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.indraprasthamanagement.ac.in,info@indraprasthamanagement.ac.in,admissions@indraprasthamanagement.ac.in,placement@indraprasthamanagement.ac.in,+91-80-359-1718,Computer Science Engineering (CSE),B.Tech,120,720,1996,Urban,Yes,Yes
1-44643136277,1-44643136277,U-0449,INDRAPRASTHA INSTITUTE OF MANAGEMENT & TECHNOLOGY,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL: UMAHI (KOTA),SAHARANPUR MUZZAFAR NAGAR STATE HIGHWAY,SAHARANPUR",201081,26.835263,80.932265,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.indraprasthamanagement.ac.in,info@indraprasthamanagement.ac.in,admissions@indraprasthamanagement.ac.in,placement@indraprasthamanagement.ac.in,+91-80-359-1718,Electronics & Communication Engineering (ECE),B.Tech,30,720,1996,Urban,Yes,Yes
1-44643136277,1-44643136277,U-0449,INDRAPRASTHA INSTITUTE OF MANAGEMENT & TECHNOLOGY,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL: UMAHI (KOTA),SAHARANPUR MUZZAFAR NAGAR STATE HIGHWAY,SAHARANPUR",201081,26.835263,80.932265,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.indraprasthamanagement.ac.in,info@indraprasthamanagement.ac.in,admissions@indraprasthamanagement.ac.in,placement@indraprasthamanagement.ac.in,+91-80-359-1718,Information Technology (IT),B.Tech,60,720,1996,Urban,Yes,Yes
1-44643136277,1-44643136277,U-0449,INDRAPRASTHA INSTITUTE OF MANAGEMENT & TECHNOLOGY,Active,Uttar Pradesh,Saharanpur,Saharanpur,"VILL: UMAHI (KOTA),SAHARANPUR MUZZAFAR NAGAR STATE HIGHWAY,SAHARANPUR",201081,26.835263,80.932265,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,B,No,,Tier 3,http://www.indraprasthamanagement.ac.in,info@indraprasthamanagement.ac.in,admissions@indraprasthamanagement.ac.in,placement@indraprasthamanagement.ac.in,+91-80-359-1718,Civil Engineering,B.Tech,30,720,1996,Urban,Yes,Yes
