College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638766160,1-44638766160,U-0272,SAHARSA COLLEGE OF ENGINEERING,Active,Bihar,Saharsa,Saharsa,"SAHARSA COLLEGE OF ENGINEERING, SAHARSA, HATIYA GACHHI, PIN CODE: 852201, SAHARSA, BIHAR",852201,25.109847,85.331461,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.saharsa.ac.in,info@saharsa.ac.in,admissions@saharsa.ac.in,placement@saharsa.ac.in,+91-80-415-4741,Civil Engineering,B.Tech,60,360,1995,Urban,Yes,Yes
1-44638766160,1-44638766160,U-0272,SAHARSA COLLEGE OF ENGINEERING,Active,Bihar,Saharsa,Saharsa,"SAHARSA COLLEGE OF ENGINEERING, SAHARSA, HATIYA GACHHI, PIN CODE: 852201, SAHARSA, BIHAR",852201,25.109847,85.331461,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.saharsa.ac.in,info@saharsa.ac.in,admissions@saharsa.ac.in,placement@saharsa.ac.in,+91-80-415-4741,Mechanical Engineering,B.Tech,60,360,1995,Urban,Yes,Yes
1-44638766160,1-44638766160,U-0272,SAHARSA COLLEGE OF ENGINEERING,Active,Bihar,Saharsa,Saharsa,"SAHARSA COLLEGE OF ENGINEERING, SAHARSA, HATIYA GACHHI, PIN CODE: 852201, SAHARSA, BIHAR",852201,25.109847,85.331461,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.saharsa.ac.in,info@saharsa.ac.in,admissions@saharsa.ac.in,placement@saharsa.ac.in,+91-80-415-4741,Electrical Engineering,B.Tech,60,360,1995,Urban,Yes,Yes
1-44638766160,1-44638766160,U-0272,SAHARSA COLLEGE OF ENGINEERING,Active,Bihar,Saharsa,Saharsa,"SAHARSA COLLEGE OF ENGINEERING, SAHARSA, HATIYA GACHHI, PIN CODE: 852201, SAHARSA, BIHAR",852201,25.109847,85.331461,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.saharsa.ac.in,info@saharsa.ac.in,admissions@saharsa.ac.in,placement@saharsa.ac.in,+91-80-415-4741,Electronics & Communication Engineering (ECE),B.Tech,60,360,1995,Urban,Yes,Yes
1-44638766160,1-44638766160,U-0272,SAHARSA COLLEGE OF ENGINEERING,Active,Bihar,Saharsa,Saharsa,"SAHARSA COLLEGE OF ENGINEERING, SAHARSA, HATIYA GACHHI, PIN CODE: 852201, SAHARSA, BIHAR",852201,25.109847,85.331461,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.saharsa.ac.in,info@saharsa.ac.in,admissions@saharsa.ac.in,placement@saharsa.ac.in,+91-80-415-4741,Data Science,B.Tech,60,360,1995,Urban,Yes,Yes
1-44638766160,1-44638766160,U-0272,SAHARSA COLLEGE OF ENGINEERING,Active,Bihar,Saharsa,Saharsa,"SAHARSA COLLEGE OF ENGINEERING, SAHARSA, HATIYA GACHHI, PIN CODE: 852201, SAHARSA, BIHAR",852201,25.109847,85.331461,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.saharsa.ac.in,info@saharsa.ac.in,admissions@saharsa.ac.in,placement@saharsa.ac.in,+91-80-415-4741,Computer Science Engineering (CSE),B.Tech,60,360,1995,Urban,Yes,Yes
1-44641109685,1-44641109685,U-0698,"GOVERMENT POLYTECHNIC,SAHARSA",Active,Bihar,Saharsa,Saharsa,"GANGJALA,SAHARSA",800078,25.106441,85.313072,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.govermentpolytechnicsaharsa.ac.in,info@govermentpolytechnicsaharsa.ac.in,admissions@govermentpolytechnicsaharsa.ac.in,placement@govermentpolytechnicsaharsa.ac.in,+91-80-272-5887,Mechanical Engineering,Diploma,60,360,1990,Rural,Yes,Yes
1-44641109685,1-44641109685,U-0698,"GOVERMENT POLYTECHNIC,SAHARSA",Active,Bihar,Saharsa,Saharsa,"GANGJALA,SAHARSA",800078,25.106441,85.313072,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.govermentpolytechnicsaharsa.ac.in,info@govermentpolytechnicsaharsa.ac.in,admissions@govermentpolytechnicsaharsa.ac.in,placement@govermentpolytechnicsaharsa.ac.in,+91-80-272-5887,Other Engineering Branches,Diploma,60,360,1990,Rural,Yes,Yes
1-44641109685,1-44641109685,U-0698,"GOVERMENT POLYTECHNIC,SAHARSA",Active,Bihar,Saharsa,Saharsa,"GANGJALA,SAHARSA",800078,25.106441,85.313072,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.govermentpolytechnicsaharsa.ac.in,info@govermentpolytechnicsaharsa.ac.in,admissions@govermentpolytechnicsaharsa.ac.in,placement@govermentpolytechnicsaharsa.ac.in,+91-80-272-5887,Electrical Engineering,Diploma,60,360,1990,Rural,Yes,Yes
1-44641109685,1-44641109685,U-0698,"GOVERMENT POLYTECHNIC,SAHARSA",Active,Bihar,Saharsa,Saharsa,"GANGJALA,SAHARSA",800078,25.106441,85.313072,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.govermentpolytechnicsaharsa.ac.in,info@govermentpolytechnicsaharsa.ac.in,admissions@govermentpolytechnicsaharsa.ac.in,placement@govermentpolytechnicsaharsa.ac.in,+91-80-272-5887,Computer Science Engineering (CSE),Diploma,60,360,1990,Rural,Yes,Yes
