College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638517716,1-44638517716,U-0429,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Salem,Salem,"VANAVASI, METTUR TALUK, SALEM DISTRICT-636 457",600266,11.654625,78.153492,Government,STATE BOARD OF TECHNICAL EDUCATION TAMILNADU,Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Civil Engineering,Diploma,60,360,2005,Urban,Yes,Yes
1-44638517716,1-44638517716,U-0429,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Salem,Salem,"VANAVASI, METTUR TALUK, SALEM DISTRICT-636 457",600266,11.654625,78.153492,Government,STATE BOARD OF TECHNICAL EDUCATION TAMILNADU,Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Mechanical Engineering,Diploma,60,360,2005,Urban,Yes,Yes
1-44638517716,1-44638517716,U-0429,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Salem,Salem,"VANAVASI, METTUR TALUK, SALEM DISTRICT-636 457",600266,11.654625,78.153492,Government,STATE BOARD OF TECHNICAL EDUCATION TAMILNADU,Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Electrical & Electronics Engineering (EEE),Diploma,60,360,2005,Urban,Yes,Yes
1-44638517716,1-44638517716,U-0429,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Salem,Salem,"VANAVASI, METTUR TALUK, SALEM DISTRICT-636 457",600266,11.654625,78.153492,Government,STATE BOARD OF TECHNICAL EDUCATION TAMILNADU,Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Electronics & Communication Engineering (ECE),Diploma,60,360,2005,Urban,Yes,Yes
1-44638517716,1-44638517716,U-0429,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Salem,Salem,"VANAVASI, METTUR TALUK, SALEM DISTRICT-636 457",600266,11.654625,78.153492,Government,STATE BOARD OF TECHNICAL EDUCATION TAMILNADU,Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Computer Science Engineering (CSE),Diploma,60,360,2005,Urban,Yes,Yes
1-44638517716,1-44638517716,U-0429,GOVERNMENT POLYTECHNIC COLLEGE,Active,Tamil Nadu,Salem,Salem,"VANAVASI, METTUR TALUK, SALEM DISTRICT-636 457",600266,11.654625,78.153492,Government,STATE BOARD OF TECHNICAL EDUCATION TAMILNADU,Approved,Approved,B,No,,Tier 3,http://www.inst6916.ac.in,info@inst6916.ac.in,admissions@inst6916.ac.in,placement@inst6916.ac.in,+91-80-433-0671,Information Technology (IT),Diploma,60,360,2005,Urban,Yes,Yes
1-44638447443,1-44638447443,U-0682,ANNAPOORANA ENGINEERING COLLEGE,Active,Tamil Nadu,Salem,Salem,"SANKARI MAIN ROAD, NH-47, PERIASEERAGAPADI",600266,11.679556,78.164879,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.annapoorana.ac.in,info@annapoorana.ac.in,admissions@annapoorana.ac.in,placement@annapoorana.ac.in,+91-80-478-7576,Computer Science Engineering (CSE),B.Tech,60,588,2021,Urban,Yes,Yes
1-44638447443,1-44638447443,U-0682,ANNAPOORANA ENGINEERING COLLEGE,Active,Tamil Nadu,Salem,Salem,"SANKARI MAIN ROAD, NH-47, PERIASEERAGAPADI",600266,11.679556,78.164879,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.annapoorana.ac.in,info@annapoorana.ac.in,admissions@annapoorana.ac.in,placement@annapoorana.ac.in,+91-80-478-7576,Electrical & Electronics Engineering (EEE),B.Tech,60,588,2021,Urban,Yes,Yes
1-44638447443,1-44638447443,U-0682,ANNAPOORANA ENGINEERING COLLEGE,Active,Tamil Nadu,Salem,Salem,"SANKARI MAIN ROAD, NH-47, PERIASEERAGAPADI",600266,11.679556,78.164879,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.annapoorana.ac.in,info@annapoorana.ac.in,admissions@annapoorana.ac.in,placement@annapoorana.ac.in,+91-80-478-7576,Civil Engineering,B.Tech,60,588,2021,Urban,Yes,Yes
1-44638447443,1-44638447443,U-0682,ANNAPOORANA ENGINEERING COLLEGE,Active,Tamil Nadu,Salem,Salem,"SANKARI MAIN ROAD, NH-47, PERIASEERAGAPADI",600266,11.679556,78.164879,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.annapoorana.ac.in,info@annapoorana.ac.in,admissions@annapoorana.ac.in,placement@annapoorana.ac.in,+91-80-478-7576,Electronics & Communication Engineering (ECE),B.Tech,60,588,2021,Urban,Yes,Yes
