College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638494709,1-44638494709,U-0698,"KAMESHWAR NARAYAN SINGH GOVERNMENT POLYTECHNIC, SAMASTIPUR",Active,Bihar,Samastipur,Samastipur,"KISHANPUR TABHKA, SAMASTIPUR",800822,25.095958,85.330616,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.kameshwarnarayansingh.ac.in,info@kameshwarnarayansingh.ac.in,admissions@kameshwarnarayansingh.ac.in,placement@kameshwarnarayansingh.ac.in,+91-80-832-9200,Mechanical Engineering,Diploma,60,360,1992,Urban,Yes,Yes
1-44638494709,1-44638494709,U-0698,"KAMESHWAR NARAYAN SINGH GOVERNMENT POLYTECHNIC, SAMASTIPUR",Active,Bihar,Samastipur,Samastipur,"KISHANPUR TABHKA, SAMASTIPUR",800822,25.095958,85.330616,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.kameshwarnarayansingh.ac.in,info@kameshwarnarayansingh.ac.in,admissions@kameshwarnarayansingh.ac.in,placement@kameshwarnarayansingh.ac.in,+91-80-832-9200,Electrical Engineering,Diploma,60,360,1992,Urban,Yes,Yes
1-44638494709,1-44638494709,U-0698,"KAMESHWAR NARAYAN SINGH GOVERNMENT POLYTECHNIC, SAMASTIPUR",Active,Bihar,Samastipur,Samastipur,"KISHANPUR TABHKA, SAMASTIPUR",800822,25.095958,85.330616,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.kameshwarnarayansingh.ac.in,info@kameshwarnarayansingh.ac.in,admissions@kameshwarnarayansingh.ac.in,placement@kameshwarnarayansingh.ac.in,+91-80-832-9200,Other Engineering Branches,Diploma,60,360,1992,Urban,Yes,Yes
1-44638494709,1-44638494709,U-0698,"KAMESHWAR NARAYAN SINGH GOVERNMENT POLYTECHNIC, SAMASTIPUR",Active,Bihar,Samastipur,Samastipur,"KISHANPUR TABHKA, SAMASTIPUR",800822,25.095958,85.330616,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.kameshwarnarayansingh.ac.in,info@kameshwarnarayansingh.ac.in,admissions@kameshwarnarayansingh.ac.in,placement@kameshwarnarayansingh.ac.in,+91-80-832-9200,Civil Engineering,Diploma,120,360,1992,Urban,Yes,Yes
1-44638494709,1-44638494709,U-0698,"KAMESHWAR NARAYAN SINGH GOVERNMENT POLYTECHNIC, SAMASTIPUR",Active,Bihar,Samastipur,Samastipur,"KISHANPUR TABHKA, SAMASTIPUR",800822,25.095958,85.330616,Government,"State Board of Technical Education, Patna",Approved,Approved,A+,Yes,,Tier 2,http://www.kameshwarnarayansingh.ac.in,info@kameshwarnarayansingh.ac.in,admissions@kameshwarnarayansingh.ac.in,placement@kameshwarnarayansingh.ac.in,+91-80-832-9200,Computer Science Engineering (CSE),Diploma,60,360,1992,Urban,Yes,Yes
1-44638807972,1-44638807972,U-0272,GOVERNMENT ENGINEERING COLLEGE SAMASTIPUR,Active,Bihar,Samastipur,Samastipur,"NEAR SARAIRANJAN, BLOCK- NARGHOGHI, SAMASTIPUR, BIHAR-848127",848127,25.094728,85.308787,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.samastipur.ac.in,info@samastipur.ac.in,admissions@samastipur.ac.in,placement@samastipur.ac.in,+91-80-781-2964,Mechanical Engineering,B.Tech,60,360,1995,Urban,Yes,Yes
1-44638807972,1-44638807972,U-0272,GOVERNMENT ENGINEERING COLLEGE SAMASTIPUR,Active,Bihar,Samastipur,Samastipur,"NEAR SARAIRANJAN, BLOCK- NARGHOGHI, SAMASTIPUR, BIHAR-848127",848127,25.094728,85.308787,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.samastipur.ac.in,info@samastipur.ac.in,admissions@samastipur.ac.in,placement@samastipur.ac.in,+91-80-781-2964,Civil Engineering,B.Tech,60,360,1995,Urban,Yes,Yes
1-44638807972,1-44638807972,U-0272,GOVERNMENT ENGINEERING COLLEGE SAMASTIPUR,Active,Bihar,Samastipur,Samastipur,"NEAR SARAIRANJAN, BLOCK- NARGHOGHI, SAMASTIPUR, BIHAR-848127",848127,25.094728,85.308787,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.samastipur.ac.in,info@samastipur.ac.in,admissions@samastipur.ac.in,placement@samastipur.ac.in,+91-80-781-2964,Electrical Engineering,B.Tech,60,360,1995,Urban,Yes,Yes
1-44638807972,1-44638807972,U-0272,GOVERNMENT ENGINEERING COLLEGE SAMASTIPUR,Active,Bihar,Samastipur,Samastipur,"NEAR SARAIRANJAN, BLOCK- NARGHOGHI, SAMASTIPUR, BIHAR-848127",848127,25.094728,85.308787,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.samastipur.ac.in,info@samastipur.ac.in,admissions@samastipur.ac.in,placement@samastipur.ac.in,+91-80-781-2964,Cyber Security,B.Tech,60,360,1995,Urban,Yes,Yes
1-44638807972,1-44638807972,U-0272,GOVERNMENT ENGINEERING COLLEGE SAMASTIPUR,Active,Bihar,Samastipur,Samastipur,"NEAR SARAIRANJAN, BLOCK- NARGHOGHI, SAMASTIPUR, BIHAR-848127",848127,25.094728,85.308787,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.samastipur.ac.in,info@samastipur.ac.in,admissions@samastipur.ac.in,placement@samastipur.ac.in,+91-80-781-2964,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,360,1995,Urban,Yes,Yes
1-44638807972,1-44638807972,U-0272,GOVERNMENT ENGINEERING COLLEGE SAMASTIPUR,Active,Bihar,Samastipur,Samastipur,"NEAR SARAIRANJAN, BLOCK- NARGHOGHI, SAMASTIPUR, BIHAR-848127",848127,25.094728,85.308787,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A+,Yes,,Tier 2,http://www.samastipur.ac.in,info@samastipur.ac.in,admissions@samastipur.ac.in,placement@samastipur.ac.in,+91-80-781-2964,Electronics & Communication Engineering (ECE),B.Tech,60,360,1995,Urban,Yes,Yes
1-44754524333,1-44754524333,U-0698,KRISHNA INSTITUTE OF TECHNOLOGY,Active,Bihar,Samastipur,Samastipur,"AT-SINGHIA KHURD, P.O.-SINGHIA KHURD, P.S.-KARPOORIGRAM, DIST.-SAMASTIPUR-848113",848113,25.087831,85.321593,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B++,No,,Tier 3,http://www.krishna.ac.in,info@krishna.ac.in,admissions@krishna.ac.in,placement@krishna.ac.in,+91-80-492-0246,Civil Engineering,Diploma,120,360,2020,Urban,No,Yes
1-44754524333,1-44754524333,U-0698,KRISHNA INSTITUTE OF TECHNOLOGY,Active,Bihar,Samastipur,Samastipur,"AT-SINGHIA KHURD, P.O.-SINGHIA KHURD, P.S.-KARPOORIGRAM, DIST.-SAMASTIPUR-848113",848113,25.087831,85.321593,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B++,No,,Tier 3,http://www.krishna.ac.in,info@krishna.ac.in,admissions@krishna.ac.in,placement@krishna.ac.in,+91-80-492-0246,Computer Science Engineering (CSE),Diploma,60,360,2020,Urban,No,Yes
1-44754524333,1-44754524333,U-0698,KRISHNA INSTITUTE OF TECHNOLOGY,Active,Bihar,Samastipur,Samastipur,"AT-SINGHIA KHURD, P.O.-SINGHIA KHURD, P.S.-KARPOORIGRAM, DIST.-SAMASTIPUR-848113",848113,25.087831,85.321593,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B++,No,,Tier 3,http://www.krishna.ac.in,info@krishna.ac.in,admissions@krishna.ac.in,placement@krishna.ac.in,+91-80-492-0246,Other Engineering Branches,Diploma,120,360,2020,Urban,No,Yes
1-44754524333,1-44754524333,U-0698,KRISHNA INSTITUTE OF TECHNOLOGY,Active,Bihar,Samastipur,Samastipur,"AT-SINGHIA KHURD, P.O.-SINGHIA KHURD, P.S.-KARPOORIGRAM, DIST.-SAMASTIPUR-848113",848113,25.087831,85.321593,Private-Self Financing,"State Board of Technical Education, Patna",Approved,Approved,B++,No,,Tier 3,http://www.krishna.ac.in,info@krishna.ac.in,admissions@krishna.ac.in,placement@krishna.ac.in,+91-80-492-0246,Mechanical Engineering,Diploma,60,360,2020,Urban,No,Yes
