College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639369031,1-44639369031,U-0949,GOVERNMENT POLYTECHNIC SAMBALPUR,Active,Odisha,Sambalpur,Sambalpur,AT/PO-RENGALI DIST.-SAMBALPUR ODISHA-768212,768212,20.935003,85.08532,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.sambalpur.ac.in,info@sambalpur.ac.in,admissions@sambalpur.ac.in,placement@sambalpur.ac.in,+91-80-138-5515,Civil Engineering,Diploma,60,300,2017,Urban,Yes,Yes
1-44639369031,1-44639369031,U-0949,GOVERNMENT POLYTECHNIC SAMBALPUR,Active,Odisha,Sambalpur,Sambalpur,AT/PO-RENGALI DIST.-SAMBALPUR ODISHA-768212,768212,20.935003,85.08532,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.sambalpur.ac.in,info@sambalpur.ac.in,admissions@sambalpur.ac.in,placement@sambalpur.ac.in,+91-80-138-5515,Electrical Engineering,Diploma,120,300,2017,Urban,Yes,Yes
1-44639369031,1-44639369031,U-0949,GOVERNMENT POLYTECHNIC SAMBALPUR,Active,Odisha,Sambalpur,Sambalpur,AT/PO-RENGALI DIST.-SAMBALPUR ODISHA-768212,768212,20.935003,85.08532,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.sambalpur.ac.in,info@sambalpur.ac.in,admissions@sambalpur.ac.in,placement@sambalpur.ac.in,+91-80-138-5515,Electronics & Communication Engineering (ECE),Diploma,30,300,2017,Urban,Yes,Yes
1-44639369031,1-44639369031,U-0949,GOVERNMENT POLYTECHNIC SAMBALPUR,Active,Odisha,Sambalpur,Sambalpur,AT/PO-RENGALI DIST.-SAMBALPUR ODISHA-768212,768212,20.935003,85.08532,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.sambalpur.ac.in,info@sambalpur.ac.in,admissions@sambalpur.ac.in,placement@sambalpur.ac.in,+91-80-138-5515,Mechanical Engineering,Diploma,60,300,2017,Urban,Yes,Yes
1-44639369031,1-44639369031,U-0949,GOVERNMENT POLYTECHNIC SAMBALPUR,Active,Odisha,Sambalpur,Sambalpur,AT/PO-RENGALI DIST.-SAMBALPUR ODISHA-768212,768212,20.935003,85.08532,Government,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.sambalpur.ac.in,info@sambalpur.ac.in,admissions@sambalpur.ac.in,placement@sambalpur.ac.in,+91-80-138-5515,Agricultural Engineering,Diploma,30,300,2017,Urban,Yes,Yes
1-44640491838,1-44640491838,U-0845,SAI SCHOOL OF ENGINEERING,Active,Odisha,Sambalpur,Sambalpur,"AT/PO-A KATAPALI,P.S-BURLA,DIST SAAMBALPUR",751732,20.962341,85.096708,Private-Self Financing,"STATE COUNCIL FOR TECHNICAL AND VOCATIONAL TRAINING, ODISHA",Approved,Approved,A+,Yes,,Tier 2,http://www.saischool.ac.in,info@saischool.ac.in,admissions@saischool.ac.in,placement@saischool.ac.in,+91-80-285-1828,Mechanical Engineering,Diploma,60,180,2021,Rural,Yes,Yes
1-44640491838,1-44640491838,U-0845,SAI SCHOOL OF ENGINEERING,Active,Odisha,Sambalpur,Sambalpur,"AT/PO-A KATAPALI,P.S-BURLA,DIST SAAMBALPUR",751732,20.962341,85.096708,Private-Self Financing,"STATE COUNCIL FOR TECHNICAL AND VOCATIONAL TRAINING, ODISHA",Approved,Approved,A+,Yes,,Tier 2,http://www.saischool.ac.in,info@saischool.ac.in,admissions@saischool.ac.in,placement@saischool.ac.in,+91-80-285-1828,Electrical Engineering,Diploma,60,180,2021,Rural,Yes,Yes
1-44640491838,1-44640491838,U-0845,SAI SCHOOL OF ENGINEERING,Active,Odisha,Sambalpur,Sambalpur,"AT/PO-A KATAPALI,P.S-BURLA,DIST SAAMBALPUR",751732,20.962341,85.096708,Private-Self Financing,"STATE COUNCIL FOR TECHNICAL AND VOCATIONAL TRAINING, ODISHA",Approved,Approved,A+,Yes,,Tier 2,http://www.saischool.ac.in,info@saischool.ac.in,admissions@saischool.ac.in,placement@saischool.ac.in,+91-80-285-1828,Civil Engineering,Diploma,60,180,2021,Rural,Yes,Yes
1-44640719160,1-44640719160,U-0949,BADRIPRASAD INSTITUTE OF TECHNOLOGY,Active,Odisha,Sambalpur,Sambalpur,"AT-DEBAIPALI,POST-SASON,DIST-SAMBALPUR",751732,20.960389,85.118316,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.badriprasad.ac.in,info@badriprasad.ac.in,admissions@badriprasad.ac.in,placement@badriprasad.ac.in,+91-80-203-3022,Electronics & Communication Engineering (ECE),Diploma,30,630,1993,Urban,No,Yes
1-44640719160,1-44640719160,U-0949,BADRIPRASAD INSTITUTE OF TECHNOLOGY,Active,Odisha,Sambalpur,Sambalpur,"AT-DEBAIPALI,POST-SASON,DIST-SAMBALPUR",751732,20.960389,85.118316,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.badriprasad.ac.in,info@badriprasad.ac.in,admissions@badriprasad.ac.in,placement@badriprasad.ac.in,+91-80-203-3022,Mechanical Engineering,Diploma,120,630,1993,Urban,No,Yes
1-44640719160,1-44640719160,U-0949,BADRIPRASAD INSTITUTE OF TECHNOLOGY,Active,Odisha,Sambalpur,Sambalpur,"AT-DEBAIPALI,POST-SASON,DIST-SAMBALPUR",751732,20.960389,85.118316,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.badriprasad.ac.in,info@badriprasad.ac.in,admissions@badriprasad.ac.in,placement@badriprasad.ac.in,+91-80-203-3022,Electrical Engineering,Diploma,120,630,1993,Urban,No,Yes
1-44640719160,1-44640719160,U-0949,BADRIPRASAD INSTITUTE OF TECHNOLOGY,Active,Odisha,Sambalpur,Sambalpur,"AT-DEBAIPALI,POST-SASON,DIST-SAMBALPUR",751732,20.960389,85.118316,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.badriprasad.ac.in,info@badriprasad.ac.in,admissions@badriprasad.ac.in,placement@badriprasad.ac.in,+91-80-203-3022,Civil Engineering,Diploma,120,630,1993,Urban,No,Yes
1-44640719160,1-44640719160,U-0949,BADRIPRASAD INSTITUTE OF TECHNOLOGY,Active,Odisha,Sambalpur,Sambalpur,"AT-DEBAIPALI,POST-SASON,DIST-SAMBALPUR",751732,20.960389,85.118316,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.badriprasad.ac.in,info@badriprasad.ac.in,admissions@badriprasad.ac.in,placement@badriprasad.ac.in,+91-80-203-3022,Mechanical Engineering,B.Tech,60,630,1993,Urban,No,Yes
1-44640719160,1-44640719160,U-0949,BADRIPRASAD INSTITUTE OF TECHNOLOGY,Active,Odisha,Sambalpur,Sambalpur,"AT-DEBAIPALI,POST-SASON,DIST-SAMBALPUR",751732,20.960389,85.118316,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.badriprasad.ac.in,info@badriprasad.ac.in,admissions@badriprasad.ac.in,placement@badriprasad.ac.in,+91-80-203-3022,Civil Engineering,B.Tech,60,630,1993,Urban,No,Yes
1-44640719160,1-44640719160,U-0949,BADRIPRASAD INSTITUTE OF TECHNOLOGY,Active,Odisha,Sambalpur,Sambalpur,"AT-DEBAIPALI,POST-SASON,DIST-SAMBALPUR",751732,20.960389,85.118316,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.badriprasad.ac.in,info@badriprasad.ac.in,admissions@badriprasad.ac.in,placement@badriprasad.ac.in,+91-80-203-3022,Electrical Engineering,B.Tech,60,630,1993,Urban,No,Yes
1-44640719160,1-44640719160,U-0949,BADRIPRASAD INSTITUTE OF TECHNOLOGY,Active,Odisha,Sambalpur,Sambalpur,"AT-DEBAIPALI,POST-SASON,DIST-SAMBALPUR",751732,20.960389,85.118316,Private-Self Financing,"Directorate of Technical Education , Odisha",Approved,Approved,B,No,,Tier 3,http://www.badriprasad.ac.in,info@badriprasad.ac.in,admissions@badriprasad.ac.in,placement@badriprasad.ac.in,+91-80-203-3022,Computer Science Engineering (CSE),B.Tech,60,630,1993,Urban,No,Yes
1-44641506007,1-44641506007,U-0570,"VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY, BURLA",Active,Odisha,Sambalpur,Sambalpur,"VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY, BURLA PO. BURLA ENGG. COLLEGE, DIST. SAMBALPUR",751732,20.956445,85.110836,State Government University,"Veer Surendra Sai University of Technology, Burla",Approved,Approved,A+,No,,Tier 3,http://www.veersurendrasai.ac.in,info@veersurendrasai.ac.in,admissions@veersurendrasai.ac.in,placement@veersurendrasai.ac.in,+91-80-037-8702,Other Engineering Branches,M.Tech,288,1242,2019,Rural,Yes,Yes
1-44641506007,1-44641506007,U-0570,"VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY, BURLA",Active,Odisha,Sambalpur,Sambalpur,"VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY, BURLA PO. BURLA ENGG. COLLEGE, DIST. SAMBALPUR",751732,20.956445,85.110836,State Government University,"Veer Surendra Sai University of Technology, Burla",Approved,Approved,A+,No,,Tier 3,http://www.veersurendrasai.ac.in,info@veersurendrasai.ac.in,admissions@veersurendrasai.ac.in,placement@veersurendrasai.ac.in,+91-80-037-8702,Other Engineering Branches,B.Tech,120,1242,2019,Rural,Yes,Yes
1-44641506007,1-44641506007,U-0570,"VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY, BURLA",Active,Odisha,Sambalpur,Sambalpur,"VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY, BURLA PO. BURLA ENGG. COLLEGE, DIST. SAMBALPUR",751732,20.956445,85.110836,State Government University,"Veer Surendra Sai University of Technology, Burla",Approved,Approved,A+,No,,Tier 3,http://www.veersurendrasai.ac.in,info@veersurendrasai.ac.in,admissions@veersurendrasai.ac.in,placement@veersurendrasai.ac.in,+91-80-037-8702,Chemical Engineering,B.Tech,60,1242,2019,Rural,Yes,Yes
