College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638160657,1-44638160657,U-0122,"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.",Active,Maharashtra,Sangli,Sangli,"TILAKNAGAR, POST-WANLESSWADI,",400911,16.84171,74.566507,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.shriambabaitalim.ac.in,info@shriambabaitalim.ac.in,admissions@shriambabaitalim.ac.in,placement@shriambabaitalim.ac.in,+91-80-390-5056,Electrical Engineering,B.Tech,30,540,1987,Urban,Yes,No
1-44638160657,1-44638160657,U-0122,"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.",Active,Maharashtra,Sangli,Sangli,"TILAKNAGAR, POST-WANLESSWADI,",400911,16.84171,74.566507,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.shriambabaitalim.ac.in,info@shriambabaitalim.ac.in,admissions@shriambabaitalim.ac.in,placement@shriambabaitalim.ac.in,+91-80-390-5056,Civil Engineering,B.Tech,30,540,1987,Urban,Yes,No
1-44638160657,1-44638160657,U-0122,"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.",Active,Maharashtra,Sangli,Sangli,"TILAKNAGAR, POST-WANLESSWADI,",400911,16.84171,74.566507,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.shriambabaitalim.ac.in,info@shriambabaitalim.ac.in,admissions@shriambabaitalim.ac.in,placement@shriambabaitalim.ac.in,+91-80-390-5056,Computer Science Engineering (CSE),B.Tech,120,540,1987,Urban,Yes,No
1-44638160657,1-44638160657,U-0122,"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.",Active,Maharashtra,Sangli,Sangli,"TILAKNAGAR, POST-WANLESSWADI,",400911,16.84171,74.566507,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.shriambabaitalim.ac.in,info@shriambabaitalim.ac.in,admissions@shriambabaitalim.ac.in,placement@shriambabaitalim.ac.in,+91-80-390-5056,Electronics & Communication Engineering (ECE),B.Tech,30,540,1987,Urban,Yes,No
1-44638160657,1-44638160657,U-0122,"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.",Active,Maharashtra,Sangli,Sangli,"TILAKNAGAR, POST-WANLESSWADI,",400911,16.84171,74.566507,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.shriambabaitalim.ac.in,info@shriambabaitalim.ac.in,admissions@shriambabaitalim.ac.in,placement@shriambabaitalim.ac.in,+91-80-390-5056,Mechanical Engineering,B.Tech,30,540,1987,Urban,Yes,No
1-44638160657,1-44638160657,U-0122,"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.",Active,Maharashtra,Sangli,Sangli,"TILAKNAGAR, POST-WANLESSWADI,",400911,16.84171,74.566507,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.shriambabaitalim.ac.in,info@shriambabaitalim.ac.in,admissions@shriambabaitalim.ac.in,placement@shriambabaitalim.ac.in,+91-80-390-5056,Civil Engineering,Diploma,30,540,1987,Urban,Yes,No
1-44638160657,1-44638160657,U-0122,"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.",Active,Maharashtra,Sangli,Sangli,"TILAKNAGAR, POST-WANLESSWADI,",400911,16.84171,74.566507,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.shriambabaitalim.ac.in,info@shriambabaitalim.ac.in,admissions@shriambabaitalim.ac.in,placement@shriambabaitalim.ac.in,+91-80-390-5056,Mechanical Engineering,Diploma,30,540,1987,Urban,Yes,No
1-44638160657,1-44638160657,U-0122,"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.",Active,Maharashtra,Sangli,Sangli,"TILAKNAGAR, POST-WANLESSWADI,",400911,16.84171,74.566507,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.shriambabaitalim.ac.in,info@shriambabaitalim.ac.in,admissions@shriambabaitalim.ac.in,placement@shriambabaitalim.ac.in,+91-80-390-5056,Computer Science Engineering (CSE),Diploma,90,540,1987,Urban,Yes,No
1-44638160657,1-44638160657,U-0122,"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.",Active,Maharashtra,Sangli,Sangli,"TILAKNAGAR, POST-WANLESSWADI,",400911,16.84171,74.566507,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.shriambabaitalim.ac.in,info@shriambabaitalim.ac.in,admissions@shriambabaitalim.ac.in,placement@shriambabaitalim.ac.in,+91-80-390-5056,Electrical Engineering,Diploma,30,540,1987,Urban,Yes,No
1-44638160657,1-44638160657,U-0122,"SHRI AMBABAI TALIM SANSTHA'S SANJAY BHOKRE GROUP OF INSTITUTES, MIRAJ.",Active,Maharashtra,Sangli,Sangli,"TILAKNAGAR, POST-WANLESSWADI,",400911,16.84171,74.566507,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B++,Yes,,Tier 3,http://www.shriambabaitalim.ac.in,info@shriambabaitalim.ac.in,admissions@shriambabaitalim.ac.in,placement@shriambabaitalim.ac.in,+91-80-390-5056,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,540,1987,Urban,Yes,No
