College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638173385,1-44638173385,U-0698,GOVERNMENT POLYTECHNIC AURANGABAD,Active,Bihar,Saran,Saran,"GOVERNMENT POLYTECHNIC AURANGABAD AT-DHANARI, DISTRICT - AURANGABAD  PINCODE -824102",824102,25.1033,85.306102,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.aurangabad.ac.in,info@aurangabad.ac.in,admissions@aurangabad.ac.in,placement@aurangabad.ac.in,+91-80-140-8211,Civil Engineering,Diploma,120,360,2013,Urban,Yes,Yes
1-44638173385,1-44638173385,U-0698,GOVERNMENT POLYTECHNIC AURANGABAD,Active,Bihar,Saran,Saran,"GOVERNMENT POLYTECHNIC AURANGABAD AT-DHANARI, DISTRICT - AURANGABAD  PINCODE -824102",824102,25.1033,85.306102,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.aurangabad.ac.in,info@aurangabad.ac.in,admissions@aurangabad.ac.in,placement@aurangabad.ac.in,+91-80-140-8211,Mechanical Engineering,Diploma,60,360,2013,Urban,Yes,Yes
1-44638173385,1-44638173385,U-0698,GOVERNMENT POLYTECHNIC AURANGABAD,Active,Bihar,Saran,Saran,"GOVERNMENT POLYTECHNIC AURANGABAD AT-DHANARI, DISTRICT - AURANGABAD  PINCODE -824102",824102,25.1033,85.306102,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.aurangabad.ac.in,info@aurangabad.ac.in,admissions@aurangabad.ac.in,placement@aurangabad.ac.in,+91-80-140-8211,Electrical Engineering,Diploma,60,360,2013,Urban,Yes,Yes
1-44638173385,1-44638173385,U-0698,GOVERNMENT POLYTECHNIC AURANGABAD,Active,Bihar,Saran,Saran,"GOVERNMENT POLYTECHNIC AURANGABAD AT-DHANARI, DISTRICT - AURANGABAD  PINCODE -824102",824102,25.1033,85.306102,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.aurangabad.ac.in,info@aurangabad.ac.in,admissions@aurangabad.ac.in,placement@aurangabad.ac.in,+91-80-140-8211,Other Engineering Branches,Diploma,60,360,2013,Urban,Yes,Yes
1-44638173385,1-44638173385,U-0698,GOVERNMENT POLYTECHNIC AURANGABAD,Active,Bihar,Saran,Saran,"GOVERNMENT POLYTECHNIC AURANGABAD AT-DHANARI, DISTRICT - AURANGABAD  PINCODE -824102",824102,25.1033,85.306102,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.aurangabad.ac.in,info@aurangabad.ac.in,admissions@aurangabad.ac.in,placement@aurangabad.ac.in,+91-80-140-8211,Computer Science Engineering (CSE),Diploma,60,360,2013,Urban,Yes,Yes
1-44638919526,1-44638919526,U-0831,GOVERNMENT ENGINEERING COLLEGE KAIMUR,Active,Bihar,Saran,Saran,"GOVERNMENT ENGINEERING COLLEGE, JAITPUR KALAN BHAGWANPUR, KAIMUR-821102 (BHABUA) BIHAR",821102,25.103466,85.323173,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A+,Yes,,Tier 2,http://www.kaimur.ac.in,info@kaimur.ac.in,admissions@kaimur.ac.in,placement@kaimur.ac.in,+91-80-147-7952,Civil Engineering,B.Tech,90,360,1987,Rural,No,Yes
1-44638919526,1-44638919526,U-0831,GOVERNMENT ENGINEERING COLLEGE KAIMUR,Active,Bihar,Saran,Saran,"GOVERNMENT ENGINEERING COLLEGE, JAITPUR KALAN BHAGWANPUR, KAIMUR-821102 (BHABUA) BIHAR",821102,25.103466,85.323173,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A+,Yes,,Tier 2,http://www.kaimur.ac.in,info@kaimur.ac.in,admissions@kaimur.ac.in,placement@kaimur.ac.in,+91-80-147-7952,Mechanical Engineering,B.Tech,60,360,1987,Rural,No,Yes
1-44638919526,1-44638919526,U-0831,GOVERNMENT ENGINEERING COLLEGE KAIMUR,Active,Bihar,Saran,Saran,"GOVERNMENT ENGINEERING COLLEGE, JAITPUR KALAN BHAGWANPUR, KAIMUR-821102 (BHABUA) BIHAR",821102,25.103466,85.323173,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A+,Yes,,Tier 2,http://www.kaimur.ac.in,info@kaimur.ac.in,admissions@kaimur.ac.in,placement@kaimur.ac.in,+91-80-147-7952,Electrical Engineering,B.Tech,60,360,1987,Rural,No,Yes
1-44638919526,1-44638919526,U-0831,GOVERNMENT ENGINEERING COLLEGE KAIMUR,Active,Bihar,Saran,Saran,"GOVERNMENT ENGINEERING COLLEGE, JAITPUR KALAN BHAGWANPUR, KAIMUR-821102 (BHABUA) BIHAR",821102,25.103466,85.323173,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A+,Yes,,Tier 2,http://www.kaimur.ac.in,info@kaimur.ac.in,admissions@kaimur.ac.in,placement@kaimur.ac.in,+91-80-147-7952,Electronics & Communication Engineering (ECE),B.Tech,60,360,1987,Rural,No,Yes
1-44638919526,1-44638919526,U-0831,GOVERNMENT ENGINEERING COLLEGE KAIMUR,Active,Bihar,Saran,Saran,"GOVERNMENT ENGINEERING COLLEGE, JAITPUR KALAN BHAGWANPUR, KAIMUR-821102 (BHABUA) BIHAR",821102,25.103466,85.323173,Government,BIHAR ENGINEERING UNIVERSITY PATNA,Approved,Approved,A+,Yes,,Tier 2,http://www.kaimur.ac.in,info@kaimur.ac.in,admissions@kaimur.ac.in,placement@kaimur.ac.in,+91-80-147-7952,Computer Science Engineering (CSE),B.Tech,60,360,1987,Rural,No,Yes
