College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638502481,1-44638502481,U-0992,ARKA JAIN UNIVERSITY JHARKHAND,Active,Jharkhand,Sareikela And Kharsawan,Sareikela And Kharsawan,"ARKA JAIN UNIVERSITY CAMPUS , VILL. MOHANPUR , OPPOSITE TO KERALA PUBLIC SCHOOL , GAMHARIA ,",834412,23.601049,85.282597,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arkajainjharkhand.ac.in,info@arkajainjharkhand.ac.in,admissions@arkajainjharkhand.ac.in,placement@arkajainjharkhand.ac.in,+91-80-455-0289,Mechanical Engineering,B.Tech,60,756,2015,Rural,Yes,Yes
1-44638502481,1-44638502481,U-0992,ARKA JAIN UNIVERSITY JHARKHAND,Active,Jharkhand,Sareikela And Kharsawan,Sareikela And Kharsawan,"ARKA JAIN UNIVERSITY CAMPUS , VILL. MOHANPUR , OPPOSITE TO KERALA PUBLIC SCHOOL , GAMHARIA ,",834412,23.601049,85.282597,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arkajainjharkhand.ac.in,info@arkajainjharkhand.ac.in,admissions@arkajainjharkhand.ac.in,placement@arkajainjharkhand.ac.in,+91-80-455-0289,Computer Science Engineering (CSE),B.Tech,150,756,2015,Rural,Yes,Yes
1-44638502481,1-44638502481,U-0992,ARKA JAIN UNIVERSITY JHARKHAND,Active,Jharkhand,Sareikela And Kharsawan,Sareikela And Kharsawan,"ARKA JAIN UNIVERSITY CAMPUS , VILL. MOHANPUR , OPPOSITE TO KERALA PUBLIC SCHOOL , GAMHARIA ,",834412,23.601049,85.282597,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arkajainjharkhand.ac.in,info@arkajainjharkhand.ac.in,admissions@arkajainjharkhand.ac.in,placement@arkajainjharkhand.ac.in,+91-80-455-0289,Electrical & Electronics Engineering (EEE),B.Tech,60,756,2015,Rural,Yes,Yes
1-44638502481,1-44638502481,U-0992,ARKA JAIN UNIVERSITY JHARKHAND,Active,Jharkhand,Sareikela And Kharsawan,Sareikela And Kharsawan,"ARKA JAIN UNIVERSITY CAMPUS , VILL. MOHANPUR , OPPOSITE TO KERALA PUBLIC SCHOOL , GAMHARIA ,",834412,23.601049,85.282597,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arkajainjharkhand.ac.in,info@arkajainjharkhand.ac.in,admissions@arkajainjharkhand.ac.in,placement@arkajainjharkhand.ac.in,+91-80-455-0289,Mechanical Engineering,Diploma,210,756,2015,Rural,Yes,Yes
1-44638502481,1-44638502481,U-0992,ARKA JAIN UNIVERSITY JHARKHAND,Active,Jharkhand,Sareikela And Kharsawan,Sareikela And Kharsawan,"ARKA JAIN UNIVERSITY CAMPUS , VILL. MOHANPUR , OPPOSITE TO KERALA PUBLIC SCHOOL , GAMHARIA ,",834412,23.601049,85.282597,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arkajainjharkhand.ac.in,info@arkajainjharkhand.ac.in,admissions@arkajainjharkhand.ac.in,placement@arkajainjharkhand.ac.in,+91-80-455-0289,Electrical & Electronics Engineering (EEE),Diploma,60,756,2015,Rural,Yes,Yes
1-44638502481,1-44638502481,U-0992,ARKA JAIN UNIVERSITY JHARKHAND,Active,Jharkhand,Sareikela And Kharsawan,Sareikela And Kharsawan,"ARKA JAIN UNIVERSITY CAMPUS , VILL. MOHANPUR , OPPOSITE TO KERALA PUBLIC SCHOOL , GAMHARIA ,",834412,23.601049,85.282597,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arkajainjharkhand.ac.in,info@arkajainjharkhand.ac.in,admissions@arkajainjharkhand.ac.in,placement@arkajainjharkhand.ac.in,+91-80-455-0289,Computer Science Engineering (CSE),Diploma,90,756,2015,Rural,Yes,Yes
1-44638502481,1-44638502481,U-0992,ARKA JAIN UNIVERSITY JHARKHAND,Active,Jharkhand,Sareikela And Kharsawan,Sareikela And Kharsawan,"ARKA JAIN UNIVERSITY CAMPUS , VILL. MOHANPUR , OPPOSITE TO KERALA PUBLIC SCHOOL , GAMHARIA ,",834412,23.601049,85.282597,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arkajainjharkhand.ac.in,info@arkajainjharkhand.ac.in,admissions@arkajainjharkhand.ac.in,placement@arkajainjharkhand.ac.in,+91-80-455-0289,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,30,756,2015,Rural,Yes,Yes
1-44638502481,1-44638502481,U-0992,ARKA JAIN UNIVERSITY JHARKHAND,Active,Jharkhand,Sareikela And Kharsawan,Sareikela And Kharsawan,"ARKA JAIN UNIVERSITY CAMPUS , VILL. MOHANPUR , OPPOSITE TO KERALA PUBLIC SCHOOL , GAMHARIA ,",834412,23.601049,85.282597,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arkajainjharkhand.ac.in,info@arkajainjharkhand.ac.in,admissions@arkajainjharkhand.ac.in,placement@arkajainjharkhand.ac.in,+91-80-455-0289,Data Science,B.Tech,60,756,2015,Rural,Yes,Yes
1-44638502481,1-44638502481,U-0992,ARKA JAIN UNIVERSITY JHARKHAND,Active,Jharkhand,Sareikela And Kharsawan,Sareikela And Kharsawan,"ARKA JAIN UNIVERSITY CAMPUS , VILL. MOHANPUR , OPPOSITE TO KERALA PUBLIC SCHOOL , GAMHARIA ,",834412,23.601049,85.282597,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arkajainjharkhand.ac.in,info@arkajainjharkhand.ac.in,admissions@arkajainjharkhand.ac.in,placement@arkajainjharkhand.ac.in,+91-80-455-0289,Other Engineering Branches,M.Tech,24,756,2015,Rural,Yes,Yes
1-44638502481,1-44638502481,U-0992,ARKA JAIN UNIVERSITY JHARKHAND,Active,Jharkhand,Sareikela And Kharsawan,Sareikela And Kharsawan,"ARKA JAIN UNIVERSITY CAMPUS , VILL. MOHANPUR , OPPOSITE TO KERALA PUBLIC SCHOOL , GAMHARIA ,",834412,23.601049,85.282597,State Private University,NOT APPLICABLE,Approved,Approved,B+,No,,Tier 3,http://www.arkajainjharkhand.ac.in,info@arkajainjharkhand.ac.in,admissions@arkajainjharkhand.ac.in,placement@arkajainjharkhand.ac.in,+91-80-455-0289,Computer Science Engineering (CSE),M.Tech,12,756,2015,Rural,Yes,Yes
