College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638563001,1-44638563001,U-0122,ARVIND GAVALI COLLEGE OF ENGINEERING,Active,Maharashtra,Satara,Satara,"GAT NO. 247, PANMALEWADI, POST - VARYE,",400674,17.688163,73.982671,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arvindgavali.ac.in,info@arvindgavali.ac.in,admissions@arvindgavali.ac.in,placement@arvindgavali.ac.in,+91-80-160-2757,Mechanical Engineering,B.Tech,30,678,2017,Urban,No,Yes
1-44638563001,1-44638563001,U-0122,ARVIND GAVALI COLLEGE OF ENGINEERING,Active,Maharashtra,Satara,Satara,"GAT NO. 247, PANMALEWADI, POST - VARYE,",400674,17.688163,73.982671,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arvindgavali.ac.in,info@arvindgavali.ac.in,admissions@arvindgavali.ac.in,placement@arvindgavali.ac.in,+91-80-160-2757,Electrical Engineering,B.Tech,30,678,2017,Urban,No,Yes
1-44638563001,1-44638563001,U-0122,ARVIND GAVALI COLLEGE OF ENGINEERING,Active,Maharashtra,Satara,Satara,"GAT NO. 247, PANMALEWADI, POST - VARYE,",400674,17.688163,73.982671,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arvindgavali.ac.in,info@arvindgavali.ac.in,admissions@arvindgavali.ac.in,placement@arvindgavali.ac.in,+91-80-160-2757,Electronics & Communication Engineering (ECE),B.Tech,60,678,2017,Urban,No,Yes
1-44638563001,1-44638563001,U-0122,ARVIND GAVALI COLLEGE OF ENGINEERING,Active,Maharashtra,Satara,Satara,"GAT NO. 247, PANMALEWADI, POST - VARYE,",400674,17.688163,73.982671,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arvindgavali.ac.in,info@arvindgavali.ac.in,admissions@arvindgavali.ac.in,placement@arvindgavali.ac.in,+91-80-160-2757,Computer Science Engineering (CSE),B.Tech,180,678,2017,Urban,No,Yes
1-44638563001,1-44638563001,U-0122,ARVIND GAVALI COLLEGE OF ENGINEERING,Active,Maharashtra,Satara,Satara,"GAT NO. 247, PANMALEWADI, POST - VARYE,",400674,17.688163,73.982671,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arvindgavali.ac.in,info@arvindgavali.ac.in,admissions@arvindgavali.ac.in,placement@arvindgavali.ac.in,+91-80-160-2757,Other Engineering Branches,M.Tech,18,678,2017,Urban,No,Yes
1-44638563001,1-44638563001,U-0122,ARVIND GAVALI COLLEGE OF ENGINEERING,Active,Maharashtra,Satara,Satara,"GAT NO. 247, PANMALEWADI, POST - VARYE,",400674,17.688163,73.982671,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arvindgavali.ac.in,info@arvindgavali.ac.in,admissions@arvindgavali.ac.in,placement@arvindgavali.ac.in,+91-80-160-2757,Mechanical Engineering,Diploma,60,678,2017,Urban,No,Yes
1-44638563001,1-44638563001,U-0122,ARVIND GAVALI COLLEGE OF ENGINEERING,Active,Maharashtra,Satara,Satara,"GAT NO. 247, PANMALEWADI, POST - VARYE,",400674,17.688163,73.982671,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arvindgavali.ac.in,info@arvindgavali.ac.in,admissions@arvindgavali.ac.in,placement@arvindgavali.ac.in,+91-80-160-2757,Electronics & Communication Engineering (ECE),Diploma,60,678,2017,Urban,No,Yes
1-44638563001,1-44638563001,U-0122,ARVIND GAVALI COLLEGE OF ENGINEERING,Active,Maharashtra,Satara,Satara,"GAT NO. 247, PANMALEWADI, POST - VARYE,",400674,17.688163,73.982671,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arvindgavali.ac.in,info@arvindgavali.ac.in,admissions@arvindgavali.ac.in,placement@arvindgavali.ac.in,+91-80-160-2757,Civil Engineering,Diploma,30,678,2017,Urban,No,Yes
1-44638563001,1-44638563001,U-0122,ARVIND GAVALI COLLEGE OF ENGINEERING,Active,Maharashtra,Satara,Satara,"GAT NO. 247, PANMALEWADI, POST - VARYE,",400674,17.688163,73.982671,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arvindgavali.ac.in,info@arvindgavali.ac.in,admissions@arvindgavali.ac.in,placement@arvindgavali.ac.in,+91-80-160-2757,Computer Science Engineering (CSE),Diploma,120,678,2017,Urban,No,Yes
1-44638563001,1-44638563001,U-0122,ARVIND GAVALI COLLEGE OF ENGINEERING,Active,Maharashtra,Satara,Satara,"GAT NO. 247, PANMALEWADI, POST - VARYE,",400674,17.688163,73.982671,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,Not Accredited,No,,Tier 3,http://www.arvindgavali.ac.in,info@arvindgavali.ac.in,admissions@arvindgavali.ac.in,placement@arvindgavali.ac.in,+91-80-160-2757,Data Science,B.Tech,60,678,2017,Urban,No,Yes
