College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Mechanical Engineering,Diploma,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Civil Engineering,Diploma,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Computer Science Engineering (CSE),Diploma,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Electrical Engineering,Diploma,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Mining Engineering,Diploma,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Computer Science Engineering (CSE),B.Tech,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Mechanical Engineering,B.Tech,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Electrical Engineering,B.Tech,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Civil Engineering,B.Tech,60,780,1984,Urban,Yes,Yes
1-44638336171,1-44638336171,U-0441,SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM),Active,Madhya Pradesh,Satna,Satna,CHANDI DAI ROAD VILLAGE KARHI PAWAI PANCHAYAT KARHI KOTHAR,452237,22.96478,78.644925,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,Not Accredited,No,,Tier 3,http://www.shriramakrishna.ac.in,info@shriramakrishna.ac.in,admissions@shriramakrishna.ac.in,placement@shriramakrishna.ac.in,+91-80-477-3171,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,780,1984,Urban,Yes,Yes
