College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639889333,1-44639889333,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, SAWAI MADHOPUR",Active,Rajasthan,Sawai Madhopur,Sawai Madhopur,"THINGLA, NEAR KENDRIYA VIDHYALAYA, SAWAI MADHOPUR",302055,27.02502,74.205262,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.sawaimadhopur.ac.in,info@sawaimadhopur.ac.in,admissions@sawaimadhopur.ac.in,placement@sawaimadhopur.ac.in,+91-80-890-0143,Electrical Engineering,Diploma,44,118,2002,Urban,Yes,Yes
1-44639889333,1-44639889333,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, SAWAI MADHOPUR",Active,Rajasthan,Sawai Madhopur,Sawai Madhopur,"THINGLA, NEAR KENDRIYA VIDHYALAYA, SAWAI MADHOPUR",302055,27.02502,74.205262,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.sawaimadhopur.ac.in,info@sawaimadhopur.ac.in,admissions@sawaimadhopur.ac.in,placement@sawaimadhopur.ac.in,+91-80-890-0143,Mechanical Engineering,Diploma,44,118,2002,Urban,Yes,Yes
1-44639889333,1-44639889333,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, SAWAI MADHOPUR",Active,Rajasthan,Sawai Madhopur,Sawai Madhopur,"THINGLA, NEAR KENDRIYA VIDHYALAYA, SAWAI MADHOPUR",302055,27.02502,74.205262,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.sawaimadhopur.ac.in,info@sawaimadhopur.ac.in,admissions@sawaimadhopur.ac.in,placement@sawaimadhopur.ac.in,+91-80-890-0143,Other Engineering Branches,Diploma,30,118,2002,Urban,Yes,Yes
1-44639728594,1-44639728594,U-0755,SAWAI MADHOPUR COLLEGE OF ENGINEERING  AND TECHNOLOGY,Active,Rajasthan,Sawai Madhopur,Sawai Madhopur,VILL-THINGLA,302055,27.005439,74.230341,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,A,No,,Tier 3,http://www.sawaimadhopur.ac.in,info@sawaimadhopur.ac.in,admissions@sawaimadhopur.ac.in,placement@sawaimadhopur.ac.in,+91-80-068-7567,Civil Engineering,B.Tech,30,150,2018,Urban,No,No
1-44639728594,1-44639728594,U-0755,SAWAI MADHOPUR COLLEGE OF ENGINEERING  AND TECHNOLOGY,Active,Rajasthan,Sawai Madhopur,Sawai Madhopur,VILL-THINGLA,302055,27.005439,74.230341,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,A,No,,Tier 3,http://www.sawaimadhopur.ac.in,info@sawaimadhopur.ac.in,admissions@sawaimadhopur.ac.in,placement@sawaimadhopur.ac.in,+91-80-068-7567,Computer Science Engineering (CSE),B.Tech,30,150,2018,Urban,No,No
1-44639728594,1-44639728594,U-0755,SAWAI MADHOPUR COLLEGE OF ENGINEERING  AND TECHNOLOGY,Active,Rajasthan,Sawai Madhopur,Sawai Madhopur,VILL-THINGLA,302055,27.005439,74.230341,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,A,No,,Tier 3,http://www.sawaimadhopur.ac.in,info@sawaimadhopur.ac.in,admissions@sawaimadhopur.ac.in,placement@sawaimadhopur.ac.in,+91-80-068-7567,Mechanical Engineering,B.Tech,30,150,2018,Urban,No,No
1-44639728594,1-44639728594,U-0755,SAWAI MADHOPUR COLLEGE OF ENGINEERING  AND TECHNOLOGY,Active,Rajasthan,Sawai Madhopur,Sawai Madhopur,VILL-THINGLA,302055,27.005439,74.230341,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,A,No,,Tier 3,http://www.sawaimadhopur.ac.in,info@sawaimadhopur.ac.in,admissions@sawaimadhopur.ac.in,placement@sawaimadhopur.ac.in,+91-80-068-7567,Electronics & Communication Engineering (ECE),B.Tech,30,150,2018,Urban,No,No
1-44639728594,1-44639728594,U-0755,SAWAI MADHOPUR COLLEGE OF ENGINEERING  AND TECHNOLOGY,Active,Rajasthan,Sawai Madhopur,Sawai Madhopur,VILL-THINGLA,302055,27.005439,74.230341,Private-Self Financing,"Rajasthan Technical University, Kota",Approved,Approved,A,No,,Tier 3,http://www.sawaimadhopur.ac.in,info@sawaimadhopur.ac.in,admissions@sawaimadhopur.ac.in,placement@sawaimadhopur.ac.in,+91-80-068-7567,Electrical Engineering,B.Tech,30,150,2018,Urban,No,No
1-44640229742,1-44640229742,U-0197,"GOVT.POLYTECHNIC COLLEGE DHOLPUR,RAJASTHAN",Active,Rajasthan,Sawai Madhopur,Sawai Madhopur,"PRINCIPAL GOVT. POLYTECHNIC COLLEGE DHOLPUR, SARANI KHEDA ROAD ,DHOLPUR",302055,27.026138,74.236174,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicdholpurrajasthan.ac.in,info@govtpolytechnicdholpurrajasthan.ac.in,admissions@govtpolytechnicdholpurrajasthan.ac.in,placement@govtpolytechnicdholpurrajasthan.ac.in,+91-80-936-9332,Electrical Engineering,Diploma,60,270,1988,Urban,No,Yes
1-44640229742,1-44640229742,U-0197,"GOVT.POLYTECHNIC COLLEGE DHOLPUR,RAJASTHAN",Active,Rajasthan,Sawai Madhopur,Sawai Madhopur,"PRINCIPAL GOVT. POLYTECHNIC COLLEGE DHOLPUR, SARANI KHEDA ROAD ,DHOLPUR",302055,27.026138,74.236174,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.govtpolytechnicdholpurrajasthan.ac.in,info@govtpolytechnicdholpurrajasthan.ac.in,admissions@govtpolytechnicdholpurrajasthan.ac.in,placement@govtpolytechnicdholpurrajasthan.ac.in,+91-80-936-9332,Mechanical Engineering,Diploma,60,270,1988,Urban,No,Yes
