College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638590863,1-44638590863,U-0992,POLYTECHNIC (ENGINEERING),Active,Madhya Pradesh,Sehore,Sehore,"BHOPAL-INDORE,ABDULLAPUR SEHORE  PIN Ã¢â¬â 466001",466001,22.99274,78.675176,State Private University,NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.inst4454.ac.in,info@inst4454.ac.in,admissions@inst4454.ac.in,placement@inst4454.ac.in,+91-80-650-0468,Electrical Engineering,Diploma,60,300,2009,Urban,No,Yes
1-44638590863,1-44638590863,U-0992,POLYTECHNIC (ENGINEERING),Active,Madhya Pradesh,Sehore,Sehore,"BHOPAL-INDORE,ABDULLAPUR SEHORE  PIN Ã¢â¬â 466001",466001,22.99274,78.675176,State Private University,NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.inst4454.ac.in,info@inst4454.ac.in,admissions@inst4454.ac.in,placement@inst4454.ac.in,+91-80-650-0468,Chemical Engineering,Diploma,60,300,2009,Urban,No,Yes
1-44638590863,1-44638590863,U-0992,POLYTECHNIC (ENGINEERING),Active,Madhya Pradesh,Sehore,Sehore,"BHOPAL-INDORE,ABDULLAPUR SEHORE  PIN Ã¢â¬â 466001",466001,22.99274,78.675176,State Private University,NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.inst4454.ac.in,info@inst4454.ac.in,admissions@inst4454.ac.in,placement@inst4454.ac.in,+91-80-650-0468,Civil Engineering,Diploma,60,300,2009,Urban,No,Yes
1-44638590863,1-44638590863,U-0992,POLYTECHNIC (ENGINEERING),Active,Madhya Pradesh,Sehore,Sehore,"BHOPAL-INDORE,ABDULLAPUR SEHORE  PIN Ã¢â¬â 466001",466001,22.99274,78.675176,State Private University,NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.inst4454.ac.in,info@inst4454.ac.in,admissions@inst4454.ac.in,placement@inst4454.ac.in,+91-80-650-0468,Computer Science Engineering (CSE),Diploma,60,300,2009,Urban,No,Yes
1-44638590863,1-44638590863,U-0992,POLYTECHNIC (ENGINEERING),Active,Madhya Pradesh,Sehore,Sehore,"BHOPAL-INDORE,ABDULLAPUR SEHORE  PIN Ã¢â¬â 466001",466001,22.99274,78.675176,State Private University,NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.inst4454.ac.in,info@inst4454.ac.in,admissions@inst4454.ac.in,placement@inst4454.ac.in,+91-80-650-0468,Mechanical Engineering,Diploma,60,300,2009,Urban,No,Yes
1-44640058240,1-44640058240,U-0441,GOVT.WOMENS POLYTECHNIC COLLEGE SEHORE,Active,Madhya Pradesh,Sehore,Sehore,"GOVT.WOMENS POLYTECHNIC COLLEGE,  BHOPAL NAKA SEHORE(M.P.)",452274,22.964675,78.652719,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.govtwomenssehore.ac.in,info@govtwomenssehore.ac.in,admissions@govtwomenssehore.ac.in,placement@govtwomenssehore.ac.in,+91-80-472-8933,Computer Science Engineering (CSE),Diploma,60,120,2016,Urban,Yes,No
1-44640058240,1-44640058240,U-0441,GOVT.WOMENS POLYTECHNIC COLLEGE SEHORE,Active,Madhya Pradesh,Sehore,Sehore,"GOVT.WOMENS POLYTECHNIC COLLEGE,  BHOPAL NAKA SEHORE(M.P.)",452274,22.964675,78.652719,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,A,No,,Tier 2,http://www.govtwomenssehore.ac.in,info@govtwomenssehore.ac.in,admissions@govtwomenssehore.ac.in,placement@govtwomenssehore.ac.in,+91-80-472-8933,Other Engineering Branches,Diploma,60,120,2016,Urban,Yes,No
1-44641341417,1-44641341417,U-0441,MANTHAN POLYTECHNIC COLLEGE,Active,Madhya Pradesh,Sehore,Sehore,NEAR POLICE CHECK POST AMLAHA,452274,22.954291,78.667721,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.manthan.ac.in,info@manthan.ac.in,admissions@manthan.ac.in,placement@manthan.ac.in,+91-80-037-3957,Computer Science Engineering (CSE),Diploma,60,300,1985,Rural,Yes,Yes
1-44641341417,1-44641341417,U-0441,MANTHAN POLYTECHNIC COLLEGE,Active,Madhya Pradesh,Sehore,Sehore,NEAR POLICE CHECK POST AMLAHA,452274,22.954291,78.667721,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.manthan.ac.in,info@manthan.ac.in,admissions@manthan.ac.in,placement@manthan.ac.in,+91-80-037-3957,Civil Engineering,Diploma,60,300,1985,Rural,Yes,Yes
1-44641341417,1-44641341417,U-0441,MANTHAN POLYTECHNIC COLLEGE,Active,Madhya Pradesh,Sehore,Sehore,NEAR POLICE CHECK POST AMLAHA,452274,22.954291,78.667721,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B+,No,,Tier 3,http://www.manthan.ac.in,info@manthan.ac.in,admissions@manthan.ac.in,placement@manthan.ac.in,+91-80-037-3957,Mechanical Engineering,Diploma,60,300,1985,Rural,Yes,Yes
