College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44637281165,1-44637281165,U-0441,DR. BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Seoni,Seoni,PALARI MANDLA ROAD TEHSIL SEONI DISTRICT SEONI,452718,22.96762,78.676327,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.drbhagatsingh.ac.in,info@drbhagatsingh.ac.in,admissions@drbhagatsingh.ac.in,placement@drbhagatsingh.ac.in,+91-80-596-4540,Mechanical Engineering,B.Tech,30,360,2017,Urban,Yes,Yes
1-44637281165,1-44637281165,U-0441,DR. BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Seoni,Seoni,PALARI MANDLA ROAD TEHSIL SEONI DISTRICT SEONI,452718,22.96762,78.676327,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.drbhagatsingh.ac.in,info@drbhagatsingh.ac.in,admissions@drbhagatsingh.ac.in,placement@drbhagatsingh.ac.in,+91-80-596-4540,Electrical Engineering,B.Tech,60,360,2017,Urban,Yes,Yes
1-44637281165,1-44637281165,U-0441,DR. BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Seoni,Seoni,PALARI MANDLA ROAD TEHSIL SEONI DISTRICT SEONI,452718,22.96762,78.676327,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.drbhagatsingh.ac.in,info@drbhagatsingh.ac.in,admissions@drbhagatsingh.ac.in,placement@drbhagatsingh.ac.in,+91-80-596-4540,Computer Science Engineering (CSE),B.Tech,60,360,2017,Urban,Yes,Yes
1-44637281165,1-44637281165,U-0441,DR. BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Seoni,Seoni,PALARI MANDLA ROAD TEHSIL SEONI DISTRICT SEONI,452718,22.96762,78.676327,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.drbhagatsingh.ac.in,info@drbhagatsingh.ac.in,admissions@drbhagatsingh.ac.in,placement@drbhagatsingh.ac.in,+91-80-596-4540,Data Science,B.Tech,60,360,2017,Urban,Yes,Yes
1-44637281165,1-44637281165,U-0441,DR. BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Seoni,Seoni,PALARI MANDLA ROAD TEHSIL SEONI DISTRICT SEONI,452718,22.96762,78.676327,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.drbhagatsingh.ac.in,info@drbhagatsingh.ac.in,admissions@drbhagatsingh.ac.in,placement@drbhagatsingh.ac.in,+91-80-596-4540,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,360,2017,Urban,Yes,Yes
1-44637281165,1-44637281165,U-0441,DR. BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Seoni,Seoni,PALARI MANDLA ROAD TEHSIL SEONI DISTRICT SEONI,452718,22.96762,78.676327,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.drbhagatsingh.ac.in,info@drbhagatsingh.ac.in,admissions@drbhagatsingh.ac.in,placement@drbhagatsingh.ac.in,+91-80-596-4540,Robotics,B.Tech,30,360,2017,Urban,Yes,Yes
1-44637281165,1-44637281165,U-0441,DR. BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY,Active,Madhya Pradesh,Seoni,Seoni,PALARI MANDLA ROAD TEHSIL SEONI DISTRICT SEONI,452718,22.96762,78.676327,Private-Self Financing,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.drbhagatsingh.ac.in,info@drbhagatsingh.ac.in,admissions@drbhagatsingh.ac.in,placement@drbhagatsingh.ac.in,+91-80-596-4540,Information Technology (IT),B.Tech,60,360,2017,Urban,Yes,Yes
1-44639344241,1-44639344241,U-0441,GOVT POLYTECHNIC COLLEGE SEONI,Active,Madhya Pradesh,Seoni,Seoni,BARAPATTHER SEONI M.P.,452718,22.966686,78.638607,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.govtseoni.ac.in,info@govtseoni.ac.in,admissions@govtseoni.ac.in,placement@govtseoni.ac.in,+91-80-557-2618,Civil Engineering,Diploma,60,240,2007,Rural,Yes,No
1-44639344241,1-44639344241,U-0441,GOVT POLYTECHNIC COLLEGE SEONI,Active,Madhya Pradesh,Seoni,Seoni,BARAPATTHER SEONI M.P.,452718,22.966686,78.638607,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.govtseoni.ac.in,info@govtseoni.ac.in,admissions@govtseoni.ac.in,placement@govtseoni.ac.in,+91-80-557-2618,Computer Science Engineering (CSE),Diploma,60,240,2007,Rural,Yes,No
1-44639344241,1-44639344241,U-0441,GOVT POLYTECHNIC COLLEGE SEONI,Active,Madhya Pradesh,Seoni,Seoni,BARAPATTHER SEONI M.P.,452718,22.966686,78.638607,Government,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Approved,Approved,B++,Yes,,Tier 3,http://www.govtseoni.ac.in,info@govtseoni.ac.in,admissions@govtseoni.ac.in,placement@govtseoni.ac.in,+91-80-557-2618,Mechanical Engineering,Diploma,60,240,2007,Rural,Yes,No
