College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638570714,1-44638570714,U-0449,GOVERNMENT GIRLS POLYTECHNIC,Active,Uttar Pradesh,Shahjahanpur,Shahjahanpur,"VILL. JAHANPUR, TEHSIL- TILHAR, POST- NIGOHI",201486,26.847658,80.95759,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.girls.ac.in,info@girls.ac.in,admissions@girls.ac.in,placement@girls.ac.in,+91-80-879-0472,Automobile Engineering,Diploma,60,180,2019,Rural,Yes,Yes
1-44638570714,1-44638570714,U-0449,GOVERNMENT GIRLS POLYTECHNIC,Active,Uttar Pradesh,Shahjahanpur,Shahjahanpur,"VILL. JAHANPUR, TEHSIL- TILHAR, POST- NIGOHI",201486,26.847658,80.95759,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.girls.ac.in,info@girls.ac.in,admissions@girls.ac.in,placement@girls.ac.in,+91-80-879-0472,Electrical Engineering,Diploma,60,180,2019,Rural,Yes,Yes
1-44638570714,1-44638570714,U-0449,GOVERNMENT GIRLS POLYTECHNIC,Active,Uttar Pradesh,Shahjahanpur,Shahjahanpur,"VILL. JAHANPUR, TEHSIL- TILHAR, POST- NIGOHI",201486,26.847658,80.95759,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.girls.ac.in,info@girls.ac.in,admissions@girls.ac.in,placement@girls.ac.in,+91-80-879-0472,Computer Science Engineering (CSE),Diploma,60,180,2019,Rural,Yes,Yes
1-44639383948,1-44639383948,U-0449,GOVERNMENT POLYTECHNIC SHAHJAHANPUR,Active,Uttar Pradesh,Shahjahanpur,Shahjahanpur,VILL-LALPUR BLOCK-DADROUL JALALABAD ROAD,201486,26.837332,80.958324,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.shahjahanpur.ac.in,info@shahjahanpur.ac.in,admissions@shahjahanpur.ac.in,placement@shahjahanpur.ac.in,+91-80-445-9725,Mechanical Engineering,Diploma,60,300,1993,Urban,Yes,Yes
1-44639383948,1-44639383948,U-0449,GOVERNMENT POLYTECHNIC SHAHJAHANPUR,Active,Uttar Pradesh,Shahjahanpur,Shahjahanpur,VILL-LALPUR BLOCK-DADROUL JALALABAD ROAD,201486,26.837332,80.958324,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.shahjahanpur.ac.in,info@shahjahanpur.ac.in,admissions@shahjahanpur.ac.in,placement@shahjahanpur.ac.in,+91-80-445-9725,Other Engineering Branches,Diploma,60,300,1993,Urban,Yes,Yes
1-44639383948,1-44639383948,U-0449,GOVERNMENT POLYTECHNIC SHAHJAHANPUR,Active,Uttar Pradesh,Shahjahanpur,Shahjahanpur,VILL-LALPUR BLOCK-DADROUL JALALABAD ROAD,201486,26.837332,80.958324,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.shahjahanpur.ac.in,info@shahjahanpur.ac.in,admissions@shahjahanpur.ac.in,placement@shahjahanpur.ac.in,+91-80-445-9725,Chemical Engineering,Diploma,60,300,1993,Urban,Yes,Yes
1-44639383948,1-44639383948,U-0449,GOVERNMENT POLYTECHNIC SHAHJAHANPUR,Active,Uttar Pradesh,Shahjahanpur,Shahjahanpur,VILL-LALPUR BLOCK-DADROUL JALALABAD ROAD,201486,26.837332,80.958324,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.shahjahanpur.ac.in,info@shahjahanpur.ac.in,admissions@shahjahanpur.ac.in,placement@shahjahanpur.ac.in,+91-80-445-9725,Computer Science Engineering (CSE),Diploma,60,300,1993,Urban,Yes,Yes
1-44639383948,1-44639383948,U-0449,GOVERNMENT POLYTECHNIC SHAHJAHANPUR,Active,Uttar Pradesh,Shahjahanpur,Shahjahanpur,VILL-LALPUR BLOCK-DADROUL JALALABAD ROAD,201486,26.837332,80.958324,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.shahjahanpur.ac.in,info@shahjahanpur.ac.in,admissions@shahjahanpur.ac.in,placement@shahjahanpur.ac.in,+91-80-445-9725,Civil Engineering,Diploma,60,300,1993,Urban,Yes,Yes
1-44639730734,1-44639730734,U-0449,GOVERNMENT POLYTECHNIC PUWAYAN,Active,Uttar Pradesh,Shahjahanpur,Shahjahanpur,NEAR GANNA KISAAN DEGREE COLLEGE JEWA ROAD,201486,26.829801,80.934494,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.puwayan.ac.in,info@puwayan.ac.in,admissions@puwayan.ac.in,placement@puwayan.ac.in,+91-80-130-0789,Automobile Engineering,Diploma,60,180,1996,Urban,Yes,Yes
1-44639730734,1-44639730734,U-0449,GOVERNMENT POLYTECHNIC PUWAYAN,Active,Uttar Pradesh,Shahjahanpur,Shahjahanpur,NEAR GANNA KISAAN DEGREE COLLEGE JEWA ROAD,201486,26.829801,80.934494,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.puwayan.ac.in,info@puwayan.ac.in,admissions@puwayan.ac.in,placement@puwayan.ac.in,+91-80-130-0789,Electrical Engineering,Diploma,60,180,1996,Urban,Yes,Yes
