College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638220187,1-44638220187,U-0272,GOVERNMENT ENGINEERING COLLEGE SHEOHAR,Active,Bihar,Sheohar,Sheohar,"TEMPORARY CAMPUS, GOVERNMENT POLYTECHNIC SHEOHAR,POST - CHAMAMPUR, P.S - PIPARAHI DISTRICT - SHEOHAR(843329), BIHAR",843329,25.109763,85.325757,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.sheohar.ac.in,info@sheohar.ac.in,admissions@sheohar.ac.in,placement@sheohar.ac.in,+91-80-411-9377,Civil Engineering,B.Tech,60,360,1987,Rural,No,Yes
1-44638220187,1-44638220187,U-0272,GOVERNMENT ENGINEERING COLLEGE SHEOHAR,Active,Bihar,Sheohar,Sheohar,"TEMPORARY CAMPUS, GOVERNMENT POLYTECHNIC SHEOHAR,POST - CHAMAMPUR, P.S - PIPARAHI DISTRICT - SHEOHAR(843329), BIHAR",843329,25.109763,85.325757,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.sheohar.ac.in,info@sheohar.ac.in,admissions@sheohar.ac.in,placement@sheohar.ac.in,+91-80-411-9377,Electrical Engineering,B.Tech,60,360,1987,Rural,No,Yes
1-44638220187,1-44638220187,U-0272,GOVERNMENT ENGINEERING COLLEGE SHEOHAR,Active,Bihar,Sheohar,Sheohar,"TEMPORARY CAMPUS, GOVERNMENT POLYTECHNIC SHEOHAR,POST - CHAMAMPUR, P.S - PIPARAHI DISTRICT - SHEOHAR(843329), BIHAR",843329,25.109763,85.325757,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.sheohar.ac.in,info@sheohar.ac.in,admissions@sheohar.ac.in,placement@sheohar.ac.in,+91-80-411-9377,Electronics & Communication Engineering (ECE),B.Tech,60,360,1987,Rural,No,Yes
1-44638220187,1-44638220187,U-0272,GOVERNMENT ENGINEERING COLLEGE SHEOHAR,Active,Bihar,Sheohar,Sheohar,"TEMPORARY CAMPUS, GOVERNMENT POLYTECHNIC SHEOHAR,POST - CHAMAMPUR, P.S - PIPARAHI DISTRICT - SHEOHAR(843329), BIHAR",843329,25.109763,85.325757,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.sheohar.ac.in,info@sheohar.ac.in,admissions@sheohar.ac.in,placement@sheohar.ac.in,+91-80-411-9377,Mechanical Engineering,B.Tech,60,360,1987,Rural,No,Yes
1-44638220187,1-44638220187,U-0272,GOVERNMENT ENGINEERING COLLEGE SHEOHAR,Active,Bihar,Sheohar,Sheohar,"TEMPORARY CAMPUS, GOVERNMENT POLYTECHNIC SHEOHAR,POST - CHAMAMPUR, P.S - PIPARAHI DISTRICT - SHEOHAR(843329), BIHAR",843329,25.109763,85.325757,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.sheohar.ac.in,info@sheohar.ac.in,admissions@sheohar.ac.in,placement@sheohar.ac.in,+91-80-411-9377,Data Science,B.Tech,60,360,1987,Rural,No,Yes
1-44638220187,1-44638220187,U-0272,GOVERNMENT ENGINEERING COLLEGE SHEOHAR,Active,Bihar,Sheohar,Sheohar,"TEMPORARY CAMPUS, GOVERNMENT POLYTECHNIC SHEOHAR,POST - CHAMAMPUR, P.S - PIPARAHI DISTRICT - SHEOHAR(843329), BIHAR",843329,25.109763,85.325757,Government,"BIHAR ENGINEERING UNIVERSITY, PATNA",Approved,Approved,A,No,,Tier 2,http://www.sheohar.ac.in,info@sheohar.ac.in,admissions@sheohar.ac.in,placement@sheohar.ac.in,+91-80-411-9377,Information Technology (IT),B.Tech,60,360,1987,Rural,No,Yes
1-44640345426,1-44640345426,U-0698,"GOVERNMENT POLYTECHNIC, SHEOHAR",Active,Bihar,Sheohar,Sheohar,"AT- PARIHARA POST- CHAMANPUR P.S.- PIPARAHI DISTRICT- SHEOHAR PIN CODE - 843329 BIHAR, INDIA",843329,25.095751,85.32665,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.sheohar.ac.in,info@sheohar.ac.in,admissions@sheohar.ac.in,placement@sheohar.ac.in,+91-80-824-2134,Civil Engineering,Diploma,120,360,2014,Urban,Yes,Yes
1-44640345426,1-44640345426,U-0698,"GOVERNMENT POLYTECHNIC, SHEOHAR",Active,Bihar,Sheohar,Sheohar,"AT- PARIHARA POST- CHAMANPUR P.S.- PIPARAHI DISTRICT- SHEOHAR PIN CODE - 843329 BIHAR, INDIA",843329,25.095751,85.32665,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.sheohar.ac.in,info@sheohar.ac.in,admissions@sheohar.ac.in,placement@sheohar.ac.in,+91-80-824-2134,Mechanical Engineering,Diploma,60,360,2014,Urban,Yes,Yes
1-44640345426,1-44640345426,U-0698,"GOVERNMENT POLYTECHNIC, SHEOHAR",Active,Bihar,Sheohar,Sheohar,"AT- PARIHARA POST- CHAMANPUR P.S.- PIPARAHI DISTRICT- SHEOHAR PIN CODE - 843329 BIHAR, INDIA",843329,25.095751,85.32665,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.sheohar.ac.in,info@sheohar.ac.in,admissions@sheohar.ac.in,placement@sheohar.ac.in,+91-80-824-2134,Electrical Engineering,Diploma,60,360,2014,Urban,Yes,Yes
1-44640345426,1-44640345426,U-0698,"GOVERNMENT POLYTECHNIC, SHEOHAR",Active,Bihar,Sheohar,Sheohar,"AT- PARIHARA POST- CHAMANPUR P.S.- PIPARAHI DISTRICT- SHEOHAR PIN CODE - 843329 BIHAR, INDIA",843329,25.095751,85.32665,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.sheohar.ac.in,info@sheohar.ac.in,admissions@sheohar.ac.in,placement@sheohar.ac.in,+91-80-824-2134,Other Engineering Branches,Diploma,60,360,2014,Urban,Yes,Yes
1-44640345426,1-44640345426,U-0698,"GOVERNMENT POLYTECHNIC, SHEOHAR",Active,Bihar,Sheohar,Sheohar,"AT- PARIHARA POST- CHAMANPUR P.S.- PIPARAHI DISTRICT- SHEOHAR PIN CODE - 843329 BIHAR, INDIA",843329,25.095751,85.32665,Government,"State Board of Technical Education, Patna",Approved,Approved,B++,Yes,,Tier 3,http://www.sheohar.ac.in,info@sheohar.ac.in,admissions@sheohar.ac.in,placement@sheohar.ac.in,+91-80-824-2134,Computer Science Engineering (CSE),Diploma,60,360,2014,Urban,Yes,Yes
