College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638657617,1-44638657617,U-0977,MAHATMA GANDHI GOVERNMENT ENGINEERING COLLEGE KOTLA JEORI,Active,Himachal Pradesh,Shimla,Shimla,"KOTLA (JEORI) ,TEHSILRAMPUR BUSHAHR, HIMACHAL PRADESH",170175,31.10113,77.175651,Government,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,B++,Yes,,Tier 3,http://www.mahatmagandhikotla.ac.in,info@mahatmagandhikotla.ac.in,admissions@mahatmagandhikotla.ac.in,placement@mahatmagandhikotla.ac.in,+91-80-684-9422,Civil Engineering,B.Tech,60,120,2018,Urban,No,No
1-44638657617,1-44638657617,U-0977,MAHATMA GANDHI GOVERNMENT ENGINEERING COLLEGE KOTLA JEORI,Active,Himachal Pradesh,Shimla,Shimla,"KOTLA (JEORI) ,TEHSILRAMPUR BUSHAHR, HIMACHAL PRADESH",170175,31.10113,77.175651,Government,"Himachal Pradesh Technical University, Hamirpur",Approved,Approved,B++,Yes,,Tier 3,http://www.mahatmagandhikotla.ac.in,info@mahatmagandhikotla.ac.in,admissions@mahatmagandhikotla.ac.in,placement@mahatmagandhikotla.ac.in,+91-80-684-9422,Mechanical Engineering,B.Tech,60,120,2018,Urban,No,No
1-44640024848,1-44640024848,U-0675,GOVT. POLYTECHNIC ROHRU,Active,Himachal Pradesh,Shimla,Shimla,"POST OFFICE ROHRU,  DISTT. SHIMLA H.P.",170175,31.088075,77.168846,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.govtrohru.ac.in,info@govtrohru.ac.in,admissions@govtrohru.ac.in,placement@govtrohru.ac.in,+91-80-137-3538,Electronics & Communication Engineering (ECE),Diploma,60,150,2014,Urban,Yes,Yes
1-44640024848,1-44640024848,U-0675,GOVT. POLYTECHNIC ROHRU,Active,Himachal Pradesh,Shimla,Shimla,"POST OFFICE ROHRU,  DISTT. SHIMLA H.P.",170175,31.088075,77.168846,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.govtrohru.ac.in,info@govtrohru.ac.in,admissions@govtrohru.ac.in,placement@govtrohru.ac.in,+91-80-137-3538,Civil Engineering,Diploma,60,150,2014,Urban,Yes,Yes
1-44640024848,1-44640024848,U-0675,GOVT. POLYTECHNIC ROHRU,Active,Himachal Pradesh,Shimla,Shimla,"POST OFFICE ROHRU,  DISTT. SHIMLA H.P.",170175,31.088075,77.168846,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,B++,Yes,,Tier 3,http://www.govtrohru.ac.in,info@govtrohru.ac.in,admissions@govtrohru.ac.in,placement@govtrohru.ac.in,+91-80-137-3538,IoT,Diploma,30,150,2014,Urban,Yes,Yes
1-44639794401,1-44639794401,U-0675,ATAL BIHARI VAJPAYEE GOVERNMENT  INSTITUTE OF ENGINEERING & TECHNOLOGY (DIPLOMA PROGRAMME),Active,Himachal Pradesh,Shimla,Shimla,PRAGATINAGAR,170175,31.095693,77.160287,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A+,Yes,,Tier 2,http://www.atalbiharivajpayee.ac.in,info@atalbiharivajpayee.ac.in,admissions@atalbiharivajpayee.ac.in,placement@atalbiharivajpayee.ac.in,+91-80-456-8620,Civil Engineering,Diploma,30,240,2020,Urban,No,Yes
1-44639794401,1-44639794401,U-0675,ATAL BIHARI VAJPAYEE GOVERNMENT  INSTITUTE OF ENGINEERING & TECHNOLOGY (DIPLOMA PROGRAMME),Active,Himachal Pradesh,Shimla,Shimla,PRAGATINAGAR,170175,31.095693,77.160287,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A+,Yes,,Tier 2,http://www.atalbiharivajpayee.ac.in,info@atalbiharivajpayee.ac.in,admissions@atalbiharivajpayee.ac.in,placement@atalbiharivajpayee.ac.in,+91-80-456-8620,Electrical Engineering,Diploma,60,240,2020,Urban,No,Yes
1-44639794401,1-44639794401,U-0675,ATAL BIHARI VAJPAYEE GOVERNMENT  INSTITUTE OF ENGINEERING & TECHNOLOGY (DIPLOMA PROGRAMME),Active,Himachal Pradesh,Shimla,Shimla,PRAGATINAGAR,170175,31.095693,77.160287,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A+,Yes,,Tier 2,http://www.atalbiharivajpayee.ac.in,info@atalbiharivajpayee.ac.in,admissions@atalbiharivajpayee.ac.in,placement@atalbiharivajpayee.ac.in,+91-80-456-8620,Mechanical Engineering,Diploma,30,240,2020,Urban,No,Yes
1-44639794401,1-44639794401,U-0675,ATAL BIHARI VAJPAYEE GOVERNMENT  INSTITUTE OF ENGINEERING & TECHNOLOGY (DIPLOMA PROGRAMME),Active,Himachal Pradesh,Shimla,Shimla,PRAGATINAGAR,170175,31.095693,77.160287,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A+,Yes,,Tier 2,http://www.atalbiharivajpayee.ac.in,info@atalbiharivajpayee.ac.in,admissions@atalbiharivajpayee.ac.in,placement@atalbiharivajpayee.ac.in,+91-80-456-8620,Electronics & Communication Engineering (ECE),Diploma,60,240,2020,Urban,No,Yes
1-44639794401,1-44639794401,U-0675,ATAL BIHARI VAJPAYEE GOVERNMENT  INSTITUTE OF ENGINEERING & TECHNOLOGY (DIPLOMA PROGRAMME),Active,Himachal Pradesh,Shimla,Shimla,PRAGATINAGAR,170175,31.095693,77.160287,Government,"Himachal Pradesh Takniki Shiksha Board , Dharamshala",Approved,Approved,A+,Yes,,Tier 2,http://www.atalbiharivajpayee.ac.in,info@atalbiharivajpayee.ac.in,admissions@atalbiharivajpayee.ac.in,placement@atalbiharivajpayee.ac.in,+91-80-456-8620,Computer Science Engineering (CSE),Diploma,60,240,2020,Urban,No,Yes
