College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44639386190,1-44639386190,U-0197,SHEKHAWATI POLYTECHNIC COLLEGE,Active,Rajasthan,Sikar,Sikar,JAIPUR ROAD,302058,27.028576,74.206709,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.shekhawati.ac.in,info@shekhawati.ac.in,admissions@shekhawati.ac.in,placement@shekhawati.ac.in,+91-80-039-1864,Civil Engineering,Diploma,180,600,1980,Rural,Yes,Yes
1-44639386190,1-44639386190,U-0197,SHEKHAWATI POLYTECHNIC COLLEGE,Active,Rajasthan,Sikar,Sikar,JAIPUR ROAD,302058,27.028576,74.206709,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.shekhawati.ac.in,info@shekhawati.ac.in,admissions@shekhawati.ac.in,placement@shekhawati.ac.in,+91-80-039-1864,Mechanical Engineering,Diploma,180,600,1980,Rural,Yes,Yes
1-44639386190,1-44639386190,U-0197,SHEKHAWATI POLYTECHNIC COLLEGE,Active,Rajasthan,Sikar,Sikar,JAIPUR ROAD,302058,27.028576,74.206709,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.shekhawati.ac.in,info@shekhawati.ac.in,admissions@shekhawati.ac.in,placement@shekhawati.ac.in,+91-80-039-1864,Electrical Engineering,Diploma,180,600,1980,Rural,Yes,Yes
1-44639386190,1-44639386190,U-0197,SHEKHAWATI POLYTECHNIC COLLEGE,Active,Rajasthan,Sikar,Sikar,JAIPUR ROAD,302058,27.028576,74.206709,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.shekhawati.ac.in,info@shekhawati.ac.in,admissions@shekhawati.ac.in,placement@shekhawati.ac.in,+91-80-039-1864,Computer Science Engineering (CSE),Diploma,60,600,1980,Rural,Yes,Yes
1-44639949561,1-44639949561,U-0197,SBS POLYTECHNIC COLLEGE,Active,Rajasthan,Sikar,Sikar,"NEAR KV NH-11, SABALPURA, SIKAR",302058,27.02367,74.207112,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.sbs.ac.in,info@sbs.ac.in,admissions@sbs.ac.in,placement@sbs.ac.in,+91-80-833-4138,Electrical Engineering,Diploma,60,300,1993,Rural,Yes,Yes
1-44639949561,1-44639949561,U-0197,SBS POLYTECHNIC COLLEGE,Active,Rajasthan,Sikar,Sikar,"NEAR KV NH-11, SABALPURA, SIKAR",302058,27.02367,74.207112,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.sbs.ac.in,info@sbs.ac.in,admissions@sbs.ac.in,placement@sbs.ac.in,+91-80-833-4138,Mechanical Engineering,Diploma,60,300,1993,Rural,Yes,Yes
1-44639949561,1-44639949561,U-0197,SBS POLYTECHNIC COLLEGE,Active,Rajasthan,Sikar,Sikar,"NEAR KV NH-11, SABALPURA, SIKAR",302058,27.02367,74.207112,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.sbs.ac.in,info@sbs.ac.in,admissions@sbs.ac.in,placement@sbs.ac.in,+91-80-833-4138,Electronics & Communication Engineering (ECE),Diploma,60,300,1993,Rural,Yes,Yes
1-44639949561,1-44639949561,U-0197,SBS POLYTECHNIC COLLEGE,Active,Rajasthan,Sikar,Sikar,"NEAR KV NH-11, SABALPURA, SIKAR",302058,27.02367,74.207112,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.sbs.ac.in,info@sbs.ac.in,admissions@sbs.ac.in,placement@sbs.ac.in,+91-80-833-4138,Civil Engineering,Diploma,60,300,1993,Rural,Yes,Yes
1-44639949561,1-44639949561,U-0197,SBS POLYTECHNIC COLLEGE,Active,Rajasthan,Sikar,Sikar,"NEAR KV NH-11, SABALPURA, SIKAR",302058,27.02367,74.207112,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,No,,Tier 3,http://www.sbs.ac.in,info@sbs.ac.in,admissions@sbs.ac.in,placement@sbs.ac.in,+91-80-833-4138,Computer Science Engineering (CSE),Diploma,60,300,1993,Rural,Yes,Yes
1-44639769513,1-44639769513,U-0197,MARUDHARA POLYTECHNIC COLLEGE,Active,Rajasthan,Sikar,Sikar,MUKUNDGARH ROAD,302058,27.030826,74.199516,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.marudhara.ac.in,info@marudhara.ac.in,admissions@marudhara.ac.in,placement@marudhara.ac.in,+91-80-133-5178,Electrical Engineering,Diploma,120,240,1995,Urban,Yes,Yes
1-44639769513,1-44639769513,U-0197,MARUDHARA POLYTECHNIC COLLEGE,Active,Rajasthan,Sikar,Sikar,MUKUNDGARH ROAD,302058,27.030826,74.199516,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.marudhara.ac.in,info@marudhara.ac.in,admissions@marudhara.ac.in,placement@marudhara.ac.in,+91-80-133-5178,Civil Engineering,Diploma,120,240,1995,Urban,Yes,Yes
1-44640716656,1-44640716656,U-0197,GOVERNMENT POLYTECHNIC COLLEGE SIKAR (RAJ.),Active,Rajasthan,Sikar,Sikar,"GOVERNMENT POLYTECHNIC COLLEGE CHANDPURA, SIKAR",302058,27.02977,74.232901,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.sikarraj.ac.in,info@sikarraj.ac.in,admissions@sikarraj.ac.in,placement@sikarraj.ac.in,+91-80-089-2768,Mechanical Engineering,Diploma,70,140,2016,Urban,Yes,Yes
1-44640716656,1-44640716656,U-0197,GOVERNMENT POLYTECHNIC COLLEGE SIKAR (RAJ.),Active,Rajasthan,Sikar,Sikar,"GOVERNMENT POLYTECHNIC COLLEGE CHANDPURA, SIKAR",302058,27.02977,74.232901,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.sikarraj.ac.in,info@sikarraj.ac.in,admissions@sikarraj.ac.in,placement@sikarraj.ac.in,+91-80-089-2768,Electrical Engineering,Diploma,40,140,2016,Urban,Yes,Yes
1-44640716656,1-44640716656,U-0197,GOVERNMENT POLYTECHNIC COLLEGE SIKAR (RAJ.),Active,Rajasthan,Sikar,Sikar,"GOVERNMENT POLYTECHNIC COLLEGE CHANDPURA, SIKAR",302058,27.02977,74.232901,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,A+,Yes,,Tier 2,http://www.sikarraj.ac.in,info@sikarraj.ac.in,admissions@sikarraj.ac.in,placement@sikarraj.ac.in,+91-80-089-2768,Other Engineering Branches,Diploma,30,140,2016,Urban,Yes,Yes
1-44640678642,1-44640678642,U-0192,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,Active,Rajasthan,Sikar,Sikar,"VILLAGE- AKHEPURA, TEHSIL- DANTA-RAMGARH,",302058,27.026297,74.211113,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,B,Yes,,Tier 3,http://www.pratapscience.ac.in,info@pratapscience.ac.in,admissions@pratapscience.ac.in,placement@pratapscience.ac.in,+91-80-943-5732,Electronics & Communication Engineering (ECE),B.Tech,30,420,2004,Urban,Yes,Yes
1-44640678642,1-44640678642,U-0192,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,Active,Rajasthan,Sikar,Sikar,"VILLAGE- AKHEPURA, TEHSIL- DANTA-RAMGARH,",302058,27.026297,74.211113,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,B,Yes,,Tier 3,http://www.pratapscience.ac.in,info@pratapscience.ac.in,admissions@pratapscience.ac.in,placement@pratapscience.ac.in,+91-80-943-5732,Electrical Engineering,B.Tech,60,420,2004,Urban,Yes,Yes
1-44640678642,1-44640678642,U-0192,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,Active,Rajasthan,Sikar,Sikar,"VILLAGE- AKHEPURA, TEHSIL- DANTA-RAMGARH,",302058,27.026297,74.211113,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,B,Yes,,Tier 3,http://www.pratapscience.ac.in,info@pratapscience.ac.in,admissions@pratapscience.ac.in,placement@pratapscience.ac.in,+91-80-943-5732,Civil Engineering,B.Tech,60,420,2004,Urban,Yes,Yes
1-44640678642,1-44640678642,U-0192,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,Active,Rajasthan,Sikar,Sikar,"VILLAGE- AKHEPURA, TEHSIL- DANTA-RAMGARH,",302058,27.026297,74.211113,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,B,Yes,,Tier 3,http://www.pratapscience.ac.in,info@pratapscience.ac.in,admissions@pratapscience.ac.in,placement@pratapscience.ac.in,+91-80-943-5732,Computer Science Engineering (CSE),B.Tech,60,420,2004,Urban,Yes,Yes
1-44640678642,1-44640678642,U-0192,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,Active,Rajasthan,Sikar,Sikar,"VILLAGE- AKHEPURA, TEHSIL- DANTA-RAMGARH,",302058,27.026297,74.211113,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,B,Yes,,Tier 3,http://www.pratapscience.ac.in,info@pratapscience.ac.in,admissions@pratapscience.ac.in,placement@pratapscience.ac.in,+91-80-943-5732,Mechanical Engineering,B.Tech,60,420,2004,Urban,Yes,Yes
1-44640678642,1-44640678642,U-0192,PRATAP INSTITUTE OF TECHNOLOGY & SCIENCE,Active,Rajasthan,Sikar,Sikar,"VILLAGE- AKHEPURA, TEHSIL- DANTA-RAMGARH,",302058,27.026297,74.211113,Private-Self Financing,"BIKANER TECHNICAL UNIVERSITY, BIKANER",Approved,Approved,B,Yes,,Tier 3,http://www.pratapscience.ac.in,info@pratapscience.ac.in,admissions@pratapscience.ac.in,placement@pratapscience.ac.in,+91-80-943-5732,Civil Engineering,Diploma,60,420,2004,Urban,Yes,Yes
