College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44640271311,1-44640271311,U-0197,ABUROAD POLYTECHNIC COLLEGE,Active,Rajasthan,Sirohi,Sirohi,"PALANPUR-ABU ROAD-HIGHWAY,RIICO COLONY,ABU ROAD",302094,27.013012,74.199884,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.aburoad.ac.in,info@aburoad.ac.in,admissions@aburoad.ac.in,placement@aburoad.ac.in,+91-80-386-3820,Mechanical Engineering,Diploma,30,90,2020,Urban,Yes,Yes
1-44640271311,1-44640271311,U-0197,ABUROAD POLYTECHNIC COLLEGE,Active,Rajasthan,Sirohi,Sirohi,"PALANPUR-ABU ROAD-HIGHWAY,RIICO COLONY,ABU ROAD",302094,27.013012,74.199884,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.aburoad.ac.in,info@aburoad.ac.in,admissions@aburoad.ac.in,placement@aburoad.ac.in,+91-80-386-3820,Electrical Engineering,Diploma,30,90,2020,Urban,Yes,Yes
1-44640271311,1-44640271311,U-0197,ABUROAD POLYTECHNIC COLLEGE,Active,Rajasthan,Sirohi,Sirohi,"PALANPUR-ABU ROAD-HIGHWAY,RIICO COLONY,ABU ROAD",302094,27.013012,74.199884,Private-Self Financing,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.aburoad.ac.in,info@aburoad.ac.in,admissions@aburoad.ac.in,placement@aburoad.ac.in,+91-80-386-3820,Civil Engineering,Diploma,30,90,2020,Urban,Yes,Yes
1-44641144949,1-44641144949,U-0197,"SH.GOKUL BHAI BHATT,GOVERNMENT POLYTECHNIC COLLEGE,SIROHI",Active,Rajasthan,Sirohi,Sirohi,NEAR VILLAGE -MANDWA,302094,27.027816,74.209676,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.shgokulbhaibhattgovernment.ac.in,info@shgokulbhaibhattgovernment.ac.in,admissions@shgokulbhaibhattgovernment.ac.in,placement@shgokulbhaibhattgovernment.ac.in,+91-80-007-3163,Electrical Engineering,Diploma,44,137,1988,Urban,Yes,No
1-44641144949,1-44641144949,U-0197,"SH.GOKUL BHAI BHATT,GOVERNMENT POLYTECHNIC COLLEGE,SIROHI",Active,Rajasthan,Sirohi,Sirohi,NEAR VILLAGE -MANDWA,302094,27.027816,74.209676,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.shgokulbhaibhattgovernment.ac.in,info@shgokulbhaibhattgovernment.ac.in,admissions@shgokulbhaibhattgovernment.ac.in,placement@shgokulbhaibhattgovernment.ac.in,+91-80-007-3163,Other Engineering Branches,Diploma,30,137,1988,Urban,Yes,No
1-44641144949,1-44641144949,U-0197,"SH.GOKUL BHAI BHATT,GOVERNMENT POLYTECHNIC COLLEGE,SIROHI",Active,Rajasthan,Sirohi,Sirohi,NEAR VILLAGE -MANDWA,302094,27.027816,74.209676,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.shgokulbhaibhattgovernment.ac.in,info@shgokulbhaibhattgovernment.ac.in,admissions@shgokulbhaibhattgovernment.ac.in,placement@shgokulbhaibhattgovernment.ac.in,+91-80-007-3163,Computer Science Engineering (CSE),Diploma,33,137,1988,Urban,Yes,No
1-44641144949,1-44641144949,U-0197,"SH.GOKUL BHAI BHATT,GOVERNMENT POLYTECHNIC COLLEGE,SIROHI",Active,Rajasthan,Sirohi,Sirohi,NEAR VILLAGE -MANDWA,302094,27.027816,74.209676,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B,No,,Tier 3,http://www.shgokulbhaibhattgovernment.ac.in,info@shgokulbhaibhattgovernment.ac.in,admissions@shgokulbhaibhattgovernment.ac.in,placement@shgokulbhaibhattgovernment.ac.in,+91-80-007-3163,Civil Engineering,Diploma,30,137,1988,Urban,Yes,No
1-44640889905,1-44640889905,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, BAGIDORA(BANSWARA-RAJ.)",Active,Rajasthan,Sirohi,Sirohi,VILLAGE - KATARIYA PO - BALAWADA TEHSIL - BAGIDORA DISTRICT - BANSWARA RAJASTHAN 327603,327603,27.003952,74.205757,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.bagidorabanswararaj.ac.in,info@bagidorabanswararaj.ac.in,admissions@bagidorabanswararaj.ac.in,placement@bagidorabanswararaj.ac.in,+91-80-006-3794,Other Engineering Branches,Diploma,30,120,1995,Urban,Yes,Yes
1-44640889905,1-44640889905,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, BAGIDORA(BANSWARA-RAJ.)",Active,Rajasthan,Sirohi,Sirohi,VILLAGE - KATARIYA PO - BALAWADA TEHSIL - BAGIDORA DISTRICT - BANSWARA RAJASTHAN 327603,327603,27.003952,74.205757,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.bagidorabanswararaj.ac.in,info@bagidorabanswararaj.ac.in,admissions@bagidorabanswararaj.ac.in,placement@bagidorabanswararaj.ac.in,+91-80-006-3794,Computer Science Engineering (CSE),Diploma,30,120,1995,Urban,Yes,Yes
1-44640889905,1-44640889905,U-0197,"GOVERNMENT POLYTECHNIC COLLEGE, BAGIDORA(BANSWARA-RAJ.)",Active,Rajasthan,Sirohi,Sirohi,VILLAGE - KATARIYA PO - BALAWADA TEHSIL - BAGIDORA DISTRICT - BANSWARA RAJASTHAN 327603,327603,27.003952,74.205757,Government,"Board of Technical Education And Directorate Of Technical Education, Jodhpur",Approved,Approved,B++,Yes,,Tier 3,http://www.bagidorabanswararaj.ac.in,info@bagidorabanswararaj.ac.in,admissions@bagidorabanswararaj.ac.in,placement@bagidorabanswararaj.ac.in,+91-80-006-3794,Electrical Engineering,Diploma,30,120,1995,Urban,Yes,Yes
