College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638756698,1-44638756698,U-0698,GOVERNMENT POLYTECHNIC SITAMARHI,Active,Bihar,Sitamarhi,Sitamarhi,"BIRPUR, SURSAND DISTT-SITAMARHI BIHAR - 843331",843331,25.090601,85.317355,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.sitamarhi.ac.in,info@sitamarhi.ac.in,admissions@sitamarhi.ac.in,placement@sitamarhi.ac.in,+91-80-608-2203,Civil Engineering,Diploma,120,360,2002,Urban,Yes,Yes
1-44638756698,1-44638756698,U-0698,GOVERNMENT POLYTECHNIC SITAMARHI,Active,Bihar,Sitamarhi,Sitamarhi,"BIRPUR, SURSAND DISTT-SITAMARHI BIHAR - 843331",843331,25.090601,85.317355,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.sitamarhi.ac.in,info@sitamarhi.ac.in,admissions@sitamarhi.ac.in,placement@sitamarhi.ac.in,+91-80-608-2203,Mechanical Engineering,Diploma,60,360,2002,Urban,Yes,Yes
1-44638756698,1-44638756698,U-0698,GOVERNMENT POLYTECHNIC SITAMARHI,Active,Bihar,Sitamarhi,Sitamarhi,"BIRPUR, SURSAND DISTT-SITAMARHI BIHAR - 843331",843331,25.090601,85.317355,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.sitamarhi.ac.in,info@sitamarhi.ac.in,admissions@sitamarhi.ac.in,placement@sitamarhi.ac.in,+91-80-608-2203,Electrical Engineering,Diploma,60,360,2002,Urban,Yes,Yes
1-44638756698,1-44638756698,U-0698,GOVERNMENT POLYTECHNIC SITAMARHI,Active,Bihar,Sitamarhi,Sitamarhi,"BIRPUR, SURSAND DISTT-SITAMARHI BIHAR - 843331",843331,25.090601,85.317355,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.sitamarhi.ac.in,info@sitamarhi.ac.in,admissions@sitamarhi.ac.in,placement@sitamarhi.ac.in,+91-80-608-2203,Other Engineering Branches,Diploma,60,360,2002,Urban,Yes,Yes
1-44638756698,1-44638756698,U-0698,GOVERNMENT POLYTECHNIC SITAMARHI,Active,Bihar,Sitamarhi,Sitamarhi,"BIRPUR, SURSAND DISTT-SITAMARHI BIHAR - 843331",843331,25.090601,85.317355,Government,"State Board of Technical Education, Patna",Approved,Approved,B,No,,Tier 3,http://www.sitamarhi.ac.in,info@sitamarhi.ac.in,admissions@sitamarhi.ac.in,placement@sitamarhi.ac.in,+91-80-608-2203,Computer Science Engineering (CSE),Diploma,60,360,2002,Urban,Yes,Yes
1-44638903370,1-44638903370,U-0846,SITAMARHI INSTITUTE OF TECHNOLOGY,Active,Bihar,Sitamarhi,Sitamarhi,"SITAMARHI INSTITUTE OF TECHNOLOGY, DUMRA, VILLAGE: GOSAINPUR, PO: RASULPUR, SITAMARHI 843302",843302,25.091675,85.313972,Government,"Bihar Engineering University, Patna",Approved,Approved,A,No,,Tier 2,http://www.sitamarhi.ac.in,info@sitamarhi.ac.in,admissions@sitamarhi.ac.in,placement@sitamarhi.ac.in,+91-80-653-2741,Electrical Engineering,B.Tech,60,360,1983,Rural,Yes,No
1-44638903370,1-44638903370,U-0846,SITAMARHI INSTITUTE OF TECHNOLOGY,Active,Bihar,Sitamarhi,Sitamarhi,"SITAMARHI INSTITUTE OF TECHNOLOGY, DUMRA, VILLAGE: GOSAINPUR, PO: RASULPUR, SITAMARHI 843302",843302,25.091675,85.313972,Government,"Bihar Engineering University, Patna",Approved,Approved,A,No,,Tier 2,http://www.sitamarhi.ac.in,info@sitamarhi.ac.in,admissions@sitamarhi.ac.in,placement@sitamarhi.ac.in,+91-80-653-2741,Computer Science Engineering (CSE),B.Tech,60,360,1983,Rural,Yes,No
1-44638903370,1-44638903370,U-0846,SITAMARHI INSTITUTE OF TECHNOLOGY,Active,Bihar,Sitamarhi,Sitamarhi,"SITAMARHI INSTITUTE OF TECHNOLOGY, DUMRA, VILLAGE: GOSAINPUR, PO: RASULPUR, SITAMARHI 843302",843302,25.091675,85.313972,Government,"Bihar Engineering University, Patna",Approved,Approved,A,No,,Tier 2,http://www.sitamarhi.ac.in,info@sitamarhi.ac.in,admissions@sitamarhi.ac.in,placement@sitamarhi.ac.in,+91-80-653-2741,Mechanical Engineering,B.Tech,60,360,1983,Rural,Yes,No
1-44638903370,1-44638903370,U-0846,SITAMARHI INSTITUTE OF TECHNOLOGY,Active,Bihar,Sitamarhi,Sitamarhi,"SITAMARHI INSTITUTE OF TECHNOLOGY, DUMRA, VILLAGE: GOSAINPUR, PO: RASULPUR, SITAMARHI 843302",843302,25.091675,85.313972,Government,"Bihar Engineering University, Patna",Approved,Approved,A,No,,Tier 2,http://www.sitamarhi.ac.in,info@sitamarhi.ac.in,admissions@sitamarhi.ac.in,placement@sitamarhi.ac.in,+91-80-653-2741,Civil Engineering,B.Tech,60,360,1983,Rural,Yes,No
1-44638903370,1-44638903370,U-0846,SITAMARHI INSTITUTE OF TECHNOLOGY,Active,Bihar,Sitamarhi,Sitamarhi,"SITAMARHI INSTITUTE OF TECHNOLOGY, DUMRA, VILLAGE: GOSAINPUR, PO: RASULPUR, SITAMARHI 843302",843302,25.091675,85.313972,Government,"Bihar Engineering University, Patna",Approved,Approved,A,No,,Tier 2,http://www.sitamarhi.ac.in,info@sitamarhi.ac.in,admissions@sitamarhi.ac.in,placement@sitamarhi.ac.in,+91-80-653-2741,Artificial Intelligence & Machine Learning (AI & ML),B.Tech,60,360,1983,Rural,Yes,No
