College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638761497,1-44638761497,U-0449,"GOVERNMENT POLYTECHNIC, ALIYA, SITAPUR",Active,Uttar Pradesh,Sitapur,Sitapur,"VILL- SARAIJEET, PARGANA AND TAHSIL- SITAPUR",201163,26.837298,80.964345,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.aliyasitapur.ac.in,info@aliyasitapur.ac.in,admissions@aliyasitapur.ac.in,placement@aliyasitapur.ac.in,+91-80-444-5172,Other Engineering Branches,Diploma,90,150,1990,Urban,Yes,Yes
1-44638761497,1-44638761497,U-0449,"GOVERNMENT POLYTECHNIC, ALIYA, SITAPUR",Active,Uttar Pradesh,Sitapur,Sitapur,"VILL- SARAIJEET, PARGANA AND TAHSIL- SITAPUR",201163,26.837298,80.964345,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A+,Yes,,Tier 2,http://www.aliyasitapur.ac.in,info@aliyasitapur.ac.in,admissions@aliyasitapur.ac.in,placement@aliyasitapur.ac.in,+91-80-444-5172,Mechanical Engineering,Diploma,60,150,1990,Urban,Yes,Yes
1-44638608012,1-44638608012,U-0164,SITAPUR SHIKSHA SANSTHAN GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Sitapur,Sitapur,"RESORA ,SITAPUR",201163,26.866557,80.942526,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.sitapurshikshasansthan.ac.in,info@sitapurshikshasansthan.ac.in,admissions@sitapurshikshasansthan.ac.in,placement@sitapurshikshasansthan.ac.in,+91-80-671-7160,Computer Science Engineering (CSE),B.Tech,60,510,2019,Urban,Yes,Yes
1-44638608012,1-44638608012,U-0164,SITAPUR SHIKSHA SANSTHAN GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Sitapur,Sitapur,"RESORA ,SITAPUR",201163,26.866557,80.942526,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.sitapurshikshasansthan.ac.in,info@sitapurshikshasansthan.ac.in,admissions@sitapurshikshasansthan.ac.in,placement@sitapurshikshasansthan.ac.in,+91-80-671-7160,Mechanical Engineering,B.Tech,30,510,2019,Urban,Yes,Yes
1-44638608012,1-44638608012,U-0164,SITAPUR SHIKSHA SANSTHAN GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Sitapur,Sitapur,"RESORA ,SITAPUR",201163,26.866557,80.942526,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.sitapurshikshasansthan.ac.in,info@sitapurshikshasansthan.ac.in,admissions@sitapurshikshasansthan.ac.in,placement@sitapurshikshasansthan.ac.in,+91-80-671-7160,Electronics & Communication Engineering (ECE),B.Tech,30,510,2019,Urban,Yes,Yes
1-44638608012,1-44638608012,U-0164,SITAPUR SHIKSHA SANSTHAN GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Sitapur,Sitapur,"RESORA ,SITAPUR",201163,26.866557,80.942526,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.sitapurshikshasansthan.ac.in,info@sitapurshikshasansthan.ac.in,admissions@sitapurshikshasansthan.ac.in,placement@sitapurshikshasansthan.ac.in,+91-80-671-7160,Electrical & Electronics Engineering (EEE),B.Tech,30,510,2019,Urban,Yes,Yes
1-44638608012,1-44638608012,U-0164,SITAPUR SHIKSHA SANSTHAN GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Sitapur,Sitapur,"RESORA ,SITAPUR",201163,26.866557,80.942526,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.sitapurshikshasansthan.ac.in,info@sitapurshikshasansthan.ac.in,admissions@sitapurshikshasansthan.ac.in,placement@sitapurshikshasansthan.ac.in,+91-80-671-7160,Civil Engineering,B.Tech,30,510,2019,Urban,Yes,Yes
1-44638608012,1-44638608012,U-0164,SITAPUR SHIKSHA SANSTHAN GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Sitapur,Sitapur,"RESORA ,SITAPUR",201163,26.866557,80.942526,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.sitapurshikshasansthan.ac.in,info@sitapurshikshasansthan.ac.in,admissions@sitapurshikshasansthan.ac.in,placement@sitapurshikshasansthan.ac.in,+91-80-671-7160,Civil Engineering,Diploma,60,510,2019,Urban,Yes,Yes
1-44638608012,1-44638608012,U-0164,SITAPUR SHIKSHA SANSTHAN GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Sitapur,Sitapur,"RESORA ,SITAPUR",201163,26.866557,80.942526,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.sitapurshikshasansthan.ac.in,info@sitapurshikshasansthan.ac.in,admissions@sitapurshikshasansthan.ac.in,placement@sitapurshikshasansthan.ac.in,+91-80-671-7160,Mechanical Engineering,Diploma,60,510,2019,Urban,Yes,Yes
1-44638608012,1-44638608012,U-0164,SITAPUR SHIKSHA SANSTHAN GROUP OF INSTITUTIONS,Active,Uttar Pradesh,Sitapur,Sitapur,"RESORA ,SITAPUR",201163,26.866557,80.942526,Private-Self Financing,"Dr. A.P.J. Abdul Kalam Technical University, Uttar Pradesh, Lucknow",Approved,Approved,B,Yes,,Tier 3,http://www.sitapurshikshasansthan.ac.in,info@sitapurshikshasansthan.ac.in,admissions@sitapurshikshasansthan.ac.in,placement@sitapurshikshasansthan.ac.in,+91-80-671-7160,Other Engineering Branches,Diploma,30,510,2019,Urban,Yes,Yes
