College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638548224,1-44638548224,U-0682,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Sivaganga,Sivaganga,"NO:146/4B1,AMARAVATHI VILLAGE,AMARAVATHYPUDHUR(POST),KARAIKUDI(TALUK) SIVAGANGAI(DISTRICT)",600527,11.140458,78.675825,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.sriraajaraajan.ac.in,info@sriraajaraajan.ac.in,admissions@sriraajaraajan.ac.in,placement@sriraajaraajan.ac.in,+91-80-399-1417,Computer Science Engineering (CSE),M.Tech,24,432,1998,Urban,Yes,No
1-44638548224,1-44638548224,U-0682,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Sivaganga,Sivaganga,"NO:146/4B1,AMARAVATHI VILLAGE,AMARAVATHYPUDHUR(POST),KARAIKUDI(TALUK) SIVAGANGAI(DISTRICT)",600527,11.140458,78.675825,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.sriraajaraajan.ac.in,info@sriraajaraajan.ac.in,admissions@sriraajaraajan.ac.in,placement@sriraajaraajan.ac.in,+91-80-399-1417,Civil Engineering,B.Tech,30,432,1998,Urban,Yes,No
1-44638548224,1-44638548224,U-0682,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Sivaganga,Sivaganga,"NO:146/4B1,AMARAVATHI VILLAGE,AMARAVATHYPUDHUR(POST),KARAIKUDI(TALUK) SIVAGANGAI(DISTRICT)",600527,11.140458,78.675825,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.sriraajaraajan.ac.in,info@sriraajaraajan.ac.in,admissions@sriraajaraajan.ac.in,placement@sriraajaraajan.ac.in,+91-80-399-1417,Computer Science Engineering (CSE),B.Tech,120,432,1998,Urban,Yes,No
1-44638548224,1-44638548224,U-0682,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Sivaganga,Sivaganga,"NO:146/4B1,AMARAVATHI VILLAGE,AMARAVATHYPUDHUR(POST),KARAIKUDI(TALUK) SIVAGANGAI(DISTRICT)",600527,11.140458,78.675825,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.sriraajaraajan.ac.in,info@sriraajaraajan.ac.in,admissions@sriraajaraajan.ac.in,placement@sriraajaraajan.ac.in,+91-80-399-1417,Electrical & Electronics Engineering (EEE),B.Tech,30,432,1998,Urban,Yes,No
1-44638548224,1-44638548224,U-0682,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Sivaganga,Sivaganga,"NO:146/4B1,AMARAVATHI VILLAGE,AMARAVATHYPUDHUR(POST),KARAIKUDI(TALUK) SIVAGANGAI(DISTRICT)",600527,11.140458,78.675825,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.sriraajaraajan.ac.in,info@sriraajaraajan.ac.in,admissions@sriraajaraajan.ac.in,placement@sriraajaraajan.ac.in,+91-80-399-1417,Electronics & Communication Engineering (ECE),B.Tech,60,432,1998,Urban,Yes,No
1-44638548224,1-44638548224,U-0682,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Sivaganga,Sivaganga,"NO:146/4B1,AMARAVATHI VILLAGE,AMARAVATHYPUDHUR(POST),KARAIKUDI(TALUK) SIVAGANGAI(DISTRICT)",600527,11.140458,78.675825,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.sriraajaraajan.ac.in,info@sriraajaraajan.ac.in,admissions@sriraajaraajan.ac.in,placement@sriraajaraajan.ac.in,+91-80-399-1417,Mechanical Engineering,B.Tech,30,432,1998,Urban,Yes,No
1-44638548224,1-44638548224,U-0682,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Sivaganga,Sivaganga,"NO:146/4B1,AMARAVATHI VILLAGE,AMARAVATHYPUDHUR(POST),KARAIKUDI(TALUK) SIVAGANGAI(DISTRICT)",600527,11.140458,78.675825,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.sriraajaraajan.ac.in,info@sriraajaraajan.ac.in,admissions@sriraajaraajan.ac.in,placement@sriraajaraajan.ac.in,+91-80-399-1417,Agricultural Engineering,B.Tech,30,432,1998,Urban,Yes,No
1-44638548224,1-44638548224,U-0682,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Sivaganga,Sivaganga,"NO:146/4B1,AMARAVATHI VILLAGE,AMARAVATHYPUDHUR(POST),KARAIKUDI(TALUK) SIVAGANGAI(DISTRICT)",600527,11.140458,78.675825,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.sriraajaraajan.ac.in,info@sriraajaraajan.ac.in,admissions@sriraajaraajan.ac.in,placement@sriraajaraajan.ac.in,+91-80-399-1417,Data Science,B.Tech,60,432,1998,Urban,Yes,No
1-44638548224,1-44638548224,U-0682,SRI RAAJA RAAJAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Sivaganga,Sivaganga,"NO:146/4B1,AMARAVATHI VILLAGE,AMARAVATHYPUDHUR(POST),KARAIKUDI(TALUK) SIVAGANGAI(DISTRICT)",600527,11.140458,78.675825,Private-Self Financing,"Anna University, Chennai",Approved,Approved,A,No,,Tier 3,http://www.sriraajaraajan.ac.in,info@sriraajaraajan.ac.in,admissions@sriraajaraajan.ac.in,placement@sriraajaraajan.ac.in,+91-80-399-1417,Other Engineering Branches,M.Tech,48,432,1998,Urban,Yes,No
1-44639453464,1-44639453464,U-0650,ANNAMALAI POLYTECHNIC COLLEGE,Active,Tamil Nadu,Sivaganga,Sivaganga,CHETTINAD - 630 102,600527,11.145481,78.67056,Govt aided,"Directorate of Technical Education, Chennai",Approved,Approved,A,No,,Tier 3,http://www.annamalai.ac.in,info@annamalai.ac.in,admissions@annamalai.ac.in,placement@annamalai.ac.in,+91-80-609-8007,Civil Engineering,Diploma,60,360,1997,Urban,Yes,Yes
