College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638531225,1-44638531225,U-0122,SHREE SIDDHESHWAR WOMEN'S COLLEGE OF ENGINEERING SOLAPUR.,Active,Maharashtra,Solapur,Solapur,T.P.S. II F. PLOT NO. 74 BHAVANI PETH RUPA BHAVANI MANDIR ROAD SOLAPUR.,400168,17.678782,75.906066,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B+,No,,Tier 3,http://www.shreesiddheshwarsolapur.ac.in,info@shreesiddheshwarsolapur.ac.in,admissions@shreesiddheshwarsolapur.ac.in,placement@shreesiddheshwarsolapur.ac.in,+91-80-630-8093,Computer Science Engineering (CSE),B.Tech,180,390,2005,Rural,Yes,Yes
1-44638531225,1-44638531225,U-0122,SHREE SIDDHESHWAR WOMEN'S COLLEGE OF ENGINEERING SOLAPUR.,Active,Maharashtra,Solapur,Solapur,T.P.S. II F. PLOT NO. 74 BHAVANI PETH RUPA BHAVANI MANDIR ROAD SOLAPUR.,400168,17.678782,75.906066,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B+,No,,Tier 3,http://www.shreesiddheshwarsolapur.ac.in,info@shreesiddheshwarsolapur.ac.in,admissions@shreesiddheshwarsolapur.ac.in,placement@shreesiddheshwarsolapur.ac.in,+91-80-630-8093,Electronics & Communication Engineering (ECE),B.Tech,60,390,2005,Rural,Yes,Yes
1-44638531225,1-44638531225,U-0122,SHREE SIDDHESHWAR WOMEN'S COLLEGE OF ENGINEERING SOLAPUR.,Active,Maharashtra,Solapur,Solapur,T.P.S. II F. PLOT NO. 74 BHAVANI PETH RUPA BHAVANI MANDIR ROAD SOLAPUR.,400168,17.678782,75.906066,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B+,No,,Tier 3,http://www.shreesiddheshwarsolapur.ac.in,info@shreesiddheshwarsolapur.ac.in,admissions@shreesiddheshwarsolapur.ac.in,placement@shreesiddheshwarsolapur.ac.in,+91-80-630-8093,Electrical Engineering,B.Tech,30,390,2005,Rural,Yes,Yes
1-44638531225,1-44638531225,U-0122,SHREE SIDDHESHWAR WOMEN'S COLLEGE OF ENGINEERING SOLAPUR.,Active,Maharashtra,Solapur,Solapur,T.P.S. II F. PLOT NO. 74 BHAVANI PETH RUPA BHAVANI MANDIR ROAD SOLAPUR.,400168,17.678782,75.906066,Private-Self Financing,"Dr. Babasaheb Ambedkar Technological University, Lonere",Approved,Approved,B+,No,,Tier 3,http://www.shreesiddheshwarsolapur.ac.in,info@shreesiddheshwarsolapur.ac.in,admissions@shreesiddheshwarsolapur.ac.in,placement@shreesiddheshwarsolapur.ac.in,+91-80-630-8093,Data Science,B.Tech,120,390,2005,Rural,Yes,Yes
1-44638273637,1-44638273637,U-0243,N. B. NAVALE SINHGAD COLLEGE OF ENGINEERING,Active,Maharashtra,Solapur,Solapur,"AT POST KEGAON, SOLAPUR - PUNE NATIONAL HIGHWAY, DIST SOLAPUR, MAHARASHTRA,  PIN- 413256",413256,17.661029,75.919184,Private-Self Financing,"Solapur University, Solapur",Approved,Approved,B+,No,,Tier 3,http://www.nbnavale.ac.in,info@nbnavale.ac.in,admissions@nbnavale.ac.in,placement@nbnavale.ac.in,+91-80-886-2417,Mechanical Engineering,B.Tech,120,378,1993,Rural,Yes,Yes
1-44638273637,1-44638273637,U-0243,N. B. NAVALE SINHGAD COLLEGE OF ENGINEERING,Active,Maharashtra,Solapur,Solapur,"AT POST KEGAON, SOLAPUR - PUNE NATIONAL HIGHWAY, DIST SOLAPUR, MAHARASHTRA,  PIN- 413256",413256,17.661029,75.919184,Private-Self Financing,"Solapur University, Solapur",Approved,Approved,B+,No,,Tier 3,http://www.nbnavale.ac.in,info@nbnavale.ac.in,admissions@nbnavale.ac.in,placement@nbnavale.ac.in,+91-80-886-2417,Electrical Engineering,B.Tech,60,378,1993,Rural,Yes,Yes
1-44638273637,1-44638273637,U-0243,N. B. NAVALE SINHGAD COLLEGE OF ENGINEERING,Active,Maharashtra,Solapur,Solapur,"AT POST KEGAON, SOLAPUR - PUNE NATIONAL HIGHWAY, DIST SOLAPUR, MAHARASHTRA,  PIN- 413256",413256,17.661029,75.919184,Private-Self Financing,"Solapur University, Solapur",Approved,Approved,B+,No,,Tier 3,http://www.nbnavale.ac.in,info@nbnavale.ac.in,admissions@nbnavale.ac.in,placement@nbnavale.ac.in,+91-80-886-2417,Computer Science Engineering (CSE),B.Tech,60,378,1993,Rural,Yes,Yes
1-44638273637,1-44638273637,U-0243,N. B. NAVALE SINHGAD COLLEGE OF ENGINEERING,Active,Maharashtra,Solapur,Solapur,"AT POST KEGAON, SOLAPUR - PUNE NATIONAL HIGHWAY, DIST SOLAPUR, MAHARASHTRA,  PIN- 413256",413256,17.661029,75.919184,Private-Self Financing,"Solapur University, Solapur",Approved,Approved,B+,No,,Tier 3,http://www.nbnavale.ac.in,info@nbnavale.ac.in,admissions@nbnavale.ac.in,placement@nbnavale.ac.in,+91-80-886-2417,Civil Engineering,B.Tech,60,378,1993,Rural,Yes,Yes
1-44638273637,1-44638273637,U-0243,N. B. NAVALE SINHGAD COLLEGE OF ENGINEERING,Active,Maharashtra,Solapur,Solapur,"AT POST KEGAON, SOLAPUR - PUNE NATIONAL HIGHWAY, DIST SOLAPUR, MAHARASHTRA,  PIN- 413256",413256,17.661029,75.919184,Private-Self Financing,"Solapur University, Solapur",Approved,Approved,B+,No,,Tier 3,http://www.nbnavale.ac.in,info@nbnavale.ac.in,admissions@nbnavale.ac.in,placement@nbnavale.ac.in,+91-80-886-2417,Electronics & Communication Engineering (ECE),B.Tech,60,378,1993,Rural,Yes,Yes
1-44638273637,1-44638273637,U-0243,N. B. NAVALE SINHGAD COLLEGE OF ENGINEERING,Active,Maharashtra,Solapur,Solapur,"AT POST KEGAON, SOLAPUR - PUNE NATIONAL HIGHWAY, DIST SOLAPUR, MAHARASHTRA,  PIN- 413256",413256,17.661029,75.919184,Private-Self Financing,"Solapur University, Solapur",Approved,Approved,B+,No,,Tier 3,http://www.nbnavale.ac.in,info@nbnavale.ac.in,admissions@nbnavale.ac.in,placement@nbnavale.ac.in,+91-80-886-2417,Other Engineering Branches,M.Tech,18,378,1993,Rural,Yes,Yes
