College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638542002,1-44638542002,U-0788,INTERNATIONAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Sonepat,Sonepat,"49 KM STONE,NH-1,MURTHAL(SONIPAT )-131039 HARYANA",131039,29.077455,76.087878,Private-Self Financing,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",Approved,Approved,B,No,,Tier 3,http://www.internationalmanagement.ac.in,info@internationalmanagement.ac.in,admissions@internationalmanagement.ac.in,placement@internationalmanagement.ac.in,+91-80-621-2878,Civil Engineering,B.Tech,30,528,1982,Urban,No,No
1-44638542002,1-44638542002,U-0788,INTERNATIONAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Sonepat,Sonepat,"49 KM STONE,NH-1,MURTHAL(SONIPAT )-131039 HARYANA",131039,29.077455,76.087878,Private-Self Financing,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",Approved,Approved,B,No,,Tier 3,http://www.internationalmanagement.ac.in,info@internationalmanagement.ac.in,admissions@internationalmanagement.ac.in,placement@internationalmanagement.ac.in,+91-80-621-2878,Mechanical Engineering,B.Tech,60,528,1982,Urban,No,No
1-44638542002,1-44638542002,U-0788,INTERNATIONAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Sonepat,Sonepat,"49 KM STONE,NH-1,MURTHAL(SONIPAT )-131039 HARYANA",131039,29.077455,76.087878,Private-Self Financing,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",Approved,Approved,B,No,,Tier 3,http://www.internationalmanagement.ac.in,info@internationalmanagement.ac.in,admissions@internationalmanagement.ac.in,placement@internationalmanagement.ac.in,+91-80-621-2878,Electrical Engineering,B.Tech,30,528,1982,Urban,No,No
1-44638542002,1-44638542002,U-0788,INTERNATIONAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Sonepat,Sonepat,"49 KM STONE,NH-1,MURTHAL(SONIPAT )-131039 HARYANA",131039,29.077455,76.087878,Private-Self Financing,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",Approved,Approved,B,No,,Tier 3,http://www.internationalmanagement.ac.in,info@internationalmanagement.ac.in,admissions@internationalmanagement.ac.in,placement@internationalmanagement.ac.in,+91-80-621-2878,Electronics & Communication Engineering (ECE),B.Tech,30,528,1982,Urban,No,No
1-44638542002,1-44638542002,U-0788,INTERNATIONAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Sonepat,Sonepat,"49 KM STONE,NH-1,MURTHAL(SONIPAT )-131039 HARYANA",131039,29.077455,76.087878,Private-Self Financing,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",Approved,Approved,B,No,,Tier 3,http://www.internationalmanagement.ac.in,info@internationalmanagement.ac.in,admissions@internationalmanagement.ac.in,placement@internationalmanagement.ac.in,+91-80-621-2878,Computer Science Engineering (CSE),B.Tech,60,528,1982,Urban,No,No
1-44638542002,1-44638542002,U-0788,INTERNATIONAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Sonepat,Sonepat,"49 KM STONE,NH-1,MURTHAL(SONIPAT )-131039 HARYANA",131039,29.077455,76.087878,Private-Self Financing,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",Approved,Approved,B,No,,Tier 3,http://www.internationalmanagement.ac.in,info@internationalmanagement.ac.in,admissions@internationalmanagement.ac.in,placement@internationalmanagement.ac.in,+91-80-621-2878,Mechanical Engineering,Diploma,60,528,1982,Urban,No,No
1-44638542002,1-44638542002,U-0788,INTERNATIONAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Sonepat,Sonepat,"49 KM STONE,NH-1,MURTHAL(SONIPAT )-131039 HARYANA",131039,29.077455,76.087878,Private-Self Financing,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",Approved,Approved,B,No,,Tier 3,http://www.internationalmanagement.ac.in,info@internationalmanagement.ac.in,admissions@internationalmanagement.ac.in,placement@internationalmanagement.ac.in,+91-80-621-2878,Civil Engineering,Diploma,60,528,1982,Urban,No,No
1-44638542002,1-44638542002,U-0788,INTERNATIONAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Sonepat,Sonepat,"49 KM STONE,NH-1,MURTHAL(SONIPAT )-131039 HARYANA",131039,29.077455,76.087878,Private-Self Financing,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",Approved,Approved,B,No,,Tier 3,http://www.internationalmanagement.ac.in,info@internationalmanagement.ac.in,admissions@internationalmanagement.ac.in,placement@internationalmanagement.ac.in,+91-80-621-2878,Mechanical Engineering,M.Tech,9,528,1982,Urban,No,No
1-44638542002,1-44638542002,U-0788,INTERNATIONAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Sonepat,Sonepat,"49 KM STONE,NH-1,MURTHAL(SONIPAT )-131039 HARYANA",131039,29.077455,76.087878,Private-Self Financing,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",Approved,Approved,B,No,,Tier 3,http://www.internationalmanagement.ac.in,info@internationalmanagement.ac.in,admissions@internationalmanagement.ac.in,placement@internationalmanagement.ac.in,+91-80-621-2878,Computer Science Engineering (CSE),M.Tech,9,528,1982,Urban,No,No
1-44638542002,1-44638542002,U-0788,INTERNATIONAL INSTITUTE OF TECHNOLOGY & MANAGEMENT,Active,Haryana,Sonepat,Sonepat,"49 KM STONE,NH-1,MURTHAL(SONIPAT )-131039 HARYANA",131039,29.077455,76.087878,Private-Self Financing,"Deenbandhu Chhotu Ram University of Science and Technology, Murthal",Approved,Approved,B,No,,Tier 3,http://www.internationalmanagement.ac.in,info@internationalmanagement.ac.in,admissions@internationalmanagement.ac.in,placement@internationalmanagement.ac.in,+91-80-621-2878,Electrical Engineering,Diploma,60,528,1982,Urban,No,No
