College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638498929,1-44638498929,U-0992,JAWAHARLAL NEHRU UNIVERSITY,Active,Delhi,South West Delhi,South West Delhi,SCHOOL OF COMPUTER AND SYSTEMS SCIENCES JAWAHARLAL NEHRU UNIVERSITY,110785,28.600753,77.22304,Central University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.jawaharlalnehru.ac.in,info@jawaharlalnehru.ac.in,admissions@jawaharlalnehru.ac.in,placement@jawaharlalnehru.ac.in,+91-80-287-4585,Computer Science Engineering (CSE),M.Tech,30,60,1993,Urban,Yes,Yes
1-44638498929,1-44638498929,U-0992,JAWAHARLAL NEHRU UNIVERSITY,Active,Delhi,South West Delhi,South West Delhi,SCHOOL OF COMPUTER AND SYSTEMS SCIENCES JAWAHARLAL NEHRU UNIVERSITY,110785,28.600753,77.22304,Central University,NOT APPLICABLE,Approved,Approved,A,No,,Tier 3,http://www.jawaharlalnehru.ac.in,info@jawaharlalnehru.ac.in,admissions@jawaharlalnehru.ac.in,placement@jawaharlalnehru.ac.in,+91-80-287-4585,Data Science,M.Tech,30,60,1993,Urban,Yes,Yes
1-44638395090,1-44638395090,U-0992,TERI SCHOOL OF ADVANCED STUDIES DEEMED TO BE UNIVERSITY,Active,Delhi,South West Delhi,South West Delhi,"10, INSTITUTIONAL AREA, VASANT KUNJ NEW DELHI",110785,28.605344,77.222281,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,B,Yes,,Tier 3,http://www.terischooladvanced.ac.in,info@terischooladvanced.ac.in,admissions@terischooladvanced.ac.in,placement@terischooladvanced.ac.in,+91-80-480-0212,Other Engineering Branches,M.Tech,30,30,1990,Urban,Yes,Yes
1-44638959800,1-44638959800,U-0677,JAWAHARLAL NEHRU UNIVERSITY,Active,Delhi,South West Delhi,South West Delhi,"JAWAHARLAL NEHRU UNIVERSITY, NEW MEHRAULI ROAD, DELHI - 110067",110067,28.600753,77.22304,Central University,"Jawaharlal Nehru University, New Delhi",Approved,Approved,A,No,,Tier 3,http://www.jawaharlalnehru.ac.in,info@jawaharlalnehru.ac.in,admissions@jawaharlalnehru.ac.in,placement@jawaharlalnehru.ac.in,+91-80-287-4585,Computer Science Engineering (CSE),B.Tech,60,210,1993,Urban,Yes,Yes
1-44638959800,1-44638959800,U-0677,JAWAHARLAL NEHRU UNIVERSITY,Active,Delhi,South West Delhi,South West Delhi,"JAWAHARLAL NEHRU UNIVERSITY, NEW MEHRAULI ROAD, DELHI - 110067",110067,28.600753,77.22304,Central University,"Jawaharlal Nehru University, New Delhi",Approved,Approved,A,No,,Tier 3,http://www.jawaharlalnehru.ac.in,info@jawaharlalnehru.ac.in,admissions@jawaharlalnehru.ac.in,placement@jawaharlalnehru.ac.in,+91-80-287-4585,Electronics & Communication Engineering (ECE),B.Tech,60,210,1993,Urban,Yes,Yes
1-44638959800,1-44638959800,U-0677,JAWAHARLAL NEHRU UNIVERSITY,Active,Delhi,South West Delhi,South West Delhi,"JAWAHARLAL NEHRU UNIVERSITY, NEW MEHRAULI ROAD, DELHI - 110067",110067,28.600753,77.22304,Central University,"Jawaharlal Nehru University, New Delhi",Approved,Approved,A,No,,Tier 3,http://www.jawaharlalnehru.ac.in,info@jawaharlalnehru.ac.in,admissions@jawaharlalnehru.ac.in,placement@jawaharlalnehru.ac.in,+91-80-287-4585,Computer Science Engineering (CSE),M.Tech,30,210,1993,Urban,Yes,Yes
1-44638959800,1-44638959800,U-0677,JAWAHARLAL NEHRU UNIVERSITY,Active,Delhi,South West Delhi,South West Delhi,"JAWAHARLAL NEHRU UNIVERSITY, NEW MEHRAULI ROAD, DELHI - 110067",110067,28.600753,77.22304,Central University,"Jawaharlal Nehru University, New Delhi",Approved,Approved,A,No,,Tier 3,http://www.jawaharlalnehru.ac.in,info@jawaharlalnehru.ac.in,admissions@jawaharlalnehru.ac.in,placement@jawaharlalnehru.ac.in,+91-80-287-4585,Electronics & Communication Engineering (ECE),M.Tech,30,210,1993,Urban,Yes,Yes
1-44638959800,1-44638959800,U-0677,JAWAHARLAL NEHRU UNIVERSITY,Active,Delhi,South West Delhi,South West Delhi,"JAWAHARLAL NEHRU UNIVERSITY, NEW MEHRAULI ROAD, DELHI - 110067",110067,28.600753,77.22304,Central University,"Jawaharlal Nehru University, New Delhi",Approved,Approved,A,No,,Tier 3,http://www.jawaharlalnehru.ac.in,info@jawaharlalnehru.ac.in,admissions@jawaharlalnehru.ac.in,placement@jawaharlalnehru.ac.in,+91-80-287-4585,Other Engineering Branches,M.Tech,30,210,1993,Urban,Yes,Yes
1-44639757485,1-44639757485,U-0574,NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY WEST CAMPUS,Active,Delhi,South West Delhi,South West Delhi,BEHIND RAO TULA RAM HOSPITAL JAFFARPUR DELHI-110073,110073,28.614865,77.215393,State Government University,Netaji Subhas University of Technology,Approved,Approved,B,Yes,,Tier 3,http://www.netajisubhaswest.ac.in,info@netajisubhaswest.ac.in,admissions@netajisubhaswest.ac.in,placement@netajisubhaswest.ac.in,+91-80-879-3512,Civil Engineering,B.Tech,60,210,2019,Urban,Yes,Yes
1-44639757485,1-44639757485,U-0574,NETAJI SUBHAS UNIVERSITY OF TECHNOLOGY WEST CAMPUS,Active,Delhi,South West Delhi,South West Delhi,BEHIND RAO TULA RAM HOSPITAL JAFFARPUR DELHI-110073,110073,28.614865,77.215393,State Government University,Netaji Subhas University of Technology,Approved,Approved,B,Yes,,Tier 3,http://www.netajisubhaswest.ac.in,info@netajisubhaswest.ac.in,admissions@netajisubhaswest.ac.in,placement@netajisubhaswest.ac.in,+91-80-879-3512,Mechanical Engineering,B.Tech,60,210,2019,Urban,Yes,Yes
