College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638539433,1-44638539433,U-0180,RGUKT SRIKAKULAM,Active,Andhra Pradesh,Srikakulam,Srikakulam,"SM PURAM, ETCHERLA (M), SRIKAKULAM DISTRICT, ANDHRA PRADESH-532402",532402,18.297685,83.880947,Government,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES-AP,Approved,Approved,A+,Yes,,Tier 2,http://www.rguktsrikakulam.ac.in,info@rguktsrikakulam.ac.in,admissions@rguktsrikakulam.ac.in,placement@rguktsrikakulam.ac.in,+91-80-020-3556,Computer Science Engineering (CSE),B.Tech,120,300,1986,Urban,Yes,Yes
1-44638539433,1-44638539433,U-0180,RGUKT SRIKAKULAM,Active,Andhra Pradesh,Srikakulam,Srikakulam,"SM PURAM, ETCHERLA (M), SRIKAKULAM DISTRICT, ANDHRA PRADESH-532402",532402,18.297685,83.880947,Government,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES-AP,Approved,Approved,A+,Yes,,Tier 2,http://www.rguktsrikakulam.ac.in,info@rguktsrikakulam.ac.in,admissions@rguktsrikakulam.ac.in,placement@rguktsrikakulam.ac.in,+91-80-020-3556,Electronics & Communication Engineering (ECE),B.Tech,60,300,1986,Urban,Yes,Yes
1-44638539433,1-44638539433,U-0180,RGUKT SRIKAKULAM,Active,Andhra Pradesh,Srikakulam,Srikakulam,"SM PURAM, ETCHERLA (M), SRIKAKULAM DISTRICT, ANDHRA PRADESH-532402",532402,18.297685,83.880947,Government,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES-AP,Approved,Approved,A+,Yes,,Tier 2,http://www.rguktsrikakulam.ac.in,info@rguktsrikakulam.ac.in,admissions@rguktsrikakulam.ac.in,placement@rguktsrikakulam.ac.in,+91-80-020-3556,Mechanical Engineering,B.Tech,60,300,1986,Urban,Yes,Yes
1-44638539433,1-44638539433,U-0180,RGUKT SRIKAKULAM,Active,Andhra Pradesh,Srikakulam,Srikakulam,"SM PURAM, ETCHERLA (M), SRIKAKULAM DISTRICT, ANDHRA PRADESH-532402",532402,18.297685,83.880947,Government,RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES-AP,Approved,Approved,A+,Yes,,Tier 2,http://www.rguktsrikakulam.ac.in,info@rguktsrikakulam.ac.in,admissions@rguktsrikakulam.ac.in,placement@rguktsrikakulam.ac.in,+91-80-020-3556,Civil Engineering,B.Tech,60,300,1986,Urban,Yes,Yes
1-44639599606,1-44639599606,U-0823,GMR INSTITUTE OF TECHNOLOGY,Active,Andhra Pradesh,Srikakulam,Srikakulam,GMR NAGAR RAJAM SRIKAKULAM DISTRICT,500825,18.329455,83.903421,Private-Self Financing,"JawaharlalÂ Â Nehru Technological University - Gurajada, Vizianagaram (JNTUGV)",Approved,Approved,B+,No,,Tier 3,http://www.gmr.ac.in,info@gmr.ac.in,admissions@gmr.ac.in,placement@gmr.ac.in,+91-80-352-8499,Civil Engineering,B.Tech,120,1140,2014,Rural,Yes,No
1-44639599606,1-44639599606,U-0823,GMR INSTITUTE OF TECHNOLOGY,Active,Andhra Pradesh,Srikakulam,Srikakulam,GMR NAGAR RAJAM SRIKAKULAM DISTRICT,500825,18.329455,83.903421,Private-Self Financing,"JawaharlalÂ Â Nehru Technological University - Gurajada, Vizianagaram (JNTUGV)",Approved,Approved,B+,No,,Tier 3,http://www.gmr.ac.in,info@gmr.ac.in,admissions@gmr.ac.in,placement@gmr.ac.in,+91-80-352-8499,Information Technology (IT),B.Tech,120,1140,2014,Rural,Yes,No
1-44639599606,1-44639599606,U-0823,GMR INSTITUTE OF TECHNOLOGY,Active,Andhra Pradesh,Srikakulam,Srikakulam,GMR NAGAR RAJAM SRIKAKULAM DISTRICT,500825,18.329455,83.903421,Private-Self Financing,"JawaharlalÂ Â Nehru Technological University - Gurajada, Vizianagaram (JNTUGV)",Approved,Approved,B+,No,,Tier 3,http://www.gmr.ac.in,info@gmr.ac.in,admissions@gmr.ac.in,placement@gmr.ac.in,+91-80-352-8499,Computer Science Engineering (CSE),B.Tech,240,1140,2014,Rural,Yes,No
1-44639599606,1-44639599606,U-0823,GMR INSTITUTE OF TECHNOLOGY,Active,Andhra Pradesh,Srikakulam,Srikakulam,GMR NAGAR RAJAM SRIKAKULAM DISTRICT,500825,18.329455,83.903421,Private-Self Financing,"JawaharlalÂ Â Nehru Technological University - Gurajada, Vizianagaram (JNTUGV)",Approved,Approved,B+,No,,Tier 3,http://www.gmr.ac.in,info@gmr.ac.in,admissions@gmr.ac.in,placement@gmr.ac.in,+91-80-352-8499,Electronics & Communication Engineering (ECE),B.Tech,180,1140,2014,Rural,Yes,No
1-44639599606,1-44639599606,U-0823,GMR INSTITUTE OF TECHNOLOGY,Active,Andhra Pradesh,Srikakulam,Srikakulam,GMR NAGAR RAJAM SRIKAKULAM DISTRICT,500825,18.329455,83.903421,Private-Self Financing,"JawaharlalÂ Â Nehru Technological University - Gurajada, Vizianagaram (JNTUGV)",Approved,Approved,B+,No,,Tier 3,http://www.gmr.ac.in,info@gmr.ac.in,admissions@gmr.ac.in,placement@gmr.ac.in,+91-80-352-8499,Mechanical Engineering,B.Tech,120,1140,2014,Rural,Yes,No
1-44639599606,1-44639599606,U-0823,GMR INSTITUTE OF TECHNOLOGY,Active,Andhra Pradesh,Srikakulam,Srikakulam,GMR NAGAR RAJAM SRIKAKULAM DISTRICT,500825,18.329455,83.903421,Private-Self Financing,"JawaharlalÂ Â Nehru Technological University - Gurajada, Vizianagaram (JNTUGV)",Approved,Approved,B+,No,,Tier 3,http://www.gmr.ac.in,info@gmr.ac.in,admissions@gmr.ac.in,placement@gmr.ac.in,+91-80-352-8499,Other Engineering Branches,M.Tech,48,1140,2014,Rural,Yes,No
