College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638474216,1-44638474216,U-0992,INSTITUTE OF TECHNOLOGY UNIVERSITY OF KASHMIR ZAKURA CAMPUS,Active,Jammu and Kashmir,Srinagar,Srinagar,"ZAKURA,SRINAGAR,JAMMU AND KASHMIR ,INDIA",190794,34.089294,74.790175,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.kashmirzakuracampus.ac.in,info@kashmirzakuracampus.ac.in,admissions@kashmirzakuracampus.ac.in,placement@kashmirzakuracampus.ac.in,+91-80-073-4674,Electrical Engineering,B.Tech,60,294,2020,Urban,Yes,Yes
1-44638474216,1-44638474216,U-0992,INSTITUTE OF TECHNOLOGY UNIVERSITY OF KASHMIR ZAKURA CAMPUS,Active,Jammu and Kashmir,Srinagar,Srinagar,"ZAKURA,SRINAGAR,JAMMU AND KASHMIR ,INDIA",190794,34.089294,74.790175,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.kashmirzakuracampus.ac.in,info@kashmirzakuracampus.ac.in,admissions@kashmirzakuracampus.ac.in,placement@kashmirzakuracampus.ac.in,+91-80-073-4674,Electronics & Communication Engineering (ECE),B.Tech,60,294,2020,Urban,Yes,Yes
1-44638474216,1-44638474216,U-0992,INSTITUTE OF TECHNOLOGY UNIVERSITY OF KASHMIR ZAKURA CAMPUS,Active,Jammu and Kashmir,Srinagar,Srinagar,"ZAKURA,SRINAGAR,JAMMU AND KASHMIR ,INDIA",190794,34.089294,74.790175,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.kashmirzakuracampus.ac.in,info@kashmirzakuracampus.ac.in,admissions@kashmirzakuracampus.ac.in,placement@kashmirzakuracampus.ac.in,+91-80-073-4674,Mechanical Engineering,B.Tech,60,294,2020,Urban,Yes,Yes
1-44638474216,1-44638474216,U-0992,INSTITUTE OF TECHNOLOGY UNIVERSITY OF KASHMIR ZAKURA CAMPUS,Active,Jammu and Kashmir,Srinagar,Srinagar,"ZAKURA,SRINAGAR,JAMMU AND KASHMIR ,INDIA",190794,34.089294,74.790175,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.kashmirzakuracampus.ac.in,info@kashmirzakuracampus.ac.in,admissions@kashmirzakuracampus.ac.in,placement@kashmirzakuracampus.ac.in,+91-80-073-4674,Civil Engineering,B.Tech,60,294,2020,Urban,Yes,Yes
1-44638474216,1-44638474216,U-0992,INSTITUTE OF TECHNOLOGY UNIVERSITY OF KASHMIR ZAKURA CAMPUS,Active,Jammu and Kashmir,Srinagar,Srinagar,"ZAKURA,SRINAGAR,JAMMU AND KASHMIR ,INDIA",190794,34.089294,74.790175,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.kashmirzakuracampus.ac.in,info@kashmirzakuracampus.ac.in,admissions@kashmirzakuracampus.ac.in,placement@kashmirzakuracampus.ac.in,+91-80-073-4674,Other Engineering Branches,M.Tech,36,294,2020,Urban,Yes,Yes
1-44638474216,1-44638474216,U-0992,INSTITUTE OF TECHNOLOGY UNIVERSITY OF KASHMIR ZAKURA CAMPUS,Active,Jammu and Kashmir,Srinagar,Srinagar,"ZAKURA,SRINAGAR,JAMMU AND KASHMIR ,INDIA",190794,34.089294,74.790175,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.kashmirzakuracampus.ac.in,info@kashmirzakuracampus.ac.in,admissions@kashmirzakuracampus.ac.in,placement@kashmirzakuracampus.ac.in,+91-80-073-4674,Electronics & Communication Engineering (ECE),M.Tech,18,294,2020,Urban,Yes,Yes
1-44638166773,1-44638166773,U-0560,PG DEPARTMENT OF COMPUTER SCIENCES,Active,Jammu and Kashmir,Srinagar,Srinagar,UNIVERSITY OF KASHMIR,190794,34.084831,74.805601,Government,University of Kashmir,Approved,Approved,A,No,,Tier 2,http://www.pgdepartmentcomputer.ac.in,info@pgdepartmentcomputer.ac.in,admissions@pgdepartmentcomputer.ac.in,placement@pgdepartmentcomputer.ac.in,+91-80-886-2901,Other Engineering Branches,M.Tech,62,84,1993,Urban,Yes,Yes
1-44638166773,1-44638166773,U-0560,PG DEPARTMENT OF COMPUTER SCIENCES,Active,Jammu and Kashmir,Srinagar,Srinagar,UNIVERSITY OF KASHMIR,190794,34.084831,74.805601,Government,University of Kashmir,Approved,Approved,A,No,,Tier 2,http://www.pgdepartmentcomputer.ac.in,info@pgdepartmentcomputer.ac.in,admissions@pgdepartmentcomputer.ac.in,placement@pgdepartmentcomputer.ac.in,+91-80-886-2901,Computer Science Engineering (CSE),M.Tech,22,84,1993,Urban,Yes,Yes
1-44639455050,1-44639455050,U-0387,NATIONAL INSTITUTE OF ELECTRONICS AND INFORMATION TECHNOLOGY  SRINAGAR/JAMMU,Active,Jammu and Kashmir,Srinagar,Srinagar,SIDCO ELECTRONICS COMPLEX OLD AIRPORT ROAD RANGRETH,190794,34.083866,74.794984,Deemed to be University(Govt),NIELIT Deemed to be University,Approved,Approved,Not Accredited,No,,Tier 3,http://www.nationalelectronicsinformation.ac.in,info@nationalelectronicsinformation.ac.in,admissions@nationalelectronicsinformation.ac.in,placement@nationalelectronicsinformation.ac.in,+91-80-845-8097,Cyber Security,M.Tech,18,18,1980,Urban,Yes,Yes
1-44639557495,1-44639557495,U-0693,MASTERPRO INSTITUTE OF TECHNOLOGY,Active,Jammu and Kashmir,Srinagar,Srinagar,"NOWGAM BYPASS SRINAGAR JAMMU & KASHMIR, INDIA-190015",190015,34.088717,74.779068,Private-Self Financing,J&K State Board of Technical Education,Approved,Approved,A,No,,Tier 3,http://www.masterpro.ac.in,info@masterpro.ac.in,admissions@masterpro.ac.in,placement@masterpro.ac.in,+91-80-049-2683,Civil Engineering,Diploma,162,342,2004,Urban,Yes,Yes
