College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638607518,1-44638607518,U-0449,"GOVERNMENT POLYTECHNIC KENAURA, SULTANPUR, UTTAR PRADESH",Active,Uttar Pradesh,Sultanpur,Sultanpur,"KENAURA, LAMBHUA SULTANPUR UTTAR PRADESH",201578,26.857413,80.955198,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.kenaurasultanpuruttar.ac.in,info@kenaurasultanpuruttar.ac.in,admissions@kenaurasultanpuruttar.ac.in,placement@kenaurasultanpuruttar.ac.in,+91-80-288-1849,Civil Engineering,Diploma,60,180,1985,Urban,No,No
1-44638607518,1-44638607518,U-0449,"GOVERNMENT POLYTECHNIC KENAURA, SULTANPUR, UTTAR PRADESH",Active,Uttar Pradesh,Sultanpur,Sultanpur,"KENAURA, LAMBHUA SULTANPUR UTTAR PRADESH",201578,26.857413,80.955198,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.kenaurasultanpuruttar.ac.in,info@kenaurasultanpuruttar.ac.in,admissions@kenaurasultanpuruttar.ac.in,placement@kenaurasultanpuruttar.ac.in,+91-80-288-1849,Mechanical Engineering,Diploma,60,180,1985,Urban,No,No
1-44638607518,1-44638607518,U-0449,"GOVERNMENT POLYTECHNIC KENAURA, SULTANPUR, UTTAR PRADESH",Active,Uttar Pradesh,Sultanpur,Sultanpur,"KENAURA, LAMBHUA SULTANPUR UTTAR PRADESH",201578,26.857413,80.955198,Government,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 2,http://www.kenaurasultanpuruttar.ac.in,info@kenaurasultanpuruttar.ac.in,admissions@kenaurasultanpuruttar.ac.in,placement@kenaurasultanpuruttar.ac.in,+91-80-288-1849,Electrical Engineering,Diploma,60,180,1985,Urban,No,No
1-44638796758,1-44638796758,U-0449,SHRI VISHWANATH COLLEGE OF POLYTECHNIC,Active,Uttar Pradesh,Sultanpur,Sultanpur,"VILL & POST- KALAN TEHSIL-KADIPUR, DIST-SULTANPUR, UP",201578,26.831695,80.927985,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.shrivishwanath.ac.in,info@shrivishwanath.ac.in,admissions@shrivishwanath.ac.in,placement@shrivishwanath.ac.in,+91-80-209-5115,Civil Engineering,Diploma,60,600,2018,Urban,Yes,Yes
1-44638796758,1-44638796758,U-0449,SHRI VISHWANATH COLLEGE OF POLYTECHNIC,Active,Uttar Pradesh,Sultanpur,Sultanpur,"VILL & POST- KALAN TEHSIL-KADIPUR, DIST-SULTANPUR, UP",201578,26.831695,80.927985,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.shrivishwanath.ac.in,info@shrivishwanath.ac.in,admissions@shrivishwanath.ac.in,placement@shrivishwanath.ac.in,+91-80-209-5115,Electrical Engineering,Diploma,90,600,2018,Urban,Yes,Yes
1-44638796758,1-44638796758,U-0449,SHRI VISHWANATH COLLEGE OF POLYTECHNIC,Active,Uttar Pradesh,Sultanpur,Sultanpur,"VILL & POST- KALAN TEHSIL-KADIPUR, DIST-SULTANPUR, UP",201578,26.831695,80.927985,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.shrivishwanath.ac.in,info@shrivishwanath.ac.in,admissions@shrivishwanath.ac.in,placement@shrivishwanath.ac.in,+91-80-209-5115,Mechanical Engineering,Diploma,60,600,2018,Urban,Yes,Yes
1-44638796758,1-44638796758,U-0449,SHRI VISHWANATH COLLEGE OF POLYTECHNIC,Active,Uttar Pradesh,Sultanpur,Sultanpur,"VILL & POST- KALAN TEHSIL-KADIPUR, DIST-SULTANPUR, UP",201578,26.831695,80.927985,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.shrivishwanath.ac.in,info@shrivishwanath.ac.in,admissions@shrivishwanath.ac.in,placement@shrivishwanath.ac.in,+91-80-209-5115,Computer Science Engineering (CSE),Diploma,60,600,2018,Urban,Yes,Yes
1-44638796758,1-44638796758,U-0449,SHRI VISHWANATH COLLEGE OF POLYTECHNIC,Active,Uttar Pradesh,Sultanpur,Sultanpur,"VILL & POST- KALAN TEHSIL-KADIPUR, DIST-SULTANPUR, UP",201578,26.831695,80.927985,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.shrivishwanath.ac.in,info@shrivishwanath.ac.in,admissions@shrivishwanath.ac.in,placement@shrivishwanath.ac.in,+91-80-209-5115,Electronics & Communication Engineering (ECE),Diploma,30,600,2018,Urban,Yes,Yes
1-44638796758,1-44638796758,U-0449,SHRI VISHWANATH COLLEGE OF POLYTECHNIC,Active,Uttar Pradesh,Sultanpur,Sultanpur,"VILL & POST- KALAN TEHSIL-KADIPUR, DIST-SULTANPUR, UP",201578,26.831695,80.927985,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.shrivishwanath.ac.in,info@shrivishwanath.ac.in,admissions@shrivishwanath.ac.in,placement@shrivishwanath.ac.in,+91-80-209-5115,Civil Engineering,B.Tech,60,600,2018,Urban,Yes,Yes
1-44638796758,1-44638796758,U-0449,SHRI VISHWANATH COLLEGE OF POLYTECHNIC,Active,Uttar Pradesh,Sultanpur,Sultanpur,"VILL & POST- KALAN TEHSIL-KADIPUR, DIST-SULTANPUR, UP",201578,26.831695,80.927985,Private-Self Financing,"Uttar Pradesh Board of Technical Education, Lucknow",Approved,Approved,A,No,,Tier 3,http://www.shrivishwanath.ac.in,info@shrivishwanath.ac.in,admissions@shrivishwanath.ac.in,placement@shrivishwanath.ac.in,+91-80-209-5115,Electronics & Communication Engineering (ECE),B.Tech,60,600,2018,Urban,Yes,Yes
