College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638573601,1-44638573601,U-0929,P P SAVANI SCHOOL OF ENGINEERING,Active,Gujarat,Surat,Surat,"P P SAVANI KNOWLEDGE CITY CAMPUS,NH 8, GETCO, NEAR BILTECH COMPANY, VILLAGE: DHAMDOD, KOSAMBA,  TA.: MANGROL, DIST.: SURAT - 394125.",394125,21.188217,72.84666,Private-Self Financing,P P SAVANI UNIVERSITY,Approved,Approved,A,No,,Tier 3,http://www.ppsavani.ac.in,info@ppsavani.ac.in,admissions@ppsavani.ac.in,placement@ppsavani.ac.in,+91-80-594-5443,Mechanical Engineering,B.Tech,60,300,2002,Urban,Yes,Yes
1-44638573601,1-44638573601,U-0929,P P SAVANI SCHOOL OF ENGINEERING,Active,Gujarat,Surat,Surat,"P P SAVANI KNOWLEDGE CITY CAMPUS,NH 8, GETCO, NEAR BILTECH COMPANY, VILLAGE: DHAMDOD, KOSAMBA,  TA.: MANGROL, DIST.: SURAT - 394125.",394125,21.188217,72.84666,Private-Self Financing,P P SAVANI UNIVERSITY,Approved,Approved,A,No,,Tier 3,http://www.ppsavani.ac.in,info@ppsavani.ac.in,admissions@ppsavani.ac.in,placement@ppsavani.ac.in,+91-80-594-5443,Civil Engineering,B.Tech,60,300,2002,Urban,Yes,Yes
1-44638573601,1-44638573601,U-0929,P P SAVANI SCHOOL OF ENGINEERING,Active,Gujarat,Surat,Surat,"P P SAVANI KNOWLEDGE CITY CAMPUS,NH 8, GETCO, NEAR BILTECH COMPANY, VILLAGE: DHAMDOD, KOSAMBA,  TA.: MANGROL, DIST.: SURAT - 394125.",394125,21.188217,72.84666,Private-Self Financing,P P SAVANI UNIVERSITY,Approved,Approved,A,No,,Tier 3,http://www.ppsavani.ac.in,info@ppsavani.ac.in,admissions@ppsavani.ac.in,placement@ppsavani.ac.in,+91-80-594-5443,Computer Science Engineering (CSE),B.Tech,120,300,2002,Urban,Yes,Yes
1-44638573601,1-44638573601,U-0929,P P SAVANI SCHOOL OF ENGINEERING,Active,Gujarat,Surat,Surat,"P P SAVANI KNOWLEDGE CITY CAMPUS,NH 8, GETCO, NEAR BILTECH COMPANY, VILLAGE: DHAMDOD, KOSAMBA,  TA.: MANGROL, DIST.: SURAT - 394125.",394125,21.188217,72.84666,Private-Self Financing,P P SAVANI UNIVERSITY,Approved,Approved,A,No,,Tier 3,http://www.ppsavani.ac.in,info@ppsavani.ac.in,admissions@ppsavani.ac.in,placement@ppsavani.ac.in,+91-80-594-5443,Information Technology (IT),B.Tech,60,300,2002,Urban,Yes,Yes
1-44638125832,1-44638125832,U-0141,DIWALIBA POLYTECHNIC,Active,Gujarat,Surat,Surat,"DIWALIBA POLYTECHNIC, MALIBA-MAHUVA CAMPUS, MAHUVA",380600,21.157425,72.839044,Private-Self Financing,Uka Tarsadia University,Approved,Approved,A+,No,,Tier 3,http://www.diwaliba.ac.in,info@diwaliba.ac.in,admissions@diwaliba.ac.in,placement@diwaliba.ac.in,+91-80-303-0706,Chemical Engineering,Diploma,60,300,1988,Rural,Yes,Yes
1-44638125832,1-44638125832,U-0141,DIWALIBA POLYTECHNIC,Active,Gujarat,Surat,Surat,"DIWALIBA POLYTECHNIC, MALIBA-MAHUVA CAMPUS, MAHUVA",380600,21.157425,72.839044,Private-Self Financing,Uka Tarsadia University,Approved,Approved,A+,No,,Tier 3,http://www.diwaliba.ac.in,info@diwaliba.ac.in,admissions@diwaliba.ac.in,placement@diwaliba.ac.in,+91-80-303-0706,Civil Engineering,Diploma,60,300,1988,Rural,Yes,Yes
1-44638125832,1-44638125832,U-0141,DIWALIBA POLYTECHNIC,Active,Gujarat,Surat,Surat,"DIWALIBA POLYTECHNIC, MALIBA-MAHUVA CAMPUS, MAHUVA",380600,21.157425,72.839044,Private-Self Financing,Uka Tarsadia University,Approved,Approved,A+,No,,Tier 3,http://www.diwaliba.ac.in,info@diwaliba.ac.in,admissions@diwaliba.ac.in,placement@diwaliba.ac.in,+91-80-303-0706,Computer Science Engineering (CSE),Diploma,60,300,1988,Rural,Yes,Yes
1-44638125832,1-44638125832,U-0141,DIWALIBA POLYTECHNIC,Active,Gujarat,Surat,Surat,"DIWALIBA POLYTECHNIC, MALIBA-MAHUVA CAMPUS, MAHUVA",380600,21.157425,72.839044,Private-Self Financing,Uka Tarsadia University,Approved,Approved,A+,No,,Tier 3,http://www.diwaliba.ac.in,info@diwaliba.ac.in,admissions@diwaliba.ac.in,placement@diwaliba.ac.in,+91-80-303-0706,Electrical Engineering,Diploma,60,300,1988,Rural,Yes,Yes
1-44638125832,1-44638125832,U-0141,DIWALIBA POLYTECHNIC,Active,Gujarat,Surat,Surat,"DIWALIBA POLYTECHNIC, MALIBA-MAHUVA CAMPUS, MAHUVA",380600,21.157425,72.839044,Private-Self Financing,Uka Tarsadia University,Approved,Approved,A+,No,,Tier 3,http://www.diwaliba.ac.in,info@diwaliba.ac.in,admissions@diwaliba.ac.in,placement@diwaliba.ac.in,+91-80-303-0706,Mechanical Engineering,Diploma,60,300,1988,Rural,Yes,Yes
1-44637260101,1-44637260101,U-0183,R. N. G. PATEL INSTITUTE OF TECHNOLOGY RNGPIT,Active,Gujarat,Surat,Surat,"AT :ISROLI, PO:AFWA, BARDOLI-NAVSARI ROAD, BARDOLI",380600,21.175395,72.839255,Private-Self Financing,"Gujarat Technological University, Ahmedabad",Approved,Approved,A+,Yes,,Tier 2,http://www.rng.ac.in,info@rng.ac.in,admissions@rng.ac.in,placement@rng.ac.in,+91-80-056-7604,Mechanical Engineering,B.Tech,60,540,2022,Rural,No,Yes
