College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638758522,1-44638758522,U-0992,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR (A CONSTITUENT COLLEGE OF CSVTU, BHILAI)",Active,Chhattisgarh,Surguja,Surguja,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR, NEHRU NAGAR, DIGMA, AMBIKAPUR, DISTRICT- SURGUJA (C.G.)",492923,21.285687,81.873398,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.vishwavidyalayaambikapura.ac.in,info@vishwavidyalayaambikapura.ac.in,admissions@vishwavidyalayaambikapura.ac.in,placement@vishwavidyalayaambikapura.ac.in,+91-80-131-9214,Civil Engineering,B.Tech,60,390,1991,Urban,Yes,Yes
1-44638758522,1-44638758522,U-0992,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR (A CONSTITUENT COLLEGE OF CSVTU, BHILAI)",Active,Chhattisgarh,Surguja,Surguja,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR, NEHRU NAGAR, DIGMA, AMBIKAPUR, DISTRICT- SURGUJA (C.G.)",492923,21.285687,81.873398,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.vishwavidyalayaambikapura.ac.in,info@vishwavidyalayaambikapura.ac.in,admissions@vishwavidyalayaambikapura.ac.in,placement@vishwavidyalayaambikapura.ac.in,+91-80-131-9214,Mechanical Engineering,B.Tech,60,390,1991,Urban,Yes,Yes
1-44638758522,1-44638758522,U-0992,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR (A CONSTITUENT COLLEGE OF CSVTU, BHILAI)",Active,Chhattisgarh,Surguja,Surguja,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR, NEHRU NAGAR, DIGMA, AMBIKAPUR, DISTRICT- SURGUJA (C.G.)",492923,21.285687,81.873398,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.vishwavidyalayaambikapura.ac.in,info@vishwavidyalayaambikapura.ac.in,admissions@vishwavidyalayaambikapura.ac.in,placement@vishwavidyalayaambikapura.ac.in,+91-80-131-9214,Computer Science Engineering (CSE),B.Tech,60,390,1991,Urban,Yes,Yes
1-44638758522,1-44638758522,U-0992,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR (A CONSTITUENT COLLEGE OF CSVTU, BHILAI)",Active,Chhattisgarh,Surguja,Surguja,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR, NEHRU NAGAR, DIGMA, AMBIKAPUR, DISTRICT- SURGUJA (C.G.)",492923,21.285687,81.873398,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.vishwavidyalayaambikapura.ac.in,info@vishwavidyalayaambikapura.ac.in,admissions@vishwavidyalayaambikapura.ac.in,placement@vishwavidyalayaambikapura.ac.in,+91-80-131-9214,Electrical Engineering,B.Tech,60,390,1991,Urban,Yes,Yes
1-44638758522,1-44638758522,U-0992,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR (A CONSTITUENT COLLEGE OF CSVTU, BHILAI)",Active,Chhattisgarh,Surguja,Surguja,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR, NEHRU NAGAR, DIGMA, AMBIKAPUR, DISTRICT- SURGUJA (C.G.)",492923,21.285687,81.873398,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.vishwavidyalayaambikapura.ac.in,info@vishwavidyalayaambikapura.ac.in,admissions@vishwavidyalayaambikapura.ac.in,placement@vishwavidyalayaambikapura.ac.in,+91-80-131-9214,Mining Engineering,B.Tech,60,390,1991,Urban,Yes,Yes
1-44638758522,1-44638758522,U-0992,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR (A CONSTITUENT COLLEGE OF CSVTU, BHILAI)",Active,Chhattisgarh,Surguja,Surguja,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR, NEHRU NAGAR, DIGMA, AMBIKAPUR, DISTRICT- SURGUJA (C.G.)",492923,21.285687,81.873398,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.vishwavidyalayaambikapura.ac.in,info@vishwavidyalayaambikapura.ac.in,admissions@vishwavidyalayaambikapura.ac.in,placement@vishwavidyalayaambikapura.ac.in,+91-80-131-9214,Other Engineering Branches,M.Tech,72,390,1991,Urban,Yes,Yes
1-44638758522,1-44638758522,U-0992,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR (A CONSTITUENT COLLEGE OF CSVTU, BHILAI)",Active,Chhattisgarh,Surguja,Surguja,"VISHWAVIDYALAYA ENGINEERING COLLEGE, AMBIKAPUR, NEHRU NAGAR, DIGMA, AMBIKAPUR, DISTRICT- SURGUJA (C.G.)",492923,21.285687,81.873398,State Government University,NOT APPLICABLE,Approved,Approved,B,No,,Tier 3,http://www.vishwavidyalayaambikapura.ac.in,info@vishwavidyalayaambikapura.ac.in,admissions@vishwavidyalayaambikapura.ac.in,placement@vishwavidyalayaambikapura.ac.in,+91-80-131-9214,Mining Engineering,M.Tech,18,390,1991,Urban,Yes,Yes
1-44638825807,1-44638825807,U-0329,"GOVERNMENT POLYTECHNIC COLLEGE,SURAJPUR",Active,Chhattisgarh,Surguja,Surguja,"GOVT. HIGH SCHOOL CAMPUS,LANCHI TEHSIL-SURAJPUR",492923,21.29313,81.85923,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A+,Yes,,Tier 2,http://www.collegesurajpur.ac.in,info@collegesurajpur.ac.in,admissions@collegesurajpur.ac.in,placement@collegesurajpur.ac.in,+91-80-444-1044,Civil Engineering,Diploma,60,180,2022,Urban,Yes,Yes
1-44638825807,1-44638825807,U-0329,"GOVERNMENT POLYTECHNIC COLLEGE,SURAJPUR",Active,Chhattisgarh,Surguja,Surguja,"GOVT. HIGH SCHOOL CAMPUS,LANCHI TEHSIL-SURAJPUR",492923,21.29313,81.85923,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A+,Yes,,Tier 2,http://www.collegesurajpur.ac.in,info@collegesurajpur.ac.in,admissions@collegesurajpur.ac.in,placement@collegesurajpur.ac.in,+91-80-444-1044,Electrical Engineering,Diploma,60,180,2022,Urban,Yes,Yes
1-44638825807,1-44638825807,U-0329,"GOVERNMENT POLYTECHNIC COLLEGE,SURAJPUR",Active,Chhattisgarh,Surguja,Surguja,"GOVT. HIGH SCHOOL CAMPUS,LANCHI TEHSIL-SURAJPUR",492923,21.29313,81.85923,Government,"Chhattisgarh Swami Vivekanand Technical University, Bhilai",Approved,Approved,A+,Yes,,Tier 2,http://www.collegesurajpur.ac.in,info@collegesurajpur.ac.in,admissions@collegesurajpur.ac.in,placement@collegesurajpur.ac.in,+91-80-444-1044,Mining Engineering,Diploma,60,180,2022,Urban,Yes,Yes
