College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638484685,1-44638484685,U-0678,"GOVERNMENT POLYTECHNIC, HINDOLAKHAL",Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,"HINDOLAKHAL, TEHRI GARHWAL",248115,30.082791,79.039114,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.hindolakhal.ac.in,info@hindolakhal.ac.in,admissions@hindolakhal.ac.in,placement@hindolakhal.ac.in,+91-80-509-5806,Mechanical Engineering,Diploma,30,30,2010,Rural,Yes,Yes
1-44638407666,1-44638407666,U-0735,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,248115,30.059771,79.035899,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,B++,Yes,,Tier 3,http://www.narendranagar.ac.in,info@narendranagar.ac.in,admissions@narendranagar.ac.in,placement@narendranagar.ac.in,+91-80-544-0490,Computer Science Engineering (CSE),B.Tech,60,150,2018,Rural,Yes,Yes
1-44638407666,1-44638407666,U-0735,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,248115,30.059771,79.035899,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,B++,Yes,,Tier 3,http://www.narendranagar.ac.in,info@narendranagar.ac.in,admissions@narendranagar.ac.in,placement@narendranagar.ac.in,+91-80-544-0490,Electrical Engineering,B.Tech,30,150,2018,Rural,Yes,Yes
1-44638407666,1-44638407666,U-0735,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,GOVERNMENT POLYTECHNIC NARENDRA NAGAR,248115,30.059771,79.035899,Government,"Uttarakhand Technical University, Dehradun",Approved,Approved,B++,Yes,,Tier 3,http://www.narendranagar.ac.in,info@narendranagar.ac.in,admissions@narendranagar.ac.in,placement@narendranagar.ac.in,+91-80-544-0490,Other Engineering Branches,B.Tech,60,150,2018,Rural,Yes,Yes
1-44638489038,1-44638489038,U-0678,GOVERNMENT POLYTECHNIC (OKHALLKHAL) PRATAPNAGAR,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,GOVERNMENT POLYTECHNIC (OKHALAKHAL) PRATAPNAGAR,248115,30.069628,79.001403,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.okhallkhalpratapnagar.ac.in,info@okhallkhalpratapnagar.ac.in,admissions@okhallkhalpratapnagar.ac.in,placement@okhallkhalpratapnagar.ac.in,+91-80-957-4669,Civil Engineering,Diploma,60,60,1995,Urban,Yes,No
1-44638433175,1-44638433175,U-0678,GOVT POLYTECHNIC GAJA,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,P.O. GAJA DISTT TEHRI GARHWAL,248115,30.082429,79.02698,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.govtgaja.ac.in,info@govtgaja.ac.in,admissions@govtgaja.ac.in,placement@govtgaja.ac.in,+91-80-494-3921,Civil Engineering,Diploma,30,90,2016,Rural,Yes,Yes
1-44638433175,1-44638433175,U-0678,GOVT POLYTECHNIC GAJA,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,P.O. GAJA DISTT TEHRI GARHWAL,248115,30.082429,79.02698,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.govtgaja.ac.in,info@govtgaja.ac.in,admissions@govtgaja.ac.in,placement@govtgaja.ac.in,+91-80-494-3921,Electrical Engineering,Diploma,30,90,2016,Rural,Yes,Yes
1-44638433175,1-44638433175,U-0678,GOVT POLYTECHNIC GAJA,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,P.O. GAJA DISTT TEHRI GARHWAL,248115,30.082429,79.02698,Government,Uttrakhand Board of Technical Education,Approved,Approved,A,No,,Tier 2,http://www.govtgaja.ac.in,info@govtgaja.ac.in,admissions@govtgaja.ac.in,placement@govtgaja.ac.in,+91-80-494-3921,Mechanical Engineering,Diploma,30,90,2016,Rural,Yes,Yes
1-44638091536,1-44638091536,U-0678,GOVERNMENT POLYTECHNIC BACHELIKHAL,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,RISHIKESH-BADRINATH ROAD BACHELIKHAL,248115,30.064144,79.029755,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.bachelikhal.ac.in,info@bachelikhal.ac.in,admissions@bachelikhal.ac.in,placement@bachelikhal.ac.in,+91-80-727-4690,Mechanical Engineering,Diploma,30,60,1993,Urban,Yes,Yes
1-44638091536,1-44638091536,U-0678,GOVERNMENT POLYTECHNIC BACHELIKHAL,Active,Uttarakhand,Tehri Garhwal,Tehri Garhwal,RISHIKESH-BADRINATH ROAD BACHELIKHAL,248115,30.064144,79.029755,Government,Uttrakhand Board of Technical Education,Approved,Approved,B++,Yes,,Tier 3,http://www.bachelikhal.ac.in,info@bachelikhal.ac.in,admissions@bachelikhal.ac.in,placement@bachelikhal.ac.in,+91-80-727-4690,Computer Science Engineering (CSE),Diploma,30,60,1993,Urban,Yes,Yes
