College ID,AICTE Institute ID,UGC University ID,College Name,College Status,State,District,City,Full Address,Pincode,Latitude,Longitude,College Type,Affiliated University,AICTE Approval Status,UGC Approval Status,NAAC Grade,NBA Accreditation,NIRF Ranking,Tier Classification,Official Website,Official College Email,Admission Email,Placement Cell Email,Contact Phone Number,Engineering Branch Name,Degree Type,Branch Intake Capacity,Total Intake Capacity,Establishment Year,Campus Type,Hostel Available,Placement Available
1-44638498317,1-44638498317,U-0682,STAR LION COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Thanjavur,Thanjavur,"MAIN ROAD, MANANKORAI",600440,10.786253,79.152577,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.starlion.ac.in,info@starlion.ac.in,admissions@starlion.ac.in,placement@starlion.ac.in,+91-80-807-5230,Other Engineering Branches,M.Tech,18,306,2016,Urban,Yes,Yes
1-44638498317,1-44638498317,U-0682,STAR LION COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Thanjavur,Thanjavur,"MAIN ROAD, MANANKORAI",600440,10.786253,79.152577,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.starlion.ac.in,info@starlion.ac.in,admissions@starlion.ac.in,placement@starlion.ac.in,+91-80-807-5230,Computer Science Engineering (CSE),B.Tech,60,306,2016,Urban,Yes,Yes
1-44638498317,1-44638498317,U-0682,STAR LION COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Thanjavur,Thanjavur,"MAIN ROAD, MANANKORAI",600440,10.786253,79.152577,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.starlion.ac.in,info@starlion.ac.in,admissions@starlion.ac.in,placement@starlion.ac.in,+91-80-807-5230,Electronics & Communication Engineering (ECE),B.Tech,30,306,2016,Urban,Yes,Yes
1-44638498317,1-44638498317,U-0682,STAR LION COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Thanjavur,Thanjavur,"MAIN ROAD, MANANKORAI",600440,10.786253,79.152577,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.starlion.ac.in,info@starlion.ac.in,admissions@starlion.ac.in,placement@starlion.ac.in,+91-80-807-5230,Mechanical Engineering,B.Tech,60,306,2016,Urban,Yes,Yes
1-44638498317,1-44638498317,U-0682,STAR LION COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Thanjavur,Thanjavur,"MAIN ROAD, MANANKORAI",600440,10.786253,79.152577,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.starlion.ac.in,info@starlion.ac.in,admissions@starlion.ac.in,placement@starlion.ac.in,+91-80-807-5230,Data Science,B.Tech,60,306,2016,Urban,Yes,Yes
1-44638498317,1-44638498317,U-0682,STAR LION COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Thanjavur,Thanjavur,"MAIN ROAD, MANANKORAI",600440,10.786253,79.152577,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.starlion.ac.in,info@starlion.ac.in,admissions@starlion.ac.in,placement@starlion.ac.in,+91-80-807-5230,Information Technology (IT),B.Tech,60,306,2016,Urban,Yes,Yes
1-44638498317,1-44638498317,U-0682,STAR LION COLLEGE OF ENGINEERING AND TECHNOLOGY,Active,Tamil Nadu,Thanjavur,Thanjavur,"MAIN ROAD, MANANKORAI",600440,10.786253,79.152577,Private-Self Financing,"Anna University, Chennai",Approved,Approved,B,No,,Tier 3,http://www.starlion.ac.in,info@starlion.ac.in,admissions@starlion.ac.in,placement@starlion.ac.in,+91-80-807-5230,Computer Science Engineering (CSE),M.Tech,18,306,2016,Urban,Yes,Yes
1-44638337253,1-44638337253,U-0992,SASTRA DEEMED UNIVERSITY,Active,Tamil Nadu,Thanjavur,Thanjavur,SRINIVASA RAMANUJAN CENTRE,600440,10.7794,79.128232,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.sastradeemed.ac.in,info@sastradeemed.ac.in,admissions@sastradeemed.ac.in,placement@sastradeemed.ac.in,+91-80-520-0962,Computer Science Engineering (CSE),B.Tech,180,300,2002,Rural,Yes,Yes
1-44638337253,1-44638337253,U-0992,SASTRA DEEMED UNIVERSITY,Active,Tamil Nadu,Thanjavur,Thanjavur,SRINIVASA RAMANUJAN CENTRE,600440,10.7794,79.128232,Deemed to be University(Pvt),NOT APPLICABLE,Approved,Approved,A+,No,,Tier 3,http://www.sastradeemed.ac.in,info@sastradeemed.ac.in,admissions@sastradeemed.ac.in,placement@sastradeemed.ac.in,+91-80-520-0962,Electronics & Communication Engineering (ECE),B.Tech,120,300,2002,Rural,Yes,Yes
1-44638094811,1-44638094811,U-0650,GOVERNMENT  POLYTECHNIC  COLLEGE,Active,Tamil Nadu,Thanjavur,Thanjavur,"RAGUNATHAPURAM,PAPANASAM TALUK,THANJAVUR  DISTRICT",600440,10.775944,79.119367,Government,"Directorate of Technical Education, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.inst4654.ac.in,info@inst4654.ac.in,admissions@inst4654.ac.in,placement@inst4654.ac.in,+91-80-375-1434,Civil Engineering,Diploma,60,330,1992,Rural,Yes,Yes
1-44638094811,1-44638094811,U-0650,GOVERNMENT  POLYTECHNIC  COLLEGE,Active,Tamil Nadu,Thanjavur,Thanjavur,"RAGUNATHAPURAM,PAPANASAM TALUK,THANJAVUR  DISTRICT",600440,10.775944,79.119367,Government,"Directorate of Technical Education, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.inst4654.ac.in,info@inst4654.ac.in,admissions@inst4654.ac.in,placement@inst4654.ac.in,+91-80-375-1434,Mechanical Engineering,Diploma,60,330,1992,Rural,Yes,Yes
1-44638094811,1-44638094811,U-0650,GOVERNMENT  POLYTECHNIC  COLLEGE,Active,Tamil Nadu,Thanjavur,Thanjavur,"RAGUNATHAPURAM,PAPANASAM TALUK,THANJAVUR  DISTRICT",600440,10.775944,79.119367,Government,"Directorate of Technical Education, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.inst4654.ac.in,info@inst4654.ac.in,admissions@inst4654.ac.in,placement@inst4654.ac.in,+91-80-375-1434,Electrical & Electronics Engineering (EEE),Diploma,60,330,1992,Rural,Yes,Yes
1-44638094811,1-44638094811,U-0650,GOVERNMENT  POLYTECHNIC  COLLEGE,Active,Tamil Nadu,Thanjavur,Thanjavur,"RAGUNATHAPURAM,PAPANASAM TALUK,THANJAVUR  DISTRICT",600440,10.775944,79.119367,Government,"Directorate of Technical Education, Chennai",Approved,Approved,B++,Yes,,Tier 3,http://www.inst4654.ac.in,info@inst4654.ac.in,admissions@inst4654.ac.in,placement@inst4654.ac.in,+91-80-375-1434,Electronics & Communication Engineering (ECE),Diploma,60,330,1992,Rural,Yes,Yes
